ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.0575,0.1936,9.4345,-0.5431,0.1208,-0.1778,0.3017,-0.2002,-0.0521,-7.47,-31.94,-19.42
0.4082,0.081,9.1843,-0.5431,0.1208,-0.1778,0.3017,-0.2002,-0.0521,-7.47,-31.94,-19.42
0.4082,0.081,9.1843,-0.5431,0.1208,-0.1778,0.3017,-0.2002,-0.0521,-7.47,-31.94,-19.42
0.4082,0.081,9.1843,0.2489,-0.1853,-0.9958,0.2015,-0.0127,-0.1288,-7.47,-34.07,-19.42
0.5554,0.0547,8.5379,0.2489,-0.1853,-0.9958,0.2015,-0.0127,-0.1288,-7.47,-34.07,-19.42
0.5554,0.0547,8.5379,-0.7528,-0.1999,-0.6246,0.2015,-0.0127,-0.1288,-7.47,-34.07,-19.42
-0.1952,0.0739,9.0467,-0.7528,-0.1999,-0.6246,0.2015,-0.0127,-0.1288,-7.47,-34.07,-19.42
-0.1952,0.0739,9.0467,-0.7528,-0.1999,-0.6246,0.1142,-0.0468,-0.0169,-8.18,-32.65,-20.11
-0.1952,0.0739,9.0467,-0.6568,-0.2301,-0.2178,0.1142,-0.0468,-0.0169,-8.18,-32.65,-20.11
0.2011,0.0619,9.5974,-0.6568,-0.2301,-0.2178,0.1142,-0.0468,-0.0169,-8.18,-32.65,-20.11
0.2011,0.0619,9.5974,-0.6568,-0.2301,-0.2178,0.1547,-0.084,0.1194,-8.18,-32.65,-20.11
0.2011,0.0619,9.5974,0.2479,-0.3284,-0.2017,0.1547,-0.084,0.1194,-6.75,-34.77,-19.42
1.057,0.3671,9.6799,0.2479,-0.3284,-0.2017,0.1547,-0.084,0.1194,-6.75,-34.77,-19.42
1.057,0.3671,9.6799,0.2479,-0.3284,-0.2017,0.1888,0.0214,0.0364,-6.75,-34.77,-19.42
1.057,0.3671,9.6799,0.2479,-0.3284,-0.2017,0.1888,0.0214,0.0364,-6.75,-34.77,-19.42
0.8320000000000001,0.6353,9.2909,0.2267,0.2092,-0.4303,0.1888,0.0214,0.0364,-7.47,-32.65,-21.5
0.8320000000000001,0.6353,9.2909,0.2267,0.2092,-0.4303,0.0694,0.1492,-0.0297,-7.47,-32.65,-21.5
