ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.1365,0.1325,9.2179,-0.4404,-0.2525,-0.4373,-0.0255,-0.1131,0.0329,35.82,-11.73,-25.82
0.40700000000000003,0.2833,9.9517,0.16899999999999998,-0.0399,0.1059,-0.0255,-0.1131,0.0329,35.82,-11.73,-25.82
0.40700000000000003,0.2833,9.9517,0.16899999999999998,-0.0399,0.1059,-0.0255,-0.1131,0.0329,35.82,-11.73,-25.82
0.40700000000000003,0.2833,9.9517,0.16899999999999998,-0.0399,0.1059,-0.0468,-0.0034,-0.0108,35.82,-11.02,-27.21
0.3519,0.348,9.4956,0.136,0.0221,-0.3153,-0.0468,-0.0034,-0.0108,35.82,-11.02,-27.21
0.3519,0.348,9.4956,0.136,0.0221,-0.3153,-0.0468,-0.0034,-0.0108,35.82,-11.02,-27.21
0.3519,0.348,9.4956,0.136,0.0221,-0.3153,-0.1384,0.0872,-0.063,35.82,-11.02,-27.21
0.0646,0.3013,9.9493,-0.1959,-0.016,0.136,-0.1384,0.0872,-0.063,35.1,-10.31,-25.13
0.0646,0.3013,9.9493,-0.1959,-0.016,0.136,-0.1384,0.0872,-0.063,35.1,-10.31,-25.13
-0.8476,0.1086,9.7601,-0.1959,-0.016,0.136,-0.0681,0.0264,-0.0193,35.1,-10.31,-25.13
-0.8476,0.1086,9.7601,-0.9051,-0.1044,-0.2508,-0.0681,0.0264,-0.0193,35.1,-10.31,-25.13
-0.8476,0.1086,9.7601,-0.9051,-0.1044,-0.2508,-0.0681,0.0264,-0.0193,35.82,-8.9,-25.13
0.2059,0.2271,9.2286,-0.9051,-0.1044,-0.2508,-0.132,-0.1376,0.0595,35.82,-8.9,-25.13
0.2059,0.2271,9.2286,-0.0167,-0.0076,-0.1771,-0.132,-0.1376,0.0595,35.82,-8.9,-25.13
0.2059,0.2271,9.2286,-0.0167,-0.0076,-0.1771,-0.132,-0.1376,0.0595,35.82,-8.9,-25.13
0.2059,0.2271,9.2286,-0.0167,-0.0076,-0.1771,-0.1075,0.1063,0.0393,35.1,-10.31,-26.52
-0.3125,0.1038,10.1289,-0.4589,-0.0357,0.1516,-0.1075,0.1063,0.0393,35.1,-10.31,-26.52
-0.3125,0.1038,10.1289,-0.4589,-0.0357,0.1516,-0.1075,0.1063,0.0393,35.1,-10.31,-26.52
0.4321,0.172,9.6548,-0.4589,-0.0357,0.1516,-0.0926,-0.0844,0.0542,35.1,-10.31,-26.52
0.4321,0.172,9.6548,0.1749,0.1347,-0.1279,-0.0926,-0.0844,0.0542,35.1,-9.61,-27.21
0.4321,0.172,9.6548,0.1749,0.1347,-0.1279,-0.0926,-0.0844,0.0542,35.1,-9.61,-27.21
0.0467,0.196,9.972000000000001,0.1749,0.1347,-0.1279,-0.1565,-0.0556,0.0212,35.1,-9.61,-27.21
