ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.0156,-0.3368,10.3563,-0.0663,0.1574,0.4332,-0.3696,0.2981,-0.11199999999999999,35.82,-10.31,-27.9
0.486,-0.2637,10.1935,-0.0663,0.1574,0.4332,-0.2907,-0.0673,-0.079,35.82,-10.31,-27.9
0.486,-0.2637,10.1935,-0.0663,0.1574,0.4332,-0.2907,-0.0673,-0.079,35.82,-10.31,-27.9
0.486,-0.2637,10.1935,0.3223,0.1877,0.2579,-0.2907,-0.0673,-0.079,34.39,-8.19,-27.21
0.0538,-0.4421,10.3515,0.3223,0.1877,0.2579,-0.2609,0.0211,-0.1578,34.39,-8.19,-27.21
0.0538,-0.4421,10.3515,0.3223,0.1877,0.2579,-0.2609,0.0211,-0.1578,34.39,-8.19,-27.21
0.0538,-0.4421,10.3515,-0.8441,0.1374,0.3779,-0.2609,0.0211,-0.1578,34.39,-8.19,-27.21
-0.3819,-0.3691,10.0056,-0.8441,0.1374,0.3779,-0.3451,0.0307,0.0499,34.39,-9.61,-27.9
-0.3819,-0.3691,10.0056,-0.8441,0.1374,0.3779,-0.3451,0.0307,0.0499,34.39,-9.61,-27.9
0.486,-0.0076,10.0582,0.222,0.6859,0.2707,-0.3451,0.0307,0.0499,34.39,-9.61,-27.9
0.486,-0.0076,10.0582,0.222,0.6859,0.2707,-0.3451,0.0307,0.0499,34.39,-9.61,-27.9
0.486,-0.0076,10.0582,0.222,0.6859,0.2707,-0.7062,0.2363,-0.015,33.68,-8.9,-28.6
0.2777,-0.7689,12.1496,0.222,0.6859,0.2707,-0.7062,0.2363,-0.015,33.68,-8.9,-28.6
0.2777,-0.7689,12.1496,0.0729,0.1693,2.6456,-0.7062,0.2363,-0.015,33.68,-8.9,-28.6
0.2777,-0.7689,12.1496,0.0729,0.1693,2.6456,-1.0173,0.4344,-0.0417,33.68,-8.9,-28.6
-0.0443,-0.4589,14.7018,0.0729,0.1693,2.6456,-1.0173,0.4344,-0.0417,35.1,-7.48,-28.6
-0.0443,-0.4589,14.7018,-0.4251,0.8865,5.688,-1.0173,0.4344,-0.0417,35.1,-7.48,-28.6
-0.0443,-0.4589,14.7018,-0.4251,0.8865,5.688,-1.0173,0.4344,-0.0417,35.1,-7.48,-28.6
-0.4872,-0.1273,15.924000000000001,-0.4251,0.8865,5.688,-0.4111,0.3833,0.0382,35.1,-7.48,-28.6
-0.4872,-0.1273,15.924000000000001,-1.1894,1.389,4.5542,-0.4111,0.3833,0.0382,37.24,-8.19,-28.6
-1.2043,-0.0997,12.0107,-1.1894,1.389,4.5542,-0.4111,0.3833,0.0382,37.24,-8.19,-28.6
-1.2043,-0.0997,12.0107,-1.1894,1.389,4.5542,-0.2801,-0.0076,0.231,37.24,-8.19,-28.6
-1.2043,-0.0997,12.0107,-0.6459,1.0816,2.1949,-0.2801,-0.0076,0.231,37.24,-8.19,-28.6
0.4573,-0.8527,13.3874,-0.6459,1.0816,2.1949,-0.2801,-0.0076,0.231,35.82,-8.9,-27.9
0.4573,-0.8527,13.3874,-0.6459,1.0816,2.1949,-0.0873,0.166,0.0606,35.82,-8.9,-27.9
0.4573,-0.8527,13.3874,0.4056,1.4246,6.2055,-0.0873,0.166,0.0606,35.82,-8.9,-27.9
-0.4334,-0.9856,13.7668,0.4056,1.4246,6.2055,-0.0873,0.166,0.0606,35.82,-8.9,-27.9
-0.4334,-0.9856,13.7668,0.4056,1.4246,6.2055,-0.0873,0.166,0.0606,35.1,-6.77,-28.6
-0.4334,-0.9856,13.7668,-1.0669,0.8859,2.0692,0.4368,-0.5637,0.0031,35.1,-6.77,-28.6
-0.9589,-0.3715,11.5163,-1.0669,0.8859,2.0692,0.4368,-0.5637,0.0031,35.1,-6.77,-28.6
-0.9589,-0.3715,11.5163,-1.0669,0.8859,2.0692,0.4368,-0.5637,0.0031,35.1,-6.77,-28.6
1.2402,-1.65,10.713,-0.2495,0.1229,0.3846,0.1577,-0.6074,0.2992,35.1,-9.61,-27.21
1.2402,-1.65,10.713,-0.2495,0.1229,0.3846,0.1577,-0.6074,0.2992,35.1,-9.61,-27.21
1.2402,-1.65,10.713,-0.2495,0.1229,0.3846,0.1577,-0.6074,0.2992,35.1,-9.61,-27.21
1.2402,-1.65,10.713,-0.2495,0.1229,0.3846,0.1577,-0.6074,0.2992,35.1,-9.61,-27.21
0.5399,-1.5219,13.2485,0.5448,-0.1784,3.4991,0.4145,0.6624,0.0553,35.1,-9.61,-27.21
0.5399,-1.5219,13.2485,0.5448,-0.1784,3.4991,0.4145,0.6624,0.0553,35.1,-9.61,-28.6
0.5399,-1.5219,13.2485,0.5448,-0.1784,3.4991,0.4145,0.6624,0.0553,35.1,-9.61,-28.6
0.6129,-1.1376,10.8459,0.4844,-0.1233,0.9551,0.7191,-0.5403,-0.1152,35.1,-9.61,-28.6
0.6129,-1.1376,10.8459,0.4844,-0.1233,0.9551,0.7191,-0.5403,-0.1152,35.1,-8.9,-29.99
0.6129,-1.1376,10.8459,0.4844,-0.1233,0.9551,0.7191,-0.5403,-0.1152,35.1,-8.9,-29.99
-0.2981,-1.9780000000000002,9.9086,-0.4721,-1.1486,0.0481,0.3868,-0.0162,0.1394,35.1,-8.9,-29.99
-0.2981,-1.9780000000000002,9.9086,-0.4721,-1.1486,0.0481,0.3868,-0.0162,0.1394,35.1,-8.9,-29.99
0.5973,-1.7864,10.3659,0.478,-1.032,0.298,0.3868,-0.0162,0.1394,34.39,-9.61,-27.21
0.5973,-1.7864,10.3659,0.478,-1.032,0.298,0.2451,0.574,0.1405,34.39,-9.61,-27.21
0.5973,-1.7864,10.3659,0.478,-1.032,0.298,0.2451,0.574,0.1405,34.39,-9.61,-27.21
0.9996,-2.1061,11.2829,1.0445,-1.3162,1.0443,0.2451,0.574,0.1405,34.39,-9.61,-27.21
0.9996,-2.1061,11.2829,1.0445,-1.3162,1.0443,0.47200000000000003,-0.2505,-0.5115,32.97,-10.31,-27.9
0.9996,-2.1061,11.2829,1.0445,-1.3162,1.0443,0.47200000000000003,-0.2505,-0.5115,32.97,-10.31,-27.9
-2.2925,-3.0817,12.2118,-2.5096,-2.5244,1.9498,0.47200000000000003,-0.2505,-0.5115,32.97,-10.31,-27.9
-2.2925,-3.0817,12.2118,-2.5096,-2.5244,1.9498,0.9396,-0.2985,-0.3005,32.97,-10.31,-27.9
-2.2925,-3.0817,12.2118,-2.5096,-2.5244,1.9498,0.9396,-0.2985,-0.3005,35.1,-11.02,-27.9
-2.2925,-3.0817,12.2118,-2.5096,-2.5244,1.9498,0.9396,-0.2985,-0.3005,35.1,-11.02,-27.9
-2.4852,-2.4688,6.4729,-2.645,-2.1887,-3.4633,0.9396,-0.2985,-0.3005,35.1,-11.02,-27.9
-2.4852,-2.4688,6.4729,-2.645,-2.1887,-3.4633,0.0789,0.4142,0.6007,35.1,-11.02,-27.9
-0.4621,-1.0395,7.7383,-2.645,-2.1887,-3.4633,0.0789,0.4142,0.6007,37.24,-12.44,-27.9
-0.4621,-1.0395,7.7383,-0.3553,-0.6519,-1.9916,-0.4452,0.1287,0.7455,37.24,-12.44,-27.9
-0.4621,-1.0395,7.7383,-0.3553,-0.6519,-1.9916,-0.4452,0.1287,0.7455,37.24,-12.44,-27.9
0.5961,-0.8228,11.6755,-0.3553,-0.6519,-1.9916,-0.4452,0.1287,0.7455,37.24,-12.44,-27.9
0.5961,-0.8228,11.6755,0.9542,-0.1758,0.3741,-0.4452,0.1287,0.7455,34.39,-13.14,-26.52
0.5961,-0.8228,11.6755,0.9542,-0.1758,0.3741,0.4858,-0.5999,0.3929,34.39,-13.14,-26.52
1.1145,0.251,6.7961,0.9542,-0.1758,0.3741,0.4858,-0.5999,0.3929,34.39,-13.14,-26.52
1.1145,0.251,6.7961,0.9542,-0.1758,0.3741,0.4858,-0.5999,0.3929,34.39,-13.14,-26.52
1.1145,0.251,6.7961,0.9688,0.8966,-3.6733,-0.0692,-0.028999999999999998,0.1597,32.97,-11.73,-26.52
1.3838,-0.004,6.6465,0.9688,0.8966,-3.6733,-0.0692,-0.028999999999999998,0.1597,32.97,-11.73,-26.52
1.3838,-0.004,6.6465,1.7919,-0.5493,-1.7178,-0.0692,-0.028999999999999998,0.1597,32.97,-11.73,-26.52
1.6161,-1.2573,8.9509,1.7919,-0.5493,-1.7178,-0.3408,0.3545,-0.0864,32.97,-11.73,-26.52
1.6161,-1.2573,8.9509,1.7919,-0.5493,-1.7178,-0.3408,0.3545,-0.0864,32.97,-11.73,-26.52
1.6161,-1.2573,8.9509,1.7919,-0.5493,-1.7178,-0.3408,0.3545,-0.0864,34.39,-13.14,-26.52
0.0921,-1.9421,11.1356,0.3329,-1.5355,0.5931,-0.3408,0.3545,-0.0864,34.39,-13.14,-26.52
0.0921,-1.9421,11.1356,0.3329,-1.5355,0.5931,0.1758,0.1649,-0.2515,34.39,-13.14,-26.52
0.0921,-1.9421,11.1356,0.2547,-1.5019999999999998,0.7959999999999999,0.1758,0.1649,-0.2515,34.39,-11.02,-27.21
0.5506,-1.7338,9.8535,0.2547,-1.5019999999999998,0.7959999999999999,0.1758,0.1649,-0.2515,34.39,-11.02,-27.21
0.5506,-1.7338,9.8535,0.2547,-1.5019999999999998,0.7959999999999999,0.9769,-0.6969,-0.2643,34.39,-11.02,-27.21
0.5506,-1.7338,9.8535,-0.0794,-0.6558,-2.8509,0.9769,-0.6969,-0.2643,35.1,-13.14,-26.52
0.2777,-0.5786,6.856,-0.0794,-0.6558,-2.8509,0.9769,-0.6969,-0.2643,35.1,-13.14,-26.52
0.2777,-0.5786,6.856,-0.0794,-0.6558,-2.8509,0.9215,-0.3965,-0.11199999999999999,35.1,-13.14,-26.52
0.644,0.17800000000000002,6.0372,0.3394,0.0018,-3.9445,0.9215,-0.3965,-0.11199999999999999,35.1,-13.14,-26.52
