ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.6584,-1.0347,10.81,0.1969,-0.0597,0.8574,-0.0191,-0.0481,0.034,34.39,-13.85,-27.9
0.6584,-1.0347,10.81,0.1969,-0.0597,0.8574,-0.0191,-0.0481,0.034,34.39,-13.85,-27.9
0.5051,-0.6659999999999999,8.8863,0.083,0.2151,-0.9036,0.0022,-0.0641,0.0595,31.54,-12.44,-28.6
0.5051,-0.6659999999999999,8.8863,0.083,0.2151,-0.9036,0.0022,-0.0641,0.0595,31.54,-12.44,-28.6
0.3244,-0.8407,9.8535,0.083,0.2151,-0.9036,0.0022,-0.0641,0.0595,31.54,-12.44,-28.6
0.3244,-0.8407,9.8535,-0.0814,0.1054,-0.0079,-0.2108,0.1181,0.1405,31.54,-12.44,-28.6
0.3244,-0.8407,9.8535,-0.0814,0.1054,-0.0079,-0.2108,0.1181,0.1405,31.54,-12.44,-28.6
0.3795,-1.14,10.3599,-0.0814,0.1054,-0.0079,-0.2108,0.1181,0.1405,34.39,-11.73,-27.9
0.3795,-1.14,10.3599,0.4911,-0.2594,0.3736,-0.0958,0.1425,0.231,34.39,-11.73,-27.9
0.3795,-1.14,10.3599,0.4911,-0.2594,0.3736,-0.0958,0.1425,0.231,34.39,-11.73,-27.9
1.3515,-1.3064,9.7218,0.4911,-0.2594,0.3736,-0.0958,0.1425,0.231,34.39,-11.73,-27.9
1.3515,-1.3064,9.7218,0.955,-0.2345,0.5713,-0.0692,-0.078,0.0702,34.39,-11.73,-27.9
1.3515,-1.3064,9.7218,0.955,-0.2345,0.5713,-0.0692,-0.078,0.0702,32.25,-12.44,-28.6
1.0929,-1.3136,10.1887,0.955,-0.2345,0.5713,-0.0692,-0.078,0.0702,32.25,-12.44,-28.6
1.0929,-1.3136,10.1887,0.8811,-0.2408,0.1256,0.0576,-0.0194,0.1778,32.25,-12.44,-28.6
1.6496,-1.1304,9.2179,0.8811,-0.2408,0.1256,0.0576,-0.0194,0.1778,32.25,-12.44,-28.6
1.6496,-1.1304,9.2179,0.8811,-0.2408,0.1256,0.0576,-0.0194,0.1778,32.25,-12.44,-28.6
1.6496,-1.1304,9.2179,1.4175,-0.1219,-0.6925,-0.0756,0.15,0.2289,32.25,-12.44,-27.21
1.7118,-1.0969,9.9577,1.4175,-0.1219,-0.6925,-0.0756,0.15,0.2289,32.25,-12.44,-27.21
1.7118,-1.0969,9.9577,1.4175,-0.1219,-0.6925,-0.0756,0.15,0.2289,32.25,-12.44,-27.21
