ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.5698,-0.6659999999999999,8.6385,0.1406,-0.525,-1.3629,0.3101,-0.0844,-0.0832,33.68,-11.02,-27.9
-0.1628,-0.8731,8.9258,0.1406,-0.525,-1.3629,0.2089,0.0275,-0.0832,33.68,-11.02,-27.9
-0.1628,-0.8731,8.9258,0.1406,-0.525,-1.3629,0.2089,0.0275,-0.0832,33.68,-11.02,-27.9
-0.1628,-0.8731,8.9258,-0.4542,-0.7123,-0.9093,0.2089,0.0275,-0.0832,33.68,-11.02,-27.9
-0.0623,-0.7952,8.8623,-0.4542,-0.7123,-0.9093,0.2089,0.0275,-0.0832,33.68,-11.02,-27.9
-0.0623,-0.7952,8.8623,-0.4542,-0.7123,-0.9093,0.2344,-0.111,0.0318,35.82,-10.31,-26.52
-0.0623,-0.7952,8.8623,-0.4542,-0.7123,-0.9093,0.2344,-0.111,0.0318,35.82,-10.31,-26.52
0.0562,-0.5618,8.6002,-0.2557,-0.4219,-1.1505,0.2344,-0.111,0.0318,35.82,-10.31,-26.52
0.0562,-0.5618,8.6002,-0.2557,-0.4219,-1.1505,0.27699999999999997,-0.1642,0.068,35.82,-10.31,-26.52
0.322,-0.4816,9.249,-0.2557,-0.4219,-1.1505,0.27699999999999997,-0.1642,0.068,33.68,-10.31,-26.52
0.322,-0.4816,9.249,-0.0056,-0.3872,-0.467,0.27699999999999997,-0.1642,0.068,33.68,-10.31,-26.52
0.322,-0.4816,9.249,-0.0056,-0.3872,-0.467,0.4198,-0.1877,0.0979,33.68,-10.31,-26.52
0.7589,-0.0471,7.9992,-0.0056,-0.3872,-0.467,0.4198,-0.1877,0.0979,33.68,-10.31,-26.52
0.7589,-0.0471,7.9992,0.3432,-0.0921,-1.7648,0.4198,-0.1877,0.0979,35.1,-11.73,-27.21
0.7589,-0.0471,7.9992,0.3432,-0.0921,-1.7648,0.4198,-0.1877,0.0979,35.1,-11.73,-27.21
0.1173,0.0619,9.2981,0.3432,-0.0921,-1.7648,0.3442,-0.2101,0.0542,35.1,-11.73,-27.21
