ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.6249,-0.15,9.1305,-1.2185,0.0552,-0.7090000000000001,-0.0074,0.0999,0.3141,34.39,-11.02,-27.9
-0.6596,-0.581,9.1939,-1.2595,-0.4004,-0.5723,0.0938,-0.0492,0.2332,33.68,-11.73,-27.9
-0.6596,-0.581,9.1939,-1.2595,-0.4004,-0.5723,0.0938,-0.0492,0.2332,33.68,-11.73,-27.9
-0.6596,-0.581,9.1939,-1.2595,-0.4004,-0.5723,0.0938,-0.0492,0.2332,33.68,-11.73,-27.9
-0.8655,-0.4445,9.5471,-1.4347,-0.2957,-0.3032,0.0938,-0.0492,0.2332,33.68,-11.73,-27.9
-0.8655,-0.4445,9.5471,-1.4347,-0.2957,-0.3032,0.1332,0.1234,0.2907,34.39,-11.02,-27.21
-0.9398,-0.4277,10.1313,-1.4347,-0.2957,-0.3032,0.1332,0.1234,0.2907,34.39,-11.02,-27.21
-0.9398,-0.4277,10.1313,-1.469,-0.3341,0.2872,0.1332,0.1234,0.2907,34.39,-11.02,-27.21
-0.9398,-0.4277,10.1313,-1.469,-0.3341,0.2872,0.44,0.215,0.3312,34.39,-11.02,-27.21
-1.3791,-0.5163,9.2179,-1.469,-0.3341,0.2872,0.44,0.215,0.3312,35.82,-11.02,-27.21
-1.3791,-0.5163,9.2179,-1.8391,-0.4994,-0.6577,0.44,0.215,0.3312,35.82,-11.02,-27.21
-1.3791,-0.5163,9.2179,-1.8391,-0.4994,-0.6577,0.4155,0.2853,0.5399,35.82,-11.02,-27.21
-1.3504,-0.3834,9.3926,-1.8391,-0.4994,-0.6577,0.4155,0.2853,0.5399,35.82,-11.02,-27.21
-1.3504,-0.3834,9.3926,-1.2504,-0.467,-0.314,0.4155,0.2853,0.5399,33.68,-13.14,-27.21
-1.3504,-0.3834,9.3926,-1.2504,-0.467,-0.314,0.4155,0.2853,0.5399,33.68,-13.14,-27.21
0.1149,-0.0219,8.5738,-1.2504,-0.467,-0.314,0.521,0.2597,0.6113,33.68,-13.14,-27.21
0.1149,-0.0219,8.5738,-0.2106,-0.2103,-2.3171,0.521,0.2597,0.6113,33.68,-13.14,-27.21
-0.5986,0.0834,7.925,-0.2106,-0.2103,-2.3171,0.521,0.2597,0.6113,33.68,-12.44,-25.82
-0.5986,0.0834,7.925,-0.2106,-0.2103,-2.3171,0.2291,0.1479,0.27899999999999997,33.68,-12.44,-25.82
-0.5986,0.0834,7.925,-1.455,-0.4127,-1.0091,0.2291,0.1479,0.27899999999999997,33.68,-12.44,-25.82
-1.6101,-0.1895,9.2693,-1.455,-0.4127,-1.0091,0.2291,0.1479,0.27899999999999997,33.68,-12.44,-25.82
-1.6101,-0.1895,9.2693,-1.455,-0.4127,-1.0091,0.4134,0.0957,0.4345,33.68,-12.44,-25.82
-1.6101,-0.1895,9.2693,-1.7316,-0.588,-0.5399,0.4134,0.0957,0.4345,35.1,-14.56,-25.13
-1.0367,-0.0147,8.4014,-1.7316,-0.588,-0.5399,0.4134,0.0957,0.4345,35.1,-14.56,-25.13
-1.0367,-0.0147,8.4014,0.1161,-0.7115,-2.5539,0.4784,0.2917,0.6326,35.1,-14.56,-25.13
0.7158,0.1277,7.1325,0.1161,-0.7115,-2.5539,0.4784,0.2917,0.6326,35.1,-15.98,-26.52
0.7158,0.1277,7.1325,0.1161,-0.7115,-2.5539,0.4784,0.2917,0.6326,35.1,-15.98,-26.52
0.7158,0.1277,7.1325,0.1161,-0.7115,-2.5539,0.2035,0.4483,0.4366,35.1,-15.98,-26.52
0.4716,0.1086,7.5587,0.6019,-0.5751,-2.2758,0.2035,0.4483,0.4366,35.1,-15.98,-26.52
0.4716,0.1086,7.5587,0.6019,-0.5751,-2.2758,0.2035,0.4483,0.4366,35.1,-15.98,-26.52
0.4716,0.1086,7.5587,0.6019,-0.5751,-2.2758,0.1332,0.3577,0.3514,34.39,-16.68,-25.82
-0.0635,0.1421,7.4869,0.0585,-0.5435,-2.21,0.1332,0.3577,0.3514,34.39,-16.68,-25.82
-0.0635,0.1421,7.4869,0.0585,-0.5435,-2.21,0.1332,0.3577,0.3514,34.39,-16.68,-25.82
0.0838,-0.1751,7.9465,0.0585,-0.5435,-2.21,0.1535,0.5101,0.44299999999999995,34.39,-16.68,-24.44
0.0838,-0.1751,7.9465,0.3463,-0.9124,-1.6884,0.1535,0.5101,0.44299999999999995,34.39,-16.68,-24.44
0.0838,-0.1751,7.9465,0.3463,-0.9124,-1.6884,0.1535,0.5101,0.44299999999999995,34.39,-16.68,-24.44
0.1616,-0.0052,8.2638,0.5097,-0.8290000000000001,-1.4386,0.2824,0.6145,0.4462,34.39,-16.68,-24.44
0.1616,-0.0052,8.2638,0.5097,-0.8290000000000001,-1.4386,0.2824,0.6145,0.4462,34.39,-16.68,-24.44
0.1616,-0.0052,8.2638,0.5097,-0.8290000000000001,-1.4386,0.2824,0.6145,0.4462,34.39,-17.39,-23.74
0.4896,0.1074,6.9194,0.9182,-0.8031,-2.6843,0.2547,0.0254,0.3514,34.39,-17.39,-23.74
0.4896,0.1074,6.9194,0.9182,-0.8031,-2.6843,0.2547,0.0254,0.3514,34.39,-17.39,-23.74
0.4896,0.1074,6.9194,0.9182,-0.8031,-2.6843,0.2547,0.0254,0.3514,34.39,-17.39,-23.74
0.5411,0.5778,7.9537,0.9182,-0.8031,-2.6843,0.2547,0.0254,0.3514,33.68,-16.68,-24.44
