ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
1.1707,-0.5606,8.7474,1.0012,-0.733,-0.9872,0.2312,0.2991,0.18100000000000002,37.24,-10.31,-25.13
1.1707,-0.5606,8.7474,1.0012,-0.733,-0.9872,0.1396,-0.0449,0.0158,37.24,-10.31,-25.13
-0.085,-0.66,8.6421,-0.5426,-0.9727,-1.0302,0.1396,-0.0449,0.0158,37.24,-10.31,-25.13
-0.085,-0.66,8.6421,-0.5426,-0.9727,-1.0302,0.1396,-0.0449,0.0158,37.24,-10.31,-25.13
0.3328,-0.2266,9.3531,-0.5426,-0.9727,-1.0302,0.015,-0.1589,-0.0651,35.82,-10.31,-26.52
0.3328,-0.2266,9.3531,-0.027000000000000003,-0.5055,-0.3521,0.015,-0.1589,-0.0651,35.82,-10.31,-26.52
0.3328,-0.2266,9.3531,-0.027000000000000003,-0.5055,-0.3521,0.015,-0.1589,-0.0651,35.82,-10.31,-26.52
-0.8464,-0.5498,9.589,-0.027000000000000003,-0.5055,-0.3521,0.22699999999999998,-0.0172,-0.1493,35.82,-10.31,-26.52
-0.8464,-0.5498,9.589,-1.2439,-0.8678,-0.4947,0.22699999999999998,-0.0172,-0.1493,36.53,-9.61,-25.82
-0.8464,-0.5498,9.589,-1.2439,-0.8678,-0.4947,0.22699999999999998,-0.0172,-0.1493,36.53,-9.61,-25.82
-0.2203,-0.4541,8.4577,-0.0865,-0.6264,-1.1203,0.292,-0.3613,-0.0854,36.53,-9.61,-25.82
-0.2203,-0.4541,8.4577,-0.0865,-0.6264,-1.1203,0.292,-0.3613,-0.0854,36.53,-9.61,-25.82
-0.2203,-0.4541,8.4577,-0.0865,-0.6264,-1.1203,0.292,-0.3613,-0.0854,36.53,-11.02,-27.21
-0.243,-0.3739,8.9593,-0.0865,-0.6264,-1.1203,0.0214,0.3045,-0.2931,36.53,-11.02,-27.21
-0.243,-0.3739,8.9593,-0.9907,-0.8002,-0.746,0.0214,0.3045,-0.2931,36.53,-11.02,-27.21
-1.6712,-0.5223,8.3955,-0.9907,-0.8002,-0.746,0.0214,0.3045,-0.2931,36.53,-8.19,-25.82
-1.6712,-0.5223,8.3955,-0.9907,-0.8002,-0.746,0.0214,0.3045,-0.2931,36.53,-8.19,-25.82
-1.6712,-0.5223,8.3955,-1.2374,-0.59,-0.2955,-0.1139,-0.2495,-0.0342,36.53,-8.19,-25.82
-1.6712,-0.5223,8.3955,-1.2374,-0.59,-0.2955,-0.1139,-0.2495,-0.0342,36.53,-8.19,-25.82
0.0419,-0.1871,9.5303,-0.7364,-0.6114,-0.6812,-0.1139,-0.2495,-0.0342,36.53,-8.19,-25.82
0.0419,-0.1871,9.5303,-0.7364,-0.6114,-0.6812,-0.0021,-0.8673,-0.2782,35.82,-8.9,-25.82
0.0419,-0.1871,9.5303,-0.7364,-0.6114,-0.6812,-0.0021,-0.8673,-0.2782,35.82,-8.9,-25.82
-1.0643,-0.7857,8.0172,-1.9529,-1.0734,-1.4752,-0.0021,-0.8673,-0.2782,35.82,-8.9,-25.82
-1.0643,-0.7857,8.0172,-1.9529,-1.0734,-1.4752,-0.6709999999999999,0.003,-0.1194,35.82,-8.9,-25.82
-0.6812,-0.7629,10.6687,-1.9529,-1.0734,-1.4752,-0.6709999999999999,0.003,-0.1194,35.82,-9.61,-27.9
-0.6812,-0.7629,10.6687,-1.9529,-1.0734,-1.4752,-0.6709999999999999,0.003,-0.1194,35.82,-9.61,-27.9
-0.6812,-0.7629,10.6687,-1.2324,-0.8198,1.5169,-0.6709999999999999,0.003,-0.1194,35.82,-9.61,-27.9
-0.8284,-0.7258,11.6588,-1.2324,-0.8198,1.5169,-0.3973,0.0371,-0.0811,35.82,-9.61,-27.9
-0.8284,-0.7258,11.6588,-1.7779,-0.743,1.1669,-0.3973,0.0371,-0.0811,35.82,-7.48,-28.6
-0.8284,-0.7258,11.6588,-1.7779,-0.743,1.1669,-0.3973,0.0371,-0.0811,35.82,-7.48,-28.6
-1.0283,-0.6743,9.832,-1.7779,-0.743,1.1669,0.0576,-0.5499,0.0308,35.82,-7.48,-28.6
-1.0283,-0.6743,9.832,-1.7779,-0.743,1.1669,0.0576,-0.5499,0.0308,35.82,-7.48,-28.6
-1.0283,-0.6743,9.832,-1.7193,-0.6428,-0.8901,0.0576,-0.5499,0.0308,35.82,-7.48,-27.9
-0.4106,-0.5187,9.0587,-1.7193,-0.6428,-0.8901,-0.3216,0.0701,0.1873,35.82,-7.48,-27.9
-0.4106,-0.5187,9.0587,-1.7193,-0.6428,-0.8901,-0.3216,0.0701,0.1873,35.82,-7.48,-27.9
-0.4106,-0.5187,9.0587,-0.762,-0.4393,-0.1919,-0.3216,0.0701,0.1873,35.82,-7.48,-27.9
0.16399999999999998,-0.4122,10.3419,-0.762,-0.4393,-0.1919,-0.3216,0.0701,0.1873,34.39,-8.9,-28.6
0.16399999999999998,-0.4122,10.3419,-0.762,-0.4393,-0.1919,-0.4516,0.2001,0.0947,34.39,-8.9,-28.6
-1.0583,-0.581,10.5598,-1.3151,-0.3753,0.8201,-0.4516,0.2001,0.0947,34.39,-8.9,-28.6
-1.0583,-0.581,10.5598,-1.3151,-0.3753,0.8201,-0.4516,0.2001,0.0947,34.39,-8.9,-28.6
-1.0583,-0.581,10.5598,-1.3151,-0.3753,0.8201,-0.4793,-0.0844,0.3312,34.39,-8.19,-27.9
-0.9840000000000001,-0.7941,10.1827,-2.0755,-0.4072,0.4589,-0.4793,-0.0844,0.3312,34.39,-8.19,-27.9
-0.9840000000000001,-0.7941,10.1827,-2.0755,-0.4072,0.4589,-0.4793,-0.0844,0.3312,34.39,-8.19,-27.9
-0.9840000000000001,-0.7941,10.1827,-2.0755,-0.4072,0.4589,-0.4793,-0.0844,0.3312,34.39,-8.19,-27.9
0.6225,-0.9509,11.2745,-0.1644,-0.4381,1.2727,-0.6455,0.3055,0.45899999999999996,35.1,-8.19,-27.9
