ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.7709,1.3332,7.2271,0.6147,0.0996,-2.4058,0.1535,-0.0801,0.0734,34.39,-16.68,-25.13
0.7709,1.3332,7.2271,0.6147,0.0996,-2.4058,0.1535,-0.0801,0.0734,34.39,-16.68,-25.13
1.0893,1.3823,7.1409,0.6147,0.0996,-2.4058,0.1535,-0.0801,0.0734,34.39,-16.68,-25.13
1.0893,1.3823,7.1409,0.6147,0.0996,-2.4058,0.1535,-0.0801,0.0734,34.39,-16.68,-25.13
1.0893,1.3823,7.1409,0.9373,-0.0048,-1.5177,-0.0574,0.3279,0.0989,34.39,-17.39,-25.13
1.2833,1.1955,8.994,0.9373,-0.0048,-1.5177,-0.0574,0.3279,0.0989,34.39,-17.39,-25.13
1.2833,1.1955,8.994,0.9373,-0.0048,-1.5177,-0.0574,0.3279,0.0989,34.39,-17.39,-25.13
1.2833,1.1955,8.994,1.379,0.0605,-1.3027,0.1897,-0.2761,-0.0289,34.39,-17.39,-24.44
1.5778,1.0962,7.3588,1.379,0.0605,-1.3027,0.1897,-0.2761,-0.0289,34.39,-17.39,-24.44
1.5778,1.0962,7.3588,1.379,0.0605,-1.3027,0.1897,-0.2761,-0.0289,34.39,-17.39,-24.44
1.5430000000000001,1.0255,7.7658,1.2992,-0.2284,-2.0585,-0.1586,-0.1589,-0.1312,34.39,-17.39,-24.44
1.5430000000000001,1.0255,7.7658,1.2992,-0.2284,-2.0585,-0.1586,-0.1589,-0.1312,34.39,-17.39,-24.44
1.5430000000000001,1.0255,7.7658,1.2992,-0.2284,-2.0585,-0.1586,-0.1589,-0.1312,36.53,-16.68,-25.13
0.7505,1.1165,9.2849,0.626,0.0031,-0.2135,-0.1395,0.0467,-0.1077,36.53,-16.68,-25.13
0.7505,1.1165,9.2849,0.626,0.0031,-0.2135,-0.1395,0.0467,-0.1077,36.53,-16.68,-25.13
0.7505,1.1165,9.2849,0.626,0.0031,-0.2135,-0.1395,0.0467,-0.1077,36.53,-16.68,-25.13
1.1264,0.5814,8.8264,0.5987,-0.4992,-0.3991,-0.1395,0.0467,-0.1077,35.1,-16.68,-24.44
1.1264,0.5814,8.8264,0.5987,-0.4992,-0.3991,0.0118,-0.0439,0.0254,35.1,-16.68,-24.44
1.1264,0.5814,8.8264,0.5987,-0.4992,-0.3991,0.0118,-0.0439,0.0254,35.1,-16.68,-24.44
1.8914,0.7490000000000001,8.3691,1.6334,-0.5135,-1.338,0.0118,-0.0439,0.0254,36.53,-17.39,-24.44
1.8914,0.7490000000000001,8.3691,1.6334,-0.5135,-1.338,-0.0777,-0.0226,-0.0896,36.53,-17.39,-24.44
1.8914,0.7490000000000001,8.3691,1.6334,-0.5135,-1.338,-0.0777,-0.0226,-0.0896,36.53,-17.39,-24.44
1.0869,0.5335,8.6516,0.8928,-0.594,-0.9316,-0.0777,-0.0226,-0.0896,36.53,-17.39,-24.44
1.0869,0.5335,8.6516,0.8928,-0.594,-0.9316,-0.0777,-0.0226,-0.0896,36.53,-17.39,-24.44
1.0869,0.5335,8.6516,0.8928,-0.594,-0.9316,-0.1086,-0.0119,-0.1173,35.1,-15.98,-22.35
0.8248,0.3695,9.1077,0.6293,-0.7569,-0.5107,-0.1086,-0.0119,-0.1173,35.1,-15.98,-22.35
0.8248,0.3695,9.1077,0.6293,-0.7569,-0.5107,-0.1086,-0.0119,-0.1173,35.1,-15.98,-22.35
1.7884,0.196,7.6389,0.6293,-0.7569,-0.5107,0.1077,0.1117,0.0094,35.1,-16.68,-23.74
1.7884,0.196,7.6389,1.8111,-0.9877,-2.1786,0.1077,0.1117,0.0094,35.1,-16.68,-23.74
1.7884,0.196,7.6389,1.8111,-0.9877,-2.1786,0.1077,0.1117,0.0094,35.1,-16.68,-23.74
1.3204,0.8053,7.6461,1.8111,-0.9877,-2.1786,-0.0234,-0.2303,-0.2739,35.1,-16.68,-23.74
1.3204,0.8053,7.6461,1.8111,-0.9877,-2.1786,-0.0234,-0.2303,-0.2739,34.39,-17.39,-25.13
1.3204,0.8053,7.6461,0.7706,-0.3487,-1.4169,-0.0234,-0.2303,-0.2739,34.39,-17.39,-25.13
0.5782,0.7394,8.6277,0.7706,-0.3487,-1.4169,-0.0351,-0.028999999999999998,-0.2217,34.39,-17.39,-25.13
0.5782,0.7394,8.6277,0.7706,-0.3487,-1.4169,-0.0351,-0.028999999999999998,-0.2217,34.39,-17.39,-25.13
0.5782,0.7394,8.6277,0.7706,-0.3487,-1.4169,-0.0351,-0.028999999999999998,-0.2217,34.39,-17.39,-25.13
0.8188,0.6473,8.0148,0.4902,-0.4846,-1.4901,-0.0351,-0.028999999999999998,-0.2217,34.39,-16.68,-24.44
0.8188,0.6473,8.0148,0.4902,-0.4846,-1.4901,-0.0298,-0.0854,-0.1844,34.39,-16.68,-24.44
1.4568,0.7011,8.836,0.4902,-0.4846,-1.4901,-0.0298,-0.0854,-0.1844,34.39,-16.68,-24.44
