ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
3.705,0.3121,7.7514,1.2182,0.0615,-0.8872,-0.0862,-0.389,-0.9653,35.1,-11.73,-27.21
0.5423,-0.6013,9.8703,1.2182,0.0615,-0.8872,-0.0862,-0.389,-0.9653,35.1,-11.73,-27.21
0.5423,-0.6013,9.8703,1.2182,0.0615,-0.8872,-0.0915,0.264,-1.1091,35.1,-10.31,-27.9
0.5423,-0.6013,9.8703,-1.1204,-0.4347,0.2035,-0.0915,0.264,-1.1091,35.1,-10.31,-27.9
-0.4669,-0.2685,8.7414,-1.1204,-0.4347,0.2035,-0.0915,0.264,-1.1091,35.1,-10.31,-27.9
-0.4669,-0.2685,8.7414,-1.1204,-0.4347,0.2035,-0.0436,-0.2665,-1.1027,35.1,-10.31,-27.9
-0.4669,-0.2685,8.7414,-1.6195,0.0124,-1.2615,-0.0436,-0.2665,-1.1027,35.1,-12.44,-26.52
-0.6405,0.1648,9.2047,-1.6195,0.0124,-1.2615,-0.0436,-0.2665,-1.1027,35.1,-12.44,-26.52
-0.6405,0.1648,9.2047,-1.6195,0.0124,-1.2615,-0.0436,-0.2665,-1.1027,35.1,-12.44,-26.52
-1.1564,-0.1261,9.5555,-2.1741,-0.075,-0.0894,-0.067,0.0925,-0.9621,35.1,-12.44,-26.52
-1.1564,-0.1261,9.5555,-2.1741,-0.075,-0.0894,-0.067,0.0925,-0.9621,35.1,-12.44,-26.52
-1.1564,-0.1261,9.5555,-2.1741,-0.075,-0.0894,-0.067,0.0925,-0.9621,34.39,-8.19,-27.9
-0.6117,-0.0878,8.4098,-1.7576,-0.2865,-1.2123,-0.0798,-0.0737,-0.7267,34.39,-8.19,-27.9
-0.6117,-0.0878,8.4098,-1.7576,-0.2865,-1.2123,-0.0798,-0.0737,-0.7267,34.39,-8.19,-27.9
-0.6117,-0.0878,8.4098,-1.7576,-0.2865,-1.2123,-0.0798,-0.0737,-0.7267,34.39,-8.19,-27.9
-0.1557,0.1098,9.0155,-1.256,0.0335,-0.6858,-0.2609,-0.1025,-0.6787,35.82,-8.19,-27.9
-0.1557,0.1098,9.0155,-1.256,0.0335,-0.6858,-0.2609,-0.1025,-0.6787,35.82,-8.19,-27.9
-0.1557,0.1098,9.0155,-1.256,0.0335,-0.6858,-0.2609,-0.1025,-0.6787,35.82,-8.19,-27.9
-0.4633,0.2223,9.7171,-1.9655,0.3473,-0.0866,-0.2705,-0.1206,-0.8705,35.82,-8.19,-27.9
-0.4633,0.2223,9.7171,-1.9655,0.3473,-0.0866,-0.2705,-0.1206,-0.8705,35.82,-6.07,-27.9
-0.4633,0.2223,9.7171,-1.9655,0.3473,-0.0866,-0.2705,-0.1206,-0.8705,35.82,-6.07,-27.9
-0.6776,0.2534,8.7594,-1.489,0.2486,-0.8178,-0.3493,0.1926,-0.5519,35.82,-6.07,-27.9
-0.6776,0.2534,8.7594,-1.489,0.2486,-0.8178,-0.3493,0.1926,-0.5519,35.82,-6.07,-27.9
-0.6776,0.2534,8.7594,-1.489,0.2486,-0.8178,-0.3493,0.1926,-0.5519,36.53,-4.65,-28.6
0.5494,-0.1069,11.3487,-0.5149,-0.0315,1.4971,-0.0468,0.1873,-0.6595,36.53,-4.65,-28.6
0.5494,-0.1069,11.3487,-0.5149,-0.0315,1.4971,-0.0468,0.1873,-0.6595,36.53,-4.65,-28.6
-0.8931,-0.0578,8.4673,-0.5149,-0.0315,1.4971,-0.0468,0.1873,-0.6595,36.53,-4.65,-28.6
-0.8931,-0.0578,8.4673,-1.939,-0.0539,-1.1056,-0.3397,0.2608,-0.6883,37.24,-3.94,-27.21
-0.8931,-0.0578,8.4673,-1.939,-0.0539,-1.1056,-0.3397,0.2608,-0.6883,37.24,-3.94,-27.21
-0.9146,-0.2051,10.4245,-1.939,-0.0539,-1.1056,-0.3397,0.2608,-0.6883,37.24,-3.94,-27.21
-0.9146,-0.2051,10.4245,-1.7156,-0.1033,1.4174,-0.3397,0.2608,-0.6883,37.24,-3.94,-27.21
-0.9146,-0.2051,10.4245,-1.7156,-0.1033,1.4174,-0.2652,0.3567,-0.6808,37.95,-3.94,-26.52
-0.9146,-0.2051,10.4245,-1.7156,-0.1033,1.4174,-0.2652,0.3567,-0.6808,37.95,-3.94,-26.52
-1.6197,-0.6612,10.3168,-2.4875,-0.4931,0.3111,-0.2652,0.3567,-0.6808,37.95,-3.94,-26.52
-1.6197,-0.6612,10.3168,-2.4875,-0.4931,0.3111,-0.1917,0.3023,-0.667,37.95,-3.94,-26.52
-2.3835,-0.6743,9.9409,-2.4875,-0.4931,0.3111,-0.1917,0.3023,-0.667,37.24,-2.53,-25.82
-2.3835,-0.6743,9.9409,-3.1442,-0.3209,0.3048,-0.1917,0.3023,-0.667,37.24,-2.53,-25.82
-2.3835,-0.6743,9.9409,-3.1442,-0.3209,0.3048,-0.1725,0.3418,-0.47100000000000003,37.24,-2.53,-25.82
-2.806,-1.4225,9.4453,-3.1442,-0.3209,0.3048,-0.1725,0.3418,-0.47100000000000003,37.24,-2.53,-25.82
-2.806,-1.4225,9.4453,-2.9297,-1.369,-0.2354,-0.1725,0.3418,-0.47100000000000003,37.24,-1.11,-27.21
-2.806,-1.4225,9.4453,-2.9297,-1.369,-0.2354,-0.1981,0.0019,-0.3059,37.24,-1.11,-27.21
-2.1764,-1.3052,11.2709,-2.9297,-1.369,-0.2354,-0.1981,0.0019,-0.3059,37.24,-1.11,-27.21
-2.1764,-1.3052,11.2709,-2.7203,-0.6505,1.2912,-0.1981,0.0019,-0.3059,37.24,-1.11,-27.21
-2.1764,-1.3052,11.2709,-2.7203,-0.6505,1.2912,0.1865,-0.2388,-0.2089,37.24,-1.11,-26.52
-2.2171,-0.9545,9.3005,-2.7203,-0.6505,1.2912,0.1865,-0.2388,-0.2089,37.24,-1.11,-26.52
-2.2171,-0.9545,9.3005,-2.7065,-0.6162,-0.4593,0.1865,-0.2388,-0.2089,37.24,-1.11,-26.52
-2.2171,-0.9545,9.3005,-2.7065,-0.6162,-0.4593,0.0235,-0.0939,-0.1248,37.24,-1.11,-26.52
-1.9202,-0.5355,10.0534,-2.7065,-0.6162,-0.4593,0.0235,-0.0939,-0.1248,37.95,-0.4,-27.9
-1.9202,-0.5355,10.0534,-2.4395,-0.1613,0.4137,0.0235,-0.0939,-0.1248,37.95,-0.4,-27.9
-1.9202,-0.5355,10.0534,-2.4395,-0.1613,0.4137,0.1258,-0.095,-0.0907,37.95,-0.4,-27.9
-2.1261,-0.5965,10.2306,-2.4395,-0.1613,0.4137,0.1258,-0.095,-0.0907,37.95,-0.4,-27.9
-2.1261,-0.5965,10.2306,-2.4395,-0.1613,0.4137,0.1258,-0.095,-0.0907,37.95,-0.4,-27.9
-2.1883,-0.8611,9.8643,-2.9075,-0.6004,-0.038,0.1258,-0.095,-0.0907,36.53,-0.4,-27.21
-2.1883,-0.8611,9.8643,-2.9075,-0.6004,-0.038,0.0629,0.0967,0.1437,36.53,-0.4,-27.21
-2.1883,-0.8611,9.8643,-2.9075,-0.6004,-0.038,0.0629,0.0967,0.1437,36.53,-0.4,-27.21
-1.2199,-0.3224,10.7334,-1.774,-0.1236,1.09,0.0629,0.0967,0.1437,37.24,-0.4,-27.21
-1.2199,-0.3224,10.7334,-1.774,-0.1236,1.09,0.22699999999999998,0.1724,0.1384,37.24,-0.4,-27.21
-1.2199,-0.3224,10.7334,-1.774,-0.1236,1.09,0.22699999999999998,0.1724,0.1384,37.24,-0.4,-27.21
-1.3815,-0.3451,9.4321,-1.6591,-0.0606,-0.0716,0.22699999999999998,0.1724,0.1384,37.24,-0.4,-27.21
-1.3815,-0.3451,9.4321,-1.6591,-0.0606,-0.0716,0.2376,0.0243,0.0084,36.53,-1.11,-26.52
-2.3487,-0.6935,8.4242,-1.6591,-0.0606,-0.0716,0.2376,0.0243,0.0084,36.53,-1.11,-26.52
-2.3487,-0.6935,8.4242,-2.6212,-0.5132,-1.3038,0.2376,0.0243,0.0084,36.53,-1.11,-26.52
-2.3487,-0.6935,8.4242,-2.6212,-0.5132,-1.3038,-0.1491,0.2917,0.3013,36.53,-1.11,-26.52
-1.5658,-0.8407,10.2402,-2.6212,-0.5132,-1.3038,-0.1491,0.2917,0.3013,35.82,-1.11,-25.82
-1.5658,-0.8407,10.2402,-1.7138,-0.6351,0.5947,-0.1491,0.2917,0.3013,35.82,-1.11,-25.82
-1.5658,-0.8407,10.2402,-1.7138,-0.6351,0.5947,0.129,0.4312,0.3003,35.82,-1.11,-25.82
-0.8464,-0.6707,10.238999999999999,-1.7138,-0.6351,0.5947,0.129,0.4312,0.3003,35.82,-1.11,-25.82
-0.8464,-0.6707,10.238999999999999,-0.9347,-0.4529,0.4167,0.129,0.4312,0.3003,35.82,-3.23,-24.44
-0.8464,-0.6707,10.238999999999999,-0.9347,-0.4529,0.4167,0.4805,0.2097,0.0787,35.82,-3.23,-24.44
-2.5056,-0.4565,7.6904,-0.9347,-0.4529,0.4167,0.4805,0.2097,0.0787,35.82,-3.23,-24.44
-2.5056,-0.4565,7.6904,-2.5803,-0.3519,-2.3411,0.4805,0.2097,0.0787,35.82,-3.23,-24.44
-2.5056,-0.4565,7.6904,-2.5803,-0.3519,-2.3411,0.1865,0.4504,0.2278,37.95,-2.53,-25.82
-2.4948,-0.5307,6.6094,-2.5803,-0.3519,-2.3411,0.1865,0.4504,0.2278,37.95,-2.53,-25.82
