ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-7.2576,-0.6869,5.7836,-4.7827,-4.5119,-3.4166,0.7052,0.3809,1.9028,1.46,29.27,-26.93
-4.4683,-0.511,3.8036,-2.3155,-4.5677,-5.0779,0.7052,0.3809,1.9028,1.46,29.27,-26.93
-4.4683,-0.511,3.8036,-2.3155,-4.5677,-5.0779,0.8511,0.2137,2.1403,5.54,22.9,-27.82
-2.0717,-1.1514,0.1297,-2.3155,-4.5677,-5.0779,0.8511,0.2137,2.1403,5.54,22.9,-27.82
-2.0717,-1.1514,0.1297,0.2829,-5.7092,-9.1818,0.8511,0.2137,2.1403,5.54,22.9,-27.82
-2.0717,-1.1514,0.1297,0.2829,-5.7092,-9.1818,0.8511,0.2137,2.1403,5.54,22.9,-27.82
0.1788,-1.2759,-3.555,0.2829,-5.7092,-9.1818,0.6157,-0.9539,2.2287,9.61,24.16,-29.23
0.1788,-1.2759,-3.555,2.4446,-6.0041,-12.6052,0.6157,-0.9539,2.2287,9.61,24.16,-29.23
3.7857,-0.736,-3.2809,2.4446,-6.0041,-12.6052,0.6157,-0.9539,2.2287,9.61,24.16,-29.23
3.7857,-0.736,-3.2809,2.4446,-6.0041,-12.6052,-1.1281,-1.3171,2.6261,9.61,24.16,-29.23
3.7857,-0.736,-3.2809,6.4367,-4.5473,-10.6128,-1.1281,-1.3171,2.6261,8.08,20.95,-27.19
8.4256,1.0249,0.6791,6.4367,-4.5473,-10.6128,-1.1281,-1.3171,2.6261,8.08,20.95,-27.19
8.4256,1.0249,0.6791,6.4367,-4.5473,-10.6128,-2.5982,-0.6694,2.4908,8.08,20.95,-27.19
8.4256,1.0249,0.6791,10.7077,-1.9305,-5.4261,-2.5982,-0.6694,2.4908,8.08,20.95,-27.19
11.5046,2.8553,6.1786,10.7077,-1.9305,-5.4261,-2.5982,-0.6694,2.4908,9.03,28.12,-19.7
11.5046,2.8553,6.1786,10.7077,-1.9305,-5.4261,-2.5982,-0.6694,2.4908,9.03,28.12,-19.7
13.5193,5.2052,11.1071,12.0479,0.7867,0.0204,-2.5918,-0.6705,1.483,9.03,28.12,-19.7
13.5193,5.2052,11.1071,12.0479,0.7867,0.0204,-2.5918,-0.6705,1.483,9.03,28.12,-19.7
13.5193,5.2052,11.1071,12.0479,0.7867,0.0204,-2.5918,-0.6705,1.483,10.61,30.07,-16.8
14.1598,7.1349,14.2255,13.6365,4.1165,4.1833,-1.7769,-0.7824,-0.0275,10.61,30.07,-16.8
14.1598,7.1349,14.2255,13.6365,4.1165,4.1833,-1.7769,-0.7824,-0.0275,10.61,30.07,-16.8
14.1598,7.1349,14.2255,13.6365,4.1165,4.1833,-1.7769,-0.7824,-0.0275,10.61,30.07,-16.8
12.8286,8.4852,17.0591,12.0373,6.1675,7.1174,-1.4552,-0.5342,-1.2068,11.36,32.01,-14.61
12.8286,8.4852,17.0591,12.0373,6.1675,7.1174,-1.4552,-0.5342,-1.2068,11.36,32.01,-14.61
12.8286,8.4852,17.0591,12.0373,6.1675,7.1174,-1.4552,-0.5342,-1.2068,11.36,32.01,-14.61
10.1219,6.9985,21.2525,9.1351,5.1961,11.3719,-1.4552,-0.5342,-1.2068,11.36,32.01,-14.61
10.1219,6.9985,21.2525,9.1351,5.1961,11.3719,-1.0099,-0.7472,-2.5735,9.67,33.35,-9.58
5.8591,4.1673,25.6255,9.1351,5.1961,11.3719,-1.0099,-0.7472,-2.5735,9.67,33.35,-9.58
