ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.18600000000000003,0.6359,9.6215,0.7753,2.6721,3.2168,-3.5718,-0.8079,0.7927,7.02,33.04,-11.61
0.6613,2.3717,17.2961,0.7753,2.6721,3.2168,-3.5718,-0.8079,0.7927,7.02,33.04,-11.61
0.6613,2.3717,17.2961,0.7753,2.6721,3.2168,-3.4962,0.0645,0.4689,7.02,33.04,-11.61
0.6613,2.3717,17.2961,-0.0252,5.5568,12.532,-3.4962,0.0645,0.4689,9.63,29.17,-6.78
0.0902,3.3341,25.4615,-0.0252,5.5568,12.532,-3.4962,0.0645,0.4689,9.63,29.17,-6.78
0.0902,3.3341,25.4615,-0.0252,5.5568,12.532,-1.8227,0.4619,0.4093,9.63,29.17,-6.78
0.7415,2.1825,33.2977,0.42,5.8009,21.684,-1.8227,0.4619,0.4093,9.63,29.17,-6.78
0.7415,2.1825,33.2977,0.42,5.8009,21.684,-1.8227,0.4619,0.4093,8.79,29.84,-5.33
0.7415,2.1825,33.2977,0.42,5.8009,21.684,1.0173,-0.0772,-0.0541,8.79,29.84,-5.33
1.2502,-0.5876,33.8843,1.3142,3.1694,24.6425,1.0173,-0.0772,-0.0541,8.79,29.84,-5.33
1.2502,-0.5876,33.8843,1.3142,3.1694,24.6425,1.0173,-0.0772,-0.0541,9.61,29.84,-3.92
1.2502,-0.5876,33.8843,1.3142,3.1694,24.6425,3.7977,-0.3232,-0.7285,9.61,29.84,-3.92
0.0388,-2.734,28.8649,0.1097,-0.8422,19.1079,3.7977,-0.3232,-0.7285,9.61,29.84,-3.92
0.0388,-2.734,28.8649,0.1097,-0.8422,19.1079,3.7977,-0.3232,-0.7285,9.61,29.84,-3.92
0.0388,-2.734,28.8649,0.1097,-0.8422,19.1079,4.8704,0.2243,-0.6933,9.61,29.84,-3.92
-0.8423,-4.1968,21.7146,-0.927,-4.0309,10.9421,4.8704,0.2243,-0.6933,4.57,32.42,-8.77
-0.8423,-4.1968,21.7146,-0.927,-4.0309,10.9421,4.8704,0.2243,-0.6933,4.57,32.42,-8.77
-0.3635,-4.2794,15.455,-0.927,-4.0309,10.9421,4.6871,0.6802,-0.2161,4.57,32.42,-8.77
