ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-9.4219,-1.8230000000000002,5.9021,-5.6533,-4.1547,-1.7662,2.4192,0.7133,-0.4046,-2.05,33.43,-29.36
-9.787,-2.1630000000000003,4.8055,-6.2805,-5.3446,-4.1024,1.681,0.4565,0.5488,-2.75,30.18,-33.72
-9.787,-2.1630000000000003,4.8055,-6.2805,-5.3446,-4.1024,1.681,0.4565,0.5488,-2.75,30.18,-33.72
-9.787,-2.1630000000000003,4.8055,-5.5741,-6.1983,-4.9965,1.681,0.4565,0.5488,-2.75,30.18,-33.72
-8.888,-2.5305,3.6276,-5.5741,-6.1983,-4.9965,1.3763,0.0677,1.369,-2.75,30.18,-33.72
-8.888,-2.5305,3.6276,-5.5741,-6.1983,-4.9965,1.3763,0.0677,1.369,-0.26,29.51,-34.48
-7.5233,-2.1462,2.9788,-4.2976,-6.3064,-5.6912,1.3763,0.0677,1.369,-0.26,29.51,-34.48
-7.5233,-2.1462,2.9788,-4.2976,-6.3064,-5.6912,0.9715,-0.1805,1.9187,-0.26,29.51,-34.48
-7.5233,-2.1462,2.9788,-4.2976,-6.3064,-5.6912,0.9715,-0.1805,1.9187,-0.26,29.51,-34.48
-6.1814,-1.8517,2.8638,-2.898,-6.2953,-5.6457,0.9715,-0.1805,1.9187,-1.84,27.58,-33.82
-6.1814,-1.8517,2.8638,-2.898,-6.2953,-5.6457,0.9715,-0.1805,1.9187,-1.84,27.58,-33.82
-6.1814,-1.8517,2.8638,-2.898,-6.2953,-5.6457,0.653,-0.2338,2.2788,-1.84,27.58,-33.82
-4.2948,-1.7955,2.6005,-2.898,-6.2953,-5.6457,0.653,-0.2338,2.2788,-1.84,27.58,-33.82
-4.2948,-1.7955,2.6005,-1.4956,-6.4919,-5.9472,0.653,-0.2338,2.2788,3.2,24.95,-36.07
-4.2948,-1.7955,2.6005,-1.4956,-6.4919,-5.9472,0.4676,-0.3424,2.5206,3.2,24.95,-36.07
-3.3873,-0.9934,2.063,-1.4956,-6.4919,-5.9472,0.4676,-0.3424,2.5206,3.2,24.95,-36.07
-3.3873,-0.9934,2.063,-1.0967,-5.8805,-6.3085,0.4676,-0.3424,2.5206,3.25,23.66,-35.4
-3.3873,-0.9934,2.063,-1.0967,-5.8805,-6.3085,0.1204,-0.2732,2.9126,3.25,23.66,-35.4
-2.0071,-0.3769,2.0486,-1.0967,-5.8805,-6.3085,0.1204,-0.2732,2.9126,3.25,23.66,-35.4
-2.0071,-0.3769,2.0486,0.2037,-5.4625,-6.3503,0.1204,-0.2732,2.9126,3.25,23.66,-35.4
-2.0071,-0.3769,2.0486,0.2037,-5.4625,-6.3503,0.1204,-0.2732,2.9126,3.25,23.66,-35.4
0.2207,0.0014,1.5542,0.2037,-5.4625,-6.3503,-0.2493,-0.2497,3.1907,7.92,25.17,-34.14
0.2207,0.0014,1.5542,2.137,-5.2033,-6.7407,-0.2493,-0.2497,3.1907,7.92,25.17,-34.14
2.6987,0.0577,2.154,2.137,-5.2033,-6.7407,-0.2493,-0.2497,3.1907,7.92,25.17,-34.14
2.6987,0.0577,2.154,2.137,-5.2033,-6.7407,-0.9076,-0.057999999999999996,3.2301,6.43,29.77,-30.81
2.6987,0.0577,2.154,4.086,-5.0544,-5.7385,-0.9076,-0.057999999999999996,3.2301,6.43,29.77,-30.81
4.5698,-0.1099,3.1559,4.086,-5.0544,-5.7385,-0.9076,-0.057999999999999996,3.2301,6.43,29.77,-30.81
4.5698,-0.1099,3.1559,5.1372,-4.8816,-5.2674,-1.2826,0.2776,2.9147,6.43,29.77,-30.81
4.5698,-0.1099,3.1559,5.1372,-4.8816,-5.2674,-1.2826,0.2776,2.9147,9.7,30.42,-27.97
5.0199,-0.0357,3.4539999999999997,5.1372,-4.8816,-5.2674,-1.2826,0.2776,2.9147,9.7,30.42,-27.97
5.0199,-0.0357,3.4539999999999997,5.1372,-4.8816,-5.2674,-1.2826,0.2776,2.9147,9.7,30.42,-27.97
5.0199,-0.0357,3.4539999999999997,5.4336,-4.7226,-4.9092,-1.7566,0.0645,2.5611,9.7,30.42,-27.97
6.551,-0.4858,4.2884,5.4336,-4.7226,-4.9092,-1.7566,0.0645,2.5611,9.7,30.42,-27.97
6.551,-0.4858,4.2884,5.4336,-4.7226,-4.9092,-1.7566,0.0645,2.5611,9.61,33.0,-27.17
6.551,-0.4858,4.2884,6.8804,-4.4717,-3.6195,-2.4352,0.6302,2.2809,9.61,33.0,-27.17
7.5817,-0.5732,6.187,6.8804,-4.4717,-3.6195,-2.4352,0.6302,2.2809,9.61,33.0,-27.17
7.5817,-0.5732,6.187,6.8804,-4.4717,-3.6195,-2.4352,0.6302,2.2809,12.78,36.24,-24.25
7.8702,0.1175,8.8673,7.2589,-3.0119,-1.0525,-2.8272,0.7932,1.858,12.78,36.24,-24.25
7.8702,0.1175,8.8673,7.2589,-3.0119,-1.0525,-2.8272,0.7932,1.858,12.78,36.24,-24.25
7.8702,0.1175,8.8673,7.2589,-3.0119,-1.0525,-2.8272,0.7932,1.858,12.78,36.24,-24.25
9.3115,-0.1925,10.4355,8.3777,-2.417,0.8571,-2.7015,0.3042,1.3712,12.78,36.24,-24.25
9.3115,-0.1925,10.4355,8.3777,-2.417,0.8571,-2.7015,0.3042,1.3712,16.06,36.9,-18.56
9.3115,-0.1925,10.4355,9.6142,-0.9472,1.8503,-2.7015,0.3042,1.3712,16.06,36.9,-18.56
10.1387,0.4467,11.5907,9.6142,-0.9472,1.8503,-2.8091,0.7719,0.5072,16.06,36.9,-18.56
10.1387,0.4467,11.5907,9.6142,-0.9472,1.8503,-2.8091,0.7719,0.5072,18.55,36.26,-15.05
10.1387,0.4467,11.5907,9.6142,-0.9472,1.8503,-2.8091,0.7719,0.5072,18.55,36.26,-15.05
8.9584,-0.1925,11.2364,8.5477,-0.715,1.5617,-2.8634,1.248,-0.721,18.55,36.26,-15.05
8.9584,-0.1925,11.2364,8.5477,-0.715,1.5617,-2.8634,1.248,-0.721,18.55,36.26,-15.05
8.4101,-1.6985,13.0811,8.5477,-0.715,1.5617,-2.8634,1.248,-0.721,16.79,39.54,-9.95
