ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
3.5862879999999997,-1.624299,9.859116,2.602593,-0.878832,-0.495867,0.570487,-0.18523,-0.963858,-8.9178,-26.2349,-25.346999999999998
3.042509,-2.175264,7.897202,2.602593,-0.878832,-0.495867,0.570487,-0.18523,-0.963858,-8.9178,-26.2349,-25.346999999999998
3.042509,-2.175264,7.897202,1.8584150000000002,-1.630729,-2.4005080000000003,0.372397,-0.13624,-1.144908,-8.2448,-26.9002,-25.3305
3.042509,-2.175264,7.897202,1.8584150000000002,-1.630729,-2.4005080000000003,0.372397,-0.13624,-1.144908,-8.2448,-26.9002,-25.3305
3.042509,-2.175264,7.897202,1.8584150000000002,-1.630729,-2.4005080000000003,0.372397,-0.13624,-1.144908,-8.2448,-26.9002,-25.3305
2.2495990000000003,-2.3740900000000003,7.288745,1.112293,-1.8948650000000002,-2.893686,0.28187199999999996,-0.011635,-1.100178,-7.5942,-27.3521,-24.7755
2.2495990000000003,-2.3740900000000003,7.288745,1.112293,-1.8948650000000002,-2.893686,0.28187199999999996,-0.011635,-1.100178,-7.5942,-27.3521,-24.7755
2.2495990000000003,-2.3740900000000003,7.288745,1.112293,-1.8948650000000002,-2.893686,0.28187199999999996,-0.011635,-1.100178,-7.5942,-27.3521,-24.7755
2.228039,-1.844685,6.790481,1.050494,-1.570079,-3.40372,0.265897,-0.094705,-1.217328,-6.0166,-27.9045,-24.0954
2.228039,-1.844685,6.790481,1.050494,-1.570079,-3.40372,0.265897,-0.094705,-1.217328,-6.0166,-27.9045,-24.0954
1.8471549999999999,-1.535665,6.138905,1.050494,-1.570079,-3.40372,0.265897,-0.094705,-1.217328,-6.0166,-27.9045,-24.0954
1.8471549999999999,-1.535665,6.138905,0.579765,-1.3247120000000001,-3.9912989999999997,0.264832,-0.23954499999999998,-1.335543,-6.0166,-27.9045,-24.0954
1.8471549999999999,-1.535665,6.138905,0.579765,-1.3247120000000001,-3.9912989999999997,0.264832,-0.23954499999999998,-1.335543,-5.2105,-27.9546,-23.4297
1.598023,-1.705746,5.832281,0.579765,-1.3247120000000001,-3.9912989999999997,0.264832,-0.23954499999999998,-1.335543,-5.2105,-27.9546,-23.4297
1.598023,-1.705746,5.832281,0.05210599999999999,-1.737166,-4.32391,0.264832,-0.23954499999999998,-1.335543,-5.2105,-27.9546,-23.4297
1.15246,-1.9429,5.722087999999999,0.05210599999999999,-1.737166,-4.32391,0.101887,-0.38119000000000003,-1.448433,-3.8328,-28.6178,-22.9236
1.15246,-1.9429,5.722087999999999,0.05210599999999999,-1.737166,-4.32391,0.101887,-0.38119000000000003,-1.448433,-3.8328,-28.6178,-22.9236
1.15246,-1.9429,5.722087999999999,0.05210599999999999,-1.737166,-4.32391,0.101887,-0.38119000000000003,-1.448433,-3.8328,-28.6178,-22.9236
0.7835529999999999,-2.105794,6.194001,-0.688902,-2.062726,-4.080675,-0.030173000000000002,-0.48982,-1.421808,-1.7878,-29.5591,-23.0273
0.7835529999999999,-2.105794,6.194001,-0.688902,-2.062726,-4.080675,-0.030173000000000002,-0.48982,-1.421808,-1.7878,-29.5591,-23.0273
0.7835529999999999,-2.105794,6.194001,-0.688902,-2.062726,-4.080675,-0.030173000000000002,-0.48982,-1.421808,-1.7878,-29.5591,-23.0273
0.548794,-1.621903,6.934211,-1.049331,-1.8595689999999998,-3.137033,-0.27405799999999997,-0.409945,-1.2120030000000002,-1.7878,-29.5591,-23.0273
0.548794,-1.621903,6.934211,-1.049331,-1.8595689999999998,-3.137033,-0.27405799999999997,-0.409945,-1.2120030000000002,0.0451,-29.7428,-23.6296
0.548794,-1.621903,6.934211,-1.049331,-1.8595689999999998,-3.137033,-0.27405799999999997,-0.409945,-1.2120030000000002,0.0451,-29.7428,-23.6296
-0.10996900000000001,-0.8936709999999999,7.410914999999999,-1.049331,-1.8595689999999998,-3.137033,-0.360323,-0.11707000000000001,-1.0671629999999999,0.0451,-29.7428,-23.6296
-0.10996900000000001,-0.8936709999999999,7.410914999999999,-1.59778,-0.784989,-2.65535,-0.360323,-0.11707000000000001,-1.0671629999999999,0.0451,-29.7428,-23.6296
-0.10996900000000001,-0.8936709999999999,7.410914999999999,-1.59778,-0.784989,-2.65535,-0.360323,-0.11707000000000001,-1.0671629999999999,0.8241,-29.3377,-23.8239
-0.816641,-0.9343950000000001,6.649146000000001,-2.4925580000000003,-0.777046,-3.120034,-0.517943,-0.35030500000000003,-1.093788,0.8241,-29.3377,-23.8239
-0.816641,-0.9343950000000001,6.649146000000001,-2.4925580000000003,-0.777046,-3.120034,-0.517943,-0.35030500000000003,-1.093788,0.8241,-29.3377,-23.8239
-0.816641,-0.9343950000000001,6.649146000000001,-2.4925580000000003,-0.777046,-3.120034,-0.517943,-0.35030500000000003,-1.093788,2.45,-29.0739,-24.1254
-1.274182,-1.303302,6.4670879999999995,-2.4925580000000003,-0.777046,-3.120034,-0.792713,-0.778435,-1.171533,2.45,-29.0739,-24.1254
-1.274182,-1.303302,6.4670879999999995,-3.156057,-0.980798,-3.4443900000000003,-0.792713,-0.778435,-1.171533,2.45,-29.0739,-24.1254
-1.274182,-1.303302,6.4670879999999995,-3.156057,-0.980798,-3.4443900000000003,-0.792713,-0.778435,-1.171533,2.45,-29.0739,-24.1254
-1.274182,-1.303302,6.4670879999999995,-3.156057,-0.980798,-3.4443900000000003,-0.792713,-0.778435,-1.171533,3.3253,-28.4181,-25.2722
-1.616738,-1.7440740000000001,7.485175999999999,-3.6655519999999995,-1.265211,-2.634507,-0.8992129999999999,-0.6378550000000001,-1.114023,3.3253,-28.4181,-25.2722
-1.616738,-1.7440740000000001,7.485175999999999,-3.6655519999999995,-1.265211,-2.634507,-0.8992129999999999,-0.6378550000000001,-1.114023,3.3253,-28.4181,-25.2722
-2.112607,-2.750184,8.2709,-4.2318489999999995,-1.997312,-1.532376,-0.8992129999999999,-0.6378550000000001,-1.114023,4.152,-27.1128,-25.9655
-2.112607,-2.750184,8.2709,-4.2318489999999995,-1.997312,-1.532376,-0.8438329999999999,0.024575,-0.6954779999999999,4.152,-27.1128,-25.9655
-2.112607,-2.750184,8.2709,-4.2318489999999995,-1.997312,-1.532376,-0.8438329999999999,0.024575,-0.6954779999999999,4.152,-27.1128,-25.9655
-2.953427,-3.2125150000000002,8.675739,-5.019843,-2.307566,-1.119197,-0.8438329999999999,0.024575,-0.6954779999999999,4.6253,-26.4604,-26.6893
-2.953427,-3.2125150000000002,8.675739,-5.019843,-2.307566,-1.119197,-0.726683,0.02351,-0.282258,4.6253,-26.4604,-26.6893
-2.953427,-3.2125150000000002,8.675739,-5.019843,-2.307566,-1.119197,-0.726683,0.02351,-0.282258,4.6253,-26.4604,-26.6893
-2.953427,-3.2125150000000002,8.675739,-5.019843,-2.307566,-1.119197,-0.726683,0.02351,-0.282258,4.6253,-26.4604,-26.6893
-3.157045,-3.313126,8.960803,-5.20863,-2.125841,-0.868922,-0.673433,0.048005,0.051087,5.7056,-26.0835,-27.945999999999998
-3.157045,-3.313126,8.960803,-5.20863,-2.125841,-0.868922,-0.673433,0.048005,0.051087,5.7056,-26.0835,-27.945999999999998
-3.3103569999999998,-3.14065,9.562074,-5.20863,-2.125841,-0.868922,-0.673433,0.048005,0.051087,5.7056,-26.0835,-27.945999999999998
-3.3103569999999998,-3.14065,9.562074,-5.2045069999999996,-1.7460669999999998,-0.147805,-0.663848,0.18539,0.40679699999999996,7.0425,-25.3119,-28.5488
-3.3103569999999998,-3.14065,9.562074,-5.2045069999999996,-1.7460669999999998,-0.147805,-0.663848,0.18539,0.40679699999999996,7.0425,-25.3119,-28.5488
-3.554698,-2.937033,9.607589,-5.2045069999999996,-1.7460669999999998,-0.147805,-0.663848,0.18539,0.40679699999999996,7.0425,-25.3119,-28.5488
-3.554698,-2.937033,9.607589,-5.447278,-1.3247149999999999,-0.089657,-0.7490479999999999,0.19284500000000002,0.789132,7.0425,-25.3119,-28.5488
-3.554698,-2.937033,9.607589,-5.447278,-1.3247149999999999,-0.089657,-0.7490479999999999,0.19284500000000002,0.789132,6.2303,-24.8298,-29.4735
-3.3055660000000002,-2.520216,10.105852,-5.447278,-1.3247149999999999,-0.089657,-0.7490479999999999,0.19284500000000002,0.789132,6.2303,-24.8298,-29.4735
-3.3055660000000002,-2.520216,10.105852,-4.809325,-0.463693,0.685133,-0.7490479999999999,0.19284500000000002,0.789132,6.2303,-24.8298,-29.4735
-3.3055660000000002,-2.520216,10.105852,-4.809325,-0.463693,0.685133,-0.8459629999999999,0.11936,1.130997,5.3151,-24.1569,-30.0924
-2.5150509999999997,-2.407627,10.539438,-4.809325,-0.463693,0.685133,-0.8459629999999999,0.11936,1.130997,5.3151,-24.1569,-30.0924
-2.5150509999999997,-2.407627,10.539438,-4.057726000000001,-0.292836,1.238787,-0.8459629999999999,0.11936,1.130997,5.3151,-24.1569,-30.0924
-2.936659,-2.8196529999999997,11.102381,-4.057726000000001,-0.292836,1.238787,-1.014233,-0.12133,1.257732,5.3151,-24.1569,-30.0924
-2.936659,-2.8196529999999997,11.102381,-4.057726000000001,-0.292836,1.238787,-1.014233,-0.12133,1.257732,4.3382,-23.3973,-30.9456
-2.936659,-2.8196529999999997,11.102381,-4.912736,-0.709313,1.3587799999999999,-1.014233,-0.12133,1.257732,4.3382,-23.3973,-30.9456
-3.056434,-3.631728,11.344325999999999,-4.912736,-0.709313,1.3587799999999999,-1.186763,-0.480235,1.306722,4.3382,-23.3973,-30.9456
-3.056434,-3.631728,11.344325999999999,-4.912736,-0.709313,1.3587799999999999,-1.186763,-0.480235,1.306722,3.22,-22.5946,-31.5876
-3.056434,-3.631728,11.344325999999999,-4.150539,-1.07765,2.7991040000000003,-1.186763,-0.480235,1.306722,3.22,-22.5946,-31.5876
-2.388089,-4.5659730000000005,12.441464999999999,-4.150539,-1.07765,2.7991040000000003,-0.9407479999999999,-0.6261399999999999,1.454757,3.22,-22.5946,-31.5876
-2.388089,-4.5659730000000005,12.441464999999999,-4.150539,-1.07765,2.7991040000000003,-0.9407479999999999,-0.6261399999999999,1.454757,2.3843,-21.8493,-32.1877
-2.388089,-4.5659730000000005,12.441464999999999,-3.490553,-1.998564,3.105841,-0.9407479999999999,-0.6261399999999999,1.454757,2.3843,-21.8493,-32.1877
-1.8754520000000001,-5.708626000000001,12.163587,-3.490553,-1.998564,3.105841,-0.9407479999999999,-0.6261399999999999,1.454757,2.3843,-21.8493,-32.1877
-1.8754520000000001,-5.708626000000001,12.163587,-3.490553,-1.998564,3.105841,-0.522203,-0.422725,1.545282,1.2876,-21.1327,-32.5957
-1.446658,-5.279832,11.586271,-3.204631,-1.816627,2.703276,-0.522203,-0.422725,1.545282,1.2876,-21.1327,-32.5957
-1.446658,-5.279832,11.586271,-3.204631,-1.816627,2.703276,-0.522203,-0.422725,1.545282,1.2876,-21.1327,-32.5957
-1.446658,-5.279832,11.586271,-3.204631,-1.816627,2.703276,-0.057863,-0.224635,1.593207,1.2876,-21.1327,-32.5957
-0.529181,-5.907453,11.301207000000002,-2.239815,-1.9820099999999998,2.058067,-0.057863,-0.224635,1.593207,-1.0645,-19.8608,-33.3714
-0.529181,-5.907453,11.301207000000002,-2.239815,-1.9820099999999998,2.058067,-0.057863,-0.224635,1.593207,-1.0645,-19.8608,-33.3714
-0.529181,-5.907453,11.301207000000002,-2.239815,-1.9820099999999998,2.058067,-0.057863,-0.224635,1.593207,-1.0645,-19.8608,-33.3714
0.534421,-5.859543,11.564712,-0.9750790000000001,-2.263256,2.3797080000000004,0.102952,-0.122395,1.615572,-1.0645,-19.8608,-33.3714
0.534421,-5.859543,11.564712,-0.9750790000000001,-2.263256,2.3797080000000004,0.102952,-0.122395,1.615572,-3.4706,-19.0145,-33.6369
0.534421,-5.859543,11.564712,-0.9750790000000001,-2.263256,2.3797080000000004,0.102952,-0.122395,1.615572,-3.4706,-19.0145,-33.6369
1.037476,-5.897871,11.921641000000001,-0.087702,-2.150841,2.6140630000000002,0.322342,0.096995,1.582557,-3.4706,-19.0145,-33.6369
1.037476,-5.897871,11.921641000000001,-0.087702,-2.150841,2.6140630000000002,0.322342,0.096995,1.582557,-3.4706,-19.0145,-33.6369
1.037476,-5.897871,11.921641000000001,-0.087702,-2.150841,2.6140630000000002,0.322342,0.096995,1.582557,-5.4484,-18.5904,-33.7758
1.454293,-5.519382,11.806658,0.651772,-1.890696,2.495734,0.442687,0.301475,1.422807,-5.4484,-18.5904,-33.7758
1.454293,-5.519382,11.806658,0.651772,-1.890696,2.495734,0.442687,0.301475,1.422807,-5.4484,-18.5904,-33.7758
1.454293,-5.519382,11.806658,0.651772,-1.890696,2.495734,0.442687,0.301475,1.422807,-6.2775,-18.2902,-33.8842
2.3550009999999997,-4.915716000000001,11.471288000000001,1.701468,-1.401044,1.8843990000000002,0.42564700000000005,0.29402,1.221522,-6.2775,-18.2902,-33.8842
2.3550009999999997,-4.915716000000001,11.471288000000001,1.701468,-1.401044,1.8843990000000002,0.42564700000000005,0.29402,1.221522,-6.2775,-18.2902,-33.8842
2.3550009999999997,-4.915716000000001,11.471288000000001,1.701468,-1.401044,1.8843990000000002,0.42564700000000005,0.29402,1.221522,-6.795,-18.6728,-33.3589
3.09521,-4.664187999999999,11.892896,1.701468,-1.401044,1.8843990000000002,0.42564700000000005,0.29402,1.221522,-6.795,-18.6728,-33.3589
3.09521,-4.664187999999999,11.892896,2.747013,-1.1722299999999999,2.3583790000000002,0.427777,0.344075,0.925452,-6.795,-18.6728,-33.3589
3.09521,-4.664187999999999,11.892896,2.747013,-1.1722299999999999,2.3583790000000002,0.427777,0.344075,0.925452,-7.8984,-18.8883,-33.0347
3.418603,-4.1755059999999995,11.974342,2.747013,-1.1722299999999999,2.3583790000000002,0.427777,0.344075,0.925452,-7.8984,-18.8883,-33.0347
3.418603,-4.1755059999999995,11.974342,2.747013,-1.1722299999999999,2.3583790000000002,0.427777,0.344075,0.925452,-7.8984,-18.8883,-33.0347
4.319311,-4.108432,11.871336,3.3800190000000003,-0.74638,2.418107,0.38198200000000004,0.45483500000000004,0.780612,-7.8984,-18.8883,-33.0347
4.319311,-4.108432,11.871336,3.3800190000000003,-0.74638,2.418107,0.38198200000000004,0.45483500000000004,0.780612,-8.6577,-19.2833,-33.189
4.319311,-4.108432,11.871336,3.3800190000000003,-0.74638,2.418107,0.38198200000000004,0.45483500000000004,0.780612,-8.6577,-19.2833,-33.189
4.637913,-3.2676119999999997,11.660532,4.639203,-0.116993,2.0414529999999997,0.327667,0.40052,0.597432,-8.6577,-19.2833,-33.189
4.637913,-3.2676119999999997,11.660532,4.639203,-0.116993,2.0414529999999997,0.327667,0.40052,0.597432,-8.6577,-19.2833,-33.189
5.397286,-2.932242,11.535966,4.639203,-0.116993,2.0414529999999997,0.327667,0.40052,0.597432,-8.6518,-19.6971,-32.9303
5.397286,-2.932242,11.535966,5.642961,0.22001199999999999,1.795855,0.266962,0.57518,0.5686770000000001,-8.6518,-19.6971,-32.9303
5.397286,-2.932242,11.535966,5.642961,0.22001199999999999,1.795855,0.266962,0.57518,0.5686770000000001,-8.6518,-19.6971,-32.9303
5.397286,-2.932242,11.535966,5.642961,0.22001199999999999,1.795855,0.266962,0.57518,0.5686770000000001,-8.6518,-19.6971,-32.9303
5.533829,-2.697483,11.60304,5.91337,0.394902,1.8533689999999998,0.225427,0.527255,0.469632,-8.485,-20.0863,-32.3027
5.533829,-2.697483,11.60304,5.91337,0.394902,1.8533689999999998,0.225427,0.527255,0.469632,-8.485,-20.0863,-32.3027
5.291884,-2.481888,11.016143,5.91337,0.394902,1.8533689999999998,0.225427,0.527255,0.469632,-8.485,-20.0863,-32.3027
5.291884,-2.481888,11.016143,5.758645,0.556628,1.23601,0.209452,0.16196,0.370587,-8.7531,-19.5807,-31.8872
5.291884,-2.481888,11.016143,5.758645,0.556628,1.23601,0.209452,0.16196,0.370587,-8.7531,-19.5807,-31.8872
5.526643,-2.4291869999999998,11.4114,5.758645,0.556628,1.23601,0.209452,0.16196,0.370587,-8.7531,-19.5807,-31.8872
5.526643,-2.4291869999999998,11.4114,6.029196,0.49795200000000006,1.623756,0.209452,0.16196,0.370587,-8.7531,-19.5807,-31.8872
5.509874,-2.472306,11.255692,6.029196,0.49795200000000006,1.623756,0.360682,0.12149000000000001,0.182082,-8.9349,-19.5228,-31.8509
5.509874,-2.472306,11.255692,6.0104690000000005,0.32752600000000004,1.322276,0.360682,0.12149000000000001,0.182082,-8.9349,-19.5228,-31.8509
5.509874,-2.472306,11.255692,6.0104690000000005,0.32752600000000004,1.322276,0.360682,0.12149000000000001,0.182082,-8.9349,-19.5228,-31.8509
5.200855000000001,-2.604058,10.64484,6.0104690000000005,0.32752600000000004,1.322276,0.559837,0.07356499999999999,-0.12144300000000001,-8.5224,-20.2559,-31.7578
5.200855000000001,-2.604058,10.64484,6.0104690000000005,0.32752600000000004,1.322276,0.559837,0.07356499999999999,-0.12144300000000001,-8.5224,-20.2559,-31.7578
4.834343,-2.771743,10.146576,5.483075,-0.007761,0.47601400000000005,0.616282,-0.15221500000000002,-0.435618,-8.5224,-20.2559,-31.7578
4.834343,-2.771743,10.146576,5.483075,-0.007761,0.47601400000000005,0.616282,-0.15221500000000002,-0.435618,-8.6841,-20.1693,-31.256999999999998
4.834343,-2.771743,10.146576,5.483075,-0.007761,0.47601400000000005,0.616282,-0.15221500000000002,-0.435618,-8.6841,-20.1693,-31.256999999999998
4.67624,-2.666341,9.859116,5.055915,-0.291552,-0.033546,0.616282,-0.15221500000000002,-0.435618,-8.6841,-20.1693,-31.256999999999998
4.67624,-2.666341,9.859116,5.055915,-0.291552,-0.033546,0.599242,-0.297055,-0.764703,-8.6841,-20.1693,-31.256999999999998
4.67624,-2.666341,9.859116,5.055915,-0.291552,-0.033546,0.599242,-0.297055,-0.764703,-8.3716,-20.9332,-30.9706
4.376803,-2.6735279999999997,9.923795,4.612468,-0.41501000000000005,-0.10816700000000001,0.599242,-0.297055,-0.764703,-8.3716,-20.9332,-30.9706
4.376803,-2.6735279999999997,9.923795,4.612468,-0.41501000000000005,-0.10816700000000001,0.5853970000000001,-0.277885,-1.151298,-8.3716,-20.9332,-30.9706
4.376803,-2.6735279999999997,9.923795,4.612468,-0.41501000000000005,-0.10816700000000001,0.5853970000000001,-0.277885,-1.151298,-8.3716,-20.9332,-30.9706
3.6413839999999995,-2.544171,9.633939,3.4602209999999998,-0.47913500000000003,-0.42527,0.5853970000000001,-0.277885,-1.151298,-7.8932,-22.0382,-30.3479
