ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.847,-0.19399999999999998,8.627,0.163,-1.82,-1.78,1.129,-0.523,0.037000000000000005,-5.9,-39.5,-22.9
0.847,-0.19399999999999998,8.627,-0.321,-1.791,-0.725,1.5830000000000002,-0.271,-0.001,-6.2,-40.2,-21.1
-0.20600000000000002,0.5479999999999999,8.795,-0.321,-1.791,-0.725,1.5830000000000002,-0.271,-0.001,-6.2,-40.2,-21.1
-0.20600000000000002,0.5479999999999999,8.795,-0.321,-1.791,-0.725,1.5830000000000002,-0.271,-0.001,-6.2,-40.2,-21.1
-0.433,0.816,7.617999999999999,-1.081,-1.807,-2.1,1.5830000000000002,-0.271,-0.001,-6.2,-41.0,-20.2
-0.433,0.816,7.617999999999999,-1.081,-1.807,-2.1,2.065,-0.5539999999999999,0.102,-6.2,-41.0,-20.2
-0.433,0.816,7.617999999999999,-1.081,-1.807,-2.1,2.065,-0.5539999999999999,0.102,-6.2,-41.0,-20.2
0.94,1.4140000000000001,5.727,0.205,-1.625,-4.034,2.065,-0.5539999999999999,0.102,-6.2,-41.0,-20.2
0.94,1.4140000000000001,5.727,0.205,-1.625,-4.034,1.7590000000000001,-0.569,0.131,-6.8,-41.5,-16.3
0.94,1.4140000000000001,5.727,0.205,-1.625,-4.034,1.7590000000000001,-0.569,0.131,-6.8,-41.5,-16.3
1.844,1.723,3.799,0.205,-1.625,-4.034,1.7590000000000001,-0.569,0.131,-6.8,-41.5,-16.3
1.844,1.723,3.799,0.6409999999999999,-2.147,-5.986000000000001,1.7590000000000001,-0.569,0.131,-6.8,-41.5,-16.3
