ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
3.195821,-1.7560509999999998,8.373906,3.667734,-1.6479669999999997,-1.124167,-0.303177,0.689401,1.241195,-16.6741,-25.3441,-22.7309
3.195821,-1.7560509999999998,8.373906,3.667734,-1.6479669999999997,-1.124167,-0.222237,0.679816,0.881224,-17.2285,-24.5659,-23.3293
3.456931,-1.60753,7.233648,4.456823,-1.3936879999999998,-2.402396,-0.222237,0.679816,0.881224,-17.2285,-24.5659,-23.3293
3.456931,-1.60753,7.233648,4.456823,-1.3936879999999998,-2.402396,-0.222237,0.679816,0.881224,-17.2285,-24.5659,-23.3293
2.8939880000000002,-1.8542669999999999,7.897202,4.456823,-1.3936879999999998,-2.402396,-0.395832,0.507286,0.591544,-18.0472,-23.5776,-23.6622
2.8939880000000002,-1.8542669999999999,7.897202,4.456823,-1.3936879999999998,-2.402396,-0.395832,0.507286,0.591544,-18.0472,-23.5776,-23.6622
2.8939880000000002,-1.8542669999999999,7.897202,3.9008540000000003,-1.625337,-1.4602760000000001,-0.395832,0.507286,0.591544,-18.0472,-23.5776,-23.6622
3.016159,-2.208801,8.893728999999999,3.9008540000000003,-1.625337,-1.4602760000000001,-0.407547,0.639346,0.392389,-18.0472,-23.5776,-23.6622
3.016159,-2.208801,8.893728999999999,3.9008540000000003,-1.625337,-1.4602760000000001,-0.407547,0.639346,0.392389,-18.4849,-22.5118,-24.3807
3.262895,-1.933318,8.505658,4.377285,-1.639087,-0.818354,-0.407547,0.639346,0.392389,-18.4849,-22.5118,-24.3807
3.262895,-1.933318,8.505658,4.377285,-1.639087,-0.818354,-0.407547,0.639346,0.392389,-18.4849,-22.5118,-24.3807
3.262895,-1.933318,8.505658,4.377285,-1.639087,-0.818354,-0.5822069999999999,0.416761,0.003664,-18.6136,-21.9536,-24.7784
3.282059,-2.072257,8.203826,4.607536,-1.409791,-1.5267190000000002,-0.5822069999999999,0.416761,0.003664,-18.6136,-21.9536,-24.7784
3.282059,-2.072257,8.203826,4.607536,-1.409791,-1.5267190000000002,-0.5822069999999999,0.416761,0.003664,-18.6136,-21.9536,-24.7784
3.282059,-2.072257,8.203826,4.607536,-1.409791,-1.5267190000000002,-0.979452,0.164356,-0.444701,-17.8188,-21.2955,-25.8678
3.282059,-2.072257,8.203826,4.607536,-1.409791,-1.5267190000000002,-0.979452,0.164356,-0.444701,-17.8188,-21.2955,-25.8678
2.625692,-2.513029,10.393312,3.96726,-1.597176,0.424278,-0.979452,0.164356,-0.444701,-17.8188,-21.2955,-25.8678
2.625692,-2.513029,10.393312,3.96726,-1.597176,0.424278,-0.858042,0.460426,-0.5426810000000001,-17.5833,-20.8905,-26.3763
2.3214639999999997,-3.128673,11.061657,3.96726,-1.597176,0.424278,-0.858042,0.460426,-0.5426810000000001,-17.5833,-20.8905,-26.3763
2.3214639999999997,-3.128673,11.061657,3.732732,-1.862941,1.498769,-0.858042,0.460426,-0.5426810000000001,-17.5833,-20.8905,-26.3763
2.3214639999999997,-3.128673,11.061657,3.732732,-1.862941,1.498769,-0.794142,0.565861,-0.71734,-17.4863,-20.6945,-27.3278
2.783795,-3.243657,9.138069999999999,3.732732,-1.862941,1.498769,-0.794142,0.565861,-0.71734,-17.4863,-20.6945,-27.3278
2.783795,-3.243657,9.138069999999999,3.732732,-1.862941,1.498769,-0.794142,0.565861,-0.71734,-17.4863,-20.6945,-27.3278
2.783795,-3.243657,9.138069999999999,4.255852,-1.620576,-0.380912,-1.393737,0.36031599999999997,-0.942055,-16.6472,-20.3319,-28.5474
1.9573479999999999,-4.170715,9.911817,4.255852,-1.620576,-0.380912,-1.393737,0.36031599999999997,-0.942055,-16.6472,-20.3319,-28.5474
1.9573479999999999,-4.170715,9.911817,3.123464,-2.371209,1.214644,-1.393737,0.36031599999999997,-0.942055,-16.6472,-20.3319,-28.5474
1.9573479999999999,-4.170715,9.911817,3.123464,-2.371209,1.214644,-1.393737,0.36031599999999997,-0.942055,-16.6472,-20.3319,-28.5474
1.502203,-4.635441999999999,11.538362,3.123464,-2.371209,1.214644,-1.7100419999999998,0.442321,-0.9921110000000001,-14.9529,-19.2534,-29.8885
1.502203,-4.635441999999999,11.538362,3.123464,-2.371209,1.214644,-1.7100419999999998,0.442321,-0.9921110000000001,-14.9529,-19.2534,-29.8885
1.502203,-4.635441999999999,11.538362,3.423288,-1.9621509999999998,3.231403,-1.7100419999999998,0.442321,-0.9921110000000001,-14.9529,-19.2534,-29.8885
1.734566,-5.018722,13.188861,3.423288,-1.9621509999999998,3.231403,-1.4054520000000001,0.394396,-1.218955,-14.9529,-19.2534,-29.8885
1.734566,-5.018722,13.188861,3.423288,-1.9621509999999998,3.231403,-1.4054520000000001,0.394396,-1.218955,-13.7963,-18.5626,-30.9369
1.32254,-5.382838,13.694310999999999,3.219834,-2.016293,4.131616,-1.4054520000000001,0.394396,-1.218955,-13.7963,-18.5626,-30.9369
1.32254,-5.382838,13.694310999999999,3.219834,-2.016293,4.131616,-0.9677370000000001,0.436996,-1.39468,-13.7963,-18.5626,-30.9369
1.32254,-5.382838,13.694310999999999,3.219834,-2.016293,4.131616,-0.9677370000000001,0.436996,-1.39468,-13.7963,-18.5626,-30.9369
1.32254,-5.382838,13.694310999999999,3.219834,-2.016293,4.131616,-0.9677370000000001,0.436996,-1.39468,-13.7963,-18.5626,-30.9369
1.2386979999999999,-5.660716000000001,12.927752,2.8171459999999997,-2.0975490000000003,4.085767,-0.8718870000000001,0.44658100000000006,-1.4458,-12.0325,-16.7393,-33.1808
1.2386979999999999,-5.660716000000001,12.927752,2.8171459999999997,-2.0975490000000003,4.085767,-0.8718870000000001,0.44658100000000006,-1.4458,-12.0325,-16.7393,-33.1808
1.2386979999999999,-5.660716000000001,12.927752,2.8171459999999997,-2.0975490000000003,4.085767,-0.8718870000000001,0.44658100000000006,-1.4458,-12.0325,-16.7393,-33.1808
1.2386979999999999,-5.660716000000001,12.927752,2.8171459999999997,-2.0975490000000003,4.085767,-0.8718870000000001,0.44658100000000006,-1.4458,-12.0325,-16.7393,-33.1808
0.476929,-5.524173,14.336306,1.986909,-1.558943,5.168767,-0.797337,0.406111,-1.625786,-10.1138,-15.8549,-34.1102
0.476929,-5.524173,14.336306,1.986909,-1.558943,5.168767,-0.797337,0.406111,-1.625786,-10.1138,-15.8549,-34.1102
0.476929,-5.524173,14.336306,1.986909,-1.558943,5.168767,-0.797337,0.406111,-1.625786,-10.1138,-15.8549,-34.1102
-0.383056,-5.083401,14.087173000000002,0.9685299999999999,-0.79475,5.2934660000000004,-0.134907,0.474271,-1.8164200000000001,-10.1138,-15.8549,-34.1102
-0.383056,-5.083401,14.087173000000002,0.9685299999999999,-0.79475,5.2934660000000004,-0.134907,0.474271,-1.8164200000000001,-7.3071,-15.1884,-35.2807
-1.0466090000000001,-4.870201,13.598492000000002,0.9685299999999999,-0.79475,5.2934660000000004,-0.134907,0.474271,-1.8164200000000001,-7.3071,-15.1884,-35.2807
-1.0466090000000001,-4.870201,13.598492000000002,0.065122,-0.444892,4.769897,-0.0060420000000000005,0.097261,-1.9218560000000002,-7.3071,-15.1884,-35.2807
-1.0466090000000001,-4.870201,13.598492000000002,0.065122,-0.444892,4.769897,-0.0060420000000000005,0.097261,-1.9218560000000002,-5.3535,-15.3767,-36.0175
-1.417912,-4.640233,13.184070000000002,0.065122,-0.444892,4.769897,-0.0060420000000000005,0.097261,-1.9218560000000002,-5.3535,-15.3767,-36.0175
-1.417912,-4.640233,13.184070000000002,-0.5689810000000001,-0.230057,4.183027,0.15903299999999998,-0.250994,-1.938896,-5.3535,-15.3767,-36.0175
-1.417912,-4.640233,13.184070000000002,-0.5689810000000001,-0.230057,4.183027,0.15903299999999998,-0.250994,-1.938896,-5.3535,-15.3767,-36.0175
-0.8909020000000001,-4.771986,13.766176000000002,-0.5689810000000001,-0.230057,4.183027,0.15903299999999998,-0.250994,-1.938896,-3.3317,-16.1019,-36.2606
-0.8909020000000001,-4.771986,13.766176000000002,-0.5689810000000001,-0.230057,4.183027,0.15903299999999998,-0.250994,-1.938896,-3.3317,-16.1019,-36.2606
-1.0969149999999999,-5.114542,13.140951000000001,-0.225771,-0.431514,4.58097,0.349668,-0.40541900000000003,-1.98469,-3.3317,-16.1019,-36.2606
-1.0969149999999999,-5.114542,13.140951000000001,-0.225771,-0.431514,4.58097,0.349668,-0.40541900000000003,-1.98469,-1.8807,-16.2656,-36.2077
-1.0969149999999999,-5.114542,13.140951000000001,-0.225771,-0.431514,4.58097,0.349668,-0.40541900000000003,-1.98469,-1.8807,-16.2656,-36.2077
-1.6790209999999999,-5.562501,13.83325,-1.140082,-1.00732,4.154756,0.431673,-0.388379,-1.9527400000000001,-1.8807,-16.2656,-36.2077
