ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
4.699,-1.23,1.681,5.371,-3.2689999999999997,-7.403,0.22399999999999998,-0.409,0.247,-5.3,-39.8,-22.9
4.699,-1.23,1.681,5.371,-3.2689999999999997,-7.403,-0.13,-0.049,-0.405,-5.3,-39.8,-22.9
4.17,-1.982,0.465,4.36,-3.832,-8.985,-0.13,-0.049,-0.405,-5.3,-39.8,-22.9
4.17,-1.982,0.465,4.36,-3.832,-8.985,-0.13,-0.049,-0.405,-5.3,-39.8,-22.9
4.17,-1.982,0.465,4.36,-3.832,-8.985,-0.13,-0.049,-0.405,-4.4,-40.3,-23.8
1.854,-1.5630000000000002,3.1910000000000003,1.7009999999999998,-3.3,-5.6,-0.782,0.619,-0.626,-4.4,-40.3,-23.8
1.854,-1.5630000000000002,3.1910000000000003,1.7009999999999998,-3.3,-5.6,-0.782,0.619,-0.626,-4.4,-40.3,-23.8
0.036000000000000004,-2.685,5.521,1.7009999999999998,-3.3,-5.6,-0.782,0.619,-0.626,-4.4,-40.3,-23.8
0.036000000000000004,-2.685,5.521,1.7009999999999998,-3.3,-5.6,-0.813,0.7190000000000001,-0.384,-2.3,-39.8,-25.3
0.036000000000000004,-2.685,5.521,1.406,-3.969,-3.89,-0.813,0.7190000000000001,-0.384,-2.3,-39.8,-25.3
1.6,-1.5290000000000001,5.531000000000001,1.406,-3.969,-3.89,-0.813,0.7190000000000001,-0.384,-2.3,-39.8,-25.3
1.6,-1.5290000000000001,5.531000000000001,1.406,-3.969,-3.89,-1.036,0.5660000000000001,-0.513,-2.3,-39.8,-25.3
1.6,-1.5290000000000001,5.531000000000001,1.8030000000000002,-1.452,-3.1310000000000002,-1.036,0.5660000000000001,-0.513,-1.4,-38.8,-26.5
-0.62,0.057,7.716,1.8030000000000002,-1.452,-3.1310000000000002,-1.036,0.5660000000000001,-0.513,-1.4,-38.8,-26.5
-0.62,0.057,7.716,-1.139,-0.63,0.262,-1.5130000000000001,0.35600000000000004,-0.75,-1.4,-38.8,-26.5
-0.62,0.057,7.716,-1.139,-0.63,0.262,-1.5130000000000001,0.35600000000000004,-0.75,-0.2,-37.4,-27.1
-2.496,-0.067,10.81,-1.139,-0.63,0.262,-1.5130000000000001,0.35600000000000004,-0.75,-0.2,-37.4,-27.1
-2.496,-0.067,10.81,-1.9069999999999998,0.629,4.217,-1.5130000000000001,0.35600000000000004,-0.75,-0.2,-37.4,-27.1
-2.4530000000000003,0.9640000000000001,15.114,-1.9069999999999998,0.629,4.217,-1.699,0.192,-0.179,0.4,-36.0,-29.5
-2.4530000000000003,0.9640000000000001,15.114,-1.9069999999999998,0.629,4.217,-1.699,0.192,-0.179,0.4,-36.0,-29.5
-2.4530000000000003,0.9640000000000001,15.114,0.98,0.855,8.34,-1.699,0.192,-0.179,0.4,-36.0,-29.5
0.6859999999999999,0.316,18.608,0.98,0.855,8.34,-1.28,-0.175,0.054000000000000006,1.3,-35.0,-31.3
0.6859999999999999,0.316,18.608,0.98,0.855,8.34,-1.28,-0.175,0.054000000000000006,1.3,-35.0,-31.3
0.6859999999999999,0.316,18.608,2.519,0.09699999999999999,9.073,-1.28,-0.175,0.054000000000000006,1.3,-35.0,-31.3
2.134,-0.618,18.988,2.519,0.09699999999999999,9.073,-0.542,-0.414,-0.41700000000000004,1.3,-35.0,-31.3
2.134,-0.618,18.988,2.519,0.09699999999999999,9.073,-0.542,-0.414,-0.41700000000000004,1.6,-34.1,-31.6
2.134,-0.618,18.988,3.452,-0.07200000000000001,10.066,-0.542,-0.414,-0.41700000000000004,1.6,-34.1,-31.6
2.67,0.026000000000000002,19.627,3.452,-0.07200000000000001,10.066,-0.040999999999999995,-0.425,-0.804,1.6,-34.1,-31.6
2.67,0.026000000000000002,19.627,3.452,-0.07200000000000001,10.066,-0.040999999999999995,-0.425,-0.804,0.4,-33.6,-32.5
2.67,0.026000000000000002,19.627,3.995,1.554,9.574,-0.040999999999999995,-0.425,-0.804,0.4,-33.6,-32.5
3.653,0.72,19.567,3.995,1.554,9.574,0.7170000000000001,0.023,-0.647,1.6,-34.1,-32.2
3.653,0.72,19.567,3.995,1.554,9.574,0.7170000000000001,0.023,-0.647,1.6,-34.1,-32.2
3.603,-0.37799999999999995,20.127,4.186,0.175,10.522,0.7170000000000001,0.023,-0.647,1.6,-34.1,-32.2
3.603,-0.37799999999999995,20.127,4.186,0.175,10.522,0.7170000000000001,0.023,-0.647,1.6,-34.1,-32.2
3.603,-0.37799999999999995,20.127,4.186,0.175,10.522,1.739,-0.47700000000000004,-0.785,1.9,-36.2,-29.8
3.8310000000000004,0.23199999999999998,14.413,4.348,0.046,6.077000000000001,1.739,-0.47700000000000004,-0.785,1.9,-36.2,-29.8
3.8310000000000004,0.23199999999999998,14.413,4.348,0.046,6.077000000000001,1.739,-0.47700000000000004,-0.785,1.9,-36.2,-29.8
