ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-2.457559,-2.290248,9.624357,-2.509431,-0.749562,-0.33160500000000004,0.20163299999999998,0.004606,0.47971899999999995,-35.5089,1.0851,-25.8588
-2.457559,-2.290248,9.624357,-2.509431,-0.749562,-0.33160500000000004,0.20163299999999998,0.004606,0.47971899999999995,-35.3755,1.6581,-25.4606
-2.335388,-2.120167,9.765692,-2.2625990000000002,-0.597538,-0.085128,0.20163299999999998,0.004606,0.47971899999999995,-35.3755,1.6581,-25.4606
-2.335388,-2.120167,9.765692,-2.2625990000000002,-0.597538,-0.085128,0.20163299999999998,0.004606,0.47971899999999995,-35.3755,1.6581,-25.4606
-2.237173,-2.146518,9.820788,-2.2625990000000002,-0.597538,-0.085128,0.162228,0.044011,0.5808949999999999,-35.4997,1.8893,-25.7947
-2.237173,-2.146518,9.820788,-1.9357950000000002,-0.714444,0.135604,0.162228,0.044011,0.5808949999999999,-35.4997,1.8893,-25.7947
-2.237173,-2.146518,9.820788,-1.9357950000000002,-0.714444,0.135604,0.162228,0.044011,0.5808949999999999,-35.4997,1.8893,-25.7947
-1.6957900000000001,-2.01237,10.177717,-1.9357950000000002,-0.714444,0.135604,0.23784299999999997,0.127081,0.715084,-35.4997,1.8893,-25.7947
-1.6957900000000001,-2.01237,10.177717,-1.9357950000000002,-0.714444,0.135604,0.23784299999999997,0.127081,0.715084,-35.2484,2.6285,-26.0376
-1.6957900000000001,-2.01237,10.177717,-1.266797,-0.447272,-0.10003,0.23784299999999997,0.127081,0.715084,-35.2484,2.6285,-26.0376
-1.12087,-1.7800060000000002,10.115435,-1.266797,-0.447272,-0.10003,0.175008,0.071701,0.813064,-35.2484,2.6285,-26.0376
-1.12087,-1.7800060000000002,10.115435,-0.9984209999999999,-0.543975,0.498378,0.175008,0.071701,0.813064,-35.253,3.0097,-25.3274
-1.12087,-1.7800060000000002,10.115435,-0.9984209999999999,-0.543975,0.498378,0.175008,0.071701,0.813064,-35.253,3.0097,-25.3274
-1.231063,-1.554829,10.398104,-0.9984209999999999,-0.543975,0.498378,0.314523,0.25488099999999997,1.038844,-35.253,3.0097,-25.3274
-1.231063,-1.554829,10.398104,-0.890143,-0.257227,0.31801399999999996,0.314523,0.25488099999999997,1.038844,-35.253,3.0097,-25.3274
-1.231063,-1.554829,10.398104,-0.890143,-0.257227,0.31801399999999996,0.314523,0.25488099999999997,1.038844,-35.3658,3.8787,-25.6915
-1.104101,-1.332048,9.413553,-0.890143,-0.257227,0.31801399999999996,0.314523,0.25488099999999997,1.038844,-35.3658,3.8787,-25.6915
-1.104101,-1.332048,9.413553,-0.890143,-0.257227,0.31801399999999996,0.314523,0.25488099999999997,1.038844,-35.3658,3.8787,-25.6915
-0.759149,-1.839894,9.368038,-0.678327,-0.220565,-0.614785,0.261273,0.151576,1.076119,-35.4953,4.4637,-26.5157
-0.759149,-1.839894,9.368038,-0.678327,-0.220565,-0.614785,0.261273,0.151576,1.076119,-35.4953,4.4637,-26.5157
-0.759149,-1.839894,9.368038,-0.678327,-0.220565,-0.614785,0.261273,0.151576,1.076119,-35.4953,4.4637,-26.5157
-0.526786,-2.304621,9.581238,-0.186526,-1.135377,-0.581208,0.019518,0.095131,1.13789,-35.4712,5.6484,-26.5548
-0.526786,-2.304621,9.581238,-0.186526,-1.135377,-0.581208,0.019518,0.095131,1.13789,-35.4712,5.6484,-26.5548
-0.526786,-2.304621,9.581238,-0.186526,-1.135377,-0.581208,0.019518,0.095131,1.13789,-35.4712,5.6484,-26.5548
0.00022400000000000002,-2.402836,9.78246,-0.186526,-1.135377,-0.581208,-0.07633200000000001,0.170746,1.1762299999999999,-35.4712,5.6484,-26.5548
0.00022400000000000002,-2.402836,9.78246,0.547655,-1.330791,-0.17340999999999998,-0.07633200000000001,0.170746,1.1762299999999999,-34.9734,7.505,-26.4658
0.00022400000000000002,-2.402836,9.78246,0.547655,-1.330791,-0.17340999999999998,-0.07633200000000001,0.170746,1.1762299999999999,-34.9734,7.505,-26.4658
0.702106,-2.513029,10.338216000000001,0.547655,-1.330791,-0.17340999999999998,-0.083787,0.152641,1.136825,-34.9734,7.505,-26.4658
0.702106,-2.513029,10.338216000000001,0.547655,-1.330791,-0.17340999999999998,-0.083787,0.152641,1.136825,-34.9734,7.505,-26.4658
1.281817,-2.419605,10.786175,1.6923580000000003,-1.3174649999999999,0.6146119999999999,-0.083787,0.152641,1.136825,-34.2659,8.7069,-26.9646
1.281817,-2.419605,10.786175,1.6923580000000003,-1.3174649999999999,0.6146119999999999,0.020583,0.22612600000000002,1.09742,-34.2659,8.7069,-26.9646
1.281817,-2.419605,10.786175,1.6923580000000003,-1.3174649999999999,0.6146119999999999,0.020583,0.22612600000000002,1.09742,-34.2659,8.7069,-26.9646
