ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.9220430000000001,-1.791984,5.609499,-0.322279,-2.044173,-4.169314,0.41569799999999996,-0.254189,1.354085,9.7107,38.4848,-29.7908
-0.368683,-1.710537,6.052667,0.285051,-2.073404,-3.916529,0.41569799999999996,-0.254189,1.354085,9.7107,38.4848,-29.7908
-0.368683,-1.710537,6.052667,0.285051,-2.073404,-3.916529,0.41569799999999996,-0.254189,1.354085,11.054,37.3221,-30.3999
-0.368683,-1.710537,6.052667,0.285051,-2.073404,-3.916529,0.523263,-0.306374,1.38284,11.054,37.3221,-30.3999
0.35715399999999997,-0.93679,6.915047,0.285051,-2.073404,-3.916529,0.523263,-0.306374,1.38284,11.054,37.3221,-30.3999
0.35715399999999997,-0.93679,6.915047,0.840123,-1.539616,-3.086615,0.523263,-0.306374,1.38284,11.054,37.3221,-30.3999
0.35715399999999997,-0.93679,6.915047,0.840123,-1.539616,-3.086615,0.554148,-0.25312399999999996,1.404139,12.5745,36.4525,-30.8575
0.9153049999999999,-0.376243,5.393904,0.840123,-1.539616,-3.086615,0.554148,-0.25312399999999996,1.404139,12.5745,36.4525,-30.8575
0.9153049999999999,-0.376243,5.393904,0.840123,-1.539616,-3.086615,0.554148,-0.25312399999999996,1.404139,12.5745,36.4525,-30.8575
0.9153049999999999,-0.376243,5.393904,1.309385,-1.1237620000000001,-4.555051000000001,0.389073,-0.190289,1.4339600000000001,12.5745,36.4525,-30.8575
1.415965,-0.206163,5.161541000000001,1.309385,-1.1237620000000001,-4.555051000000001,0.389073,-0.190289,1.4339600000000001,13.4556,35.2389,-31.5662
1.415965,-0.206163,5.161541000000001,1.309385,-1.1237620000000001,-4.555051000000001,0.389073,-0.190289,1.4339600000000001,13.4556,35.2389,-31.5662
1.415965,-0.206163,5.161541000000001,1.849461,-1.02319,-4.63413,0.389073,-0.190289,1.4339600000000001,13.4556,35.2389,-31.5662
2.132219,-0.220536,5.964033000000001,1.849461,-1.02319,-4.63413,0.068508,0.16329100000000002,1.503185,14.5868,33.4019,-32.2624
2.132219,-0.220536,5.964033000000001,1.849461,-1.02319,-4.63413,0.068508,0.16329100000000002,1.503185,14.5868,33.4019,-32.2624
2.132219,-0.220536,5.964033000000001,2.607925,-1.086147,-3.716485,0.068508,0.16329100000000002,1.503185,14.5868,33.4019,-32.2624
2.7406759999999997,-0.165439,6.855159,2.607925,-1.086147,-3.716485,-0.037992000000000005,0.615916,1.449935,14.5868,33.4019,-32.2624
2.7406759999999997,-0.165439,6.855159,2.607925,-1.086147,-3.716485,-0.037992000000000005,0.615916,1.449935,15.4855,32.4251,-32.1809
2.7406759999999997,-0.165439,6.855159,3.2259130000000003,-0.8901889999999999,-4.003842,-0.037992000000000005,0.615916,1.449935,15.4855,32.4251,-32.1809
2.800564,-0.131902,5.930496,3.2259130000000003,-0.8901889999999999,-4.003842,-0.159402,0.610591,1.160255,15.4855,32.4251,-32.1809
2.800564,-0.131902,5.930496,3.2259130000000003,-0.8901889999999999,-4.003842,-0.159402,0.610591,1.160255,18.5008,31.1652,-32.0973
2.134615,-0.8505520000000001,7.5786,2.954472,-1.339584,-2.950199,-0.159402,0.610591,1.160255,18.5008,31.1652,-32.0973
2.134615,-0.8505520000000001,7.5786,2.954472,-1.339584,-2.950199,-0.159402,0.610591,1.160255,18.5008,31.1652,-32.0973
2.134615,-0.8505520000000001,7.5786,2.954472,-1.339584,-2.950199,-0.26590199999999997,0.7362609999999999,0.794959,18.5008,31.1652,-32.0973
1.526158,-1.4566139999999999,8.795514,2.249415,-2.135272,-1.211354,-0.26590199999999997,0.7362609999999999,0.794959,20.6836,30.4947,-31.4492
1.526158,-1.4566139999999999,8.795514,2.249415,-2.135272,-1.211354,-0.26590199999999997,0.7362609999999999,0.794959,20.6836,30.4947,-31.4492
1.526158,-1.4566139999999999,8.795514,2.249415,-2.135272,-1.211354,-0.12106199999999999,1.084516,0.81413,20.6836,30.4947,-31.4492
2.180129,-0.900858,7.609742,2.873183,-1.898022,-1.915984,-0.12106199999999999,1.084516,0.81413,20.6836,30.4947,-31.4492
2.180129,-0.900858,7.609742,2.873183,-1.898022,-1.915984,-0.12106199999999999,1.084516,0.81413,22.0942,30.3844,-30.6809
2.175338,-0.8792979999999999,7.104291,2.873183,-1.898022,-1.915984,-0.282942,1.041916,0.588349,22.0942,30.3844,-30.6809
2.175338,-0.8792979999999999,7.104291,3.4234370000000003,-1.525409,-2.459559,-0.282942,1.041916,0.588349,22.0942,30.3844,-30.6809
2.175338,-0.8792979999999999,7.104291,3.4234370000000003,-1.525409,-2.459559,-0.282942,1.041916,0.588349,23.7645,30.4446,-29.4874
1.435129,-1.238623,7.985835000000001,3.4234370000000003,-1.525409,-2.459559,-0.5246970000000001,0.696856,0.371089,23.7645,30.4446,-29.4874
1.435129,-1.238623,7.985835000000001,2.83378,-1.788028,-1.594416,-0.5246970000000001,0.696856,0.371089,23.7645,30.4446,-29.4874
1.435129,-1.238623,7.985835000000001,2.83378,-1.788028,-1.594416,-0.5246970000000001,0.696856,0.371089,24.7491,30.5977,-28.6107
2.582573,-1.4302629999999998,9.533328,2.83378,-1.788028,-1.594416,-0.487422,0.6329560000000001,0.433924,24.7491,30.5977,-28.6107
2.582573,-1.4302629999999998,9.533328,4.06956,-1.873016,-0.14344200000000001,-0.487422,0.6329560000000001,0.433924,24.7491,30.5977,-28.6107
2.582573,-1.4302629999999998,9.533328,4.06956,-1.873016,-0.14344200000000001,-0.487422,0.6329560000000001,0.433924,24.7491,30.5977,-28.6107
2.007653,-1.4614049999999998,8.464935,4.06956,-1.873016,-0.14344200000000001,-0.714267,0.452971,0.004729,26.0953,30.8058,-27.519000000000002
2.007653,-1.4614049999999998,8.464935,3.36945,-1.789006,-1.002156,-0.714267,0.452971,0.004729,26.0953,30.8058,-27.519000000000002
2.007653,-1.4614049999999998,8.464935,3.36945,-1.789006,-1.002156,-0.714267,0.452971,0.004729,26.0953,30.8058,-27.519000000000002
0.9416559999999999,-1.4422409999999999,9.459067,3.36945,-1.789006,-1.002156,-1.213752,0.173941,-0.157151,27.0569,31.1537,-26.9169
0.9416559999999999,-1.4422409999999999,9.459067,2.679133,-1.51767,0.269406,-1.213752,0.173941,-0.157151,27.0569,31.1537,-26.9169
1.142878,-2.328576,11.550339,2.679133,-1.51767,0.269406,-1.213752,0.173941,-0.157151,27.0569,31.1537,-26.9169
1.142878,-2.328576,11.550339,2.679133,-1.51767,0.269406,-1.213752,0.173941,-0.157151,27.0569,31.1537,-26.9169
1.142878,-2.328576,11.550339,2.812857,-2.134535,2.061466,-1.2084270000000001,0.035491,-0.058106,27.4515,31.7895,-26.0142
0.898537,-3.344268,12.122864,2.812857,-2.134535,2.061466,-1.2084270000000001,0.035491,-0.058106,27.4515,31.7895,-26.0142
0.898537,-3.344268,12.122864,2.812857,-2.134535,2.061466,-1.2084270000000001,0.035491,-0.058106,27.4515,31.7895,-26.0142
1.432733,-2.5920810000000003,12.32169,2.916605,-2.239522,2.562584,-0.863367,0.11536600000000001,0.139984,27.5225,32.6201,-23.9553
1.432733,-2.5920810000000003,12.32169,2.916605,-2.239522,2.562584,-0.863367,0.11536600000000001,0.139984,27.5225,32.6201,-23.9553
1.432733,-2.5920810000000003,12.32169,2.916605,-2.239522,2.562584,-0.863367,0.11536600000000001,0.139984,27.5225,32.6201,-23.9553
1.6339549999999998,-2.49147,11.571898,3.462803,-1.53351,2.581871,-0.625872,0.13986099999999999,0.314644,27.5225,32.6201,-23.9553
1.6339549999999998,-2.49147,11.571898,3.462803,-1.53351,2.581871,-0.625872,0.13986099999999999,0.314644,27.7135,33.4498,-22.6701
1.6339549999999998,-2.49147,11.571898,3.462803,-1.53351,2.581871,-0.625872,0.13986099999999999,0.314644,27.7135,33.4498,-22.6701
1.720193,-2.321389,11.605435,3.433504,-1.476426,1.8487040000000001,-0.895317,0.000346,0.192169,27.7135,33.4498,-22.6701
1.720193,-2.321389,11.605435,3.433504,-1.476426,1.8487040000000001,-0.895317,0.000346,0.192169,28.2658,34.2945,-22.1182
1.720193,-2.321389,11.605435,3.433504,-1.476426,1.8487040000000001,-0.895317,0.000346,0.192169,28.2658,34.2945,-22.1182
2.551432,-1.633881,12.573217,4.0874440000000005,-0.25395500000000004,2.744352,-1.024182,0.096196,-0.109226,28.2658,34.2945,-22.1182
2.551432,-1.633881,12.573217,4.0874440000000005,-0.25395500000000004,2.744352,-1.024182,0.096196,-0.109226,28.2658,34.2945,-22.1182
2.352605,-1.8997810000000002,12.479792999999999,4.0874440000000005,-0.25395500000000004,2.744352,-1.024182,0.096196,-0.109226,27.9384,34.7292,-21.6439
2.352605,-1.8997810000000002,12.479792999999999,4.115289,-0.101564,3.01139,-1.097667,0.22612600000000002,-0.539486,27.9384,34.7292,-21.6439
2.352605,-1.8997810000000002,12.479792999999999,4.115289,-0.101564,3.01139,-1.097667,0.22612600000000002,-0.539486,27.9384,34.7292,-21.6439
1.6339549999999998,-2.1561,12.288153,4.115289,-0.101564,3.01139,-1.097667,0.22612600000000002,-0.539486,27.7193,36.1069,-20.5648
1.6339549999999998,-2.1561,12.288153,3.365937,-0.020416999999999998,2.8530860000000002,-1.222272,-0.009239,-0.784436,27.7193,36.1069,-20.5648
1.6339549999999998,-2.1561,12.288153,3.365937,-0.020416999999999998,2.8530860000000002,-1.222272,-0.009239,-0.784436,27.7193,36.1069,-20.5648
1.554904,-2.702274,13.770967,3.365937,-0.020416999999999998,2.8530860000000002,-1.222272,-0.009239,-0.784436,27.7193,36.1069,-20.5648
1.554904,-2.702274,13.770967,3.229105,-0.220002,4.3943010000000005,-1.019922,0.14838099999999999,-0.832361,27.4473,36.9642,-19.1288
1.554904,-2.702274,13.770967,3.229105,-0.220002,4.3943010000000005,-1.019922,0.14838099999999999,-0.832361,27.4473,36.9642,-19.1288
0.922492,-2.8268400000000002,13.747012,3.229105,-0.220002,4.3943010000000005,-1.019922,0.14838099999999999,-0.832361,27.4473,36.9642,-19.1288
0.922492,-2.8268400000000002,13.747012,2.427191,-0.081183,4.401325,-0.914487,0.166486,-0.9218200000000001,26.7638,38.4529,-18.2488
0.6110770000000001,-2.8196529999999997,13.931466,2.427191,-0.081183,4.401325,-0.914487,0.166486,-0.9218200000000001,26.7638,38.4529,-18.2488
0.6110770000000001,-2.8196529999999997,13.931466,2.427191,-0.081183,4.401325,-0.914487,0.166486,-0.9218200000000001,26.7638,38.4529,-18.2488
0.6110770000000001,-2.8196529999999997,13.931466,2.427191,-0.081183,4.401325,-0.7579319999999999,0.052530999999999994,-1.102871,26.7638,38.4529,-18.2488
0.500884,-2.920264,14.362656,2.10807,0.21061100000000002,4.779235,-0.7579319999999999,0.052530999999999994,-1.102871,26.1622,39.883,-16.6894
0.500884,-2.920264,14.362656,2.10807,0.21061100000000002,4.779235,-0.7579319999999999,0.052530999999999994,-1.102871,26.1622,39.883,-16.6894
0.500884,-2.920264,14.362656,2.10807,0.21061100000000002,4.779235,-0.521502,-0.028408999999999997,-1.294571,26.1622,39.883,-16.6894
-0.062059,-2.8388169999999997,14.563878,1.422765,0.588226,5.274405000000001,-0.521502,-0.028408999999999997,-1.294571,25.1748,41.5516,-15.292
-0.062059,-2.8388169999999997,14.563878,1.422765,0.588226,5.274405000000001,-0.521502,-0.028408999999999997,-1.294571,25.1748,41.5516,-15.292
-0.062059,-2.8388169999999997,14.563878,1.422765,0.588226,5.274405000000001,-0.162597,0.0035409999999999994,-1.340365,25.1748,41.5516,-15.292
-0.81185,-2.714251,14.484826000000002,0.547199,0.821772,5.287905,-0.162597,0.0035409999999999994,-1.340365,25.1748,41.5516,-15.292
-0.81185,-2.714251,14.484826000000002,0.547199,0.821772,5.287905,-0.162597,0.0035409999999999994,-1.340365,25.1748,41.5516,-15.292
-0.81185,-2.714251,14.484826000000002,0.547199,0.821772,5.287905,-0.162597,0.0035409999999999994,-1.340365,23.6539,42.435,-15.0283
-0.81185,-2.714251,14.484826000000002,0.547199,0.821772,5.287905,-0.162597,0.0035409999999999994,-1.340365,23.6539,42.435,-15.0283
-1.556851,-2.857981,14.178203,-0.33200999999999997,0.798353,4.8915489999999995,0.122823,-0.053969,-1.288181,23.6539,42.435,-15.0283
-1.556851,-2.857981,14.178203,-0.33200999999999997,0.798353,4.8915489999999995,0.122823,-0.053969,-1.288181,21.9496,43.5377,-14.0531
-2.622848,-2.9011,13.246353,-0.33200999999999997,0.798353,4.8915489999999995,0.122823,-0.053969,-1.288181,21.9496,43.5377,-14.0531
-2.622848,-2.9011,13.246353,-1.673591,0.6368189999999999,3.893874,0.261273,-0.197744,-1.14547,21.9496,43.5377,-14.0531
-2.622848,-2.9011,13.246353,-1.673591,0.6368189999999999,3.893874,0.261273,-0.197744,-1.14547,19.7698,44.0186,-14.2138
-3.2528650000000003,-3.3203129999999996,14.240485000000001,-1.673591,0.6368189999999999,3.893874,0.261273,-0.197744,-1.14547,19.7698,44.0186,-14.2138
-3.2528650000000003,-3.3203129999999996,14.240485000000001,-2.520193,0.200006,4.763184,0.319848,-0.321284,-1.016605,19.7698,44.0186,-14.2138
-3.2528650000000003,-3.3203129999999996,14.240485000000001,-2.520193,0.200006,4.763184,0.319848,-0.321284,-1.016605,18.5712,44.8259,-14.7016
-4.038589,-4.012612,14.381820000000001,-2.520193,0.200006,4.763184,0.319848,-0.321284,-1.016605,18.5712,44.8259,-14.7016
-4.038589,-4.012612,14.381820000000001,-3.491858,-0.604119,4.824098,0.49557299999999993,-0.356429,-0.8462059999999999,18.5712,44.8259,-14.7016
-4.038589,-4.012612,14.381820000000001,-3.491858,-0.604119,4.824098,0.49557299999999993,-0.356429,-0.8462059999999999,18.5712,44.8259,-14.7016
-4.2206470000000005,-4.283304,14.264441,-3.491858,-0.604119,4.824098,0.49557299999999993,-0.356429,-0.8462059999999999,17.9195,45.3709,-15.1807
-4.2206470000000005,-4.283304,14.264441,-4.011751,-1.214751,4.1897839999999995,0.706443,-0.408614,-0.621491,17.9195,45.3709,-15.1807
-4.671001,-4.405474,12.882237,-4.011751,-1.214751,4.1897839999999995,0.706443,-0.408614,-0.621491,17.9195,45.3709,-15.1807
-4.671001,-4.405474,12.882237,-4.011751,-1.214751,4.1897839999999995,0.706443,-0.408614,-0.621491,15.6983,45.8889,-16.1364
-4.671001,-4.405474,12.882237,-4.381626,-1.249916,2.74498,0.8629979999999999,-0.491684,-0.382931,15.6983,45.8889,-16.1364
-4.397914,-4.086873000000001,11.418586999999999,-4.381626,-1.249916,2.74498,0.8629979999999999,-0.491684,-0.382931,15.6983,45.8889,-16.1364
-4.397914,-4.086873000000001,11.418586999999999,-4.26989,-1.186315,1.4379629999999999,0.8629979999999999,-0.491684,-0.382931,15.6983,45.8889,-16.1364
-4.397914,-4.086873000000001,11.418586999999999,-4.26989,-1.186315,1.4379629999999999,0.9567180000000001,-0.584339,-0.149696,14.555,45.5226,-17.6499
-3.789457,-3.8209720000000003,10.843666,-4.26989,-1.186315,1.4379629999999999,0.9567180000000001,-0.584339,-0.149696,14.555,45.5226,-17.6499
-3.789457,-3.8209720000000003,10.843666,-3.6349169999999997,-1.112882,0.757979,0.9567180000000001,-0.584339,-0.149696,14.555,45.5226,-17.6499
-3.789457,-3.8209720000000003,10.843666,-3.6349169999999997,-1.112882,0.757979,1.249593,-0.359624,0.10803399999999999,14.2666,44.4291,-19.3576
-2.898331,-3.183769,8.951221,-3.6349169999999997,-1.112882,0.757979,1.249593,-0.359624,0.10803399999999999,14.2666,44.4291,-19.3576
-2.898331,-3.183769,8.951221,-3.6349169999999997,-1.112882,0.757979,1.249593,-0.359624,0.10803399999999999,14.2666,44.4291,-19.3576
-1.9425259999999998,-3.020875,7.286349,-2.6493580000000003,-0.846317,-1.7556040000000002,1.214448,-0.254189,0.23796399999999998,14.2666,44.4291,-19.3576
-1.9425259999999998,-3.020875,7.286349,-2.6493580000000003,-0.846317,-1.7556040000000002,1.214448,-0.254189,0.23796399999999998,13.3301,43.6309,-21.2883
-1.9425259999999998,-3.020875,7.286349,-2.6493580000000003,-0.846317,-1.7556040000000002,1.214448,-0.254189,0.23796399999999998,13.3301,43.6309,-21.2883
-0.842992,-2.651968,6.819227000000001,-1.446509,-0.989808,-3.190484,0.964173,-0.244604,0.223054,13.3301,43.6309,-21.2883
-0.842992,-2.651968,6.819227000000001,-1.446509,-0.989808,-3.190484,0.964173,-0.244604,0.223054,12.6551,42.8796,-22.6173
-0.842992,-2.651968,6.819227000000001,-1.446509,-0.989808,-3.190484,0.964173,-0.244604,0.223054,12.6551,42.8796,-22.6173
-0.074036,-2.441164,6.776108,-0.45709399999999994,-1.008155,-3.2867580000000003,0.741588,-0.13916900000000001,0.152764,12.6551,42.8796,-22.6173
-0.074036,-2.441164,6.776108,-0.45709399999999994,-1.008155,-3.2867580000000003,0.741588,-0.13916900000000001,0.152764,13.2051,42.3201,-23.6301
-0.074036,-2.441164,6.776108,-0.45709399999999994,-1.008155,-3.2867580000000003,0.741588,-0.13916900000000001,0.152764,13.2051,42.3201,-23.6301
1.375241,-1.9596689999999999,7.406124,1.085958,-0.682398,-2.692847,0.6787529999999999,0.085546,0.10483900000000002,13.2051,42.3201,-23.6301
1.375241,-1.9596689999999999,7.406124,1.085958,-0.682398,-2.692847,0.6787529999999999,0.085546,0.10483900000000002,13.2051,42.3201,-23.6301
1.375241,-1.9596689999999999,7.406124,1.085958,-0.682398,-2.692847,0.6787529999999999,0.085546,0.10483900000000002,13.575999999999999,41.6469,-24.1388
2.752654,-1.7656330000000002,6.912650999999999,1.085958,-0.682398,-2.692847,0.6787529999999999,0.085546,0.10483900000000002,13.575999999999999,41.6469,-24.1388
2.752654,-1.7656330000000002,6.912650999999999,2.641879,-0.718746,-3.213804,0.741588,0.269791,-0.030416000000000002,13.575999999999999,41.6469,-24.1388
2.752654,-1.7656330000000002,6.912650999999999,2.641879,-0.718746,-3.213804,0.741588,0.269791,-0.030416000000000002,13.575999999999999,41.6469,-24.1388
3.370693,-1.7488650000000001,6.256284,2.641879,-0.718746,-3.213804,0.741588,0.269791,-0.030416000000000002,13.6399,41.3365,-24.9078
3.370693,-1.7488650000000001,6.256284,3.410947,-0.879441,-3.9001629999999996,0.520068,0.235711,-0.204011,13.6399,41.3365,-24.9078
3.370693,-1.7488650000000001,6.256284,3.410947,-0.879441,-3.9001629999999996,0.520068,0.235711,-0.204011,13.6399,41.3365,-24.9078
3.370693,-1.7488650000000001,6.256284,3.410947,-0.879441,-3.9001629999999996,0.520068,0.235711,-0.204011,13.6399,41.3365,-24.9078
3.466513,-1.70335,6.709034,3.5691300000000004,-0.8630709999999999,-3.577929,0.299613,0.238906,-0.25300100000000003,13.6399,41.3365,-24.9078
3.466513,-1.70335,6.709034,3.5691300000000004,-0.8630709999999999,-3.577929,0.299613,0.238906,-0.25300100000000003,13.7963,40.1536,-25.4871
3.466513,-1.70335,6.709034,3.5691300000000004,-0.8630709999999999,-3.577929,0.299613,0.238906,-0.25300100000000003,13.7963,40.1536,-25.4871
3.138329,-1.4302629999999998,8.510449000000001,3.5691300000000004,-0.8630709999999999,-3.577929,0.299613,0.238906,-0.25300100000000003,13.7963,40.1536,-25.4871
3.138329,-1.4302629999999998,8.510449000000001,3.155493,-0.7943720000000001,-1.629817,0.061052999999999996,0.521131,-0.324356,14.1321,39.0911,-26.2801
3.138329,-1.4302629999999998,8.510449000000001,3.155493,-0.7943720000000001,-1.629817,0.061052999999999996,0.521131,-0.324356,14.1321,39.0911,-26.2801
2.846078,-1.4087040000000002,8.639807000000001,3.030869,-0.70067,-1.420931,0.061052999999999996,0.521131,-0.324356,14.1321,39.0911,-26.2801
2.846078,-1.4087040000000002,8.639807000000001,3.030869,-0.70067,-1.420931,0.205893,0.337951,-0.459611,14.0483,39.3546,-25.9753
2.846078,-1.4087040000000002,8.639807000000001,3.030869,-0.70067,-1.420931,0.205893,0.337951,-0.459611,14.0483,39.3546,-25.9753
1.9333930000000001,-1.5332700000000001,9.914212,2.198359,-0.891408,-0.24107199999999998,0.205893,0.337951,-0.459611,14.0483,39.3546,-25.9753
1.9333930000000001,-1.5332700000000001,9.914212,2.198359,-0.891408,-0.24107199999999998,0.353928,0.234646,-0.548005,14.0483,39.3546,-25.9753
1.9333930000000001,-1.5332700000000001,9.914212,2.198359,-0.891408,-0.24107199999999998,0.353928,0.234646,-0.548005,14.1099,39.263000000000005,-25.9539
2.000467,-0.9248129999999999,10.244791000000001,2.198359,-0.891408,-0.24107199999999998,0.353928,0.234646,-0.548005,14.1099,39.263000000000005,-25.9539
2.000467,-0.9248129999999999,10.244791000000001,2.207297,-0.391469,0.07524600000000001,0.40824299999999997,0.051466,-0.651311,14.1099,39.263000000000005,-25.9539
2.000467,-0.9248129999999999,10.244791000000001,2.207297,-0.391469,0.07524600000000001,0.40824299999999997,0.051466,-0.651311,13.2468,39.0536,-26.8287
2.3262549999999997,-0.443317,9.027878,2.207297,-0.391469,0.07524600000000001,0.40824299999999997,0.051466,-0.651311,13.2468,39.0536,-26.8287
2.3262549999999997,-0.443317,9.027878,2.578195,0.00186,-1.018075,0.017388,-0.093374,-0.82171,13.2468,39.0536,-26.8287
2.896384,-0.369057,9.130884,2.578195,0.00186,-1.018075,0.017388,-0.093374,-0.82171,13.2468,39.0536,-26.8287
2.896384,-0.369057,9.130884,2.578195,0.00186,-1.018075,0.017388,-0.093374,-0.82171,12.2999,39.1374,-26.8956
2.896384,-0.369057,9.130884,2.958774,0.160882,-0.517145,-0.434172,-0.23608400000000002,-1.2359950000000002,12.2999,39.1374,-26.8956
2.896384,-0.369057,9.130884,2.958774,0.160882,-0.517145,-0.434172,-0.23608400000000002,-1.2359950000000002,12.2999,39.1374,-26.8956
2.285531,-0.40978000000000003,10.208859,2.958774,0.160882,-0.517145,-0.434172,-0.23608400000000002,-1.2359950000000002,11.5748,39.1775,-27.1538
2.285531,-0.40978000000000003,10.208859,1.974027,0.242159,0.194751,-0.356427,-0.281879,-1.46071,11.5748,39.1775,-27.1538
1.6627009999999998,-0.67089,9.768087,1.974027,0.242159,0.194751,-0.356427,-0.281879,-1.46071,11.5748,39.1775,-27.1538
1.6627009999999998,-0.67089,9.768087,1.974027,0.242159,0.194751,-0.356427,-0.281879,-1.46071,10.4526,40.3537,-26.6207
1.6627009999999998,-0.67089,9.768087,1.468733,-0.186698,-0.7103189999999999,-0.536412,-0.409679,-1.574665,10.4526,40.3537,-26.6207
1.2003700000000002,-1.1643629999999998,9.035064,1.468733,-0.186698,-0.7103189999999999,-0.536412,-0.409679,-1.574665,10.4526,40.3537,-26.6207
1.2003700000000002,-1.1643629999999998,9.035064,1.468733,-0.186698,-0.7103189999999999,-0.536412,-0.409679,-1.574665,9.4591,40.9172,-26.483
1.2003700000000002,-1.1643629999999998,9.035064,0.389361,0.032944,0.33916199999999996,-0.6759270000000001,-0.7121390000000001,-1.642826,9.4591,40.9172,-26.483
0.184678,-0.9391860000000001,10.091479,0.389361,0.032944,0.33916199999999996,-0.6759270000000001,-0.7121390000000001,-1.642826,9.4591,40.9172,-26.483
0.184678,-0.9391860000000001,10.091479,0.389361,0.032944,0.33916199999999996,-0.6759270000000001,-0.7121390000000001,-1.642826,9.4591,40.9172,-26.483
0.184678,-0.9391860000000001,10.091479,-0.9203020000000001,0.031312,0.5770649999999999,-0.440562,-0.5779489999999999,-1.409591,7.4132,41.9359,-26.1869
-0.9651620000000001,-1.6650220000000002,10.050756,-0.9203020000000001,0.031312,0.5770649999999999,-0.440562,-0.5779489999999999,-1.409591,7.4132,41.9359,-26.1869
-0.9651620000000001,-1.6650220000000002,10.050756,-0.9203020000000001,0.031312,0.5770649999999999,-0.440562,-0.5779489999999999,-1.409591,7.4132,41.9359,-26.1869
-2.119793,-3.2532389999999998,10.285515,-2.181898,-0.987215,0.09337000000000001,-0.194547,-0.288269,-1.059205,4.5232,42.8951,-25.7803
-2.119793,-3.2532389999999998,10.285515,-2.181898,-0.987215,0.09337000000000001,-0.194547,-0.288269,-1.059205,4.5232,42.8951,-25.7803
-2.119793,-3.2532389999999998,10.285515,-2.181898,-0.987215,0.09337000000000001,-0.194547,-0.288269,-1.059205,4.5232,42.8951,-25.7803
-2.119793,-3.2532389999999998,10.285515,-2.181898,-0.987215,0.09337000000000001,-0.194547,-0.288269,-1.059205,4.5232,42.8951,-25.7803
-3.3965949999999996,-4.954044000000001,10.709518,-3.9631529999999997,-3.411373,0.704958,0.018453,0.177136,-0.765265,2.9057,43.5172,-25.0287
-3.3965949999999996,-4.954044000000001,10.709518,-3.9631529999999997,-3.411373,0.704958,0.018453,0.177136,-0.765265,2.9057,43.5172,-25.0287
-3.3965949999999996,-4.954044000000001,10.709518,-3.9631529999999997,-3.411373,0.704958,0.018453,0.177136,-0.765265,2.9057,43.5172,-25.0287
-5.277062,-4.798336,9.645916999999999,-5.896622,-3.637858,-0.187987,0.106848,0.059986000000000005,-0.635336,1.2538,43.7216,-24.2123
-5.277062,-4.798336,9.645916999999999,-5.896622,-3.637858,-0.187987,0.106848,0.059986000000000005,-0.635336,1.2538,43.7216,-24.2123
-5.140518,-4.980394,10.398104,-5.896622,-3.637858,-0.187987,0.106848,0.059986000000000005,-0.635336,1.2538,43.7216,-24.2123
-5.140518,-4.980394,10.398104,-5.896622,-3.637858,-0.187987,0.106848,0.059986000000000005,-0.635336,1.2538,43.7216,-24.2123
-5.140518,-4.980394,10.398104,-5.874994999999999,-3.722771,0.480312,0.033363,-0.044384,-0.609776,0.1716,43.4081,-24.1769
-5.193219,-4.077291000000001,10.410081,-5.874994999999999,-3.722771,0.480312,0.033363,-0.044384,-0.609776,0.1716,43.4081,-24.1769
