ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.831,-0.419,29.721999999999998,0.095,2.502,19.750999999999998,-1.472,0.311,-0.473,0.1,-27.2,-39.4
0.39399999999999996,-2.044,28.695999999999998,0.095,2.502,19.750999999999998,-0.53,-0.457,-0.275,0.1,-27.2,-39.4
0.39399999999999996,-2.044,28.695999999999998,0.095,2.502,19.750999999999998,-0.53,-0.457,-0.275,0.4,-26.1,-40.6
0.39399999999999996,-2.044,28.695999999999998,1.9240000000000002,-0.204,18.410999999999998,-0.53,-0.457,-0.275,0.4,-26.1,-40.6
1.165,-3.9010000000000002,26.818,1.9240000000000002,-0.204,18.410999999999998,1.0190000000000001,-0.79,-0.49,0.4,-26.1,-40.6
1.165,-3.9010000000000002,26.818,1.9240000000000002,-0.204,18.410999999999998,1.0190000000000001,-0.79,-0.49,0.4,-26.1,-40.6
1.165,-3.9010000000000002,26.818,0.83,-1.38,13.148,1.0190000000000001,-0.79,-0.49,-0.8,-27.5,-38.2
0.251,-4.08,21.197,0.83,-1.38,13.148,2.414,-0.726,-0.759,-0.8,-27.5,-38.2
0.251,-4.08,21.197,0.83,-1.38,13.148,2.414,-0.726,-0.759,-0.8,-27.5,-38.2
0.095,-3.46,15.815,0.342,-1.5619999999999998,7.582999999999999,2.414,-0.726,-0.759,-0.2,-30.6,-37.0
0.095,-3.46,15.815,0.342,-1.5619999999999998,7.582999999999999,2.852,-0.402,-0.847,-0.2,-30.6,-37.0
0.095,-3.46,15.815,-0.196,-1.8880000000000001,3.0269999999999997,2.852,-0.402,-0.847,-0.2,-30.6,-37.0
-0.075,-3.2260000000000004,12.877,-0.196,-1.8880000000000001,3.0269999999999997,2.852,-0.402,-0.847,-0.2,-30.6,-37.0
-0.075,-3.2260000000000004,12.877,-0.196,-1.8880000000000001,3.0269999999999997,2.852,-0.402,-0.847,0.4,-34.6,-31.9
-0.075,-3.2260000000000004,12.877,0.282,-2.5839999999999996,1.777,2.594,-0.033,-0.905,0.4,-34.6,-31.9
0.55,-2.967,11.109000000000002,0.282,-2.5839999999999996,1.777,2.594,-0.033,-0.905,0.4,-34.6,-31.9
0.55,-2.967,11.109000000000002,0.282,-2.5839999999999996,1.777,2.594,-0.033,-0.905,1.0,-36.0,-29.5
0.55,-2.967,11.109000000000002,0.282,-2.5839999999999996,1.777,2.346,0.061,-1.168,1.0,-36.0,-29.5
-0.331,-1.685,9.501,-0.128,-2.13,-0.68,2.346,0.061,-1.168,1.0,-36.0,-29.5
-0.331,-1.685,9.501,-0.128,-2.13,-0.68,2.346,0.061,-1.168,3.4,-38.6,-28.6
-0.331,-1.685,9.501,-0.128,-2.13,-0.68,1.98,0.023,-1.254,3.4,-38.6,-28.6
-2.405,-0.527,9.111,-2.439,-1.429,-1.121,1.98,0.023,-1.254,3.4,-38.6,-28.6
-2.405,-0.527,9.111,-2.439,-1.429,-1.121,1.98,0.023,-1.254,3.4,-38.6,-28.6
-2.405,-0.527,9.111,-2.439,-1.429,-1.121,1.98,0.023,-1.254,4.0,-40.0,-25.6
-3.597,-0.079,8.56,-3.597,-1.531,-1.597,1.979,-0.195,-0.805,4.0,-40.0,-25.6
-3.597,-0.079,8.56,-3.597,-1.531,-1.597,1.979,-0.195,-0.805,4.0,-40.0,-25.6
-2.214,-0.151,5.4639999999999995,-2.262,-2.169,-4.569,1.979,-0.195,-0.805,3.4,-40.8,-22.3
-2.214,-0.151,5.4639999999999995,-2.262,-2.169,-4.569,2.008,-0.325,-0.358,3.4,-40.8,-22.3
-2.214,-0.151,5.4639999999999995,-2.262,-2.169,-4.569,2.008,-0.325,-0.358,3.4,-40.8,-22.3
-1.723,0.32299999999999995,4.277,-1.8019999999999998,-2.211,-5.593,2.008,-0.325,-0.358,4.3,-42.2,-21.1
-1.723,0.32299999999999995,4.277,-1.8019999999999998,-2.211,-5.593,1.6740000000000002,-0.147,-0.17800000000000002,4.3,-42.2,-21.1
-1.723,0.32299999999999995,4.277,-1.8019999999999998,-2.211,-5.593,1.6740000000000002,-0.147,-0.17800000000000002,4.3,-42.2,-21.1
-1.8259999999999998,0.6459999999999999,3.763,-1.9069999999999998,-2.39,-6.023,1.6740000000000002,-0.147,-0.17800000000000002,5.8,-43.4,-19.0
-1.8259999999999998,0.6459999999999999,3.763,-1.9069999999999998,-2.39,-6.023,1.405,-0.214,-0.10800000000000001,5.8,-43.4,-19.0
-1.8259999999999998,0.6459999999999999,3.763,-1.9069999999999998,-2.39,-6.023,1.405,-0.214,-0.10800000000000001,5.8,-43.4,-19.0
-1.496,0.447,2.94,-1.63,-3.0,-6.801,1.405,-0.214,-0.10800000000000001,4.3,-43.6,-18.1
-1.496,0.447,2.94,-1.63,-3.0,-6.801,1.405,-0.214,-0.10800000000000001,4.3,-43.6,-18.1
-1.764,0.55,2.219,-1.63,-3.0,-6.801,1.141,-0.276,-0.188,4.3,-43.6,-18.1
-1.764,0.55,2.219,-1.63,-3.0,-6.801,1.141,-0.276,-0.188,4.0,-44.1,-16.6
-1.764,0.55,2.219,-1.9769999999999999,-2.775,-6.92,1.141,-0.276,-0.188,4.0,-44.1,-16.6
-1.474,0.7509999999999999,2.009,-1.9769999999999999,-2.775,-6.92,0.7490000000000001,-0.35600000000000004,-0.10400000000000001,4.0,-44.1,-16.6
