ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.175,1.0979999999999999,11.819,1.054,0.39,-0.27699999999999997,0.8190000000000001,-0.077,0.37200000000000005,1.1,-40.5,-19.3
0.153,2.682,7.492999999999999,1.054,0.39,-0.27699999999999997,0.8190000000000001,-0.077,0.37200000000000005,1.1,-40.5,-19.3
0.153,2.682,7.492999999999999,1.633,0.889,-2.0180000000000002,0.8190000000000001,-0.077,0.37200000000000005,-2.5,-39.6,-19.0
0.153,2.682,7.492999999999999,1.633,0.889,-2.0180000000000002,-0.151,-0.14400000000000002,0.6409999999999999,-2.5,-39.6,-19.0
1.275,2.385,8.69,1.633,0.889,-2.0180000000000002,-0.151,-0.14400000000000002,0.6409999999999999,-2.5,-39.6,-19.0
1.275,2.385,8.69,1.633,0.889,-2.0180000000000002,-0.151,-0.14400000000000002,0.6409999999999999,-2.5,-39.6,-19.0
1.275,2.385,8.69,2.437,0.436,-0.66,-0.151,-0.14400000000000002,0.6409999999999999,-1.3,-39.8,-18.7
2.103,2.0140000000000002,8.752,2.437,0.436,-0.66,-0.115,0.055,0.718,-1.3,-39.8,-18.7
2.103,2.0140000000000002,8.752,2.437,0.436,-0.66,-0.115,0.055,0.718,-1.3,-39.8,-18.7
2.103,2.0140000000000002,8.752,2.81,0.079,-1.9369999999999998,-0.115,0.055,0.718,-2.5,-40.0,-19.0
1.9980000000000002,1.49,7.376,2.81,0.079,-1.9369999999999998,-0.026000000000000002,0.22,0.7979999999999999,-2.5,-40.0,-19.0
1.9980000000000002,1.49,7.376,2.81,0.079,-1.9369999999999998,-0.026000000000000002,0.22,0.7979999999999999,-2.5,-40.0,-19.0
1.7919999999999998,1.014,7.055,2.477,-0.685,-2.406,-0.026000000000000002,0.22,0.7979999999999999,-2.5,-40.0,-19.0
1.7919999999999998,1.014,7.055,2.477,-0.685,-2.406,-0.011000000000000001,0.146,0.6779999999999999,-4.3,-39.3,-20.8
1.7919999999999998,1.014,7.055,2.477,-0.685,-2.406,-0.011000000000000001,0.146,0.6779999999999999,-4.3,-39.3,-20.8
2.342,0.593,5.938,3.0239999999999996,-1.021,-3.4939999999999998,-0.011000000000000001,0.146,0.6779999999999999,-4.3,-39.3,-20.8
2.342,0.593,5.938,3.0239999999999996,-1.021,-3.4939999999999998,-0.011000000000000001,0.146,0.6779999999999999,-5.2,-39.8,-18.7
2.342,0.593,5.938,3.0239999999999996,-1.021,-3.4939999999999998,-0.28600000000000003,0.002,0.445,-5.2,-39.8,-18.7
2.251,-0.35200000000000004,5.186,3.0389999999999997,-1.817,-4.235,-0.28600000000000003,0.002,0.445,-5.2,-39.8,-18.7
2.251,-0.35200000000000004,5.186,3.0389999999999997,-1.817,-4.235,-0.28600000000000003,0.002,0.445,-4.3,-39.4,-19.3
1.311,-0.9570000000000001,5.0360000000000005,1.931,-2.488,-4.513999999999999,-0.475,-0.092,0.195,-4.3,-39.4,-19.3
1.311,-0.9570000000000001,5.0360000000000005,1.931,-2.488,-4.513999999999999,-0.475,-0.092,0.195,-4.3,-39.4,-19.3
1.311,-0.9570000000000001,5.0360000000000005,1.931,-2.488,-4.513999999999999,-0.475,-0.092,0.195,-4.3,-39.4,-19.3
1.454,-1.709,5.309,1.931,-2.488,-4.513999999999999,-0.425,-0.295,0.059000000000000004,-5.8,-39.6,-20.2
1.454,-1.709,5.309,2.124,-3.097,-4.232,-0.425,-0.295,0.059000000000000004,-5.8,-39.6,-20.2
1.454,-1.709,5.309,2.124,-3.097,-4.232,-0.425,-0.295,0.059000000000000004,-5.8,-39.6,-20.2
2.05,-1.97,4.251,2.124,-3.097,-4.232,-0.425,-0.295,0.059000000000000004,-6.7,-38.6,-20.8
2.05,-1.97,4.251,3.214,-3.565,-6.271,-0.259,-0.7090000000000001,-0.048,-6.7,-38.6,-20.8
3.273,-2.714,2.937,3.214,-3.565,-6.271,-0.259,-0.7090000000000001,-0.048,-6.7,-38.6,-20.8
3.273,-2.714,2.937,3.214,-3.565,-6.271,-0.259,-0.7090000000000001,-0.048,-6.7,-38.6,-20.8
3.273,-2.714,2.937,3.635,-3.616,-6.193,-0.833,-0.21,-0.222,-6.4,-37.5,-22.0
1.536,-1.7590000000000001,5.811,3.635,-3.616,-6.193,-0.833,-0.21,-0.222,-6.4,-37.5,-22.0
1.536,-1.7590000000000001,5.811,3.635,-3.616,-6.193,-0.833,-0.21,-0.222,-6.4,-37.5,-22.0
1.536,-1.7590000000000001,5.811,0.215,-1.625,-0.5820000000000001,-1.337,0.001,-0.251,-6.1,-37.2,-22.6
-0.41200000000000003,-0.8740000000000001,10.312000000000001,0.215,-1.625,-0.5820000000000001,-1.337,0.001,-0.251,-6.1,-37.2,-22.6
-0.41200000000000003,-0.8740000000000001,10.312000000000001,0.626,-1.665,0.895,-1.337,0.001,-0.251,-6.1,-37.2,-22.6
-0.41200000000000003,-0.8740000000000001,10.312000000000001,0.626,-1.665,0.895,-0.966,-0.256,-0.31,-5.8,-36.7,-24.1
0.672,-0.9359999999999999,10.956,0.626,-1.665,0.895,-0.966,-0.256,-0.31,-5.8,-36.7,-24.1
0.672,-0.9359999999999999,10.956,0.451,-0.556,3.258,-0.966,-0.256,-0.31,-5.8,-36.7,-24.1
0.672,-0.9359999999999999,10.956,0.451,-0.556,3.258,-0.69,0.483,-0.49,-5.5,-36.1,-24.4
-0.522,0.545,15.322000000000001,0.451,-0.556,3.258,-0.69,0.483,-0.49,-5.5,-36.1,-24.4
-0.522,0.545,15.322000000000001,-0.905,1.328,7.216,-0.69,0.483,-0.49,-5.5,-36.1,-24.4
-1.974,1.837,16.910999999999998,-0.905,1.328,7.216,-0.22399999999999998,0.474,-0.544,-5.5,-36.1,-24.4
-1.974,1.837,16.910999999999998,-0.905,1.328,7.216,-0.22399999999999998,0.474,-0.544,-4.6,-36.0,-25.3
-1.974,1.837,16.910999999999998,-3.265,2.481,7.352,-0.22399999999999998,0.474,-0.544,-4.6,-36.0,-25.3
-3.972,2.522,16.653,-3.265,2.481,7.352,-0.22399999999999998,0.474,-0.544,-4.6,-36.0,-25.3
-3.972,2.522,16.653,-3.265,2.481,7.352,0.18600000000000003,0.485,-0.433,-2.8,-36.1,-25.6
-3.972,2.522,16.653,-4.4910000000000005,2.56,5.593,0.18600000000000003,0.485,-0.433,-2.8,-36.1,-25.6
-5.26,2.625,15.117,-4.4910000000000005,2.56,5.593,0.18600000000000003,0.485,-0.433,-2.8,-36.1,-25.6
-5.26,2.625,15.117,-4.4910000000000005,2.56,5.593,-0.127,0.147,-0.204,-1.9,-36.8,-25.0
-5.26,2.625,15.117,-4.4910000000000005,2.56,5.593,-0.127,0.147,-0.204,-1.9,-36.8,-25.0
-4.946000000000001,2.503,15.175999999999998,-4.277,2.488,5.452999999999999,-0.127,0.147,-0.204,-1.9,-36.8,-25.0
-4.946000000000001,2.503,15.175999999999998,-4.277,2.488,5.452999999999999,-0.431,-0.368,0.076,-1.9,-36.8,-25.0
-5.59,1.955,14.745999999999999,-4.277,2.488,5.452999999999999,-0.431,-0.368,0.076,-2.5,-35.8,-26.8
-5.59,1.955,14.745999999999999,-5.107,1.8769999999999998,4.849,-0.431,-0.368,0.076,-2.5,-35.8,-26.8
-5.59,1.955,14.745999999999999,-5.107,1.8769999999999998,4.849,-0.431,-0.368,0.076,-2.5,-35.8,-26.8
-5.568,1.0859999999999999,13.647,-5.107,1.8769999999999998,4.849,-0.111,-0.3,0.13699999999999998,-1.9,-36.3,-25.9
-5.568,1.0859999999999999,13.647,-4.698,0.985,3.6210000000000004,-0.111,-0.3,0.13699999999999998,-1.9,-36.3,-25.9
-5.568,1.0859999999999999,13.647,-4.698,0.985,3.6210000000000004,-0.111,-0.3,0.13699999999999998,-1.9,-36.3,-25.9
-4.542,0.56,12.280999999999999,-4.698,0.985,3.6210000000000004,0.22399999999999998,-0.10300000000000001,0.355,-4.0,-35.1,-25.0
-4.542,0.56,12.280999999999999,-4.698,0.985,3.6210000000000004,0.22399999999999998,-0.10300000000000001,0.355,-4.0,-35.1,-25.0
-4.542,0.56,12.280999999999999,-3.648,0.475,1.931,0.22399999999999998,-0.10300000000000001,0.355,-4.0,-35.1,-25.0
-3.6639999999999997,0.138,11.446,-3.648,0.475,1.931,0.38,0.168,0.649,-4.0,-35.1,-25.0
-3.6639999999999997,0.138,11.446,-3.648,0.475,1.931,0.38,0.168,0.649,-4.3,-36.1,-25.0
-3.6639999999999997,0.138,11.446,-2.763,-0.185,1.19,0.38,0.168,0.649,-4.3,-36.1,-25.0
