ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
2.414888,-1.600344,9.624357,-0.755497,-0.11740199999999999,0.073885,-0.457586,0.043713999999999996,-0.80169,26.4887,4.7455,-35.244
2.414888,-1.600344,9.624357,-0.755497,-0.11740199999999999,0.073885,-0.457586,0.043713999999999996,-0.80169,26.4887,4.7455,-35.244
2.414888,-1.600344,9.624357,-0.755497,-0.11740199999999999,0.073885,-0.457586,0.043713999999999996,-0.80169,26.4887,4.7455,-35.244
2.414888,-1.600344,9.624357,-0.755497,-0.11740199999999999,0.073885,-0.457586,0.043713999999999996,-0.80169,26.4887,4.7455,-35.244
2.882011,-1.597948,9.595611,-0.248852,0.030914999999999998,0.15321300000000002,-0.442676,0.13636900000000002,-0.996585,26.7115,6.1101,-35.2844
2.882011,-1.597948,9.595611,-0.248852,0.030914999999999998,0.15321300000000002,-0.442676,0.13636900000000002,-0.996585,26.7115,6.1101,-35.2844
3.008972,-1.365585,9.284196000000001,-0.248852,0.030914999999999998,0.15321300000000002,-0.442676,0.13636900000000002,-0.996585,26.7115,6.1101,-35.2844
3.008972,-1.365585,9.284196000000001,-0.092799,0.294539,-0.128804,-0.395816,0.172579,-1.030665,26.7115,6.1101,-35.2844
3.008972,-1.365585,9.284196000000001,-0.092799,0.294539,-0.128804,-0.395816,0.172579,-1.030665,26.9636,8.3345,-34.4095
3.243731,-1.284138,9.32492,-0.092799,0.294539,-0.128804,-0.395816,0.172579,-1.030665,26.9636,8.3345,-34.4095
3.243731,-1.284138,9.32492,0.16863499999999998,0.467955,-0.128326,-0.35641100000000003,0.152344,-1.05942,26.9636,8.3345,-34.4095
3.243731,-1.284138,9.32492,0.16863499999999998,0.467955,-0.128326,-0.35641100000000003,0.152344,-1.05942,26.8619,9.8617,-34.707
3.710854,-1.255392,9.574052,0.16863499999999998,0.467955,-0.128326,-0.35641100000000003,0.152344,-1.05942,26.8619,9.8617,-34.707
3.710854,-1.255392,9.574052,0.5890310000000001,0.37654,0.191598,-0.344696,0.196009,-1.0849799999999998,26.8619,9.8617,-34.707
3.710854,-1.255392,9.574052,0.5890310000000001,0.37654,0.191598,-0.344696,0.196009,-1.0849799999999998,26.8619,9.8617,-34.707
3.8258379999999996,-1.046983,9.384807,0.541899,0.5816819999999999,-0.048962,-0.344696,0.196009,-1.0849799999999998,26.3758,11.589,-34.4493
3.8258379999999996,-1.046983,9.384807,0.541899,0.5816819999999999,-0.048962,-0.31594099999999997,0.232219,-1.007235,26.3758,11.589,-34.4493
3.8258379999999996,-1.046983,9.384807,0.541899,0.5816819999999999,-0.048962,-0.31594099999999997,0.232219,-1.007235,26.3758,11.589,-34.4493
3.888121,-0.9056489999999999,9.15963,0.7420720000000001,0.685914,-0.073658,-0.31594099999999997,0.232219,-1.007235,26.3006,12.7446,-33.4235
3.888121,-0.9056489999999999,9.15963,0.7420720000000001,0.685914,-0.073658,-0.299966,0.296119,-0.97209,26.3006,12.7446,-33.4235
3.938426,-0.8840889999999999,9.432717,0.7420720000000001,0.685914,-0.073658,-0.299966,0.296119,-0.97209,26.3006,12.7446,-33.4235
3.938426,-0.8840889999999999,9.432717,0.798491,0.724421,0.001775,-0.299966,0.296119,-0.97209,26.3006,12.7446,-33.4235
3.938426,-0.8840889999999999,9.432717,0.798491,0.724421,0.001775,-0.23074099999999997,0.370669,-0.94014,26.930999999999997,13.7459,-33.1642
4.12288,-0.757128,9.188376,0.798491,0.724421,0.001775,-0.23074099999999997,0.370669,-0.94014,26.930999999999997,13.7459,-33.1642
