ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-2.802511,-0.14388,4.600994,1.019572,-1.3244129999999998,-6.485978,1.620262,-0.156607,0.36034299999999997,-19.9592,9.9284,-35.3082
-2.095838,0.19628099999999998,2.174352,1.111948,-1.341135,-7.033372,1.548907,-0.276952,0.329458,-20.0726,9.3792,-35.4548
-2.095838,0.19628099999999998,2.174352,1.111948,-1.341135,-7.033372,1.548907,-0.276952,0.329458,-20.0726,9.3792,-35.4548
-2.095838,0.19628099999999998,2.174352,1.111948,-1.341135,-7.033372,1.548907,-0.276952,0.329458,-20.0726,9.3792,-35.4548
-1.7437,0.100461,0.9310879999999999,1.234245,-1.872741,-8.453614,0.6969069999999999,-0.486757,0.241063,-20.0757,6.6346,-35.7962
-1.7437,0.100461,0.9310879999999999,1.234245,-1.872741,-8.453614,0.6969069999999999,-0.486757,0.241063,-20.0757,6.6346,-35.7962
-1.7437,0.100461,0.9310879999999999,1.234245,-1.872741,-8.453614,0.6969069999999999,-0.486757,0.241063,-20.0757,6.6346,-35.7962
-1.437076,-0.306774,1.673693,1.4295930000000001,-2.279876,-7.798535,-0.167873,-0.170452,0.10261300000000001,-20.0757,6.6346,-35.7962
-1.437076,-0.306774,1.673693,1.4295930000000001,-2.279876,-7.798535,-0.167873,-0.170452,0.10261300000000001,-20.7232,5.4414,-35.6844
-1.437076,-0.306774,1.673693,1.4295930000000001,-2.279876,-7.798535,-0.167873,-0.170452,0.10261300000000001,-20.7232,5.4414,-35.6844
-1.274182,-0.455295,2.56961,1.5756780000000001,-2.476611,-6.906805,-0.167873,-0.170452,0.10261300000000001,-20.7232,5.4414,-35.6844
-1.274182,-0.455295,2.56961,1.5756780000000001,-2.476611,-6.906805,-0.224318,-0.31848699999999996,0.029127999999999998,-21.2718,5.8603,-35.2309
-1.274182,-0.455295,2.56961,1.5756780000000001,-2.476611,-6.906805,-0.224318,-0.31848699999999996,0.029127999999999998,-21.2718,5.8603,-35.2309
-1.166384,-0.41696700000000003,2.95289,1.393313,-2.4324380000000003,-6.627331,-0.224318,-0.31848699999999996,0.029127999999999998,-21.2718,5.8603,-35.2309
-1.166384,-0.41696700000000003,2.95289,1.393313,-2.4324380000000003,-6.627331,0.076012,-0.738097,-0.011342,-21.2718,5.8603,-35.2309
-1.166384,-0.41696700000000003,2.95289,1.393313,-2.4324380000000003,-6.627331,0.076012,-0.738097,-0.011342,-21.7008,6.3737,-34.5651
-0.749567,-0.666099,3.2786779999999998,1.674043,-2.562691,-5.902879,0.076012,-0.738097,-0.011342,-21.7008,6.3737,-34.5651
-0.749567,-0.666099,3.2786779999999998,1.674043,-2.562691,-5.902879,0.402967,-0.678457,-0.036902,-21.7008,6.3737,-34.5651
-0.749567,-0.666099,3.2786779999999998,1.674043,-2.562691,-5.902879,0.402967,-0.678457,-0.036902,-22.2839,6.4002,-33.7373
-0.728008,-0.678076,2.636684,1.539298,-2.788522,-6.759937,0.402967,-0.678457,-0.036902,-22.2839,6.4002,-33.7373
-0.728008,-0.678076,2.636684,1.539298,-2.788522,-6.759937,0.24960700000000002,-0.702952,0.060013,-22.2839,6.4002,-33.7373
-0.728008,-0.678076,2.636684,1.539298,-2.788522,-6.759937,0.24960700000000002,-0.702952,0.060013,-22.2839,6.4002,-33.7373
-0.24651199999999998,-0.395407,3.5565559999999996,1.7809830000000002,-2.5026330000000003,-5.664196,0.24960700000000002,-0.702952,0.060013,-23.3966,5.4028,-33.3032
-0.24651199999999998,-0.395407,3.5565559999999996,1.7809830000000002,-2.5026330000000003,-5.664196,0.06216699999999999,-0.279082,0.024868,-23.3966,5.4028,-33.3032
-0.105178,-0.189394,3.099015,1.7809830000000002,-2.5026330000000003,-5.664196,0.06216699999999999,-0.279082,0.024868,-23.3966,5.4028,-33.3032
-0.105178,-0.189394,3.099015,1.7809830000000002,-2.5026330000000003,-5.664196,0.06216699999999999,-0.279082,0.024868,-23.750999999999998,4.8748,-32.658
-0.105178,-0.189394,3.099015,1.932061,-2.161269,-6.221988,0.06216699999999999,-0.279082,0.024868,-23.750999999999998,4.8748,-32.658
-0.356705,0.447809,1.879706,1.932061,-2.161269,-6.221988,-0.304193,0.09260299999999999,-0.101867,-23.750999999999998,4.8748,-32.658
-0.356705,0.447809,1.879706,1.932061,-2.161269,-6.221988,-0.304193,0.09260299999999999,-0.101867,-24.980999999999998,5.0748,-32.5936
-0.356705,0.447809,1.879706,1.615841,-1.403067,-7.389391000000001,-0.304193,0.09260299999999999,-0.101867,-24.980999999999998,5.0748,-32.5936
-0.11475999999999999,0.419063,2.6510569999999998,1.615841,-1.403067,-7.389391000000001,-0.9261530000000001,-0.073537,-0.24244699999999997,-24.980999999999998,5.0748,-32.5936
-0.11475999999999999,0.419063,2.6510569999999998,1.615841,-1.403067,-7.389391000000001,-0.9261530000000001,-0.073537,-0.24244699999999997,-25.3641,5.1367,-32.5008
0.096044,-0.270841,4.749515,1.615841,-1.403067,-7.389391000000001,-0.9261530000000001,-0.073537,-0.24244699999999997,-25.3641,5.1367,-32.5008
0.096044,-0.270841,4.749515,2.0552259999999998,-1.6738540000000002,-5.114371,-1.116788,0.126683,-0.394742,-25.3641,5.1367,-32.5008
0.096044,-0.270841,4.749515,2.0552259999999998,-1.6738540000000002,-5.114371,-1.116788,0.126683,-0.394742,-25.3641,5.1367,-32.5008
0.096044,-0.270841,4.749515,2.0552259999999998,-1.6738540000000002,-5.114371,-1.116788,0.126683,-0.394742,-25.3784,6.172000000000001,-32.711999999999996
-1.0729600000000001,-0.014523,5.765207,1.067274,-1.4370370000000001,-2.953292,-1.116788,0.126683,-0.394742,-25.3784,6.172000000000001,-32.711999999999996
-1.0729600000000001,-0.014523,5.765207,1.067274,-1.4370370000000001,-2.953292,-0.8771629999999999,0.089408,-0.403262,-25.3784,6.172000000000001,-32.711999999999996
0.553585,-0.8864850000000001,4.663277,1.067274,-1.4370370000000001,-2.953292,-0.8771629999999999,0.089408,-0.403262,-24.9831,6.6701,-33.0464
0.553585,-0.8864850000000001,4.663277,2.410384,-1.7621080000000002,-4.617746,-0.964493,-0.744487,-0.689747,-24.9831,6.6701,-33.0464
0.553585,-0.8864850000000001,4.663277,2.410384,-1.7621080000000002,-4.617746,-0.964493,-0.744487,-0.689747,-24.9831,6.6701,-33.0464
0.443392,-2.20401,6.340127,2.410384,-1.7621080000000002,-4.617746,-0.964493,-0.744487,-0.689747,-24.9831,6.6701,-33.0464
0.443392,-2.20401,6.340127,2.14798,-2.785182,-2.856904,-1.3031629999999998,-0.515512,-0.876122,-25.1541,7.4294,-32.6538
0.443392,-2.20401,6.340127,2.14798,-2.785182,-2.856904,-1.3031629999999998,-0.515512,-0.876122,-25.1541,7.4294,-32.6538
-0.49804,-1.015842,8.567942,2.14798,-2.785182,-2.856904,-1.3031629999999998,-0.515512,-0.876122,-25.1541,7.4294,-32.6538
-0.49804,-1.015842,8.567942,1.217926,-1.4885059999999999,-1.077186,-1.704668,0.8785729999999999,-1.065692,-25.0974,7.704,-32.5805
-0.39982399999999996,-2.2255689999999997,9.229099,1.217926,-1.4885059999999999,-1.077186,-1.704668,0.8785729999999999,-1.065692,-25.0974,7.704,-32.5805
-0.39982399999999996,-2.2255689999999997,9.229099,1.217926,-1.4885059999999999,-1.077186,-1.704668,0.8785729999999999,-1.065692,-25.0974,7.704,-32.5805
-0.39982399999999996,-2.2255689999999997,9.229099,1.056263,-2.735677,-0.5184489999999999,-1.704668,0.8785729999999999,-1.065692,-25.0974,7.704,-32.5805
-2.534215,-3.7538980000000004,7.130642,1.056263,-2.735677,-0.5184489999999999,-1.6215979999999999,1.3237430000000001,-1.325552,-25.3929,8.766,-31.7872
-2.534215,-3.7538980000000004,7.130642,1.056263,-2.735677,-0.5184489999999999,-1.6215979999999999,1.3237430000000001,-1.325552,-25.3929,8.766,-31.7872
-2.534215,-3.7538980000000004,7.130642,-1.066478,-2.949226,-2.632844,-1.6215979999999999,1.3237430000000001,-1.325552,-25.3929,8.766,-31.7872
-2.670758,-3.9838660000000004,6.0598529999999995,-1.066478,-2.949226,-2.632844,-1.653548,-0.254587,-1.205207,-25.3929,8.766,-31.7872
-2.670758,-3.9838660000000004,6.0598529999999995,-1.066478,-2.949226,-2.632844,-1.653548,-0.254587,-1.205207,-25.1086,10.0634,-31.5356
-1.8323330000000002,-5.418771,9.308150999999999,0.687979,-3.3442760000000002,-1.755597,-1.653548,-0.254587,-1.205207,-25.1086,10.0634,-31.5356
-1.8323330000000002,-5.418771,9.308150999999999,0.687979,-3.3442760000000002,-1.755597,-1.917668,-1.474012,-1.465067,-25.1086,10.0634,-31.5356
-1.8323330000000002,-5.418771,9.308150999999999,0.687979,-3.3442760000000002,-1.755597,-1.917668,-1.474012,-1.465067,-25.3761,10.5121,-31.215999999999998
-1.8323330000000002,-5.418771,9.308150999999999,-2.040966,-3.264193,4.842918,-1.917668,-1.474012,-1.465067,-25.3761,10.5121,-31.215999999999998
-4.096081,-5.507404,15.414280999999999,-2.040966,-3.264193,4.842918,-1.7749580000000003,-1.741327,-1.305317,-25.3761,10.5121,-31.215999999999998
-4.096081,-5.507404,15.414280999999999,-2.040966,-3.264193,4.842918,-1.7749580000000003,-1.741327,-1.305317,-26.2319,11.3407,-30.5781
-4.096081,-5.507404,15.414280999999999,-2.040966,-3.264193,4.842918,-1.7749580000000003,-1.741327,-1.305317,-26.2319,11.3407,-30.5781
-4.783589,-6.875235000000001,16.219168,-3.512867,-3.8397059999999996,7.450775,-1.706798,-0.721057,-0.633302,-26.2319,11.3407,-30.5781
-4.783589,-6.875235000000001,16.219168,-3.512867,-3.8397059999999996,7.450775,-1.706798,-0.721057,-0.633302,-26.2319,11.3407,-30.5781
-4.783589,-6.875235000000001,16.219168,-3.512867,-3.8397059999999996,7.450775,-1.706798,-0.721057,-0.633302,-28.3123,12.0468,-28.8051
-4.412287,-6.108675,18.688929,-3.8251779999999997,-3.2050490000000003,9.046935000000001,-2.020973,0.059588,-0.184937,-28.3123,12.0468,-28.8051
-4.412287,-6.108675,18.688929,-3.8251779999999997,-3.2050490000000003,9.046935000000001,-2.020973,0.059588,-0.184937,-28.3123,12.0468,-28.8051
-4.412287,-6.108675,18.688929,-3.8251779999999997,-3.2050490000000003,9.046935000000001,-2.020973,0.059588,-0.184937,-28.3123,12.0468,-28.8051
