ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.234983,-1.720119,1.058049,1.7098419999999999,-5.135064,-8.492671000000001,2.4232720000000003,-0.30038200000000004,0.712858,-26.7175,5.5262,-32.2081
0.043343,-0.7068220000000001,-0.633174,1.7098419999999999,-5.135064,-8.492671000000001,2.4232720000000003,-0.30038200000000004,0.712858,-27.2421,2.7415,-31.4102
0.043343,-0.7068220000000001,-0.633174,1.33851,-4.628775,-10.038253,1.7043970000000002,-0.364282,0.638308,-27.2421,2.7415,-31.4102
0.043343,-0.7068220000000001,-0.633174,1.33851,-4.628775,-10.038253,1.7043970000000002,-0.364282,0.638308,-27.2421,2.7415,-31.4102
0.383504,0.248982,-1.4212930000000001,1.33851,-4.628775,-10.038253,1.7043970000000002,-0.364282,0.638308,-27.2421,2.7415,-31.4102
0.383504,0.248982,-1.4212930000000001,1.672725,-4.00665,-10.653978,1.169767,-0.437767,0.5999680000000001,-28.0725,0.2271,-30.9291
0.383504,0.248982,-1.4212930000000001,1.672725,-4.00665,-10.653978,1.169767,-0.437767,0.5999680000000001,-28.0725,0.2271,-30.9291
1.027894,0.76641,-1.636888,1.672725,-4.00665,-10.653978,1.169767,-0.437767,0.5999680000000001,-28.0725,0.2271,-30.9291
1.027894,0.76641,-1.636888,2.0489580000000003,-3.9999540000000002,-10.672421,0.42852700000000005,-0.475042,0.46258299999999997,-28.0725,0.2271,-30.9291
1.027894,0.76641,-1.636888,2.0489580000000003,-3.9999540000000002,-10.672421,0.42852700000000005,-0.475042,0.46258299999999997,-28.2352,-1.0654,-30.0953
1.72738,0.617889,-1.196116,2.0489580000000003,-3.9999540000000002,-10.672421,0.42852700000000005,-0.475042,0.46258299999999997,-28.2352,-1.0654,-30.0953
1.72738,0.617889,-1.196116,2.595273,-3.873273,-9.396668,-0.130598,-0.566632,0.27833800000000003,-28.2352,-1.0654,-30.0953
2.235226,0.9820049999999999,-0.024717,2.595273,-3.873273,-9.396668,-0.130598,-0.566632,0.27833800000000003,-28.5551,-1.1766,-29.5537
2.235226,0.9820049999999999,-0.024717,2.595273,-3.873273,-9.396668,-0.130598,-0.566632,0.27833800000000003,-28.5551,-1.1766,-29.5537
2.235226,0.9820049999999999,-0.024717,2.383714,-3.6755169999999997,-8.26019,-0.41388800000000003,-0.737032,0.032323000000000005,-28.5551,-1.1766,-29.5537
2.235226,0.9820049999999999,-0.024717,2.383714,-3.6755169999999997,-8.26019,-0.41388800000000003,-0.737032,0.032323000000000005,-28.5551,-1.1766,-29.5537
1.710611,0.737664,1.115541,2.383714,-3.6755169999999997,-8.26019,-0.41388800000000003,-0.737032,0.032323000000000005,-28.7222,-0.7145,-29.3884
1.710611,0.737664,1.115541,1.291996,-3.620365,-6.992847,-0.398978,-0.724252,-0.023056999999999998,-28.7222,-0.7145,-29.3884
1.710611,0.737664,1.115541,1.291996,-3.620365,-6.992847,-0.398978,-0.724252,-0.023056999999999998,-28.7222,-0.7145,-29.3884
1.221929,0.562793,4.4021669999999995,1.291996,-3.620365,-6.992847,-0.398978,-0.724252,-0.023056999999999998,-28.7222,-0.7145,-29.3884
1.221929,0.562793,4.4021669999999995,1.336125,-3.7447769999999996,-4.3555,-0.398978,-0.724252,-0.023056999999999998,-30.3489,-0.8983,-28.7784
1.221929,0.562793,4.4021669999999995,1.336125,-3.7447769999999996,-4.3555,-0.38300300000000004,0.119228,-0.10719200000000001,-30.3489,-0.8983,-28.7784
2.1154509999999997,1.135317,3.108597,2.177253,-3.059368,-6.21367,-0.38300300000000004,0.119228,-0.10719200000000001,-30.8982,-0.3954,-27.8421
2.1154509999999997,1.135317,3.108597,2.177253,-3.059368,-6.21367,-0.38300300000000004,0.119228,-0.10719200000000001,-30.8982,-0.3954,-27.8421
2.1154509999999997,1.135317,3.108597,2.177253,-3.059368,-6.21367,-0.6982430000000001,0.161828,-0.516152,-30.8982,-0.3954,-27.8421
1.37045,0.843066,2.126442,2.177253,-3.059368,-6.21367,-0.6982430000000001,0.161828,-0.516152,-30.8982,-0.3954,-27.8421
1.37045,0.843066,2.126442,1.51436,-3.1546540000000003,-6.606164,-0.6982430000000001,0.161828,-0.516152,-30.5064,0.3865,-27.736
1.37045,0.843066,2.126442,1.51436,-3.1546540000000003,-6.606164,-1.0337180000000001,-0.147022,-0.767492,-30.5064,0.3865,-27.736
0.539212,0.41427200000000003,5.2190330000000005,1.51436,-3.1546540000000003,-6.606164,-1.0337180000000001,-0.147022,-0.767492,-30.5064,0.3865,-27.736
0.539212,0.41427200000000003,5.2190330000000005,0.735742,-3.128269,-3.4398419999999996,-1.0337180000000001,-0.147022,-0.767492,-30.5064,0.3865,-27.736
0.539212,0.41427200000000003,5.2190330000000005,0.735742,-3.128269,-3.4398419999999996,-0.8718379999999999,0.271523,-0.678032,-30.4419,0.0441,-28.3107
0.591913,0.629867,6.0574580000000005,0.735742,-3.128269,-3.4398419999999996,-0.8718379999999999,0.271523,-0.678032,-30.4419,0.0441,-28.3107
0.591913,0.629867,6.0574580000000005,0.8409610000000001,-2.914017,-3.061415,-0.8718379999999999,0.271523,-0.678032,-30.4419,0.0441,-28.3107
0.38110900000000003,0.225027,4.050028,0.8409610000000001,-2.914017,-3.061415,-0.908048,0.14265799999999998,-0.7057220000000001,-30.4419,0.0441,-28.3107
