ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-14.7095,-5.0468,3.4337,-11.8619,-10.2021,-4.9809,1.9577,0.5159,0.9356,3.03,15.51,-40.38
-11.8664,-4.3154,2.5873,-8.7064,-9.8292,-5.3148,0.7902,0.8802,2.82,3.03,15.51,-40.38
-11.8664,-4.3154,2.5873,-8.7064,-9.8292,-5.3148,0.7902,0.8802,2.82,3.03,15.51,-40.38
-8.299,-3.4331,2.3156,-8.7064,-9.8292,-5.3148,0.7902,0.8802,2.82,3.03,15.51,-40.38
-8.299,-3.4331,2.3156,-4.5693,-9.1127,-5.7657,0.7444,0.5649,3.7116,3.87,14.86,-39.69
-8.299,-3.4331,2.3156,-4.5693,-9.1127,-5.7657,0.7444,0.5649,3.7116,3.87,14.86,-39.69
-4.0793,-2.6933,0.6432,-4.5693,-9.1127,-5.7657,0.7444,0.5649,3.7116,3.87,14.86,-39.69
-4.0793,-2.6933,0.6432,-0.9356,-8.6843,-7.7131,0.6475,0.2996,3.8373,3.87,14.86,-39.69
-4.0793,-2.6933,0.6432,-0.9356,-8.6843,-7.7131,0.6475,0.2996,3.8373,9.71,12.89,-39.8
-1.217,-2.1103,-1.3523,-0.9356,-8.6843,-7.7131,0.6475,0.2996,3.8373,9.71,12.89,-39.8
-1.217,-2.1103,-1.3523,0.8665,-8.6276,-9.4019,-0.0545,0.1814,3.5785,9.71,12.89,-39.8
0.7558,-2.3246,-2.2574,0.8665,-8.6276,-9.4019,-0.0545,0.1814,3.5785,9.71,12.89,-39.8
0.7558,-2.3246,-2.2574,0.8665,-8.6276,-9.4019,-0.0545,0.1814,3.5785,13.06,11.56,-41.29
0.7558,-2.3246,-2.2574,2.4408,-8.8217,-9.6409,-0.0545,0.1814,3.5785,13.06,11.56,-41.29
2.8339999999999996,-2.1857,-1.7905,2.4408,-8.8217,-9.6409,-1.4032,0.2698,3.4933,13.06,11.56,-41.29
2.8339999999999996,-2.1857,-1.7905,2.4408,-8.8217,-9.6409,-1.4032,0.2698,3.4933,13.06,11.56,-41.29
2.8339999999999996,-2.1857,-1.7905,3.6038,-7.7925,-7.9804,-1.4032,0.2698,3.4933,16.1,11.3,-36.67
4.2549,-1.8840000000000001,0.32,3.6038,-7.7925,-7.9804,-2.4982,0.9132,3.228,16.1,11.3,-36.67
4.2549,-1.8840000000000001,0.32,3.6038,-7.7925,-7.9804,-2.4982,0.9132,3.228,16.1,11.3,-36.67
5.5418,-2.1917,1.7865,4.9925,-7.337000000000001,-6.3521,-2.4982,0.9132,3.228,16.1,11.3,-36.67
5.5418,-2.1917,1.7865,4.9925,-7.337000000000001,-6.3521,-3.0373,0.8418,2.9319,17.46,21.19,-31.82
5.5418,-2.1917,1.7865,4.9925,-7.337000000000001,-6.3521,-3.0373,0.8418,2.9319,17.46,21.19,-31.82
7.8307,-2.2575,3.1224,6.9972,-6.5432,-5.4276,-3.0373,0.8418,2.9319,17.46,21.19,-31.82
