ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.4006,-3.2212,35.3185,0.0792,-4.3814,22.6975,0.607,1.5673,-0.6357,-9.02,38.44,-8.9
2.5012,-7.1932,31.2782,0.0792,-4.3814,22.6975,3.0763,0.3923,0.9036,-9.02,38.44,-8.9
2.5012,-7.1932,31.2782,0.0792,-4.3814,22.6975,3.0763,0.3923,0.9036,-9.02,38.44,-8.9
8.604,-11.213,22.5945,0.0792,-4.3814,22.6975,3.0763,0.3923,0.9036,-9.02,38.44,-8.9
8.604,-11.213,22.5945,6.7827,-9.7763,12.6389,6.3285,0.257,0.5222,-7.35,37.75,-13.91
8.604,-11.213,22.5945,6.7827,-9.7763,12.6389,6.3285,0.257,0.5222,-7.35,37.75,-13.91
7.3052,-11.7302,11.6625,5.795,-12.7719,0.6832,6.3285,0.257,0.5222,-7.35,37.75,-13.91
7.3052,-11.7302,11.6625,5.795,-12.7719,0.6832,8.4825,1.8048,-0.9254,-1.82,27.84,-36.09
7.3052,-11.7302,11.6625,5.795,-12.7719,0.6832,8.4825,1.8048,-0.9254,-1.82,27.84,-36.09
4.1723,-11.322000000000001,2.4413,1.9085,-13.1911,-11.415,8.4825,1.8048,-0.9254,-1.82,27.84,-36.09
4.1723,-11.322000000000001,2.4413,1.9085,-13.1911,-11.415,6.5224,0.8216,-1.3537,-1.82,27.84,-36.09
4.1723,-11.322000000000001,2.4413,1.9085,-13.1911,-11.415,6.5224,0.8216,-1.3537,-1.82,27.84,-36.09
1.1652,-7.945,-5.2082,1.9085,-13.1911,-11.415,6.5224,0.8216,-1.3537,-1.52,19.38,-44.19
1.1652,-7.945,-5.2082,0.1282,-12.2394,-14.5367,3.4012,1.3734,-1.5124,-1.52,19.38,-44.19
-1.9269,-5.3484,-4.0255,0.1282,-12.2394,-14.5367,3.4012,1.3734,-1.5124,-1.52,19.38,-44.19
-1.9269,-5.3484,-4.0255,0.1282,-12.2394,-14.5367,3.4012,1.3734,-1.5124,-1.52,19.38,-44.19
-1.9269,-5.3484,-4.0255,-2.9656,-10.1707,-12.6233,1.7276,1.8666,-0.8541,-1.37,15.5,-45.03
-4.3271,-4.0963,-4.053,-2.9656,-10.1707,-12.6233,1.7276,1.8666,-0.8541,-1.37,15.5,-45.03
-4.3271,-4.0963,-4.053,-2.9656,-10.1707,-12.6233,1.7276,1.8666,-0.8541,-1.37,15.5,-45.03
-4.3271,-4.0963,-4.053,-3.5332,-9.0745,-13.3406,1.5508,0.8823,0.1877,0.39,12.24,-47.99
-3.3383,-2.9495,-5.8175,-3.5332,-9.0745,-13.3406,1.5508,0.8823,0.1877,0.39,12.24,-47.99
-3.3383,-2.9495,-5.8175,-3.5332,-9.0745,-13.3406,1.5508,0.8823,0.1877,0.39,12.24,-47.99
