ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
1.516576,-0.033687,6.459902,-0.123149,1.150444,-2.592716,-0.318431,-0.30048,-1.2736379999999998,33.0654,-3.5256,-30.1145
3.013763,0.541233,6.804854,1.449325,1.8590939999999998,-2.709453,-0.318431,-0.30048,-1.2736379999999998,32.7005,-3.3701,-30.701
3.013763,0.541233,6.804854,1.449325,1.8590939999999998,-2.709453,-0.318431,-0.30048,-1.2736379999999998,32.7005,-3.3701,-30.701
3.013763,0.541233,6.804854,1.449325,1.8590939999999998,-2.709453,-0.302456,1.283175,-1.712418,32.7005,-3.3701,-30.701
0.876977,-0.172626,10.697541000000001,-0.092651,1.2059549999999999,1.2480360000000001,-0.302456,1.283175,-1.712418,32.6066,-2.3809,-30.5828
0.876977,-0.172626,10.697541000000001,-0.092651,1.2059549999999999,1.2480360000000001,-0.302456,1.283175,-1.712418,32.6066,-2.3809,-30.5828
0.876977,-0.172626,10.697541000000001,-0.092651,1.2059549999999999,1.2480360000000001,-0.302456,1.283175,-1.712418,32.6066,-2.3809,-30.5828
1.001543,0.20825900000000003,12.978057000000002,0.012411,1.340697,3.176314,0.871174,1.129815,-1.565448,32.6066,-2.3809,-30.5828
1.001543,0.20825900000000003,12.978057000000002,0.012411,1.340697,3.176314,0.871174,1.129815,-1.565448,33.9691,-0.4234,-29.5784
1.001543,0.20825900000000003,12.978057000000002,0.012411,1.340697,3.176314,0.871174,1.129815,-1.565448,33.9691,-0.4234,-29.5784
0.989566,0.6514260000000001,13.703894,0.006265,1.126998,4.161112999999999,2.5410939999999997,-0.61146,-1.265118,33.9691,-0.4234,-29.5784
0.989566,0.6514260000000001,13.703894,0.006265,1.126998,4.161112999999999,2.5410939999999997,-0.61146,-1.265118,34.4029,0.2835,-28.7347
1.744148,1.353308,12.867863999999999,0.006265,1.126998,4.161112999999999,2.5410939999999997,-0.61146,-1.265118,34.4029,0.2835,-28.7347
1.744148,1.353308,12.867863999999999,0.654734,1.097404,3.541903,2.671024,-0.6498,-0.8582879999999999,34.4029,0.2835,-28.7347
1.744148,1.353308,12.867863999999999,0.654734,1.097404,3.541903,2.671024,-0.6498,-0.8582879999999999,34.4029,0.2835,-28.7347
2.563409,2.083935,12.803185000000001,0.654734,1.097404,3.541903,2.671024,-0.6498,-0.8582879999999999,34.5919,-0.2519,-28.1045
2.563409,2.083935,12.803185000000001,1.521955,1.294585,3.3140980000000004,2.0820790000000002,-0.28344,-0.786933,34.5919,-0.2519,-28.1045
2.563409,2.083935,12.803185000000001,1.521955,1.294585,3.3140980000000004,2.0820790000000002,-0.28344,-0.786933,34.5919,-0.2519,-28.1045
3.310805,3.1834700000000002,11.861754,1.521955,1.294585,3.3140980000000004,2.0820790000000002,-0.28344,-0.786933,35.0455,-2.5429,-28.2949
3.310805,3.1834700000000002,11.861754,1.521955,1.294585,3.3140980000000004,2.0820790000000002,-0.28344,-0.786933,35.0455,-2.5429,-28.2949
2.812541,3.104418,13.275098999999999,1.7496599999999998,1.751881,3.042929,0.617704,0.192615,-0.9647879999999999,35.0455,-2.5429,-28.2949
2.812541,3.104418,13.275098999999999,1.7496599999999998,1.751881,3.042929,0.617704,0.192615,-0.9647879999999999,35.1224,-3.7743,-28.6416
2.812541,3.104418,13.275098999999999,1.28938,1.277194,4.625605999999999,0.617704,0.192615,-0.9647879999999999,35.1224,-3.7743,-28.6416
2.422075,2.82654,14.192575,1.28938,1.277194,4.625605999999999,0.37701399999999996,0.196875,-0.6335729999999999,35.1224,-3.7743,-28.6416
2.422075,2.82654,14.192575,1.28938,1.277194,4.625605999999999,0.37701399999999996,0.196875,-0.6335729999999999,35.1224,-3.7743,-28.6416
2.422075,2.82654,14.192575,1.28938,1.277194,4.625605999999999,0.37701399999999996,0.196875,-0.6335729999999999,34.9949,-3.2824,-28.7477
2.422075,2.82654,14.192575,1.627066,0.9216219999999999,4.869047,0.37701399999999996,0.196875,-0.6335729999999999,34.9949,-3.2824,-28.7477
3.011368,2.70437,13.8069,1.627066,0.9216219999999999,4.869047,0.838159,-0.278115,-0.317268,34.9949,-3.2824,-28.7477
3.011368,2.70437,13.8069,1.627066,0.9216219999999999,4.869047,0.838159,-0.278115,-0.317268,35.306,-2.4812,-28.6425
3.011368,2.70437,13.8069,1.682954,0.638508,4.090407,0.838159,-0.278115,-0.317268,35.306,-2.4812,-28.6425
2.44603,2.546267,13.045131,1.682954,0.638508,4.090407,0.838159,-0.278115,-0.317268,35.306,-2.4812,-28.6425
2.44603,2.546267,13.045131,0.996064,0.070434,3.4881900000000003,0.694384,-0.08641499999999999,-0.124503,35.306,-2.4812,-28.6425
2.44603,2.546267,13.045131,0.996064,0.070434,3.4881900000000003,0.694384,-0.08641499999999999,-0.124503,35.306,-2.4812,-28.6425
1.837573,2.194128,12.664247,0.996064,0.070434,3.4881900000000003,0.694384,-0.08641499999999999,-0.124503,35.7119,-2.7427,-28.6737
1.837573,2.194128,12.664247,0.996064,0.070434,3.4881900000000003,0.28542399999999996,-0.099195,0.131097,35.7119,-2.7427,-28.6737
1.564486,2.1174720000000002,12.170774,0.21395999999999998,-0.360775,2.923309,0.28542399999999996,-0.099195,0.131097,35.7119,-2.7427,-28.6737
1.564486,2.1174720000000002,12.170774,0.21395999999999998,-0.360775,2.923309,0.28542399999999996,-0.099195,0.131097,35.3835,-3.7141,-28.2532
1.564486,2.1174720000000002,12.170774,0.21395999999999998,-0.360775,2.923309,-0.038336,-0.195045,0.234402,35.3835,-3.7141,-28.2532
1.2530709999999998,2.237247,12.647478,-0.041958999999999996,-0.148862,3.343748,-0.038336,-0.195045,0.234402,35.3835,-3.7141,-28.2532
1.2530709999999998,2.237247,12.647478,-0.041958999999999996,-0.148862,3.343748,-0.038336,-0.195045,0.234402,35.0483,-4.1947,-27.9186
1.2530709999999998,2.237247,12.647478,-0.041958999999999996,-0.148862,3.343748,-0.068156,-0.20463,0.197127,35.0483,-4.1947,-27.9186
0.93926,2.263598,12.563636,-0.041958999999999996,-0.148862,3.343748,-0.068156,-0.20463,0.197127,35.0483,-4.1947,-27.9186
0.93926,2.263598,12.563636,-0.47871800000000003,-0.08843,3.264702,-0.068156,-0.20463,0.197127,35.0872,-4.1106,-28.2102
0.984775,2.146218,11.950388,-0.47871800000000003,-0.08843,3.264702,-0.159746,-0.011865,0.151332,35.0872,-4.1106,-28.2102
0.984775,2.146218,11.950388,-0.47871800000000003,-0.08843,3.264702,-0.159746,-0.011865,0.151332,35.0872,-4.1106,-28.2102
0.984775,2.146218,11.950388,-0.44892200000000004,-0.063691,2.417893,-0.159746,-0.011865,0.151332,34.9487,-4.293,-28.2857
0.9416559999999999,2.4169099999999997,12.000693,-0.44892200000000004,-0.063691,2.417893,-0.303521,-0.143925,0.013947,34.9487,-4.293,-28.2857
0.9416559999999999,2.4169099999999997,12.000693,-0.44892200000000004,-0.063691,2.417893,-0.303521,-0.143925,0.013947,34.9487,-4.293,-28.2857
0.84344,2.424096,12.213892999999999,-0.696802,0.202753,2.908734,-0.303521,-0.143925,0.013947,35.327,-4.0371,-28.8487
0.84344,2.424096,12.213892999999999,-0.696802,0.202753,2.908734,-0.303521,-0.143925,0.013947,35.327,-4.0371,-28.8487
0.84344,2.424096,12.213892999999999,-0.696802,0.202753,2.908734,-0.34931599999999996,-0.197175,-0.041433,35.327,-4.0371,-28.8487
0.821881,2.460029,11.370676,-0.77875,0.32305700000000004,2.084381,-0.34931599999999996,-0.197175,-0.041433,35.327,-4.0371,-28.8487
0.821881,2.460029,11.370676,-0.77875,0.32305700000000004,2.084381,-0.34931599999999996,-0.197175,-0.041433,34.0376,-3.9382,-29.2478
0.821881,2.460029,11.370676,-0.77875,0.32305700000000004,2.084381,-0.654971,-0.045945,0.028857,34.0376,-3.9382,-29.2478
1.262653,2.448051,11.191014,-0.38448699999999997,0.5157729999999999,1.6256620000000002,-0.654971,-0.045945,0.028857,34.0376,-3.9382,-29.2478
1.262653,2.448051,11.191014,-0.38448699999999997,0.5157729999999999,1.6256620000000002,-0.654971,-0.045945,0.028857,34.0376,-3.9382,-29.2478
1.262653,2.448051,11.191014,-0.38448699999999997,0.5157729999999999,1.6256620000000002,-0.793421,0.07120499999999999,-0.052083000000000004,33.8723,-3.6553,-29.738000000000003
1.2003700000000002,2.242038,10.941882000000001,-0.304625,0.49808100000000005,1.356657,-0.793421,0.07120499999999999,-0.052083000000000004,33.8723,-3.6553,-29.738000000000003
1.2003700000000002,2.242038,10.941882000000001,-0.304625,0.49808100000000005,1.356657,-0.793421,0.07120499999999999,-0.052083000000000004,33.8723,-3.6553,-29.738000000000003
1.2003700000000002,2.242038,10.941882000000001,-0.304625,0.49808100000000005,1.356657,-0.840281,-0.077895,-0.082968,34.2837,-2.8394,-29.7291
1.2003700000000002,2.242038,10.941882000000001,-0.304625,0.49808100000000005,1.356657,-0.840281,-0.077895,-0.082968,34.2837,-2.8394,-29.7291
1.2890030000000001,1.870736,10.568184,-0.24983699999999998,0.363595,1.0075020000000001,-0.840281,-0.077895,-0.082968,34.2837,-2.8394,-29.7291
1.2890030000000001,1.870736,10.568184,-0.24983699999999998,0.363595,1.0075020000000001,-0.764666,0.028605000000000002,-0.053148,34.1135,-2.1619,-29.7224
1.569277,1.473083,9.950145,0.036187000000000004,0.238225,0.318062,-0.764666,0.028605000000000002,-0.053148,34.1135,-2.1619,-29.7224
1.569277,1.473083,9.950145,0.036187000000000004,0.238225,0.318062,-0.764666,0.028605000000000002,-0.053148,34.1135,-2.1619,-29.7224
1.569277,1.473083,9.950145,0.036187000000000004,0.238225,0.318062,-0.5261060000000001,0.49081499999999995,-0.076578,33.8205,-1.3095,-29.3129
1.8519459999999999,1.063452,9.633939,0.226456,0.058001,0.095333,-0.5261060000000001,0.49081499999999995,-0.076578,33.8205,-1.3095,-29.3129
1.8519459999999999,1.063452,9.633939,0.226456,0.058001,0.095333,-0.5261060000000001,0.49081499999999995,-0.076578,33.8205,-1.3095,-29.3129
1.8519459999999999,1.063452,9.633939,0.226456,0.058001,0.095333,-0.308846,0.48336,-0.367323,34.0102,-0.4494,-29.0935
2.4843580000000003,0.9508639999999999,9.176397999999999,1.275558,-0.037679000000000004,-0.45849799999999996,-0.308846,0.48336,-0.367323,34.0102,-0.4494,-29.0935
2.4843580000000003,0.9508639999999999,9.176397999999999,1.275558,-0.037679000000000004,-0.45849799999999996,-0.308846,0.48336,-0.367323,34.0102,-0.4494,-29.0935
1.047058,0.713709,8.956013,1.275558,-0.037679000000000004,-0.45849799999999996,-0.291806,0.37473,-0.5270729999999999,34.0102,-0.4494,-29.0935
1.047058,0.713709,8.956013,-0.11362699999999999,-0.247962,-0.7356600000000001,-0.291806,0.37473,-0.5270729999999999,34.7637,0.3914,-28.5981
1.047058,0.713709,8.956013,-0.11362699999999999,-0.247962,-0.7356600000000001,-0.291806,0.37473,-0.5270729999999999,34.7637,0.3914,-28.5981
0.745225,0.69215,9.178794,-0.11362699999999999,-0.247962,-0.7356600000000001,-0.291806,0.37473,-0.5270729999999999,34.7637,0.3914,-28.5981
0.745225,0.69215,9.178794,-0.28768699999999997,-0.215923,-0.471042,-0.144836,0.32787,-0.260823,34.7637,0.3914,-28.5981
0.745225,0.69215,9.178794,-0.28768699999999997,-0.215923,-0.471042,-0.144836,0.32787,-0.260823,35.116,1.1448,-28.1625
1.039871,0.850253,8.996736,-0.28768699999999997,-0.215923,-0.471042,-0.144836,0.32787,-0.260823,35.116,1.1448,-28.1625
1.039871,0.850253,8.996736,0.253749,0.046092,-1.133129,-0.153356,0.137235,-0.14260799999999998,35.116,1.1448,-28.1625
1.039871,0.850253,8.996736,0.253749,0.046092,-1.133129,-0.153356,0.137235,-0.14260799999999998,35.116,1.1448,-28.1625
0.8937459999999999,1.068243,8.623038000000001,0.253749,0.046092,-1.133129,-0.153356,0.137235,-0.14260799999999998,35.8779,1.3632,-27.7535
0.8937459999999999,1.068243,8.623038000000001,0.253749,0.046092,-1.133129,-0.153356,0.137235,-0.14260799999999998,35.8779,1.3632,-27.7535
0.8937459999999999,1.068243,8.623038000000001,-0.086661,0.25255,-0.442827,-0.536756,-0.18545999999999999,-0.191598,35.8779,1.3632,-27.7535
1.054244,0.9915870000000001,9.662685,-0.086661,0.25255,-0.442827,-0.536756,-0.18545999999999999,-0.191598,35.8779,1.3632,-27.7535
1.054244,0.9915870000000001,9.662685,-0.086661,0.25255,-0.442827,-0.536756,-0.18545999999999999,-0.191598,35.8152,1.5526,-27.486
1.054244,0.9915870000000001,9.662685,-0.250388,0.391944,-0.802793,-0.845606,0.22776,-0.316203,35.8152,1.5526,-27.486
0.378713,0.843066,8.666157,-0.250388,0.391944,-0.802793,-0.845606,0.22776,-0.316203,35.8152,1.5526,-27.486
0.378713,0.843066,8.666157,-0.250388,0.391944,-0.802793,-0.845606,0.22776,-0.316203,35.4007,2.4325,-27.5427
0.5463979999999999,0.627471,9.909422,-0.46988,0.441312,-0.06971000000000001,-0.996836,0.028605000000000002,-0.31194299999999997,35.4007,2.4325,-27.5427
0.5463979999999999,0.627471,9.909422,-0.46988,0.441312,-0.06971000000000001,-0.996836,0.028605000000000002,-0.31194299999999997,35.4007,2.4325,-27.5427
0.5463979999999999,0.627471,9.909422,-0.46988,0.441312,-0.06971000000000001,-0.996836,0.028605000000000002,-0.31194299999999997,35.2013,3.7895,-27.354
0.476929,0.35438400000000003,9.423135,-0.46988,0.441312,-0.06971000000000001,-0.996836,0.028605000000000002,-0.31194299999999997,35.2013,3.7895,-27.354
0.476929,0.35438400000000003,9.423135,-0.45043,0.31966100000000003,-0.26103899999999997,-0.742301,-0.18545999999999999,-0.46849799999999997,35.2013,3.7895,-27.354
