ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-1.9053,-5.3018,-9.3933,-0.9985,-7.007000000000001,-12.565999999999999,0.2469,2.2405,-0.1446,16.73,14.45,-32.39
-1.9053,-5.3018,-9.3933,0.0106,-11.0266,-17.076,0.2469,2.2405,-0.1446,16.73,14.45,-32.39
-1.9053,-5.3018,-9.3933,0.0106,-11.0266,-17.076,-1.0942,1.1476,-0.1041,16.73,14.45,-32.39
-2.1771,-7.5894,-12.38,-0.1025,-12.915999999999999,-19.7291,-1.0942,1.1476,-0.1041,16.73,14.45,-32.39
-2.1771,-7.5894,-12.38,-0.1025,-12.915999999999999,-19.7291,-1.0942,1.1476,-0.1041,17.44,17.69,-30.87
-2.1771,-7.5894,-12.38,-0.1025,-12.915999999999999,-19.7291,-3.6125,-1.0202,0.3007,17.44,17.69,-30.87
-1.284,-8.9864,-8.9252,-0.1025,-12.915999999999999,-19.7291,-3.6125,-1.0202,0.3007,17.44,17.69,-30.87
-1.284,-8.9864,-8.9252,1.1516,-13.6703,-15.8506,-3.6125,-1.0202,0.3007,17.44,17.69,-30.87
1.7829,-10.9628,-5.1232,1.1516,-13.6703,-15.8506,-5.4597,-1.5390000000000001,1.0517,18.9,28.58,-24.54
1.7829,-10.9628,-5.1232,1.1516,-13.6703,-15.8506,-5.4597,-1.5390000000000001,1.0517,18.9,28.58,-24.54
1.7829,-10.9628,-5.1232,5.0656,-14.4493,-12.1318,-5.4597,-1.5390000000000001,1.0517,18.9,28.58,-24.54
4.9756,-12.4724,-2.7542,5.0656,-14.4493,-12.1318,-6.6134,-1.946,1.2307,18.9,28.58,-24.54
4.9756,-12.4724,-2.7542,5.0656,-14.4493,-12.1318,-6.6134,-1.946,1.2307,17.08,33.14,-20.11
4.9756,-12.4724,-2.7542,10.3094,-15.6037,-7.4349,-6.6134,-1.946,1.2307,17.08,33.14,-20.11
11.5776,-16.5413,4.4943,10.3094,-15.6037,-7.4349,-8.6225,-2.9303,-0.3928,17.08,33.14,-20.11
11.5776,-16.5413,4.4943,10.3094,-15.6037,-7.4349,-8.6225,-2.9303,-0.3928,17.08,33.14,-20.11
11.5776,-16.5413,4.4943,12.0171,-16.4671,3.7486,-8.6225,-2.9303,-0.3928,14.38,39.69,-10.63
11.9391,-19.1989,18.2382,12.0171,-16.4671,3.7486,-8.6225,-2.9303,-0.3928,14.38,39.69,-10.63
11.9391,-19.1989,18.2382,12.0171,-16.4671,3.7486,-10.41,-2.7715,-1.8256,14.38,39.69,-10.63
8.5322,-19.57,39.0917,7.6903,-15.0449,30.2958,-10.41,-2.7715,-1.8256,14.38,39.69,-10.63
8.5322,-19.57,39.0917,7.6903,-15.0449,30.2958,-7.5508,-0.4674,-1.7553,14.14,46.24,2.38
8.5322,-19.57,39.0917,7.6903,-15.0449,30.2958,-7.5508,-0.4674,-1.7553,14.14,46.24,2.38
5.209,-17.0968,39.0917,7.6903,-15.0449,30.2958,-7.5508,-0.4674,-1.7553,14.14,46.24,2.38
5.209,-17.0968,39.0917,3.6635,-10.7177,32.3325,-7.5508,-0.4674,-1.7553,14.14,46.24,2.38
5.209,-17.0968,39.0917,3.6635,-10.7177,32.3325,-2.0295,-0.0487,-0.2277,10.83,46.97,10.96
5.561,-13.5582,39.0917,3.6635,-10.7177,32.3325,-2.0295,-0.0487,-0.2277,10.83,46.97,10.96
5.561,-13.5582,39.0917,3.4969,-5.693,32.3603,0.7519,0.175,0.22399999999999998,10.83,46.97,10.96
5.561,-13.5582,39.0917,3.4969,-5.693,32.3603,0.7519,0.175,0.22399999999999998,10.83,46.97,10.96
4.6272,-9.2175,39.0917,3.4969,-5.693,32.3603,0.7519,0.175,0.22399999999999998,8.38,46.35,13.09
4.6272,-9.2175,39.0917,3.2313,-2.3682,31.8275,0.7519,0.175,0.22399999999999998,8.38,46.35,13.09
6.2828,-9.4186,36.9034,3.2313,-2.3682,31.8275,2.7844,1.7409,0.5222,8.38,46.35,13.09
6.2828,-9.4186,36.9034,3.2313,-2.3682,31.8275,2.7844,1.7409,0.5222,8.38,46.35,13.09
6.2828,-9.4186,36.9034,5.9076,-6.1123,24.7146,2.7844,1.7409,0.5222,10.07,45.02,8.77
5.5646,-13.8155,29.1642,5.9076,-6.1123,24.7146,4.3237,2.64,-0.5334,10.07,45.02,8.77
5.5646,-13.8155,29.1642,5.9076,-6.1123,24.7146,4.3237,2.64,-0.5334,10.07,45.02,8.77
0.1046,-15.0916,23.5162,1.1185,-10.0727,16.7348,4.3237,2.64,-0.5334,10.07,45.02,8.77
0.1046,-15.0916,23.5162,1.1185,-10.0727,16.7348,5.7778,2.8797,-0.5079,7.53,46.95,5.29
0.1046,-15.0916,23.5162,1.1185,-10.0727,16.7348,5.7778,2.8797,-0.5079,7.53,46.95,5.29
-0.1264,-15.1288,14.8696,0.0057,-12.4522,5.3508,5.7778,2.8797,-0.5079,7.53,46.95,5.29
-0.1264,-15.1288,14.8696,0.0057,-12.4522,5.3508,7.7496,1.2935,0.9079,7.53,46.95,5.29
-0.1264,-15.1288,14.8696,0.0057,-12.4522,5.3508,7.7496,1.2935,0.9079,5.71,36.58,-16.45
2.8484,-13.879000000000001,5.9955,3.4625,-13.4278,-4.6381,7.7496,1.2935,0.9079,5.71,36.58,-16.45
2.8484,-13.879000000000001,5.9955,3.4625,-13.4278,-4.6381,8.948,-0.9414,0.6266,5.71,36.58,-16.45
2.8484,-13.879000000000001,5.9955,3.4625,-13.4278,-4.6381,8.948,-0.9414,0.6266,5.71,36.58,-16.45
3.7246,-11.5829,-2.334,3.8551,-13.6419,-13.5209,8.948,-0.9414,0.6266,18.43,17.68,-51.85
3.7246,-11.5829,-2.334,3.8551,-13.6419,-13.5209,7.6569,-1.0874,-1.0927,18.43,17.68,-51.85
1.8033,-8.2299,-9.9906,3.8551,-13.6419,-13.5209,7.6569,-1.0874,-1.0927,18.43,17.68,-51.85
1.8033,-8.2299,-9.9906,1.2129,-11.4459,-19.9021,7.6569,-1.0874,-1.0927,18.43,17.68,-51.85
1.8033,-8.2299,-9.9906,1.2129,-11.4459,-19.9021,2.8217,1.9998,-1.9854,16.26,9.23,-61.36
-1.5282,-6.0344,-9.3717,1.2129,-11.4459,-19.9021,2.8217,1.9998,-1.9854,16.26,9.23,-61.36
-1.5282,-6.0344,-9.3717,-1.0142,-10.4531,-17.7086,2.8217,1.9998,-1.9854,16.26,9.23,-61.36
-1.5282,-6.0344,-9.3717,-1.0142,-10.4531,-17.7086,0.4696,3.2717,-1.3335,16.26,9.23,-61.36
-2.6918,-5.109,-7.7221,-1.0142,-10.4531,-17.7086,0.4696,3.2717,-1.3335,16.34,7.28,-62.84
-2.6918,-5.109,-7.7221,-0.4428,-9.7435,-16.5089,0.4696,3.2717,-1.3335,16.34,7.28,-62.84
-1.1356,-5.7746,-10.1295,-0.4428,-9.7435,-16.5089,0.9234,1.4416,-0.5196,16.34,7.28,-62.84
-1.1356,-5.7746,-10.1295,-0.4428,-9.7435,-16.5089,0.9234,1.4416,-0.5196,16.34,7.28,-62.84
-1.1356,-5.7746,-10.1295,1.6318,-10.6874,-19.4908,0.9234,1.4416,-0.5196,21.4,4.03,-61.56
-0.6591,-5.928999999999999,-12.9307,1.6318,-10.6874,-19.4908,0.868,-1.1076,-0.4493,21.4,4.03,-61.56
-0.6591,-5.928999999999999,-12.9307,1.6318,-10.6874,-19.4908,0.868,-1.1076,-0.4493,21.4,4.03,-61.56
-0.6591,-5.928999999999999,-12.9307,0.9721,-10.7319,-21.4845,0.868,-1.1076,-0.4493,21.4,4.03,-61.56
-1.3511,-5.9817,-13.8094,0.9721,-10.7319,-21.4845,-0.8684,-1.9715,-0.1712,18.86,5.97,-63.61
-1.3511,-5.9817,-13.8094,0.9721,-10.7319,-21.4845,-0.8684,-1.9715,-0.1712,18.86,5.97,-63.61
-0.9022,-6.1242,-12.2639,0.3393,-10.6147,-20.9543,-0.8684,-1.9715,-0.1712,18.86,5.97,-63.61
-0.9022,-6.1242,-12.2639,0.3393,-10.6147,-20.9543,-3.5028,-1.5454,0.5798,18.86,5.97,-63.61
-0.9022,-6.1242,-12.2639,0.3393,-10.6147,-20.9543,-3.5028,-1.5454,0.5798,15.51,7.29,-62.84
1.6967,-7.3656,-8.936,2.1389,-10.6212,-17.9521,-3.5028,-1.5454,0.5798,15.51,7.29,-62.84
1.6967,-7.3656,-8.936,2.1389,-10.6212,-17.9521,-3.5028,-1.5454,0.5798,15.51,7.29,-62.84
1.6967,-7.3656,-8.936,2.1389,-10.6212,-17.9521,-5.5311,-1.5049,0.8631,15.51,7.29,-62.84
5.136,-9.2785,-5.2238,5.6273,-11.3128,-14.0825,-5.5311,-1.5049,0.8631,15.3,13.14,-57.67
5.136,-9.2785,-5.2238,5.6273,-11.3128,-14.0825,-5.5311,-1.5049,0.8631,15.3,13.14,-57.67
7.6056,-13.4193,-0.4473,5.6273,-11.3128,-14.0825,-7.1929,-1.9694,-0.1382,15.3,13.14,-57.67
7.6056,-13.4193,-0.4473,7.7321,-13.8509,-9.0418,-7.1929,-1.9694,-0.1382,15.3,13.14,-57.67
7.6056,-13.4193,-0.4473,7.7321,-13.8509,-9.0418,-7.1929,-1.9694,-0.1382,13.64,34.22,-10.01
6.606,-17.9443,8.2412,7.7321,-13.8509,-9.0418,-9.3255,-3.1018,-1.3888,13.64,34.22,-10.01
6.606,-17.9443,8.2412,5.7422,-16.9924,3.7058,-9.3255,-3.1018,-1.3888,13.64,34.22,-10.01
6.606,-17.9443,8.2412,5.7422,-16.9924,3.7058,-9.3255,-3.1018,-1.3888,13.64,34.22,-10.01
5.3132,-20.2631,34.6493,5.7422,-16.9924,3.7058,-9.3255,-3.1018,-1.3888,0.47,51.87,4.77
5.3132,-20.2631,34.6493,3.0331,-14.6915,31.4085,-9.4278,-2.9441,-1.0064,0.47,51.87,4.77
5.3132,-20.2631,34.6493,3.0331,-14.6915,31.4085,-9.4278,-2.9441,-1.0064,0.47,51.87,4.77
4.8786,-17.262,39.0917,3.0331,-14.6915,31.4085,-9.4278,-2.9441,-1.0064,0.47,51.87,4.77
4.8786,-17.262,39.0917,3.2538,-11.1725,32.2421,-2.7763,0.1697,0.2751,-2.89,53.92,16.95
