ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-3.022897,-3.631728,9.150048,-0.783095,-1.122791,-1.158113,-0.22471100000000002,0.23628000000000002,-0.5110979999999999,-23.3735,15.4294,-33.6651
-3.166627,-3.222097,7.418102,-0.783095,-1.122791,-1.158113,-0.615566,0.23628000000000002,-0.292773,-23.3735,15.4294,-33.6651
-3.166627,-3.222097,7.418102,-0.783095,-1.122791,-1.158113,-0.615566,0.23628000000000002,-0.292773,-23.3735,15.4294,-33.6651
-2.246755,-3.7347339999999996,8.163102,-0.061165,-1.340739,-1.390788,-0.615566,0.23628000000000002,-0.292773,-23.649,15.0032,-33.3115
-2.246755,-3.7347339999999996,8.163102,-0.061165,-1.340739,-1.390788,-1.106531,-0.01293,-0.330048,-23.649,15.0032,-33.3115
-2.246755,-3.7347339999999996,8.163102,-0.061165,-1.340739,-1.390788,-1.106531,-0.01293,-0.330048,-23.649,15.0032,-33.3115
-1.516127,-3.516744,10.369357,0.9998299999999999,-0.730032,1.778873,-1.106531,-0.01293,-0.330048,-23.649,15.0032,-33.3115
-1.516127,-3.516744,10.369357,0.9998299999999999,-0.730032,1.778873,-1.276931,0.6313949999999999,-0.719838,-23.5268,14.9202,-32.8831
-1.516127,-3.516744,10.369357,0.9998299999999999,-0.730032,1.778873,-1.276931,0.6313949999999999,-0.719838,-23.5268,14.9202,-32.8831
-2.335388,-3.277194,11.478474,0.9998299999999999,-0.730032,1.778873,-1.276931,0.6313949999999999,-0.719838,-23.5268,14.9202,-32.8831
-2.335388,-3.277194,11.478474,0.032635000000000004,-0.280717,2.437193,-1.014941,0.6718649999999999,-1.053183,-23.6338,15.3988,-32.7564
-2.335388,-3.277194,11.478474,0.032635000000000004,-0.280717,2.437193,-1.014941,0.6718649999999999,-1.053183,-23.6338,15.3988,-32.7564
-3.890068,-4.415056,10.33582,0.032635000000000004,-0.280717,2.437193,-1.014941,0.6718649999999999,-1.053183,-23.6338,15.3988,-32.7564
-3.890068,-4.415056,10.33582,-1.425941,-1.110362,1.684116,-1.014941,0.6718649999999999,-1.053183,-23.8504,16.5355,-32.6416
-4.371563,-4.738449,10.817316,-1.425941,-1.110362,1.684116,-0.714611,-0.084285,-1.0766129999999998,-23.8504,16.5355,-32.6416
-4.371563,-4.738449,10.817316,-1.425941,-1.110362,1.684116,-0.714611,-0.084285,-1.0766129999999998,-23.8504,16.5355,-32.6416
-4.371563,-4.738449,10.817316,-1.8045400000000003,-1.0185110000000002,2.108323,-0.714611,-0.084285,-1.0766129999999998,-23.9562,16.9203,-32.6295
-4.45301,-4.525249,11.787494,-1.8045400000000003,-1.0185110000000002,2.108323,-0.658166,-0.38994,-1.020168,-23.9562,16.9203,-32.6295
