ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.778762,-1.636276,7.38696,0.018009,-0.253623,-2.3086889999999998,-0.776907,0.13652,-0.229027,-32.383,18.7565,-23.3525
1.598023,-1.459009,8.596687,0.018009,-0.253623,-2.3086889999999998,-1.144332,0.22385,-0.21198699999999998,-32.383,18.7565,-23.3525
1.598023,-1.459009,8.596687,0.018009,-0.253623,-2.3086889999999998,-1.144332,0.22385,-0.21198699999999998,-32.383,18.7565,-23.3525
1.598023,-1.459009,8.596687,0.018009,-0.253623,-2.3086889999999998,-1.144332,0.22385,-0.21198699999999998,-32.1446,18.9976,-23.0448
1.598023,-1.459009,8.596687,0.018009,-0.253623,-2.3086889999999998,-1.144332,0.22385,-0.21198699999999998,-32.1446,18.9976,-23.0448
1.598023,-1.459009,8.596687,0.018009,-0.253623,-2.3086889999999998,-1.144332,0.22385,-0.21198699999999998,-32.1446,18.9976,-23.0448
1.4974120000000002,-1.5332700000000001,10.316656,0.797262,0.189437,0.259437,-1.3083420000000001,0.34526,-0.401557,-32.2666,19.0886,-23.1248
1.4974120000000002,-1.5332700000000001,10.316656,0.797262,0.189437,0.259437,-1.3083420000000001,0.34526,-0.401557,-32.2666,19.0886,-23.1248
1.4974120000000002,-1.5332700000000001,10.316656,0.797262,0.189437,0.259437,-1.3083420000000001,0.34526,-0.401557,-32.2666,19.0886,-23.1248
-0.138715,-3.526326,12.271384,-0.670747,-1.087956,2.800568,-1.227403,0.744635,-0.726382,-32.2666,19.0886,-23.1248
-0.138715,-3.526326,12.271384,-0.670747,-1.087956,2.800568,-1.227403,0.744635,-0.726382,-32.4507,19.3129,-22.9944
-0.138715,-3.526326,12.271384,-0.670747,-1.087956,2.800568,-1.227403,0.744635,-0.726382,-32.4507,19.3129,-22.9944
