ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-5.248316,-2.120167,8.517636,-1.112747,-1.1845729999999999,-0.8705510000000001,1.001341,0.031856,-1.007365,-14.624,16.8863,-37.5909
-5.535776,-1.887804,7.6768160000000005,-1.112747,-1.1845729999999999,-0.8705510000000001,1.001341,0.031856,-1.007365,-14.624,16.8863,-37.5909
-5.535776,-1.887804,7.6768160000000005,-1.25258,-1.0894979999999999,-1.379389,0.578535,0.10108099999999999,-0.8529399999999999,-14.624,16.8863,-37.5909
-5.535776,-1.887804,7.6768160000000005,-1.25258,-1.0894979999999999,-1.379389,0.578535,0.10108099999999999,-0.8529399999999999,-15.4798,14.6439,-38.7995
-5.528589,-1.475778,7.837314,-1.25258,-1.0894979999999999,-1.379389,0.578535,0.10108099999999999,-0.8529399999999999,-15.4798,14.6439,-38.7995
-5.528589,-1.475778,7.837314,-0.997252,-0.6139899999999999,-1.072551,0.34104,-0.124699,-0.704905,-15.4798,14.6439,-38.7995
-5.528589,-1.475778,7.837314,-0.997252,-0.6139899999999999,-1.072551,0.34104,-0.124699,-0.704905,-15.9991,12.8735,-39.1225
-4.738075,-0.953559,8.131961,-0.997252,-0.6139899999999999,-1.072551,0.34104,-0.124699,-0.704905,-15.9991,12.8735,-39.1225
-4.738075,-0.953559,8.131961,-0.49240600000000007,-0.118854,-0.998909,0.33358499999999996,-0.37177899999999997,-0.758155,-15.9991,12.8735,-39.1225
-4.738075,-0.953559,8.131961,-0.49240600000000007,-0.118854,-0.998909,0.33358499999999996,-0.37177899999999997,-0.758155,-15.7191,11.5468,-38.7301
-4.69256,-0.963141,8.002604,-0.49240600000000007,-0.118854,-0.998909,0.33358499999999996,-0.37177899999999997,-0.758155,-15.7191,11.5468,-38.7301
-4.69256,-0.963141,8.002604,-0.49240600000000007,-0.118854,-0.998909,0.33358499999999996,-0.37177899999999997,-0.758155,-15.7191,11.5468,-38.7301
-4.69256,-0.963141,8.002604,-0.620314,-0.16961099999999998,-1.132688,0.26861999999999997,-0.615664,-0.762415,-15.7191,11.5468,-38.7301
-4.148782,-0.747546,8.699694000000001,-0.620314,-0.16961099999999998,-1.132688,0.26861999999999997,-0.615664,-0.762415,-15.7191,11.5468,-38.7301
-4.148782,-0.747546,8.699694000000001,-0.620314,-0.16961099999999998,-1.132688,0.26861999999999997,-0.615664,-0.762415,-16.7912,10.5085,-38.4693
-3.006128,-0.39061599999999996,9.106929,0.229598,0.298489,-0.450388,0.186615,-0.46975900000000004,-0.84655,-16.7912,10.5085,-38.4693
-3.006128,-0.39061599999999996,9.106929,0.229598,0.298489,-0.450388,0.186615,-0.46975900000000004,-0.84655,-16.7912,10.5085,-38.4693
-3.006128,-0.39061599999999996,9.106929,0.229598,0.298489,-0.450388,0.186615,-0.46975900000000004,-0.84655,-16.7912,10.5085,-38.4693
