ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
1.0959999999999999,-1.493,11.537,1.016,-2.024,0.852,0.907,0.345,-0.133,-8.6,-34.8,-28.6
1.0959999999999999,-1.493,11.537,1.016,-2.024,0.852,0.907,0.345,-0.133,-7.7,-36.5,-28.0
2.407,-1.986,13.120999999999999,2.504,-3.1919999999999997,2.931,0.907,0.345,-0.133,-7.7,-36.5,-28.0
2.407,-1.986,13.120999999999999,2.504,-3.1919999999999997,2.931,1.578,-0.08800000000000001,-0.293,-7.7,-36.5,-28.0
2.407,-1.986,13.120999999999999,2.504,-3.1919999999999997,2.931,1.578,-0.08800000000000001,-0.293,-7.4,-36.7,-27.1
4.651,-1.355,9.902999999999999,4.958,-2.951,-0.162,1.578,-0.08800000000000001,-0.293,-7.4,-36.7,-27.1
4.651,-1.355,9.902999999999999,4.958,-2.951,-0.162,1.578,-0.08800000000000001,-0.293,-7.4,-36.7,-27.1
4.651,-1.355,9.902999999999999,4.958,-2.951,-0.162,1.834,-0.157,-0.721,-7.4,-36.7,-27.1
3.0389999999999997,-0.20600000000000002,6.809,4.958,-2.951,-0.162,1.834,-0.157,-0.721,-5.9,-39.6,-21.4
3.0389999999999997,-0.20600000000000002,6.809,3.093,-2.4459999999999997,-2.293,1.834,-0.157,-0.721,-5.9,-39.6,-21.4
3.0389999999999997,-0.20600000000000002,6.809,3.093,-2.4459999999999997,-2.293,1.4780000000000002,0.221,-0.879,-5.9,-39.6,-21.4
1.837,-0.036000000000000004,9.266,3.093,-2.4459999999999997,-2.293,1.4780000000000002,0.221,-0.879,-4.7,-40.0,-21.4
1.837,-0.036000000000000004,9.266,2.714,-2.401,-0.8640000000000001,1.4780000000000002,0.221,-0.879,-4.7,-40.0,-21.4
1.837,-0.036000000000000004,9.266,2.714,-2.401,-0.8640000000000001,2.145,-0.11800000000000001,-0.7829999999999999,-4.7,-40.0,-21.4
3.173,0.753,6.742000000000001,2.714,-2.401,-0.8640000000000001,2.145,-0.11800000000000001,-0.7829999999999999,-4.7,-41.0,-19.6
3.173,0.753,6.742000000000001,3.19,-2.568,-5.727,2.145,-0.11800000000000001,-0.7829999999999999,-4.7,-41.0,-19.6
1.804,1.218,2.255,3.19,-2.568,-5.727,1.955,-0.039,-0.9309999999999999,-4.7,-41.0,-19.6
1.804,1.218,2.255,3.19,-2.568,-5.727,1.955,-0.039,-0.9309999999999999,-4.7,-41.0,-19.6
1.804,1.218,2.255,2.178,-2.245,-6.957000000000001,1.955,-0.039,-0.9309999999999999,-2.6,-42.6,-15.1
1.921,1.321,2.81,2.178,-2.245,-6.957000000000001,1.955,-0.039,-0.9309999999999999,-2.6,-42.6,-15.1
1.921,1.321,2.81,2.178,-2.245,-6.957000000000001,1.04,-0.003,-0.983,-2.6,-42.6,-15.1
1.921,1.321,2.81,2.521,-2.9589999999999996,-5.697,1.04,-0.003,-0.983,-1.7,-43.6,-15.1
1.73,1.39,3.705,2.521,-2.9589999999999996,-5.697,1.04,-0.003,-0.983,-1.7,-43.6,-15.1
1.73,1.39,3.705,2.521,-2.9589999999999996,-5.697,0.555,-0.617,-1.198,-1.7,-43.6,-15.1
1.73,1.39,3.705,2.0469999999999997,-2.411,-5.379,0.555,-0.617,-1.198,-0.5,-43.6,-13.9
1.1,1.632,2.952,2.0469999999999997,-2.411,-5.379,0.555,-0.617,-1.198,-0.5,-43.6,-13.9
1.1,1.632,2.952,2.0469999999999997,-2.411,-5.379,0.231,-0.9329999999999999,-1.295,-0.5,-43.6,-13.9
1.1,1.632,2.952,1.196,-2.7260000000000004,-6.046,0.231,-0.9329999999999999,-1.295,0.1,-43.6,-13.9
0.35600000000000004,1.696,2.739,1.196,-2.7260000000000004,-6.046,0.231,-0.9329999999999999,-1.295,0.1,-43.6,-13.9
