ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.485,1.895,7.472,1.403,0.23600000000000002,-1.54,-0.397,0.22,0.622,-17.9,-30.1,-27.7
0.485,1.895,7.472,1.403,0.23600000000000002,-1.54,-0.397,0.22,0.622,-17.9,-30.1,-27.7
0.485,1.895,7.472,2.674,0.40399999999999997,-3.168,-0.397,0.22,0.622,-17.9,-30.1,-27.7
2.153,1.66,6.617000000000001,2.674,0.40399999999999997,-3.168,-0.397,0.22,0.622,-18.2,-29.6,-28.6
2.153,1.66,6.617000000000001,2.674,0.40399999999999997,-3.168,-0.539,0.737,0.93,-18.2,-29.6,-28.6
2.938,0.627,8.34,4.428999999999999,-0.623,-1.4240000000000002,-0.539,0.737,0.93,-18.2,-29.6,-28.6
2.938,0.627,8.34,4.428999999999999,-0.623,-1.4240000000000002,-0.539,0.737,0.93,-18.2,-29.6,-28.6
2.938,0.627,8.34,4.428999999999999,-0.623,-1.4240000000000002,-0.539,0.737,0.93,-18.2,-29.6,-28.6
2.469,0.607,9.402999999999999,3.78,-0.6809999999999999,-0.07,-0.623,0.853,0.677,-18.8,-28.5,-29.8
2.469,0.607,9.402999999999999,3.78,-0.6809999999999999,-0.07,-0.623,0.853,0.677,-18.8,-28.5,-29.8
2.469,0.607,9.402999999999999,3.78,-0.6809999999999999,-0.07,-0.623,0.853,0.677,-18.8,-28.5,-29.8
1.768,1.1340000000000001,9.283,3.1689999999999996,0.11,-0.207,-0.8320000000000001,-0.044000000000000004,0.32799999999999996,-18.2,-27.7,-30.7
1.768,1.1340000000000001,9.283,3.1689999999999996,0.11,-0.207,-0.8320000000000001,-0.044000000000000004,0.32799999999999996,-18.2,-27.7,-30.7
2.526,1.287,11.08,3.1689999999999996,0.11,-0.207,-0.8320000000000001,-0.044000000000000004,0.32799999999999996,-18.2,-27.7,-30.7
2.526,1.287,11.08,3.6189999999999998,0.665,1.935,-0.6829999999999999,0.177,-0.193,-18.5,-26.5,-31.6
2.526,1.287,11.08,3.6189999999999998,0.665,1.935,-0.6829999999999999,0.177,-0.193,-18.5,-26.5,-31.6
0.883,1.079,12.083,3.6189999999999998,0.665,1.935,-0.6829999999999999,0.177,-0.193,-18.5,-26.5,-31.6
0.883,1.079,12.083,2.3890000000000002,0.306,2.322,-0.6829999999999999,0.177,-0.193,-17.9,-26.1,-31.6
0.883,1.079,12.083,2.3890000000000002,0.306,2.322,-0.43200000000000005,-0.078,-0.105,-17.9,-26.1,-31.6
1.617,0.655,11.365,2.3890000000000002,0.306,2.322,-0.43200000000000005,-0.078,-0.105,-17.9,-26.1,-31.6
1.617,0.655,11.365,3.332,0.016,1.7719999999999998,-0.43200000000000005,-0.078,-0.105,-17.9,-26.1,-31.6
1.617,0.655,11.365,3.332,0.016,1.7719999999999998,-0.7709999999999999,-0.414,-0.134,-18.5,-25.9,-31.9
1.617,0.655,11.365,3.332,0.016,1.7719999999999998,-0.7709999999999999,-0.414,-0.134,-18.5,-25.9,-31.9
2.517,-0.113,12.224,3.65,-0.48,2.843,-0.7709999999999999,-0.414,-0.134,-18.5,-25.9,-31.9
2.517,-0.113,12.224,3.65,-0.48,2.843,-0.773,-0.371,-0.513,-18.2,-26.1,-31.0
1.005,-0.419,13.329,3.65,-0.48,2.843,-0.773,-0.371,-0.513,-18.2,-26.1,-31.0
1.005,-0.419,13.329,1.736,-0.34,3.772,-0.773,-0.371,-0.513,-18.2,-26.1,-31.0
