ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-1.544,-0.768,13.784,-0.063,-1.399,2.9819999999999998,1.23,0.285,1.584,-4.4,-34.3,-31.9
-0.948,-1.84,9.818999999999999,-0.063,-1.399,2.9819999999999998,1.23,0.285,1.584,-5.9,-33.9,-31.3
-0.948,-1.84,9.818999999999999,-0.063,-1.399,2.9819999999999998,1.23,0.285,1.584,-5.9,-33.9,-31.3
-0.948,-1.84,9.818999999999999,2.12,-2.347,-2.807,1.886,-0.242,1.411,-5.9,-33.9,-31.3
1.22,-1.489,5.622000000000001,2.12,-2.347,-2.807,1.886,-0.242,1.411,-7.1,-35.6,-28.9
1.22,-1.489,5.622000000000001,2.12,-2.347,-2.807,1.886,-0.242,1.411,-7.1,-35.6,-28.9
1.22,-1.489,5.622000000000001,2.654,-2.4730000000000003,-5.681,1.536,-0.386,0.387,-7.1,-35.6,-28.9
0.126,-1.1059999999999999,3.681,2.654,-2.4730000000000003,-5.681,1.536,-0.386,0.387,-7.1,-35.6,-28.9
0.126,-1.1059999999999999,3.681,2.654,-2.4730000000000003,-5.681,1.536,-0.386,0.387,-8.0,-37.0,-26.5
0.126,-1.1059999999999999,3.681,1.643,-2.608,-6.52,1.057,-0.387,0.011000000000000001,-8.0,-37.0,-26.5
0.083,-1.3159999999999998,3.392,1.643,-2.608,-6.52,1.057,-0.387,0.011000000000000001,-8.0,-37.0,-26.5
0.083,-1.3159999999999998,3.392,1.643,-2.608,-6.52,1.057,-0.387,0.011000000000000001,-8.0,-37.4,-25.9
0.083,-1.3159999999999998,3.392,1.219,-3.358,-4.857,0.778,-0.255,0.198,-8.0,-37.4,-25.9
0.18600000000000003,-1.6469999999999998,5.641,1.219,-3.358,-4.857,0.778,-0.255,0.198,-8.0,-37.4,-25.9
0.18600000000000003,-1.6469999999999998,5.641,1.219,-3.358,-4.857,0.778,-0.255,0.198,-8.0,-37.9,-23.8
0.18600000000000003,-1.6469999999999998,5.641,1.6159999999999999,-2.513,-4.198,0.778,-0.255,0.198,-8.0,-37.9,-23.8
0.627,0.249,5.505,1.6159999999999999,-2.513,-4.198,1.922,-0.011000000000000001,0.044000000000000004,-8.0,-37.9,-23.8
0.627,0.249,5.505,1.6159999999999999,-2.513,-4.198,1.922,-0.011000000000000001,0.044000000000000004,-8.0,-37.9,-23.8
1.349,1.215,3.588,2.747,-2.101,-6.624,1.922,-0.011000000000000001,0.044000000000000004,-8.3,-38.9,-21.4
1.349,1.215,3.588,2.747,-2.101,-6.624,1.5219999999999998,0.047,0.066,-8.3,-38.9,-21.4
1.349,1.215,3.588,2.747,-2.101,-6.624,1.5219999999999998,0.047,0.066,-8.3,-38.9,-21.4
1.167,2.617,3.7510000000000003,2.209,-0.24600000000000002,-5.699,1.5219999999999998,0.047,0.066,-9.2,-39.5,-19.9
1.167,2.617,3.7510000000000003,2.209,-0.24600000000000002,-5.699,0.17800000000000002,-0.46299999999999997,0.28600000000000003,-9.2,-39.5,-19.9
1.167,2.617,3.7510000000000003,2.209,-0.24600000000000002,-5.699,0.17800000000000002,-0.46299999999999997,0.28600000000000003,-9.2,-39.5,-19.9
1.32,3.048,7.216,2.437,-0.006,-2.129,0.17800000000000002,-0.46299999999999997,0.28600000000000003,-10.7,-39.3,-20.2
1.32,3.048,7.216,2.437,-0.006,-2.129,-0.21100000000000002,-0.53,0.092,-10.7,-39.3,-20.2
2.995,2.572,9.671,2.437,-0.006,-2.129,-0.21100000000000002,-0.53,0.092,-10.7,-39.3,-20.2
2.995,2.572,9.671,3.8939999999999997,-0.657,0.986,-0.21100000000000002,-0.53,0.092,-10.7,-39.3,-20.2
2.995,2.572,9.671,3.8939999999999997,-0.657,0.986,-0.21100000000000002,-0.53,0.092,-10.4,-38.9,-20.2
3.055,1.4809999999999999,10.788,3.8939999999999997,-0.657,0.986,0.066,-0.402,-0.18100000000000002,-10.4,-38.9,-20.2
