ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
5.4270000000000005,-1.831,4.227,5.946000000000001,-2.9760000000000004,-2.9360000000000004,0.622,-0.561,-0.337,-6.8,-37.6,-26.2
5.4270000000000005,-1.831,4.227,5.946000000000001,-2.9760000000000004,-2.9360000000000004,0.622,-0.561,-0.337,-6.8,-37.6,-26.2
5.4270000000000005,-1.831,4.227,5.449,-3.242,-8.033999999999999,0.622,-0.561,-0.337,-6.8,-37.6,-26.2
3.977,-0.9790000000000001,-0.975,5.449,-3.242,-8.033999999999999,-0.064,-0.677,-0.515,-6.8,-37.6,-26.2
3.977,-0.9790000000000001,-0.975,5.449,-3.242,-8.033999999999999,-0.064,-0.677,-0.515,-6.5,-38.4,-24.1
3.977,-0.9790000000000001,-0.975,1.575,-0.98,-9.905,-0.064,-0.677,-0.515,-6.5,-38.4,-24.1
-1.324,1.545,2.76,1.575,-0.98,-9.905,-1.757,0.049,0.293,-6.5,-38.4,-24.1
-1.324,1.545,2.76,-1.954,0.42100000000000004,-3.395,-1.757,0.049,0.293,-6.5,-37.7,-25.9
-1.324,1.545,2.76,-1.954,0.42100000000000004,-3.395,-1.757,0.049,0.293,-6.5,-37.7,-25.9
-0.544,-0.134,9.336,-1.954,0.42100000000000004,-3.395,-1.757,0.049,0.293,-6.5,-37.7,-25.9
-0.544,-0.134,9.336,0.888,-1.7530000000000001,1.296,-1.598,0.102,1.1159999999999999,-6.5,-37.7,-25.9
-0.544,-0.134,9.336,0.888,-1.7530000000000001,1.296,-1.598,0.102,1.1159999999999999,-7.4,-35.6,-28.3
0.05,-0.804,11.380999999999998,0.888,-1.7530000000000001,1.296,-1.598,0.102,1.1159999999999999,-7.4,-35.6,-28.3
0.05,-0.804,11.380999999999998,0.888,-1.7530000000000001,1.296,-1.294,0.047,0.851,-7.4,-35.6,-28.3
-1.881,-0.192,13.748,-1.284,-0.188,2.9939999999999998,-1.294,0.047,0.851,-8.9,-33.9,-30.1
-1.881,-0.192,13.748,-1.284,-0.188,2.9939999999999998,-1.294,0.047,0.851,-8.9,-33.9,-30.1
-1.881,-0.192,13.748,-1.284,-0.188,2.9939999999999998,-1.16,0.425,0.5589999999999999,-8.9,-33.9,-30.1
-1.237,-0.46399999999999997,15.239,-0.871,-0.22899999999999998,5.682,-1.16,0.425,0.5589999999999999,-9.2,-33.0,-31.0
-1.237,-0.46399999999999997,15.239,-0.871,-0.22899999999999998,5.682,-1.16,0.425,0.5589999999999999,-9.2,-33.0,-31.0
-1.237,-0.46399999999999997,15.239,-0.871,-0.22899999999999998,5.682,-1.16,0.425,0.5589999999999999,-9.2,-33.0,-31.0
-1.8359999999999999,-0.024,19.043,-1.234,0.48700000000000004,9.818999999999999,-0.685,0.695,0.262,-9.2,-33.0,-31.0
-1.8359999999999999,-0.024,19.043,-1.234,0.48700000000000004,9.818999999999999,-0.685,0.695,0.262,-8.0,-32.5,-31.3
-1.02,-0.409,19.206,-1.234,0.48700000000000004,9.818999999999999,-0.685,0.695,0.262,-8.0,-32.5,-31.3
-1.02,-0.409,19.206,0.252,0.17800000000000002,9.128,-0.084,0.175,0.149,-8.0,-32.5,-31.3
-1.02,-0.409,19.206,0.252,0.17800000000000002,9.128,-0.084,0.175,0.149,-8.0,-32.2,-31.3
0.11199999999999999,0.158,18.195999999999998,0.252,0.17800000000000002,9.128,-0.084,0.175,0.149,-8.0,-32.2,-31.3
0.11199999999999999,0.158,18.195999999999998,0.635,0.9570000000000001,7.604,0.05,-0.257,-0.215,-8.0,-32.2,-31.3
0.11199999999999999,0.158,18.195999999999998,0.635,0.9570000000000001,7.604,0.05,-0.257,-0.215,-8.3,-31.8,-31.9
-0.5820000000000001,1.1079999999999999,15.602,0.635,0.9570000000000001,7.604,0.05,-0.257,-0.215,-8.3,-31.8,-31.9
-0.5820000000000001,1.1079999999999999,15.602,-0.131,2.013,5.58,-0.2,-0.214,-0.301,-8.3,-31.8,-31.9
-0.5820000000000001,1.1079999999999999,15.602,-0.131,2.013,5.58,-0.2,-0.214,-0.301,-8.3,-31.8,-31.9
-0.249,1.395,15.349,-0.131,2.013,5.58,-0.2,-0.214,-0.301,-7.7,-32.4,-31.6
-0.249,1.395,15.349,0.879,1.756,5.188,-0.2,-0.214,-0.301,-7.7,-32.4,-31.6
-0.249,1.395,15.349,0.879,1.756,5.188,0.135,0.12,-0.26899999999999996,-7.7,-32.4,-31.6
0.263,0.847,14.298,0.879,1.756,5.188,0.135,0.12,-0.26899999999999996,-7.7,-32.2,-31.9
0.263,0.847,14.298,0.775,1.3030000000000002,3.512,0.135,0.12,-0.26899999999999996,-7.7,-32.2,-31.9
0.263,0.847,14.298,0.775,1.3030000000000002,3.512,0.485,0.295,-0.33899999999999997,-7.7,-32.2,-31.9
0.782,0.409,12.162,0.775,1.3030000000000002,3.512,0.485,0.295,-0.33899999999999997,-6.5,-32.9,-32.5
0.782,0.409,12.162,0.775,1.3030000000000002,3.512,0.485,0.295,-0.33899999999999997,-6.5,-32.9,-32.5
2.56,-0.386,9.494,2.441,0.384,0.312,0.02,-0.040999999999999995,-0.33299999999999996,-6.5,-32.9,-32.5
