ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-1.305323,-1.396726,7.111478,-0.353292,-1.1402379999999999,-3.422915,0.695793,0.084481,1.4339600000000001,10.3398,41.0444,-30.0034
-1.266995,-0.5846520000000001,5.873004,-0.353292,-1.1402379999999999,-3.422915,0.695793,0.084481,1.4339600000000001,11.8276,39.6281,-30.4521
-1.266995,-0.5846520000000001,5.873004,-0.353292,-1.1402379999999999,-3.422915,0.6872729999999999,0.028036000000000002,1.545785,11.8276,39.6281,-30.4521
-1.266995,-0.5846520000000001,5.873004,-0.42665699999999995,-1.015012,-4.274657,0.6872729999999999,0.028036000000000002,1.545785,12.7539,38.0482,-31.193
-0.347123,-0.175021,4.816589,-0.42665699999999995,-1.015012,-4.274657,0.6872729999999999,0.028036000000000002,1.545785,12.7539,38.0482,-31.193
-0.347123,-0.175021,4.816589,-0.42665699999999995,-1.015012,-4.274657,0.6872729999999999,0.028036000000000002,1.545785,12.7539,38.0482,-31.193
-0.347123,-0.175021,4.816589,0.562331,-0.763153,-5.082037000000001,0.31558800000000004,0.11856099999999999,1.5362,12.7539,38.0482,-31.193
0.280498,0.038178,4.718373000000001,0.562331,-0.763153,-5.082037000000001,0.31558800000000004,0.11856099999999999,1.5362,14.5068,37.8532,-31.544
0.280498,0.038178,4.718373000000001,0.562331,-0.763153,-5.082037000000001,0.31558800000000004,0.11856099999999999,1.5362,14.5068,37.8532,-31.544
1.018312,-0.060037,6.81204,1.9343099999999998,-0.543575,-3.863607,-0.400092,0.040816000000000005,1.2145700000000001,14.5068,37.8532,-31.544
1.018312,-0.060037,6.81204,1.9343099999999998,-0.543575,-3.863607,-0.400092,0.040816000000000005,1.2145700000000001,14.5068,37.8532,-31.544
1.018312,-0.060037,6.81204,1.9343099999999998,-0.543575,-3.863607,-0.400092,0.040816000000000005,1.2145700000000001,17.543,36.5139,-31.73
0.563167,-0.455295,8.294853999999999,1.9343099999999998,-0.543575,-3.863607,-0.400092,0.040816000000000005,1.2145700000000001,17.543,36.5139,-31.73
0.563167,-0.455295,8.294853999999999,1.569004,-0.9122889999999999,-1.504908,-0.15833699999999998,0.296416,1.1953989999999999,17.543,36.5139,-31.73
0.563167,-0.455295,8.294853999999999,1.569004,-0.9122889999999999,-1.504908,-0.15833699999999998,0.296416,1.1953989999999999,18.1822,35.4002,-31.3965
0.726061,-0.6445390000000001,7.38696,1.675863,-1.201859,-2.448703,-0.15833699999999998,0.296416,1.1953989999999999,18.1822,35.4002,-31.3965
0.726061,-0.6445390000000001,7.38696,1.675863,-1.201859,-2.448703,0.059988,0.376291,1.21031,18.1822,35.4002,-31.3965
1.118923,-0.9032530000000001,7.063567999999999,1.675863,-1.201859,-2.448703,0.059988,0.376291,1.21031,18.1822,35.4002,-31.3965
1.118923,-0.9032530000000001,7.063567999999999,1.675863,-1.201859,-2.448703,0.059988,0.376291,1.21031,19.37,33.92,-30.82
1.118923,-0.9032530000000001,7.063567999999999,2.1291849999999997,-1.509478,-2.524596,-0.23608200000000001,0.385876,1.08677,19.37,33.92,-30.82
1.118923,-0.9032530000000001,7.063567999999999,2.1291849999999997,-1.509478,-2.524596,-0.23608200000000001,0.385876,1.08677,19.37,33.92,-30.82
1.118923,-0.9032530000000001,7.063567999999999,2.1291849999999997,-1.509478,-2.524596,-0.23608200000000001,0.385876,1.08677,19.37,33.92,-30.82
1.015916,-0.975118,7.600160000000001,2.032427,-1.509403,-2.21077,-0.308502,0.378421,1.05482,20.1995,33.5775,-30.9627
1.015916,-0.975118,7.600160000000001,2.032427,-1.509403,-2.21077,-0.308502,0.378421,1.05482,20.1995,33.5775,-30.9627
1.015916,-0.975118,7.600160000000001,2.032427,-1.509403,-2.21077,-0.308502,0.378421,1.05482,20.1995,33.5775,-30.9627
1.2099520000000001,-0.8912760000000001,9.423135,2.376248,-1.204843,-0.322789,-0.45760200000000006,0.299611,0.7907,20.1995,33.5775,-30.9627
1.2099520000000001,-0.8912760000000001,9.423135,2.376248,-1.204843,-0.322789,-0.45760200000000006,0.299611,0.7907,22.3994,33.1243,-30.3762
1.2099520000000001,-0.8912760000000001,9.423135,2.376248,-1.204843,-0.322789,-0.45760200000000006,0.299611,0.7907,22.3994,33.1243,-30.3762
1.758521,-0.8265969999999999,9.451881,2.376248,-1.204843,-0.322789,-0.45760200000000006,0.299611,0.7907,22.3994,33.1243,-30.3762
1.758521,-0.8265969999999999,9.451881,3.028547,-1.04488,-0.282332,-0.287202,0.416761,0.653315,23.0473,32.9058,-29.186
1.758521,-0.8265969999999999,9.451881,3.028547,-1.04488,-0.282332,-0.287202,0.416761,0.653315,23.0473,32.9058,-29.186
1.713007,-0.812224,8.520032,3.028547,-1.04488,-0.282332,-0.287202,0.416761,0.653315,23.0473,32.9058,-29.186
1.713007,-0.812224,8.520032,3.025198,-0.932024,-1.082454,-0.369207,0.16329100000000002,0.400909,24.4157,32.9681,-28.0724
1.830386,-1.056565,9.114116000000001,3.025198,-0.932024,-1.082454,-0.369207,0.16329100000000002,0.400909,24.4157,32.9681,-28.0724
1.830386,-1.056565,9.114116000000001,3.025198,-0.932024,-1.082454,-0.369207,0.16329100000000002,0.400909,24.4157,32.9681,-28.0724
1.830386,-1.056565,9.114116000000001,3.000978,-1.207899,-0.121242,-0.366012,0.23145100000000002,0.317839,25.2432,32.7747,-28.081999999999997
1.729775,-1.365585,9.459067,3.000978,-1.207899,-0.121242,-0.366012,0.23145100000000002,0.317839,25.2432,32.7747,-28.081999999999997
1.729775,-1.365585,9.459067,3.000978,-1.207899,-0.121242,-0.366012,0.23145100000000002,0.317839,25.2432,32.7747,-28.081999999999997
1.729775,-1.365585,9.459067,3.1088270000000002,-1.3451879999999998,-0.40781300000000004,-0.38198699999999997,0.26127100000000003,0.186844,25.2432,32.7747,-28.081999999999997
1.8567369999999999,-1.454218,9.145257,3.1088270000000002,-1.3451879999999998,-0.40781300000000004,-0.38198699999999997,0.26127100000000003,0.186844,26.1486,32.8634,-26.8756
1.8567369999999999,-1.454218,9.145257,3.1088270000000002,-1.3451879999999998,-0.40781300000000004,-0.38198699999999997,0.26127100000000003,0.186844,26.1486,32.8634,-26.8756
2.0411900000000003,-1.5428520000000001,9.334501,3.3134669999999997,-1.311914,-0.537932,-0.42032700000000006,0.164356,0.11655399999999999,26.1486,32.8634,-26.8756
2.0411900000000003,-1.5428520000000001,9.334501,3.3134669999999997,-1.311914,-0.537932,-0.42032700000000006,0.164356,0.11655399999999999,26.1051,33.1041,-26.7444
