ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-7.906000000000001,2.23,12.123,-8.017999999999999,0.332,2.4419999999999997,-0.36,0.38299999999999995,-0.318,2.0,-41.7,-18.4
-7.906000000000001,2.23,12.123,-7.591,0.062,2.278,-0.36,0.38299999999999995,-0.318,2.0,-41.7,-18.4
-7.906000000000001,2.23,12.123,-7.591,0.062,2.278,0.133,0.284,-0.15,2.0,-42.0,-18.4
-7.406000000000001,2.218,11.054,-7.591,0.062,2.278,0.133,0.284,-0.15,2.0,-42.0,-18.4
-7.406000000000001,2.218,11.054,-7.475,0.424,0.643,0.133,0.284,-0.15,2.0,-42.0,-18.4
-7.406000000000001,2.218,11.054,-7.475,0.424,0.643,0.133,0.284,-0.15,2.0,-42.0,-18.4
-8.076,2.7560000000000002,9.687000000000001,-7.475,0.424,0.643,0.524,0.221,0.021,2.3,-40.6,-17.8
-8.076,2.7560000000000002,9.687000000000001,-7.355,0.8809999999999999,-0.625,0.524,0.221,0.021,2.3,-40.6,-17.8
-7.308,3.218,8.666,-7.355,0.8809999999999999,-0.625,0.524,0.221,0.021,2.3,-40.6,-17.8
-7.308,3.218,8.666,-7.355,0.8809999999999999,-0.625,0.193,0.183,0.364,2.0,-41.9,-18.1
-7.308,3.218,8.666,-6.122999999999999,0.9540000000000001,-0.9690000000000001,0.193,0.183,0.364,2.0,-41.9,-18.1
-6.047000000000001,3.0460000000000003,8.749,-6.122999999999999,0.9540000000000001,-0.9690000000000001,0.193,0.183,0.364,2.0,-41.9,-18.1
-6.047000000000001,3.0460000000000003,8.749,-6.122999999999999,0.9540000000000001,-0.9690000000000001,-0.086,0.21100000000000002,0.7,2.6,-42.2,-16.3
-6.047000000000001,3.0460000000000003,8.749,-4.211,0.47100000000000003,0.013999999999999999,-0.086,0.21100000000000002,0.7,2.6,-42.2,-16.3
-4.422,2.739,9.726,-4.211,0.47100000000000003,0.013999999999999999,-0.086,0.21100000000000002,0.7,2.6,-42.2,-16.3
-4.422,2.739,9.726,-4.211,0.47100000000000003,0.013999999999999999,-0.086,0.21100000000000002,0.7,2.6,-42.2,-16.3
-4.422,2.739,9.726,-3.134,0.588,0.732,-0.032,0.349,0.882,0.5,-41.7,-16.6
-3.489,2.9139999999999997,10.238,-3.134,0.588,0.732,-0.032,0.349,0.882,0.5,-41.7,-16.6
-3.489,2.9139999999999997,10.238,-3.134,0.588,0.732,-0.032,0.349,0.882,0.5,-41.7,-16.6
-3.489,2.9139999999999997,10.238,-1.7790000000000001,0.41700000000000004,0.948,0.122,0.441,0.996,-0.4,-41.5,-16.9
-2.259,2.696,10.372,-1.7790000000000001,0.41700000000000004,0.948,0.122,0.441,0.996,-0.4,-41.5,-16.9
-2.259,2.696,10.372,-1.7790000000000001,0.41700000000000004,0.948,0.122,0.441,0.996,-0.4,-41.5,-16.9
-0.445,2.342,10.405,0.21600000000000003,-0.073,0.9490000000000001,0.248,0.38799999999999996,0.9540000000000001,-0.4,-41.5,-16.9
-0.445,2.342,10.405,0.21600000000000003,-0.073,0.9490000000000001,0.248,0.38799999999999996,0.9540000000000001,-1.3,-42.2,-17.5
-0.445,2.342,10.405,0.21600000000000003,-0.073,0.9490000000000001,0.248,0.38799999999999996,0.9540000000000001,-1.3,-42.2,-17.5
1.1740000000000002,2.089,9.934,1.857,-0.433,0.503,0.248,0.38799999999999996,0.9540000000000001,-1.3,-42.2,-17.5
1.1740000000000002,2.089,9.934,1.857,-0.433,0.503,0.408,0.354,0.889,-1.3,-42.2,-17.5
1.1740000000000002,2.089,9.934,1.857,-0.433,0.503,0.408,0.354,0.889,-2.8,-41.5,-15.7
1.5859999999999999,2.182,9.087,2.292,-0.474,-0.305,0.408,0.354,0.889,-2.8,-41.5,-15.7
1.5859999999999999,2.182,9.087,2.292,-0.474,-0.305,0.5329999999999999,0.45,0.8109999999999999,-2.8,-41.5,-15.7
1.5859999999999999,2.182,9.087,2.292,-0.474,-0.305,0.5329999999999999,0.45,0.8109999999999999,-2.8,-41.5,-15.7
1.629,2.285,8.651,2.525,-0.619,-0.7120000000000001,0.5329999999999999,0.45,0.8109999999999999,-5.2,-41.2,-16.3
1.629,2.285,8.651,2.525,-0.619,-0.7120000000000001,0.688,0.54,0.894,-5.2,-41.2,-16.3
2.656,1.6869999999999998,7.642,2.525,-0.619,-0.7120000000000001,0.688,0.54,0.894,-5.2,-41.2,-16.3
2.656,1.6869999999999998,7.642,3.529,-1.4409999999999998,-1.913,0.688,0.54,0.894,-4.6,-41.9,-15.1
2.656,1.6869999999999998,7.642,3.529,-1.4409999999999998,-1.913,0.688,0.54,0.894,-4.6,-41.9,-15.1
2.5789999999999997,0.993,6.0360000000000005,3.529,-1.4409999999999998,-1.913,0.812,0.624,0.7559999999999999,-4.6,-41.9,-15.1
2.5789999999999997,0.993,6.0360000000000005,3.242,-2.3,-3.6039999999999996,0.812,0.624,0.7559999999999999,-6.7,-41.9,-13.3
2.5789999999999997,0.993,6.0360000000000005,3.242,-2.3,-3.6039999999999996,0.812,0.624,0.7559999999999999,-6.7,-41.9,-13.3
2.479,1.014,4.971,3.242,-2.3,-3.6039999999999996,0.596,0.529,0.40399999999999997,-6.7,-41.9,-13.3
2.479,1.014,4.971,3.858,-2.452,-4.282,0.596,0.529,0.40399999999999997,-6.7,-41.9,-13.3
2.479,1.014,4.971,3.858,-2.452,-4.282,0.596,0.529,0.40399999999999997,-6.7,-41.7,-13.6
3.383,0.7559999999999999,4.95,3.858,-2.452,-4.282,0.337,0.308,-0.1,-6.7,-41.7,-13.6
3.383,0.7559999999999999,4.95,4.352,-3.049,-3.9189999999999996,0.337,0.308,-0.1,-6.7,-41.7,-13.6
