ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
4.6536,3.6729,9.2779,5.6493,0.7768,-0.8489,0.1174,-0.0809,-2.4233,7.65,29.02,-29.68
4.6536,3.6729,9.2779,5.6493,0.7768,-0.8489,0.1174,-0.0809,-2.4233,7.65,29.02,-29.68
1.6453,1.815,11.4949,3.5447,-0.6593,1.0824,0.013000000000000001,0.2206,-3.2478,4.37,28.38,-31.81
1.6453,1.815,11.4949,3.5447,-0.6593,1.0824,0.013000000000000001,0.2206,-3.2478,4.37,28.38,-31.81
1.6453,1.815,11.4949,0.1014,-2.6622,3.0078,0.013000000000000001,0.2206,-3.2478,4.37,28.38,-31.81
-3.5118,-0.912,13.5276,0.1014,-2.6622,3.0078,0.5477,-0.0841,-3.9658,4.37,28.38,-31.81
-3.5118,-0.912,13.5276,0.1014,-2.6622,3.0078,0.5477,-0.0841,-3.9658,1.08,28.4,-31.07
-3.5118,-0.912,13.5276,0.1014,-2.6622,3.0078,0.5477,-0.0841,-3.9658,1.08,28.4,-31.07
-8.3565,-2.9674,12.9398,-6.5211,-6.102,3.8219,1.2785,0.0618,-3.4832,1.08,28.4,-31.07
-8.3565,-2.9674,12.9398,-6.5211,-6.102,3.8219,1.2785,0.0618,-3.4832,1.08,28.4,-31.07
-8.3565,-2.9674,12.9398,-6.5211,-6.102,3.8219,1.2785,0.0618,-3.4832,-4.12,27.12,-32.76
-12.2088,-2.9315,10.0093,-10.3444,-6.6001,1.0506,1.1219,0.6232,-2.1037,-4.12,27.12,-32.76
-12.2088,-2.9315,10.0093,-10.3444,-6.6001,1.0506,1.1219,0.6232,-2.1037,-4.12,27.12,-32.76
-11.6904,-2.2001,8.568,-10.3444,-6.6001,1.0506,1.1219,0.6232,-2.1037,-4.12,27.12,-32.76
-11.6904,-2.2001,8.568,-9.5807,-5.8039,-0.6076,0.8492,1.0845,-0.754,-6.55,25.85,-32.08
-11.6904,-2.2001,8.568,-9.5807,-5.8039,-0.6076,0.8492,1.0845,-0.754,-6.55,25.85,-32.08
-9.9642,-0.9335,7.651,-9.5807,-5.8039,-0.6076,0.8492,1.0845,-0.754,-6.55,25.85,-32.08
-9.9642,-0.9335,7.651,-7.3417,-4.5298,-1.4385,1.075,0.652,-0.0072,-6.55,25.85,-32.08
-9.9642,-0.9335,7.651,-7.3417,-4.5298,-1.4385,1.075,0.652,-0.0072,-6.56,22.71,-35.0
-8.1111,0.2193,6.1331,-7.3417,-4.5298,-1.4385,1.075,0.652,-0.0072,-6.56,22.71,-35.0
-8.1111,0.2193,6.1331,-5.1027,-3.6283,-3.1907,1.075,0.652,-0.0072,-6.56,22.71,-35.0
-8.1111,0.2193,6.1331,-5.1027,-3.6283,-3.1907,1.3211,-0.0191,0.4679,-6.56,22.71,-35.0
-5.8342,1.5959,3.3523,-5.1027,-3.6283,-3.1907,1.3211,-0.0191,0.4679,-4.86,21.41,-35.05
-5.8342,1.5959,3.3523,-2.6935,-2.5458,-5.6045,1.3211,-0.0191,0.4679,-4.86,21.41,-35.05
-3.1695,2.7499,2.3192,-2.6935,-2.5458,-5.6045,0.5701,-0.1065,1.0783,-4.86,21.41,-35.05
-3.1695,2.7499,2.3192,-2.6935,-2.5458,-5.6045,0.5701,-0.1065,1.0783,-4.86,21.41,-35.05
-3.1695,2.7499,2.3192,0.1394,-1.6227,-6.0928,0.5701,-0.1065,1.0783,-6.44,19.47,-36.53
-0.9979,3.3856,2.4149,0.1394,-1.6227,-6.0928,0.078,-0.0319,1.0421,-6.44,19.47,-36.53
-0.9979,3.3856,2.4149,0.1394,-1.6227,-6.0928,0.078,-0.0319,1.0421,-6.44,19.47,-36.53
0.2303,3.3581,1.8487,1.9496,-1.3672,-6.3393,0.078,-0.0319,1.0421,-5.64,20.11,-36.51
0.2303,3.3581,1.8487,1.9496,-1.3672,-6.3393,0.078,-0.0319,1.0421,-5.64,20.11,-36.51
0.2303,3.3581,1.8487,1.9496,-1.3672,-6.3393,-0.0818,-0.377,0.7406,-5.64,20.11,-36.51
0.6253,2.5919,0.4206,2.5553,-1.8454,-7.4598,-0.0818,-0.377,0.7406,-5.64,20.11,-36.51
0.6253,2.5919,0.4206,2.5553,-1.8454,-7.4598,-0.0818,-0.377,0.7406,-5.64,20.11,-36.51
0.6253,2.5919,0.4206,2.5553,-1.8454,-7.4598,-0.3109,-0.7627,0.4135,-4.86,21.39,-37.9
0.198,1.7468,-0.8113,1.9872,-2.8011,-8.9938,-0.3109,-0.7627,0.4135,-4.86,21.39,-37.9
0.198,1.7468,-0.8113,1.9872,-2.8011,-8.9938,-0.3109,-0.7627,0.4135,-4.86,21.39,-37.9
0.198,1.7468,-0.8113,1.9872,-2.8011,-8.9938,-0.8797,-1.4327,0.4466,-4.86,21.39,-37.9
-0.0726,0.0098,-1.9892,1.0228,-4.256,-10.5067,-0.8797,-1.4327,0.4466,-4.04,21.4,-35.77
-0.0726,0.0098,-1.9892,1.0228,-4.256,-10.5067,-0.8797,-1.4327,0.4466,-4.04,21.4,-35.77
-0.0726,0.0098,-1.9892,1.0228,-4.256,-10.5067,-1.7319,-1.7726,0.5446,-4.04,21.4,-35.77
-0.2198,-1.155,-0.3181,1.0228,-4.256,-10.5067,-1.7319,-1.7726,0.5446,-4.04,21.4,-35.77
-0.2198,-1.155,-0.3181,0.5927,-5.0769,-9.4587,-1.7319,-1.7726,0.5446,2.14,24.6,-32.24
-0.2198,-1.8302,2.2402,0.5927,-5.0769,-9.4587,-2.7951,-1.6362,0.8194,2.14,24.6,-32.24
-0.2198,-1.8302,2.2402,0.5927,-5.0769,-9.4587,-2.7951,-1.6362,0.8194,2.14,24.6,-32.24
-0.2198,-1.8302,2.2402,0.2627,-5.5636,-5.247000000000001,-2.7951,-1.6362,0.8194,2.14,24.6,-32.24
1.0862,-3.7922,4.9217,0.2627,-5.5636,-5.247000000000001,-2.9335,-1.9707,1.041,2.84,27.84,-29.29
1.0862,-3.7922,4.9217,0.2627,-5.5636,-5.247000000000001,-2.9335,-1.9707,1.041,2.84,27.84,-29.29
1.0862,-3.7922,4.9217,0.445,-7.1036,-3.0696,-2.9335,-1.9707,1.041,2.84,27.84,-29.29
0.5439,-5.8189,7.487,0.445,-7.1036,-3.0696,-3.5035,-1.7022,1.1528,2.84,27.84,-29.29
0.5439,-5.8189,7.487,0.445,-7.1036,-3.0696,-3.5035,-1.7022,1.1528,-8.31,31.09,-25.93
0.1956,-6.8855,10.7192,-1.0275,-7.6072,-0.1005,-3.5035,-1.7022,1.1528,-8.31,31.09,-25.93
0.1956,-6.8855,10.7192,-1.0275,-7.6072,-0.1005,-3.5035,-1.7022,1.1528,-8.31,31.09,-25.93
0.1956,-6.8855,10.7192,-1.0275,-7.6072,-0.1005,-3.9498,-1.4274,1.9923,-8.31,31.09,-25.93
0.1956,-6.8855,10.7192,-1.0275,-7.6072,-0.1005,-3.9498,-1.4274,1.9923,-9.35,36.95,-20.76
1.9888,-7.5547,14.5224,0.0257,-7.2662,4.6139,-3.9498,-1.4274,1.9923,-9.35,36.95,-20.76
1.9888,-7.5547,14.5224,0.0257,-7.2662,4.6139,-3.6611,-0.8106,2.1382,-9.35,36.95,-20.76
2.8268,-6.5372,17.9102,0.0257,-7.2662,4.6139,-3.6611,-0.8106,2.1382,-9.35,36.95,-20.76
