ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-3.391804,-2.49147,6.97733,0.7509100000000001,-1.247369,-1.8563150000000002,-0.648898,-0.25818,-0.456005,45.6995,-6.0423,-4.486000000000001
-3.391804,-2.49147,6.97733,0.7509100000000001,-1.247369,-1.8563150000000002,-0.648898,-0.25818,-0.456005,45.6995,-6.0423,-4.486000000000001
-3.391804,-2.49147,6.97733,0.521255,-1.6816,-1.7302680000000001,-0.648898,-0.25818,-0.456005,45.6995,-6.0423,-4.486000000000001
-3.5810480000000005,-2.6160360000000003,6.565303999999999,0.521255,-1.6816,-1.7302680000000001,-0.667003,-0.039855,-0.39104,45.7878,-5.1563,-4.7907
-3.5810480000000005,-2.6160360000000003,6.565303999999999,0.521255,-1.6816,-1.7302680000000001,-0.667003,-0.039855,-0.39104,45.7878,-5.1563,-4.7907
-3.5810480000000005,-2.6160360000000003,6.565303999999999,0.611544,-1.659086,-2.366244,-0.667003,-0.039855,-0.39104,45.7878,-5.1563,-4.7907
-2.723459,-3.1813740000000004,5.834676,0.611544,-1.659086,-2.366244,-0.667003,-0.039855,-0.39104,45.7878,-5.1563,-4.7907
-2.723459,-3.1813740000000004,5.834676,0.611544,-1.659086,-2.366244,-1.276183,0.3084,-0.41553500000000004,45.9373,-4.3739,-5.5967
-2.723459,-3.1813740000000004,5.834676,1.3795540000000002,-1.784411,-2.5853200000000003,-1.276183,0.3084,-0.41553500000000004,45.9373,-4.3739,-5.5967
-2.943845,-3.605377,6.610817999999999,1.3795540000000002,-1.784411,-2.5853200000000003,-1.276183,0.3084,-0.41553500000000004,45.9373,-4.3739,-5.5967
-2.943845,-3.605377,6.610817999999999,1.3795540000000002,-1.784411,-2.5853200000000003,-1.592488,0.151845,-0.59339,45.7467,-3.7063,-6.0355
-2.943845,-3.605377,6.610817999999999,0.440629,-1.359775,-0.315633,-1.592488,0.151845,-0.59339,45.7467,-3.7063,-6.0355
-2.943845,-3.605377,6.610817999999999,0.440629,-1.359775,-0.315633,-1.592488,0.151845,-0.59339,45.7467,-3.7063,-6.0355
-3.6672860000000003,-3.4376919999999997,7.789403999999999,0.440629,-1.359775,-0.315633,-1.614853,0.24024,-0.64664,45.5587,-3.1901,-5.91
-3.6672860000000003,-3.4376919999999997,7.789403999999999,0.440629,-1.359775,-0.315633,-1.614853,0.24024,-0.64664,45.5587,-3.1901,-5.91
-3.456482,-4.860619,6.0478760000000005,0.505214,-1.5951030000000002,-1.525963,-1.614853,0.24024,-0.64664,45.5587,-3.1901,-5.91
-3.456482,-4.860619,6.0478760000000005,0.505214,-1.5951030000000002,-1.525963,-1.614853,0.24024,-0.64664,45.5587,-3.1901,-5.91
-3.456482,-4.860619,6.0478760000000005,1.13103,-1.638716,-0.369158,-1.7905779999999998,-0.802395,-0.57209,45.595,-1.4161,-5.7071
-3.456482,-4.860619,6.0478760000000005,1.13103,-1.638716,-0.369158,-1.7905779999999998,-0.802395,-0.57209,45.595,-1.4161,-5.7071
-1.511336,-4.074895,10.383731,1.13103,-1.638716,-0.369158,-1.7905779999999998,-0.802395,-0.57209,45.595,-1.4161,-5.7071
-1.511336,-4.074895,10.383731,1.13103,-1.638716,-0.369158,-1.614853,-1.89189,-1.21961,45.595,-1.4161,-5.7071
-3.3199389999999998,-6.345829,14.487222000000001,1.119315,-1.178742,6.166582,-1.614853,-1.89189,-1.21961,45.7228,-0.5288,-6.728
-3.3199389999999998,-6.345829,14.487222000000001,1.119315,-1.178742,6.166582,-1.614853,-1.89189,-1.21961,45.7228,-0.5288,-6.728
-3.3199389999999998,-6.345829,14.487222000000001,1.119315,-1.178742,6.166582,-2.103688,-0.806655,-1.6019450000000002,45.7228,-0.5288,-6.728
-3.3199389999999998,-6.345829,14.487222000000001,1.119315,-1.178742,6.166582,-2.103688,-0.806655,-1.6019450000000002,45.7228,-0.5288,-6.728
-7.107224,-9.65162,14.767495000000002,-3.477003,-4.623147,6.397566,-2.103688,-0.806655,-1.6019450000000002,45.1884,1.5884,-9.4017
-7.107224,-9.65162,14.767495000000002,-3.477003,-4.623147,6.397566,-2.541403,-0.64158,-0.83834,45.1884,1.5884,-9.4017
-7.107224,-9.65162,14.767495000000002,-3.477003,-4.623147,6.397566,-2.541403,-0.64158,-0.83834,45.1884,1.5884,-9.4017
-7.133575,-9.888774,20.325056,-4.701874,-4.5738900000000005,12.773911,-2.541403,-0.64158,-0.83834,45.1884,1.5884,-9.4017
-7.133575,-9.888774,20.325056,-4.701874,-4.5738900000000005,12.773911,-2.541403,-0.64158,-0.83834,44.5957,5.043,-11.8658
-8.439122,-9.131796000000001,21.779123000000002,-4.701874,-4.5738900000000005,12.773911,-1.9907979999999998,-0.384915,-0.5081899999999999,44.5957,5.043,-11.8658
-8.439122,-9.131796000000001,21.779123000000002,-6.3561440000000005,-3.469587,14.310154,-1.9907979999999998,-0.384915,-0.5081899999999999,44.5957,5.043,-11.8658
-8.439122,-9.131796000000001,21.779123000000002,-6.3561440000000005,-3.469587,14.310154,-1.9907979999999998,-0.384915,-0.5081899999999999,44.4474,6.9877,-13.081
-8.587644000000001,-9.481539,19.501003,-6.3561440000000005,-3.469587,14.310154,-0.569023,-0.40834499999999996,0.09886,44.4474,6.9877,-13.081
-8.587644000000001,-9.481539,19.501003,-5.939325,-2.995961,11.491315,-0.569023,-0.40834499999999996,0.09886,44.4474,6.9877,-13.081
-8.587644000000001,-9.481539,19.501003,-5.939325,-2.995961,11.491315,-0.569023,-0.40834499999999996,0.09886,44.1446,8.4909,-13.7477
-6.7263399999999995,-7.4262,17.510344,-5.939325,-2.995961,11.491315,-0.276148,-0.054765,0.60793,44.1446,8.4909,-13.7477
-6.7263399999999995,-7.4262,17.510344,-5.939325,-2.995961,11.491315,-0.276148,-0.054765,0.60793,44.1446,8.4909,-13.7477
-6.7263399999999995,-7.4262,17.510344,-5.939325,-2.995961,11.491315,-0.276148,-0.054765,0.60793,44.1446,8.4909,-13.7477
-5.935825,-6.642871,16.60245,-3.864956,-0.894543,9.363085,-0.333658,0.36165,0.77833,43.9962,9.0133,-14.1256
-5.935825,-6.642871,16.60245,-3.864956,-0.894543,9.363085,-0.333658,0.36165,0.77833,43.9962,9.0133,-14.1256
-5.935825,-6.642871,16.60245,-3.864956,-0.894543,9.363085,-0.333658,0.36165,0.77833,43.9962,9.0133,-14.1256
-4.972834,-5.665507,15.095679,-2.273331,0.38552,7.615791000000001,-0.333658,0.36165,0.77833,43.9962,9.0133,-14.1256
-4.972834,-5.665507,15.095679,-2.273331,0.38552,7.615791000000001,-0.333658,0.36165,0.77833,43.9962,9.0133,-14.1256
-5.035116,-6.451231,16.152094,-2.273331,0.38552,7.615791000000001,-0.14089300000000002,0.053864999999999996,0.63136,44.1106,7.9799,-14.5722
-5.035116,-6.451231,16.152094,-2.275985,-0.560465,8.621627,-0.14089300000000002,0.053864999999999996,0.63136,44.1106,7.9799,-14.5722
-5.035116,-6.451231,16.152094,-2.275985,-0.560465,8.621627,-0.14089300000000002,0.053864999999999996,0.63136,44.1106,7.9799,-14.5722
-4.98002,-7.102807,15.716113,-2.275985,-0.560465,8.621627,0.5119520000000001,-0.029205000000000002,0.66757,44.1106,7.9799,-14.5722
-4.98002,-7.102807,15.716113,-2.143615,-1.1857209999999998,8.353774000000001,0.5119520000000001,-0.029205000000000002,0.66757,44.8395,6.2159,-13.8978
-4.98002,-7.102807,15.716113,-2.143615,-1.1857209999999998,8.353774000000001,0.5119520000000001,-0.029205000000000002,0.66757,44.8395,6.2159,-13.8978
-5.097399,-7.368708,14.717189999999999,-2.143615,-1.1857209999999998,8.353774000000001,0.5140819999999999,0.49690500000000004,0.87631,44.8395,6.2159,-13.8978
-5.097399,-7.368708,14.717189999999999,-1.992782,-1.753823,6.6231160000000004,0.5140819999999999,0.49690500000000004,0.87631,44.8395,6.2159,-13.8978
-4.898573000000001,-7.299238000000001,11.797075,-1.992782,-1.753823,6.6231160000000004,0.5140819999999999,0.49690500000000004,0.87631,45.0147,5.1994,-13.5695
-4.898573000000001,-7.299238000000001,11.797075,-1.992782,-1.753823,6.6231160000000004,0.449117,0.490515,1.1233899999999999,45.0147,5.1994,-13.5695
-4.898573000000001,-7.299238000000001,11.797075,-1.992782,-1.753823,6.6231160000000004,0.449117,0.490515,1.1233899999999999,45.0147,5.1994,-13.5695
-4.37875,-7.0357330000000005,11.557526,-1.073002,-1.7658610000000001,3.744218,0.449117,0.490515,1.1233899999999999,44.9752,3.7207,-12.8284
-4.37875,-7.0357330000000005,11.557526,-1.073002,-1.7658610000000001,3.744218,0.734537,-0.0963,0.9892,44.9752,3.7207,-12.8284
-4.000261,-6.559029,10.271142,-1.073002,-1.7658610000000001,3.744218,0.734537,-0.0963,0.9892,44.9752,3.7207,-12.8284
-4.000261,-6.559029,10.271142,-0.37148400000000004,-1.584614,2.385153,0.734537,-0.0963,0.9892,44.9752,3.7207,-12.8284
-4.000261,-6.559029,10.271142,-0.37148400000000004,-1.584614,2.385153,0.961382,-0.30078,0.8379700000000001,44.882,1.7759,-11.7507
-4.000261,-6.559029,10.271142,-0.37148400000000004,-1.584614,2.385153,0.961382,-0.30078,0.8379700000000001,44.882,1.7759,-11.7507
-3.4253410000000004,-5.984108999999999,9.430322,-0.37148400000000004,-1.584614,2.385153,0.961382,-0.30078,0.8379700000000001,44.882,1.7759,-11.7507
-3.4253410000000004,-5.984108999999999,9.430322,0.209605,-1.2672709999999998,1.3941780000000001,1.191422,-0.440295,0.647335,45.0624,0.3785,-11.3191
-3.4253410000000004,-5.984108999999999,9.430322,0.209605,-1.2672709999999998,1.3941780000000001,1.191422,-0.440295,0.647335,45.0624,0.3785,-11.3191
-3.4253410000000004,-5.984108999999999,9.430322,0.209605,-1.2672709999999998,1.3941780000000001,1.191422,-0.440295,0.647335,45.0624,0.3785,-11.3191
-3.094762,-5.397211,8.290064,0.517007,-1.1608559999999999,0.029310000000000003,1.416137,-0.374265,0.598345,45.0624,0.3785,-11.3191
-3.094762,-5.397211,8.290064,0.517007,-1.1608559999999999,0.029310000000000003,1.416137,-0.374265,0.598345,44.6593,-1.0678,-11.7629
-3.094762,-5.397211,8.290064,0.517007,-1.1608559999999999,0.029310000000000003,1.416137,-0.374265,0.598345,44.6593,-1.0678,-11.7629
-2.6659669999999998,-4.676166,5.99757,0.881876,-0.875035,-2.227503,1.234022,-0.182565,0.58024,44.6593,-1.0678,-11.7629
-2.6659669999999998,-4.676166,5.99757,0.881876,-0.875035,-2.227503,1.234022,-0.182565,0.58024,44.6593,-1.0678,-11.7629
-2.6659669999999998,-4.676166,5.99757,0.881876,-0.875035,-2.227503,1.234022,-0.182565,0.58024,44.4388,-2.6494,-12.4353
-2.455163,-3.8545089999999997,5.602313,1.326359,-0.384946,-3.388697,1.234022,-0.182565,0.58024,44.4388,-2.6494,-12.4353
-2.455163,-3.8545089999999997,5.602313,1.326359,-0.384946,-3.388697,0.793112,-0.21664499999999998,0.38428,44.4388,-2.6494,-12.4353
-2.455163,-3.8545089999999997,5.602313,1.326359,-0.384946,-3.388697,0.793112,-0.21664499999999998,0.38428,44.0752,-4.0375,-12.7054
-2.313829,-3.758689,6.201188,1.326359,-0.384946,-3.388697,0.793112,-0.21664499999999998,0.38428,44.0752,-4.0375,-12.7054
-2.313829,-3.758689,6.201188,1.335613,-0.543642,-2.672477,0.9997219999999999,-0.23688,0.39066999999999996,44.0752,-4.0375,-12.7054
-1.7221400000000002,-2.932242,4.912408999999999,1.335613,-0.543642,-2.672477,0.9997219999999999,-0.23688,0.39066999999999996,43.5881,-5.1989,-12.7091
-1.7221400000000002,-2.932242,4.912408999999999,1.335613,-0.543642,-2.672477,0.9997219999999999,-0.23688,0.39066999999999996,43.5881,-5.1989,-12.7091
-1.7221400000000002,-2.932242,4.912408999999999,1.894909,0.020733,-4.111128,1.224437,-0.325275,0.42049,43.5881,-5.1989,-12.7091
-1.544873,-2.1441220000000003,4.483614,1.894909,0.020733,-4.111128,1.224437,-0.325275,0.42049,43.5881,-5.1989,-12.7091
-1.544873,-2.1441220000000003,4.483614,1.894909,0.020733,-4.111128,1.224437,-0.325275,0.42049,43.2677,-6.7527,-12.2208
-1.544873,-2.1441220000000003,4.483614,2.38726,0.34930300000000003,-4.849111,1.222307,-0.19854000000000002,0.34274499999999997,43.2677,-6.7527,-12.2208
-0.629792,-1.933318,3.6835169999999997,2.38726,0.34930300000000003,-4.849111,1.222307,-0.19854000000000002,0.34274499999999997,43.2677,-6.7527,-12.2208
-0.629792,-1.933318,3.6835169999999997,2.38726,0.34930300000000003,-4.849111,1.222307,-0.19854000000000002,0.34274499999999997,43.4617,-7.6774,-11.8551
-0.629792,-1.933318,3.6835169999999997,3.275043,0.307662,-6.221539,1.222307,-0.19854000000000002,0.34274499999999997,43.4617,-7.6774,-11.8551
-0.102782,-1.633881,2.624706,3.275043,0.307662,-6.221539,0.813347,0.009134999999999999,0.14785,43.4617,-7.6774,-11.8551
-0.102782,-1.633881,2.624706,3.275043,0.307662,-6.221539,0.813347,0.009134999999999999,0.14785,43.4906,-8.3153,-11.8055
-0.102782,-1.633881,2.624706,3.275043,0.307662,-6.221539,0.813347,0.009134999999999999,0.14785,43.4906,-8.3153,-11.8055
-0.8813200000000001,-1.7225139999999999,3.7601730000000004,2.769616,0.18554600000000002,-6.153418,0.154112,0.15504,-0.083255,43.4906,-8.3153,-11.8055
-0.8813200000000001,-1.7225139999999999,3.7601730000000004,2.769616,0.18554600000000002,-6.153418,0.154112,0.15504,-0.083255,43.4906,-8.3153,-11.8055
-0.8813200000000001,-1.7225139999999999,3.7601730000000004,2.769616,0.18554600000000002,-6.153418,0.154112,0.15504,-0.083255,43.3579,-8.919,-11.9513
