ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.3216,-0.9156,0.9617,-0.0667,-3.1912,-8.8353,-0.4344,0.0054,0.127,6.94,26.5,-26.89
-0.3216,-0.9156,0.9617,-0.0667,-3.1912,-8.8353,-0.8605,-1.2421,0.2974,6.94,26.5,-26.89
-0.3216,-0.9156,0.9617,-0.0667,-3.1912,-8.8353,-0.8605,-1.2421,0.2974,6.94,26.5,-26.89
1.1054,-0.1327,0.9604,0.6191,-1.9949,-8.2341,-0.8605,-1.2421,0.2974,6.94,26.5,-26.89
1.1054,-0.1327,0.9604,0.6191,-1.9949,-8.2341,-1.8939,-0.5731,0.3198,6.02,29.09,-26.8
2.6077,-0.3865,3.6348,0.6191,-1.9949,-8.2341,-1.8939,-0.5731,0.3198,6.02,29.09,-26.8
2.6077,-0.3865,3.6348,2.5256,-1.5423,-5.4346,-1.8939,-0.5731,0.3198,6.02,29.09,-26.8
2.6077,-0.3865,3.6348,2.5256,-1.5423,-5.4346,-2.8813,0.522,-0.2437,6.02,29.09,-26.8
1.4717,-0.9647,9.9483,2.5256,-1.5423,-5.4346,-2.8813,0.522,-0.2437,5.1,31.72,-21.02
1.4717,-0.9647,9.9483,0.8057,-1.3104,2.149,-2.8813,0.522,-0.2437,5.1,31.72,-21.02
1.4717,-0.9647,9.9483,0.8057,-1.3104,2.149,-2.6981,-0.0873,-0.4696,5.1,31.72,-21.02
-1.1129,-2.2659,15.6776,0.8057,-1.3104,2.149,-2.6981,-0.0873,-0.4696,5.1,31.72,-21.02
-1.1129,-2.2659,15.6776,-1.8157,-2.6351,8.9061,-2.6981,-0.0873,-0.4696,3.38,33.7,-16.67
-1.2457,-3.2044,21.4021,-1.8157,-2.6351,8.9061,-1.5455,-0.604,0.2069,3.38,33.7,-16.67
-1.2457,-3.2044,21.4021,-1.8157,-2.6351,8.9061,-1.5455,-0.604,0.2069,3.38,33.7,-16.67
-1.2457,-3.2044,21.4021,-0.1976,-1.5726,13.167,-1.5455,-0.604,0.2069,3.38,33.7,-16.67
0.6529,-1.6398,22.938000000000002,-0.1976,-1.5726,13.167,-0.9671,-0.5273,0.1057,5.81,34.97,-17.36
0.6529,-1.6398,22.938000000000002,-0.1976,-1.5726,13.167,-0.9671,-0.5273,0.1057,5.81,34.97,-17.36
0.6529,-1.6398,22.938000000000002,0.3608,-0.57,13.4513,-0.9671,-0.5273,0.1057,5.81,34.97,-17.36
0.3955,-2.0133,23.46,0.3608,-0.57,13.4513,-1.2313,-0.2833,-0.0765,5.81,34.97,-17.36
0.3955,-2.0133,23.46,0.3608,-0.57,13.4513,-1.2313,-0.2833,-0.0765,7.21,36.57,-13.46
0.3955,-2.0133,23.46,0.3608,-0.57,13.4513,-1.2313,-0.2833,-0.0765,7.21,36.57,-13.46
-0.0007,-1.2065,23.5677,-0.4515,0.2388,13.9961,-1.2313,-0.2833,-0.0765,7.21,36.57,-13.46
-0.0007,-1.2065,23.5677,-0.4515,0.2388,13.9961,-0.8978,-0.1235,0.0098,7.21,36.57,-13.46
0.8683,-0.165,20.7425,0.3913,1.5891,11.2338,-0.8978,-0.1235,0.0098,4.73,36.59,-12.73
0.8683,-0.165,20.7425,0.3913,1.5891,11.2338,-0.8978,-0.1235,0.0098,4.73,36.59,-12.73
0.8683,-0.165,20.7425,0.3913,1.5891,11.2338,-0.2757,0.0384,0.0205,4.73,36.59,-12.73
1.0826,0.3402,17.1345,0.3913,1.5891,11.2338,-0.2757,0.0384,0.0205,4.73,36.59,-12.73
1.0826,0.3402,17.1345,0.6433,2.1798,7.2227,-0.2757,0.0384,0.0205,3.66,37.0,-13.41
1.0826,0.3402,17.1345,0.6433,2.1798,7.2227,-0.1809,0.4251,-0.0466,3.66,37.0,-13.41
1.0467,0.327,13.5587,0.6433,2.1798,7.2227,-0.1809,0.4251,-0.0466,3.66,37.0,-13.41
1.0467,0.327,13.5587,0.6357,2.1434,3.5032,-0.1809,0.4251,-0.0466,3.66,37.0,-13.41
1.0467,0.327,13.5587,0.6357,2.1434,3.5032,-0.1809,0.4251,-0.0466,5.16,32.56,-17.74
0.9521,-0.4032,11.9666,0.6357,2.1434,3.5032,-0.0659,0.5732,-0.1947,5.16,32.56,-17.74
0.9521,-0.4032,11.9666,0.6615,1.4118,2.0742,-0.0659,0.5732,-0.1947,5.16,32.56,-17.74
1.2442,-1.0473,11.3202,0.6615,1.4118,2.0742,-0.0659,0.5732,-0.1947,5.16,32.56,-17.74
1.2442,-1.0473,11.3202,0.6615,1.4118,2.0742,0.5083,0.1503,-0.265,6.79,33.19,-19.16
1.2442,-1.0473,11.3202,1.1763,0.5492,1.3497,0.5083,0.1503,-0.265,6.79,33.19,-19.16
1.5064,-1.7284,10.5085,1.1763,0.5492,1.3497,0.5083,0.1503,-0.265,6.79,33.19,-19.16
