ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.07400000000000001,-0.43799999999999994,8.931000000000001,-0.011000000000000001,-0.495,-1.238,1.0070000000000001,0.08199999999999999,0.09300000000000001,-10.9,-33.4,-24.4
0.07400000000000001,-0.43799999999999994,8.931000000000001,1.68,-1.2229999999999999,-1.578,1.0070000000000001,0.08199999999999999,0.09300000000000001,-10.9,-33.4,-24.4
2.036,-0.938,8.941,1.68,-1.2229999999999999,-1.578,1.0070000000000001,0.08199999999999999,0.09300000000000001,-11.5,-33.5,-24.7
2.036,-0.938,8.941,1.68,-1.2229999999999999,-1.578,0.629,0.43799999999999994,0.032,-11.5,-33.5,-24.7
2.036,-0.938,8.941,1.528,-2.158,-0.267,0.629,0.43799999999999994,0.032,-11.5,-33.5,-24.7
1.361,-1.831,10.003,1.528,-2.158,-0.267,0.629,0.43799999999999994,0.032,-10.9,-34.9,-22.3
1.361,-1.831,10.003,1.528,-2.158,-0.267,1.504,0.441,-0.08800000000000001,-10.9,-34.9,-22.3
1.361,-1.831,10.003,0.35600000000000004,-2.329,-1.193,1.504,0.441,-0.08800000000000001,-10.9,-34.9,-22.3
0.055,-1.314,8.601,0.35600000000000004,-2.329,-1.193,1.504,0.441,-0.08800000000000001,-10.9,-34.9,-22.3
0.055,-1.314,8.601,0.35600000000000004,-2.329,-1.193,1.983,0.292,0.061,-9.7,-36.3,-22.3
0.055,-1.314,8.601,0.35600000000000004,-2.329,-1.193,1.983,0.292,0.061,-9.7,-36.3,-22.3
-0.21100000000000002,-1.008,6.6129999999999995,0.052000000000000005,-2.528,-3.386,1.983,0.292,0.061,-9.7,-36.3,-22.3
-0.21100000000000002,-1.008,6.6129999999999995,0.052000000000000005,-2.528,-3.386,1.983,0.292,0.061,-9.7,-36.3,-22.3
-0.21100000000000002,-1.008,6.6129999999999995,0.052000000000000005,-2.528,-3.386,1.858,0.098,0.249,-9.7,-37.5,-19.0
1.7009999999999998,0.462,2.995,1.9809999999999999,-1.6540000000000001,-6.843,1.858,0.098,0.249,-9.7,-37.5,-19.0
1.7009999999999998,0.462,2.995,1.9809999999999999,-1.6540000000000001,-6.843,1.858,0.098,0.249,-9.7,-37.5,-19.0
0.41600000000000004,1.639,3.9210000000000003,0.76,-0.8190000000000001,-5.784,1.119,0.317,0.012,-10.6,-38.2,-18.4
0.41600000000000004,1.639,3.9210000000000003,0.76,-0.8190000000000001,-5.784,1.119,0.317,0.012,-10.6,-38.2,-18.4
0.41600000000000004,1.639,3.9210000000000003,0.76,-0.8190000000000001,-5.784,1.119,0.317,0.012,-10.6,-38.2,-18.4
-1.254,2.309,4.343999999999999,-0.88,-0.409,-5.249,0.9470000000000001,-0.061,-0.17600000000000002,-11.5,-38.9,-17.2
-1.254,2.309,4.343999999999999,-0.88,-0.409,-5.249,0.9470000000000001,-0.061,-0.17600000000000002,-11.5,-38.9,-17.2
-1.254,2.309,4.343999999999999,-0.88,-0.409,-5.249,0.9470000000000001,-0.061,-0.17600000000000002,-11.5,-38.9,-17.2
0.10300000000000001,1.639,3.846,0.45299999999999996,-1.2990000000000002,-5.638999999999999,0.9470000000000001,-0.061,-0.17600000000000002,-11.5,-38.9,-17.2
0.10300000000000001,1.639,3.846,0.45299999999999996,-1.2990000000000002,-5.638999999999999,0.743,-0.078,0.032,-10.0,-40.1,-13.9
0.10300000000000001,1.639,3.846,0.45299999999999996,-1.2990000000000002,-5.638999999999999,0.743,-0.078,0.032,-10.0,-40.1,-13.9
0.174,2.318,4.26,0.507,-0.785,-5.129,0.743,-0.078,0.032,-10.0,-40.1,-13.9
0.174,2.318,4.26,0.507,-0.785,-5.129,0.501,-0.043,-0.028999999999999998,-9.7,-40.5,-13.3
0.174,2.318,4.26,0.507,-0.785,-5.129,0.501,-0.043,-0.028999999999999998,-9.7,-40.5,-13.3
0.071,2.878,4.5280000000000005,0.374,-0.32899999999999996,-4.79,0.501,-0.043,-0.028999999999999998,-9.7,-40.5,-13.3
0.071,2.878,4.5280000000000005,0.374,-0.32899999999999996,-4.79,0.282,-0.243,-0.139,-10.0,-40.5,-13.3
0.071,2.878,4.5280000000000005,0.374,-0.32899999999999996,-4.79,0.282,-0.243,-0.139,-10.0,-40.5,-13.3
0.165,1.9,3.5860000000000003,0.415,-1.3559999999999999,-5.675,0.282,-0.243,-0.139,-10.0,-40.5,-13.3
0.165,1.9,3.5860000000000003,0.415,-1.3559999999999999,-5.675,-0.004,-0.203,-0.11599999999999999,-10.0,-40.5,-13.3
0.7490000000000001,1.443,3.483,0.415,-1.3559999999999999,-5.675,-0.004,-0.203,-0.11599999999999999,-10.9,-39.8,-13.9
0.7490000000000001,1.443,3.483,1.0090000000000001,-1.825,-5.818,-0.004,-0.203,-0.11599999999999999,-10.9,-39.8,-13.9
0.7490000000000001,1.443,3.483,1.0090000000000001,-1.825,-5.818,-0.213,-0.365,-0.348,-10.9,-39.8,-13.9
0.902,1.3330000000000002,2.9130000000000003,1.0090000000000001,-1.825,-5.818,-0.213,-0.365,-0.348,-10.0,-40.3,-14.2
0.902,1.3330000000000002,2.9130000000000003,0.841,-1.786,-6.428999999999999,-0.213,-0.365,-0.348,-10.0,-40.3,-14.2
0.902,1.3330000000000002,2.9130000000000003,0.841,-1.786,-6.428999999999999,-0.213,-0.365,-0.526,-10.0,-40.3,-14.2
0.914,0.909,3.023,0.9079999999999999,-2.156,-5.992000000000001,-0.547,-0.424,-0.526,-9.1,-41.0,-14.2
0.914,0.909,3.023,0.9079999999999999,-2.156,-5.992000000000001,-0.547,-0.424,-0.526,-9.1,-41.0,-14.2
0.914,0.909,3.023,0.9079999999999999,-2.156,-5.992000000000001,-0.547,-0.424,-0.526,-9.1,-41.0,-14.2
0.8420000000000001,1.088,3.801,0.93,-1.5919999999999999,-5.2620000000000005,-0.754,-0.278,-0.53,-9.1,-41.0,-14.2
0.8420000000000001,1.088,3.801,0.93,-1.5919999999999999,-5.2620000000000005,-0.754,-0.278,-0.53,-8.2,-40.6,-13.6
0.8420000000000001,1.088,3.801,0.93,-1.5919999999999999,-5.2620000000000005,-0.754,-0.278,-0.53,-8.2,-40.6,-13.6
1.493,0.83,5.141,1.472,-1.764,-4.0889999999999995,-0.6809999999999999,-0.24100000000000002,-0.489,-8.2,-40.6,-13.6
1.493,0.83,5.141,1.472,-1.764,-4.0889999999999995,-0.6809999999999999,-0.24100000000000002,-0.489,-7.9,-39.6,-15.4
1.493,0.83,5.141,1.472,-1.764,-4.0889999999999995,-0.6809999999999999,-0.24100000000000002,-0.489,-7.9,-39.6,-15.4
