ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-2.340179,-2.6831099999999997,10.067525,-0.463264,-3.1091849999999996,-0.194794,0.9173620000000001,-0.794542,0.610618,-27.1682,6.1996,-30.9448
-1.7413040000000002,-3.574236,9.466254,-0.831066,-4.079288,-0.7140569999999999,1.055812,-0.357892,0.888583,-27.2799,5.5471,-30.8185
-1.7413040000000002,-3.574236,9.466254,-0.831066,-4.079288,-0.7140569999999999,1.055812,-0.357892,0.888583,-27.2799,5.5471,-30.8185
-1.7413040000000002,-3.574236,9.466254,-0.831066,-4.079288,-0.7140569999999999,1.055812,-0.357892,0.888583,-27.2799,5.5471,-30.8185
-0.24651199999999998,-3.0520169999999998,6.18921,1.124479,-4.429787999999999,-4.6574230000000005,1.362532,-0.39303699999999997,0.745873,-27.2799,5.5471,-30.8185
-0.24651199999999998,-3.0520169999999998,6.18921,1.124479,-4.429787999999999,-4.6574230000000005,1.362532,-0.39303699999999997,0.745873,-28.1406,5.2636,-30.1427
-0.24651199999999998,-3.0520169999999998,6.18921,1.124479,-4.429787999999999,-4.6574230000000005,1.362532,-0.39303699999999997,0.745873,-28.1406,5.2636,-30.1427
-0.018940000000000002,-3.032853,3.757778,0.929026,-4.813339,-6.470338,1.298632,-0.540007,0.526483,-28.1406,5.2636,-30.1427
-0.018940000000000002,-3.032853,3.757778,0.929026,-4.813339,-6.470338,1.298632,-0.540007,0.526483,-28.8822,5.0822,-29.7194
0.10323099999999999,-2.208801,2.782809,0.929026,-4.813339,-6.470338,1.298632,-0.540007,0.526483,-28.8822,5.0822,-29.7194
0.10323099999999999,-2.208801,2.782809,0.90425,-4.31479,-7.271762,1.184677,-0.455872,0.49027299999999996,-28.8822,5.0822,-29.7194
0.10323099999999999,-2.208801,2.782809,0.90425,-4.31479,-7.271762,1.184677,-0.455872,0.49027299999999996,-29.0552,4.4799,-29.8269
0.587122,-0.646935,1.68567,0.90425,-4.31479,-7.271762,1.184677,-0.455872,0.49027299999999996,-29.0552,4.4799,-29.8269
0.587122,-0.646935,1.68567,1.227955,-3.064712,-8.260584,0.997237,-0.420727,0.35288800000000003,-29.0552,4.4799,-29.8269
0.587122,-0.646935,1.68567,1.227955,-3.064712,-8.260584,0.997237,-0.420727,0.35288800000000003,-29.0552,4.4799,-29.8269
0.819485,0.342407,1.093982,1.227955,-3.064712,-8.260584,0.997237,-0.420727,0.35288800000000003,-29.8998,3.0063,-29.3246
0.819485,0.342407,1.093982,1.417346,-2.184549,-8.427192999999999,0.997237,-0.420727,0.35288800000000003,-29.8998,3.0063,-29.3246
0.819485,0.342407,1.093982,1.417346,-2.184549,-8.427192999999999,0.5467420000000001,-0.459067,0.149473,-29.8998,3.0063,-29.3246
0.884164,0.886185,2.1360240000000004,1.417346,-2.184549,-8.427192999999999,0.5467420000000001,-0.459067,0.149473,-30.2747,2.5176,-28.564
0.884164,0.886185,2.1360240000000004,1.417346,-2.184549,-8.427192999999999,0.5467420000000001,-0.459067,0.149473,-30.2747,2.5176,-28.564
0.884164,0.886185,2.1360240000000004,1.417346,-2.184549,-8.427192999999999,0.5467420000000001,-0.459067,0.149473,-30.2747,2.5176,-28.564
1.068617,0.895767,2.1360240000000004,1.128134,-1.96563,-7.58144,0.360367,-0.430312,0.074923,-30.355999999999998,2.6009,-28.1594
1.068617,0.895767,2.1360240000000004,1.128134,-1.96563,-7.58144,0.360367,-0.430312,0.074923,-30.355999999999998,2.6009,-28.1594
1.068617,0.895767,2.1360240000000004,1.128134,-1.96563,-7.58144,0.360367,-0.430312,0.074923,-30.355999999999998,2.6009,-28.1594
1.068617,0.895767,2.1360240000000004,1.128134,-1.96563,-7.58144,0.360367,-0.430312,0.074923,-30.355999999999998,2.6009,-28.1594
1.394405,1.310189,2.291732,1.515807,-1.662553,-7.279698,0.004657,-0.002182,-0.058202,-30.5339,2.3901,-27.9055
1.394405,1.310189,2.291732,1.515807,-1.662553,-7.279698,0.004657,-0.002182,-0.058202,-30.5339,2.3901,-27.9055
1.394405,1.310189,2.291732,1.515807,-1.662553,-7.279698,0.004657,-0.002182,-0.058202,-30.5339,2.3901,-27.9055
1.5357399999999999,1.8036619999999999,2.734899,1.515807,-1.662553,-7.279698,0.004657,-0.002182,-0.058202,-30.5339,2.3901,-27.9055
1.5357399999999999,1.8036619999999999,2.734899,1.5295299999999998,-1.060682,-6.446459,-0.42666800000000005,-0.078862,-0.34468699999999997,-31.2134,2.0532,-27.8664
0.431414,1.204787,5.044161,1.5295299999999998,-1.060682,-6.446459,-0.42666800000000005,-0.078862,-0.34468699999999997,-31.2134,2.0532,-27.8664
0.431414,1.204787,5.044161,0.5021220000000001,-1.493195,-4.1063339999999995,-0.470333,0.165023,-0.345752,-31.1317,1.9583,-27.9804
0.431414,1.204787,5.044161,0.5021220000000001,-1.493195,-4.1063339999999995,-0.470333,0.165023,-0.345752,-31.1317,1.9583,-27.9804
0.881768,0.9867959999999999,4.929176999999999,0.5021220000000001,-1.493195,-4.1063339999999995,-0.470333,0.165023,-0.345752,-31.1317,1.9583,-27.9804
0.881768,0.9867959999999999,4.929176999999999,0.946981,-1.590811,-4.542733,-0.5810930000000001,0.172478,-0.391547,-31.1317,1.9583,-27.9804
0.881768,0.9867959999999999,4.929176999999999,0.946981,-1.590811,-4.542733,-0.5810930000000001,0.172478,-0.391547,-31.334,2.0063,-28.3895
1.039871,0.373548,5.85384,0.946981,-1.590811,-4.542733,-0.5810930000000001,0.172478,-0.391547,-31.334,2.0063,-28.3895
1.039871,0.373548,5.85384,0.946981,-1.590811,-4.542733,-0.5810930000000001,0.172478,-0.391547,-31.334,2.0063,-28.3895
1.039871,0.373548,5.85384,0.752147,-1.907257,-3.4418300000000004,-0.593873,0.353528,-0.368117,-31.0511,1.9359,-28.1149
-0.32556399999999996,-0.028895999999999998,6.618005,0.752147,-1.907257,-3.4418300000000004,-0.593873,0.353528,-0.368117,-31.0511,1.9359,-28.1149
-0.32556399999999996,-0.028895999999999998,6.618005,0.752147,-1.907257,-3.4418300000000004,-0.593873,0.353528,-0.368117,-31.0511,1.9359,-28.1149
-0.32556399999999996,-0.028895999999999998,6.618005,0.381902,-1.6869150000000002,-3.480956,-0.593873,0.353528,-0.368117,-31.0511,1.9359,-28.1149
-0.20339300000000002,0.572375,5.769998,0.381902,-1.6869150000000002,-3.480956,-0.8707729999999999,0.442988,-0.28930700000000004,-30.9518,2.0511,-27.8062
-0.20339300000000002,0.572375,5.769998,0.381902,-1.6869150000000002,-3.480956,-0.8707729999999999,0.442988,-0.28930700000000004,-30.9518,2.0511,-27.8062
