ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-4.982,1.6030000000000002,12.327,-4.938,-1.073,2.5860000000000003,1.159,0.494,0.23800000000000002,9.8,-40.8,-15.1
-4.982,1.6030000000000002,12.327,-4.938,-1.073,2.5860000000000003,1.6369999999999998,0.6779999999999999,0.809,9.8,-40.8,-15.1
-4.415,0.976,9.754,-4.112,-2.455,-0.205,1.6369999999999998,0.6779999999999999,0.809,8.6,-42.2,-12.1
-4.415,0.976,9.754,-4.112,-2.455,-0.205,1.6369999999999998,0.6779999999999999,0.809,8.6,-42.2,-12.1
-3.508,0.998,7.0120000000000005,-4.112,-2.455,-0.205,1.4869999999999999,0.6659999999999999,1.053,8.6,-42.2,-12.1
-3.508,0.998,7.0120000000000005,-3.0010000000000003,-2.214,-3.285,1.4869999999999999,0.6659999999999999,1.053,7.1,-43.1,-12.4
-3.508,0.998,7.0120000000000005,-3.0010000000000003,-2.214,-3.285,1.4869999999999999,0.6659999999999999,1.053,7.1,-43.1,-12.4
-3.5869999999999997,1.746,5.995,-3.0010000000000003,-2.214,-3.285,1.4869999999999999,0.6659999999999999,1.053,7.1,-43.1,-12.4
-3.5869999999999997,1.746,5.995,-3.428,-2.06,-3.537,1.085,0.5429999999999999,1.072,5.9,-43.1,-10.0
-3.5869999999999997,1.746,5.995,-3.428,-2.06,-3.537,1.085,0.5429999999999999,1.072,5.9,-43.1,-10.0
-4.1419999999999995,1.835,5.61,-3.428,-2.06,-3.537,1.085,0.5429999999999999,1.072,5.9,-43.1,-10.0
-4.1419999999999995,1.835,5.61,-3.6919999999999997,-2.6660000000000004,-3.6839999999999997,0.9309999999999999,0.431,1.177,5.0,-43.2,-8.5
