ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
14.8253,4.6031,6.0888,13.794,1.2862,-3.2371,-0.111,-0.5206,-2.0962,4.03,24.07,-26.31
14.8253,4.6031,6.0888,13.794,1.2862,-3.2371,-0.111,-0.5206,-2.0962,4.03,24.07,-26.31
14.8253,4.6031,6.0888,13.794,1.2862,-3.2371,-0.111,-0.5206,-2.0962,4.03,24.07,-26.31
11.7967,1.5636,6.7137,10.7685,-1.5841,-2.656,-0.3656,-0.6868,-3.9923,0.76,23.44,-27.02
11.7967,1.5636,6.7137,10.7685,-1.5841,-2.656,-0.3656,-0.6868,-3.9923,0.76,23.44,-27.02
11.7967,1.5636,6.7137,10.7685,-1.5841,-2.656,-0.3656,-0.6868,-3.9923,0.76,23.44,-27.02
8.8578,-2.0947,5.9643,10.7685,-1.5841,-2.656,-0.3656,-0.6868,-3.9923,0.76,23.44,-27.02
8.8578,-2.0947,5.9643,7.5139,-5.489,-3.4261,-0.732,-0.3289,-4.9713,-2.56,24.11,-26.97
8.8578,-2.0947,5.9643,7.5139,-5.489,-3.4261,-0.732,-0.3289,-4.9713,-2.56,24.11,-26.97
2.8807,-4.8936,6.8406,7.5139,-5.489,-3.4261,-0.732,-0.3289,-4.9713,-2.56,24.11,-26.97
2.8807,-4.8936,6.8406,1.8197,-7.9125,-2.2974,-1.4884,0.1537,-5.5519,-9.15,24.16,-25.5
-2.5913,-7.4482,10.39,1.8197,-7.9125,-2.2974,-1.4884,0.1537,-5.5519,-9.15,24.16,-25.5
-2.5913,-7.4482,10.39,1.8197,-7.9125,-2.2974,-1.4884,0.1537,-5.5519,-9.15,24.16,-25.5
-2.5913,-7.4482,10.39,-4.6281,-10.4822,2.1658,-1.6631,-0.3001,-5.6105,-9.15,24.16,-25.5
-9.3513,-10.4589,14.0555,-4.6281,-10.4822,2.1658,-1.6631,-0.3001,-5.6105,-9.15,24.16,-25.5
-9.3513,-10.4589,14.0555,-4.6281,-10.4822,2.1658,-1.6631,-0.3001,-5.6105,-18.19,23.58,-24.74
-9.3513,-10.4589,14.0555,-4.6281,-10.4822,2.1658,-1.6631,-0.3001,-5.6105,-18.19,23.58,-24.74
-9.3513,-10.4589,14.0555,-13.3755,-13.5352,5.8587,-0.9195,-0.8487,-4.7764,-18.19,23.58,-24.74
-16.6273,-12.3299,16.2019,-13.3755,-13.5352,5.8587,-0.9195,-0.8487,-4.7764,-18.19,23.58,-24.74
-16.6273,-12.3299,16.2019,-13.3755,-13.5352,5.8587,-0.9195,-0.8487,-4.7764,-12.79,22.84,-24.73
-16.6273,-12.3299,16.2019,-20.421,-12.9105,7.3757,-0.5712,-0.1169,-2.7417,-12.79,22.84,-24.73
-22.3003,-10.8946,17.5666,-20.421,-12.9105,7.3757,-0.5712,-0.1169,-2.7417,-12.79,22.84,-24.73
-22.3003,-10.8946,17.5666,-20.421,-12.9105,7.3757,-0.5712,-0.1169,-2.7417,-12.79,22.84,-24.73
-22.3003,-10.8946,17.5666,-20.5602,-9.7517,7.7214,-0.1121,0.8642,1.4895,-13.49,19.62,-23.41
-17.7669,-7.6948,16.7766,-20.5602,-9.7517,7.7214,-0.1121,0.8642,1.4895,-13.49,19.62,-23.41
-17.7669,-7.6948,16.7766,-12.7214,-7.5208,6.2191,-0.1121,0.8642,1.4895,-13.49,19.62,-23.41
-17.7669,-7.6948,16.7766,-12.7214,-7.5208,6.2191,0.1244,1.0134,3.423,-13.49,19.62,-23.41
-10.0863,-5.6022,15.8548,-12.7214,-7.5208,6.2191,0.1244,1.0134,3.423,-10.34,23.47,-24.02
-10.0863,-5.6022,15.8548,-12.7214,-7.5208,6.2191,0.1244,1.0134,3.423,-10.34,23.47,-24.02
-4.4743,-3.5743,16.5395,-4.9197,-5.3193,6.1827,0.2182,1.2051,4.0653,-10.34,23.47,-24.02
-4.4743,-3.5743,16.5395,-4.9197,-5.3193,6.1827,0.2182,1.2051,4.0653,-10.34,23.47,-24.02
-4.4743,-3.5743,16.5395,1.079,-3.3388,7.1366,0.2182,1.2051,4.0653,-6.34,26.68,-23.94
0.2901,-1.4004,16.7634,1.079,-3.3388,7.1366,0.2182,1.2051,4.0653,-6.34,26.68,-23.94
0.2901,-1.4004,16.7634,1.079,-3.3388,7.1366,1.2312,1.4437,3.701,-6.34,26.68,-23.94
0.2901,-1.4004,16.7634,1.079,-3.3388,7.1366,1.2312,1.4437,3.701,-6.34,26.68,-23.94
2.5443,0.9806,13.0679,4.1574,-1.4685,4.382,1.2312,1.4437,3.701,-0.57,26.61,-27.54
2.5443,0.9806,13.0679,4.1574,-1.4685,4.382,2.338,1.1635,2.8829,-0.57,26.61,-27.54
2.5443,0.9806,13.0679,4.1574,-1.4685,4.382,2.338,1.1635,2.8829,-0.57,26.61,-27.54
3.3344,2.0329,8.3897,5.2824,-0.8848,-0.9027,2.338,1.1635,2.8829,4.44,24.63,-29.07
3.3344,2.0329,8.3897,5.2824,-0.8848,-0.9027,2.1623,0.9633,2.151,4.44,24.63,-29.07
3.3344,2.0329,8.3897,5.2824,-0.8848,-0.9027,2.1623,0.9633,2.151,4.44,24.63,-29.07
3.5786,3.2252,4.6367,5.6016,-0.3682,-4.6679,2.1623,0.9633,2.151,4.44,24.63,-29.07
3.5786,3.2252,4.6367,5.6016,-0.3682,-4.6679,2.1623,0.9633,2.151,4.44,24.63,-29.07
3.6073,3.4478,3.9113,5.6016,-0.3682,-4.6679,1.3026,0.9026,1.6386,6.98,22.66,-31.28
3.6073,3.4478,3.9113,5.6002,-0.6317,-5.13,1.3026,0.9026,1.6386,6.98,22.66,-31.28
3.6073,3.4478,3.9113,5.6002,-0.6317,-5.13,1.3026,0.9026,1.6386,6.98,22.66,-31.28
3.3643,3.6813,3.5378,5.6002,-0.6317,-5.13,0.9138,0.5287,1.2338,11.17,20.68,-34.22
3.3643,3.6813,3.5378,5.1907,-0.8207,-5.6209,0.9138,0.5287,1.2338,11.17,20.68,-34.22
3.3643,3.6813,3.5378,5.1907,-0.8207,-5.6209,0.9138,0.5287,1.2338,11.17,20.68,-34.22
3.0159,3.4311,2.2653,5.1907,-0.8207,-5.6209,0.9138,0.5287,1.2338,11.17,20.68,-34.22
