ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
1.8854830000000002,1.255092,7.990626,1.277525,0.551305,-1.825468,0.743374,-0.48366000000000003,-1.070223,31.5298,-17.3484,-24.2976
2.151383,0.816716,12.230661,1.945707,-0.131296,2.918413,1.249249,0.216045,-1.504743,31.5298,-17.3484,-24.2976
2.151383,0.816716,12.230661,1.945707,-0.131296,2.918413,1.249249,0.216045,-1.504743,31.5298,-17.3484,-24.2976
0.33799,2.265993,10.513086999999999,0.233657,0.56895,1.430197,1.249249,0.216045,-1.504743,32.488,-16.7425,-23.5837
0.33799,2.265993,10.513086999999999,0.233657,0.56895,1.430197,1.8349990000000003,0.35556,-1.458948,32.488,-16.7425,-23.5837
0.33799,2.265993,10.513086999999999,0.233657,0.56895,1.430197,1.8349990000000003,0.35556,-1.458948,32.488,-16.7425,-23.5837
0.6661729999999999,2.87445,10.721496,0.383293,0.858355,1.2918610000000001,1.8349990000000003,0.35556,-1.458948,32.488,-16.7425,-23.5837
0.6661729999999999,2.87445,10.721496,0.383293,0.858355,1.2918610000000001,2.220529,-0.68388,-1.533498,32.488,-16.7425,-23.5837
1.710611,3.47093,13.775758999999999,0.383293,0.858355,1.2918610000000001,2.220529,-0.68388,-1.533498,34.1953,-16.4732,-22.8001
1.710611,3.47093,13.775758999999999,1.549506,0.8783030000000001,4.574147,2.220529,-0.68388,-1.533498,34.1953,-16.4732,-22.8001
1.710611,3.47093,13.775758999999999,1.549506,0.8783030000000001,4.574147,2.510209,-0.16309500000000002,-1.603788,34.1953,-16.4732,-22.8001
1.710611,3.47093,13.775758999999999,1.549506,0.8783030000000001,4.574147,2.510209,-0.16309500000000002,-1.603788,35.1006,-16.3845,-21.5937
0.841045,4.1177150000000005,12.012671000000001,1.549506,0.8783030000000001,4.574147,2.510209,-0.16309500000000002,-1.603788,35.1006,-16.3845,-21.5937
0.841045,4.1177150000000005,12.012671000000001,0.544148,1.031612,2.700098,1.636909,-0.07257000000000001,-1.2257129999999998,35.1006,-16.3845,-21.5937
0.841045,4.1177150000000005,12.012671000000001,0.544148,1.031612,2.700098,1.636909,-0.07257000000000001,-1.2257129999999998,35.9233,-16.1261,-20.1971
1.22672,5.416076,12.048603,0.544148,1.031612,2.700098,1.636909,-0.07257000000000001,-1.2257129999999998,35.9233,-16.1261,-20.1971
1.22672,5.416076,12.048603,1.102021,1.5920290000000001,2.923299,1.636909,-0.07257000000000001,-1.2257129999999998,35.9233,-16.1261,-20.1971
1.22672,5.416076,12.048603,1.102021,1.5920290000000001,2.923299,0.678409,-0.6061350000000001,-1.073418,36.0999,-15.7464,-19.4467
0.7955300000000001,5.17413,14.628556,1.102021,1.5920290000000001,2.923299,0.678409,-0.6061350000000001,-1.073418,36.0999,-15.7464,-19.4467
0.7955300000000001,5.17413,14.628556,0.500814,1.150541,5.849645,0.678409,-0.6061350000000001,-1.073418,36.0999,-15.7464,-19.4467
0.7955300000000001,5.17413,14.628556,0.500814,1.150541,5.849645,0.6453939999999999,-0.661515,-0.770958,36.0999,-15.7464,-19.4467
0.23258800000000002,4.9681169999999995,13.670357000000001,0.500814,1.150541,5.849645,0.6453939999999999,-0.661515,-0.770958,37.0806,-15.3271,-18.9038
0.23258800000000002,4.9681169999999995,13.670357000000001,0.040727,0.838563,4.763691000000001,0.6453939999999999,-0.661515,-0.770958,37.0806,-15.3271,-18.9038
0.409855,4.613583,12.300131,0.040727,0.838563,4.763691000000001,0.534634,-0.9203100000000001,-0.516423,37.0806,-15.3271,-18.9038
0.409855,4.613583,12.300131,0.107672,0.22429200000000002,3.5944550000000004,0.534634,-0.9203100000000001,-0.516423,37.0806,-15.3271,-18.9038
0.409855,4.613583,12.300131,0.107672,0.22429200000000002,3.5944550000000004,0.534634,-0.9203100000000001,-0.516423,37.4525,-14.5619,-18.7394
0.896141,4.168019999999999,12.767253,0.107672,0.22429200000000002,3.5944550000000004,0.305659,-1.0971,-0.497253,37.4525,-14.5619,-18.7394
0.896141,4.168019999999999,12.767253,0.16315,-0.44409399999999993,4.40396,0.305659,-1.0971,-0.497253,37.4525,-14.5619,-18.7394
0.896141,4.168019999999999,12.767253,0.16315,-0.44409399999999993,4.40396,0.305659,-1.0971,-0.497253,37.5303,-14.3885,-19.0903
0.163118,4.038663,12.221079,0.16315,-0.44409399999999993,4.40396,0.307789,-0.546495,-0.5323979999999999,37.5303,-14.3885,-19.0903
0.163118,4.038663,12.221079,0.16315,-0.44409399999999993,4.40396,0.307789,-0.546495,-0.5323979999999999,37.5303,-14.3885,-19.0903
0.163118,4.038663,12.221079,-0.60102,-0.24326799999999998,3.6527760000000002,0.307789,-0.546495,-0.5323979999999999,37.1016,-14.005999999999998,-20.1653
0.587122,4.088968,12.139632,-0.60102,-0.24326799999999998,3.6527760000000002,0.307789,-0.546495,-0.5323979999999999,37.1016,-14.005999999999998,-20.1653
0.587122,4.088968,12.139632,-0.60102,-0.24326799999999998,3.6527760000000002,0.082009,-0.21528000000000003,-0.488733,37.1016,-14.005999999999998,-20.1653
0.587122,4.088968,12.139632,-0.13524,-0.34475900000000004,3.706658,0.082009,-0.21528000000000003,-0.488733,37.1016,-14.005999999999998,-20.1653
0.491302,4.330914,12.556449,-0.13524,-0.34475900000000004,3.706658,0.082009,-0.21528000000000003,-0.488733,36.4944,-13.7691,-20.5226
0.491302,4.330914,12.556449,-0.13524,-0.34475900000000004,3.706658,-0.010646,-0.133275,-0.48766800000000005,36.4944,-13.7691,-20.5226
0.491302,4.330914,12.556449,-0.8158310000000001,0.09911299999999999,4.2020230000000005,-0.010646,-0.133275,-0.48766800000000005,36.4944,-13.7691,-20.5226
0.491302,4.330914,12.556449,-0.8158310000000001,0.09911299999999999,4.2020230000000005,-0.010646,-0.133275,-0.48766800000000005,36.4944,-13.7691,-20.5226
-0.42857,4.632747,12.63071,-0.8158310000000001,0.09911299999999999,4.2020230000000005,0.021304,-0.178005,-0.403533,36.7358,-13.7748,-20.6368
-0.42857,4.632747,12.63071,-0.8158310000000001,0.09911299999999999,4.2020230000000005,0.021304,-0.178005,-0.403533,36.7358,-13.7748,-20.6368
-0.42857,4.632747,12.63071,-0.936839,0.293026,3.805097,0.021304,-0.178005,-0.403533,36.7358,-13.7748,-20.6368
-0.136319,4.896252,12.345645,-0.936839,0.293026,3.805097,-0.170396,-0.244035,-0.161778,36.7358,-13.7748,-20.6368
-0.136319,4.896252,12.345645,-0.936839,0.293026,3.805097,-0.170396,-0.244035,-0.161778,37.1237,-12.7836,-21.7543
-0.136319,4.896252,12.345645,-0.780597,0.518904,3.6831080000000003,-0.170396,-0.244035,-0.161778,37.1237,-12.7836,-21.7543
-0.39503299999999997,4.987280999999999,12.254616,-0.780597,0.518904,3.6831080000000003,-0.323756,-0.21421500000000002,-0.11811300000000001,37.1237,-12.7836,-21.7543
-0.39503299999999997,4.987280999999999,12.254616,-0.780597,0.518904,3.6831080000000003,-0.323756,-0.21421500000000002,-0.11811300000000001,37.1237,-12.7836,-21.7543
-0.39503299999999997,4.987280999999999,12.254616,-1.244206,0.631821,2.997235,-0.323756,-0.21421500000000002,-0.11811300000000001,36.5529,-12.2487,-21.8259
-0.3064,4.862715000000001,11.662927999999999,-1.244206,0.631821,2.997235,-0.706091,-0.158835,0.018207,36.5529,-12.2487,-21.8259
-0.3064,4.862715000000001,11.662927999999999,-1.244206,0.631821,2.997235,-0.706091,-0.158835,0.018207,36.5529,-12.2487,-21.8259
-0.3064,4.862715000000001,11.662927999999999,-0.964722,0.5678380000000001,2.618214,-0.706091,-0.158835,0.018207,36.449,-12.04,-22.3337
-0.121946,4.697426,11.8905,-0.964722,0.5678380000000001,2.618214,-0.706091,-0.158835,0.018207,36.449,-12.04,-22.3337
-0.121946,4.697426,11.8905,-0.964722,0.5678380000000001,2.618214,-0.727391,-0.26214,0.016077,36.449,-12.04,-22.3337
-0.121946,4.697426,11.8905,-0.964722,0.5678380000000001,2.618214,-0.727391,-0.26214,0.016077,36.449,-12.04,-22.3337
-0.270467,4.5081809999999995,11.765934,-1.034759,0.5788300000000001,2.966473,-0.727391,-0.26214,0.016077,36.2836,-11.7362,-22.7081
-0.270467,4.5081809999999995,11.765934,-1.034759,0.5788300000000001,2.966473,-0.5069359999999999,-0.207825,0.024597,36.2836,-11.7362,-22.7081
-0.270467,4.5081809999999995,11.765934,-1.034759,0.5788300000000001,2.966473,-0.5069359999999999,-0.207825,0.024597,36.2836,-11.7362,-22.7081
0.606286,4.283004,10.055547,-0.30863,0.637101,1.292664,-0.5069359999999999,-0.207825,0.024597,36.3857,-10.4215,-23.4072
0.606286,4.283004,10.055547,-0.30863,0.637101,1.292664,-0.803006,0.045645,0.005427,36.3857,-10.4215,-23.4072
0.606286,4.283004,10.055547,-0.30863,0.637101,1.292664,-0.803006,0.045645,0.005427,36.3857,-10.4215,-23.4072
0.553585,3.803904,9.667475999999999,-0.30863,0.637101,1.292664,-0.803006,0.045645,0.005427,36.3857,-10.4215,-23.4072
0.553585,3.803904,9.667475999999999,-0.297035,0.356229,0.420555,-0.9904459999999999,-0.143925,-0.06273300000000001,36.3857,-10.4215,-23.4072
0.553585,3.803904,9.667475999999999,-0.297035,0.356229,0.420555,-0.9904459999999999,-0.143925,-0.06273300000000001,36.0934,-9.681000000000001,-23.9061
0.738038,3.2553349999999996,9.669871,-0.297035,0.356229,0.420555,-0.9904459999999999,-0.143925,-0.06273300000000001,36.0934,-9.681000000000001,-23.9061
0.738038,3.2553349999999996,9.669871,-0.021248,-0.029852999999999998,0.321827,-0.843476,-0.24084,-0.086163,36.0101,-9.5091,-24.4132
1.669888,3.200238,8.94164,-0.021248,-0.029852999999999998,0.321827,-0.843476,-0.24084,-0.086163,36.0101,-9.5091,-24.4132
1.669888,3.200238,8.94164,-0.021248,-0.029852999999999998,0.321827,-0.843476,-0.24084,-0.086163,36.0101,-9.5091,-24.4132
1.669888,3.200238,8.94164,0.619993,0.127593,-0.24854400000000001,-1.0373059999999998,0.37473,-0.176688,36.0101,-9.5091,-24.4132
0.797926,2.955897,8.112797,0.619993,0.127593,-0.24854400000000001,-1.0373059999999998,0.37473,-0.176688,35.8377,-8.7207,-25.1443
0.797926,2.955897,8.112797,0.619993,0.127593,-0.24854400000000001,-1.0373059999999998,0.37473,-0.176688,35.8377,-8.7207,-25.1443
0.797926,2.955897,8.112797,-0.352528,0.08073999999999999,-1.6352389999999999,-1.0373059999999998,0.37473,-0.176688,35.8377,-8.7207,-25.1443
0.9871700000000001,2.7211380000000003,7.7630539999999995,-0.352528,0.08073999999999999,-1.6352389999999999,-1.385561,0.39177,-0.11065799999999999,35.8212,-7.5168,-25.1647
0.9871700000000001,2.7211380000000003,7.7630539999999995,-0.352528,0.08073999999999999,-1.6352389999999999,-1.385561,0.39177,-0.11065799999999999,35.8212,-7.5168,-25.1647
0.9871700000000001,2.7211380000000003,7.7630539999999995,0.475793,0.360094,-1.35976,-1.385561,0.39177,-0.11065799999999999,35.8212,-7.5168,-25.1647
1.2434889999999998,2.309112,9.104533,0.475793,0.360094,-1.35976,-1.3610659999999999,0.16599,-0.368388,36.1245,-6.1541,-25.2432
1.2434889999999998,2.309112,9.104533,0.475793,0.360094,-1.35976,-1.3610659999999999,0.16599,-0.368388,36.1245,-6.1541,-25.2432
1.2434889999999998,2.309112,9.104533,0.605961,0.503842,-0.309463,-1.3610659999999999,0.16599,-0.368388,36.1245,-6.1541,-25.2432
1.090177,2.337858,8.718858,0.605961,0.503842,-0.309463,-1.073516,0.45353999999999994,-0.602688,36.1245,-6.1541,-25.2432
1.090177,2.337858,8.718858,0.605961,0.503842,-0.309463,-1.073516,0.45353999999999994,-0.602688,36.7163,-5.3115,-25.5626
1.090177,2.337858,8.718858,0.605961,0.503842,-0.309463,-1.073516,0.45353999999999994,-0.602688,36.7163,-5.3115,-25.5626
0.886559,2.3642090000000002,7.921157000000001,0.47953199999999996,0.853454,-1.6341620000000001,-1.067126,0.533415,-0.677238,36.7163,-5.3115,-25.5626
0.886559,2.3642090000000002,7.921157000000001,0.47953199999999996,0.853454,-1.6341620000000001,-1.067126,0.533415,-0.677238,36.7163,-5.3115,-25.5626
0.886559,2.3642090000000002,7.921157000000001,0.47953199999999996,0.853454,-1.6341620000000001,-1.067126,0.533415,-0.677238,36.8905,-3.3772,-26.2521
0.917701,1.899482,8.151125,0.47953199999999996,0.853454,-1.6341620000000001,-1.067126,0.533415,-0.677238,36.8905,-3.3772,-26.2521
0.917701,1.899482,8.151125,0.736831,0.899783,-1.7119650000000002,-1.2343309999999998,0.40029000000000003,-0.594168,36.8905,-3.3772,-26.2521
0.917701,1.899482,8.151125,0.736831,0.899783,-1.7119650000000002,-1.2343309999999998,0.40029000000000003,-0.594168,37.2872,-1.4842,-26.2227
0.917701,1.899482,8.151125,0.736831,0.899783,-1.7119650000000002,-1.2343309999999998,0.40029000000000003,-0.594168,37.2872,-1.4842,-26.2227
0.544003,1.401218,7.734308,0.418767,0.69143,-1.852313,-1.264151,0.160665,-0.457848,37.2872,-1.4842,-26.2227
0.544003,1.401218,7.734308,0.418767,0.69143,-1.852313,-1.264151,0.160665,-0.457848,37.8445,0.47700000000000004,-25.5152
0.544003,1.401218,7.734308,0.418767,0.69143,-1.852313,-1.264151,0.160665,-0.457848,37.8445,0.47700000000000004,-25.5152
0.879373,0.912536,8.196639,0.665107,0.596294,-1.790775,-1.120376,-0.24723,-0.283188,37.8445,0.47700000000000004,-25.5152
0.879373,0.912536,8.196639,0.665107,0.596294,-1.790775,-1.120376,-0.24723,-0.283188,37.8445,0.47700000000000004,-25.5152
0.879373,0.912536,8.196639,0.665107,0.596294,-1.790775,-1.120376,-0.24723,-0.283188,37.8445,0.47700000000000004,-25.5152
0.766784,0.7041270000000001,8.79791,0.520996,0.657503,-0.9858370000000001,-0.468596,-0.054465,-0.21396300000000001,38.1027,2.2095,-25.4067
0.766784,0.7041270000000001,8.79791,0.520996,0.657503,-0.9858370000000001,-0.468596,-0.054465,-0.21396300000000001,38.1027,2.2095,-25.4067
0.766784,0.7041270000000001,8.79791,0.520996,0.657503,-0.9858370000000001,-0.468596,-0.054465,-0.21396300000000001,38.1027,2.2095,-25.4067
0.632636,0.375944,7.856478,0.405452,0.388546,-1.9438529999999998,-0.202346,-0.02358,-0.204378,37.542,3.4703,-25.6453
0.632636,0.375944,7.856478,0.405452,0.388546,-1.9438529999999998,-0.202346,-0.02358,-0.204378,37.542,3.4703,-25.6453
1.006334,0.35438400000000003,7.355819,0.405452,0.388546,-1.9438529999999998,-0.202346,-0.02358,-0.204378,37.542,3.4703,-25.6453
1.006334,0.35438400000000003,7.355819,0.676139,0.364894,-2.733696,-0.43558100000000005,0.086115,-0.288513,37.6933,4.1530000000000005,-26.0235
1.006334,0.35438400000000003,7.355819,0.676139,0.364894,-2.733696,-0.43558100000000005,0.086115,-0.288513,37.6933,4.1530000000000005,-26.0235
1.006334,0.35438400000000003,7.355819,0.676139,0.364894,-2.733696,-0.43558100000000005,0.086115,-0.288513,37.6933,4.1530000000000005,-26.0235
0.661382,0.11483399999999999,6.390432,0.676139,0.364894,-2.733696,-0.869036,-0.02145,-0.292773,37.6933,4.1530000000000005,-26.0235
0.661382,0.11483399999999999,6.390432,0.275546,0.37309499999999995,-3.186506,-0.869036,-0.02145,-0.292773,37.9667,4.8037,-25.335
0.661382,0.11483399999999999,6.390432,0.275546,0.37309499999999995,-3.186506,-0.869036,-0.02145,-0.292773,37.9667,4.8037,-25.335
