ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-1.52,0.02,14.46,-0.75,0.04,4.26,0.01,-0.12,0.01,-3.0,-32.0,-26.0
-1.52,0.02,14.46,-0.75,0.04,4.26,0.01,-0.12,0.01,-3.0,-33.0,-26.0
-1.68,0.13,12.23,-0.92,0.15,1.55,-0.06,-0.4,0.24,-3.0,-33.0,-26.0
-1.68,0.13,12.23,-0.92,0.15,1.55,-0.06,-0.4,0.24,-3.0,-33.0,-26.0
-1.68,0.13,12.23,-0.92,0.15,1.55,-0.06,-0.4,0.24,-3.0,-33.0,-28.0
-1.67,-0.18,9.86,-1.02,-0.18,-0.34,-0.86,-0.71,0.23,-3.0,-33.0,-28.0
-1.67,-0.18,9.86,-1.02,-0.18,-0.34,-0.86,-0.71,0.23,-3.0,-33.0,-28.0
-1.67,-0.18,9.86,-1.02,-0.18,-0.34,-0.86,-0.71,0.23,-4.0,-31.0,-27.0
-0.92,-0.79,10.79,-0.65,-0.52,0.8,-0.81,-0.7,0.19,-4.0,-31.0,-27.0
-0.92,-0.79,10.79,-0.65,-0.52,0.8,-0.81,-0.7,0.19,-4.0,-31.0,-27.0
-0.92,-0.79,10.79,-0.65,-0.52,0.8,-0.81,-0.7,0.19,-4.0,-31.0,-27.0
-0.95,-1.29,11.08,-0.8,-0.74,0.96,-0.81,-0.7,0.19,-5.0,-30.0,-27.0
-0.95,-1.29,11.08,-0.8,-0.74,0.96,0.98,-0.8,0.18,-5.0,-30.0,-27.0
-0.95,-1.29,11.08,-0.8,-0.74,0.96,0.98,-0.8,0.18,-5.0,-30.0,-27.0
-0.27,-0.9,6.85,-0.38,-0.74,-3.28,0.98,-0.8,0.18,-5.0,-30.0,-27.0
-0.27,-0.9,6.85,-0.38,-0.74,-3.28,1.8,-0.66,-0.12,-6.0,-32.0,-26.0
-0.27,-0.9,6.85,-0.38,-0.74,-3.28,1.8,-0.66,-0.12,-6.0,-32.0,-26.0
-0.57,0.39,1.9,-0.81,0.14,-8.51,1.8,-0.66,-0.12,-6.0,-32.0,-26.0
-0.57,0.39,1.9,-0.81,0.14,-8.51,0.49,0.0,-0.05,-6.0,-32.0,-26.0
0.71,0.51,1.3,-0.81,0.14,-8.51,0.49,0.0,-0.05,-6.0,-34.0,-25.0
0.71,0.51,1.3,-0.81,0.14,-8.51,0.49,0.0,-0.05,-6.0,-34.0,-25.0
0.71,0.51,1.3,0.19,-0.28,-7.89,0.49,0.0,-0.05,-6.0,-34.0,-25.0
0.02,-0.12,4.39,0.19,-0.28,-7.89,-0.44,0.67,-0.14,-6.0,-34.0,-25.0
0.02,-0.12,4.39,0.19,-0.28,-7.89,-0.44,0.67,-0.14,-6.0,-33.0,-26.0
0.02,-0.12,4.39,-0.16,-0.51,-3.97,-0.44,0.67,-0.14,-6.0,-33.0,-26.0
-0.29,-0.29,6.7,-0.16,-0.51,-3.97,-0.1,0.03,-0.43,-6.0,-33.0,-26.0
-0.29,-0.29,6.7,-0.16,-0.51,-3.97,-0.1,0.03,-0.43,-6.0,-33.0,-26.0
-0.29,-0.29,6.7,-0.56,-0.74,-3.38,-0.1,0.03,-0.43,-6.0,-33.0,-26.0
-0.51,-0.23,6.22,-0.56,-0.74,-3.38,0.69,-0.6,-0.64,-6.0,-33.0,-26.0
-0.51,-0.23,6.22,-0.56,-0.74,-3.38,0.69,-0.6,-0.64,-4.0,-33.0,-25.0
0.14,0.32,4.1,-0.38,-0.34,-5.31,0.69,-0.6,-0.64,-4.0,-33.0,-25.0
0.14,0.32,4.1,-0.38,-0.34,-5.31,0.69,-0.6,-0.64,-4.0,-33.0,-25.0
0.14,0.32,4.1,0.62,0.04,-5.94,0.84,0.2,-0.41,-4.0,-34.0,-25.0
0.72,0.81,4.18,0.62,0.04,-5.94,0.84,0.2,-0.41,-4.0,-34.0,-25.0
0.72,0.81,4.18,0.62,0.04,-5.94,0.84,0.2,-0.41,-4.0,-34.0,-25.0
0.72,0.81,4.18,0.65,-0.37,-5.64,0.7,0.49,-0.2,-3.0,-35.0,-25.0
0.77,0.43,3.65,0.65,-0.37,-5.64,0.7,0.49,-0.2,-3.0,-35.0,-25.0
0.77,0.43,3.65,0.65,-0.37,-5.64,0.7,0.49,-0.2,-3.0,-35.0,-25.0
0.77,0.43,3.65,0.65,-0.37,-5.64,0.41,0.39,-0.37,-3.0,-35.0,-25.0
0.59,-0.17,2.8,0.72,-1.29,-7.1,0.41,0.39,-0.37,-4.0,-35.0,-23.0
0.59,-0.17,2.8,0.72,-1.29,-7.1,0.41,0.39,-0.37,-4.0,-35.0,-23.0
0.59,-0.17,2.8,0.72,-1.29,-7.1,0.41,0.39,-0.37,-4.0,-35.0,-23.0
0.03,0.09,5.26,0.28,-0.98,-4.81,-0.61,0.15,-0.44,-3.0,-35.0,-23.0
0.03,0.09,5.26,0.28,-0.98,-4.81,-0.61,0.15,-0.44,-3.0,-35.0,-23.0
0.03,0.09,5.26,0.28,-0.98,-4.81,-0.61,0.15,-0.44,-3.0,-35.0,-23.0
0.04,-0.17,6.5,0.22,-1.02,-3.12,-0.39,0.0,-0.3,-1.0,-35.0,-24.0
0.04,-0.17,6.5,0.22,-1.02,-3.12,-0.39,0.0,-0.3,-1.0,-35.0,-24.0
-0.03,-0.36,5.33,0.17,-1.15,-4.27,-0.39,0.0,-0.3,-1.0,-35.0,-24.0
-0.03,-0.36,5.33,0.17,-1.15,-4.27,-0.17,0.1,-0.14,-1.0,-35.0,-24.0
-0.03,-0.36,5.33,0.17,-1.15,-4.27,-0.17,0.1,-0.14,-1.0,-35.0,-24.0
0.35,-0.79,7.79,0.56,-1.47,-1.79,-0.17,0.1,-0.14,-1.0,-35.0,-24.0
0.35,-0.79,7.79,0.56,-1.47,-1.79,-0.77,-0.05,-0.16,-1.0,-35.0,-24.0
0.35,-0.79,7.79,0.56,-1.47,-1.79,-0.77,-0.05,-0.16,-1.0,-34.0,-24.0
0.02,-0.45,10.05,0.22,-0.91,0.46,-0.77,-0.05,-0.16,-1.0,-34.0,-24.0
0.02,-0.45,10.05,0.22,-0.91,0.46,-0.77,-0.05,-0.16,-1.0,-34.0,-24.0
0.02,-0.45,10.05,0.22,-0.91,0.46,-0.52,0.0,-0.17,0.0,-34.0,-25.0
0.49,-0.6,9.74,0.69,-0.93,0.14,-0.52,0.0,-0.17,0.0,-34.0,-25.0
0.49,-0.6,9.74,0.69,-0.93,0.14,-0.52,0.0,-0.17,0.0,-34.0,-25.0
0.49,-0.6,9.74,0.69,-0.93,0.14,-0.07,0.32,-0.35,-1.0,-34.0,-25.0
0.91,-2.2,12.46,1.17,-2.48,2.85,-0.07,0.32,-0.35,-1.0,-34.0,-25.0
0.91,-2.2,12.46,1.17,-2.48,2.85,-0.07,0.32,-0.35,-1.0,-34.0,-25.0
0.91,-2.2,12.46,1.17,-2.48,2.85,-0.17,-0.02,-1.17,-1.0,-34.0,-25.0
-1.7,-1.38,14.07,-1.39,-1.61,4.43,-0.17,-0.02,-1.17,2.0,-34.0,-25.0
-1.7,-1.38,14.07,-1.39,-1.61,4.43,-0.17,-0.02,-1.17,2.0,-34.0,-25.0
-0.03,0.58,15.16,0.31,0.52,5.48,-0.97,0.3,-0.76,2.0,-34.0,-25.0
-0.03,0.58,15.16,0.31,0.52,5.48,-0.97,0.3,-0.76,3.0,-34.0,-26.0
-0.03,0.58,15.16,0.31,0.52,5.48,-0.97,0.3,-0.76,3.0,-34.0,-26.0
-1.83,0.55,21.7,-1.37,0.79,11.96,-0.97,0.3,-0.76,3.0,-34.0,-26.0
-1.83,0.55,21.7,-1.37,0.79,11.96,-0.75,0.27,-0.46,3.0,-34.0,-26.0
-1.83,0.55,21.7,-1.37,0.79,11.96,-0.75,0.27,-0.46,3.0,-31.0,-26.0
-1.4,1.0,17.19,-1.37,0.79,11.96,-0.75,0.27,-0.46,3.0,-31.0,-26.0
