ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-3.7559199999999997,-3.317917,7.976253,-1.7424060000000001,-1.710448,-1.5079040000000001,-0.601721,0.46418999999999994,-1.1405129999999999,-26.4405,11.7711,-31.8069
-3.7559199999999997,-3.317917,7.976253,-1.7424060000000001,-1.710448,-1.5079040000000001,-0.939326,0.04458,-1.262988,-26.4405,11.7711,-31.8069
-3.7559199999999997,-3.317917,7.976253,-1.7424060000000001,-1.710448,-1.5079040000000001,-0.939326,0.04458,-1.262988,-27.4308,12.1214,-31.4139
-4.383541,-4.635441999999999,8.903312,-1.7424060000000001,-1.710448,-1.5079040000000001,-0.939326,0.04458,-1.262988,-27.4308,12.1214,-31.4139
-4.383541,-4.635441999999999,8.903312,-2.921807,-2.8341950000000002,-0.564239,-1.154456,-0.43786499999999995,-0.797583,-27.4308,12.1214,-31.4139
-4.383541,-4.635441999999999,8.903312,-2.921807,-2.8341950000000002,-0.564239,-1.154456,-0.43786499999999995,-0.797583,-27.4308,12.1214,-31.4139
-3.557093,-3.3586410000000004,10.429245,-2.921807,-2.8341950000000002,-0.564239,-1.154456,-0.43786499999999995,-0.797583,-27.8092,11.8615,-31.0251
-3.557093,-3.3586410000000004,10.429245,-1.997555,-0.923266,1.47567,-1.154456,-0.43786499999999995,-0.797583,-27.8092,11.8615,-31.0251
-2.170099,-2.754975,13.215212,-1.997555,-0.923266,1.47567,-1.450526,-0.241905,-0.611208,-27.8092,11.8615,-31.0251
-2.170099,-2.754975,13.215212,-0.704952,-0.144209,4.056063,-1.450526,-0.241905,-0.611208,-28.0565,12.3388,-30.241
-2.170099,-2.754975,13.215212,-0.704952,-0.144209,4.056063,-1.450526,-0.241905,-0.611208,-28.0565,12.3388,-30.241
-2.129375,-3.090345,12.563636,-0.704952,-0.144209,4.056063,-0.977666,0.23415,-0.855093,-28.0565,12.3388,-30.241
-2.129375,-3.090345,12.563636,-1.011357,-0.235881,3.04695,-0.977666,0.23415,-0.855093,-28.0565,12.3388,-30.241
-2.129375,-3.090345,12.563636,-1.011357,-0.235881,3.04695,-0.977666,0.23415,-0.855093,-28.0565,12.3388,-30.241
-2.927077,-3.507162,11.282043,-1.011357,-0.235881,3.04695,-0.609176,0.007305,-0.759243,-27.848000000000003,13.288,-30.1004
-2.927077,-3.507162,11.282043,-1.011357,-0.235881,3.04695,-0.609176,0.007305,-0.759243,-27.848000000000003,13.288,-30.1004
-2.927077,-3.507162,11.282043,-1.398036,-0.531203,1.6268120000000001,-0.609176,0.007305,-0.759243,-27.848000000000003,13.288,-30.1004
-2.347366,-3.861696,10.302283000000001,-1.398036,-0.531203,1.6268120000000001,-0.538886,-0.182265,-0.685758,-27.848000000000003,13.288,-30.1004
-2.347366,-3.861696,10.302283000000001,-1.398036,-0.531203,1.6268120000000001,-0.538886,-0.182265,-0.685758,-28.3294,13.2149,-29.58
-1.7029759999999998,-3.3298949999999996,9.837557,-0.632307,-0.010147,0.812891,-0.538886,-0.182265,-0.685758,-28.3294,13.2149,-29.58
-1.7029759999999998,-3.3298949999999996,9.837557,-0.632307,-0.010147,0.812891,-0.538886,-0.182265,-0.685758,-28.3294,13.2149,-29.58
-1.7029759999999998,-3.3298949999999996,9.837557,-0.632307,-0.010147,0.812891,-0.994706,0.005175,-1.014843,-28.3294,13.2149,-29.58
-1.9185709999999998,-3.334686,9.267427,-0.484562,0.44838900000000004,0.44609099999999996,-0.994706,0.005175,-1.014843,-28.732,13.2703,-28.9837
-1.9185709999999998,-3.334686,9.267427,-0.484562,0.44838900000000004,0.44609099999999996,-0.994706,0.005175,-1.014843,-28.732,13.2703,-28.9837
-1.9185709999999998,-3.334686,9.267427,-0.484562,0.44838900000000004,0.44609099999999996,-0.994706,0.005175,-1.014843,-28.732,13.2703,-28.9837
-2.721064,-4.010217,9.471045,-1.3332629999999999,0.20828000000000002,0.343269,-1.616666,0.30230999999999997,-1.451493,-29.1782,13.5593,-28.566
-2.721064,-4.010217,9.471045,-1.3332629999999999,0.20828000000000002,0.343269,-1.616666,0.30230999999999997,-1.451493,-29.1782,13.5593,-28.566
-5.17166,-6.983032000000001,13.167301,-1.3332629999999999,0.20828000000000002,0.343269,-1.616666,0.30230999999999997,-1.451493,-29.1782,13.5593,-28.566
-5.17166,-6.983032000000001,13.167301,-4.209308999999999,-2.140807,4.259639,-1.312076,-0.60507,-1.388658,-29.1782,13.5593,-28.566
-5.17166,-6.983032000000001,13.167301,-4.209308999999999,-2.140807,4.259639,-1.312076,-0.60507,-1.388658,-30.1188,13.2164,-28.1415
-5.3633,-7.672936,14.262045,-4.209308999999999,-2.140807,4.259639,-1.312076,-0.60507,-1.388658,-30.1188,13.2164,-28.1415
-5.3633,-7.672936,14.262045,-4.7875309999999995,-2.6917880000000003,5.807047,-0.893531,-0.885165,-0.840183,-30.1188,13.2164,-28.1415
-5.3633,-7.672936,14.262045,-4.7875309999999995,-2.6917880000000003,5.807047,-0.893531,-0.885165,-0.840183,-30.1188,13.2164,-28.1415
-3.990679,-6.745878,14.872897,-4.7875309999999995,-2.6917880000000003,5.807047,-0.893531,-0.885165,-0.840183,-30.7792,12.9788,-27.736
-3.990679,-6.745878,14.872897,-4.7875309999999995,-2.6917880000000003,5.807047,-0.893531,-0.885165,-0.840183,-30.7792,12.9788,-27.736
