ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-3.1239999999999997,-0.5134,4.2082,-0.733,-5.4203,-3.886,2.4637,0.9601,-2.9356,-8.78,13.87,-35.69
-3.1239999999999997,-0.5134,4.2082,-0.733,-5.4203,-3.886,2.4637,0.9601,-2.9356,-8.78,13.87,-35.69
-5.7899,-1.0006,2.6029,-2.7955,-6.4163,-5.3617,1.9812,1.0805,-2.6853,-8.78,13.87,-35.69
-5.7899,-1.0006,2.6029,-2.7955,-6.4163,-5.3617,1.9812,1.0805,-2.6853,-8.78,13.87,-35.69
-7.3976,-1.0916,0.9233,-2.7955,-6.4163,-5.3617,1.9812,1.0805,-2.6853,-12.12,10.39,-41.54
-7.3976,-1.0916,0.9233,-4.0779,-6.7261,-6.7255,1.6872,0.6809999999999999,-1.8906,-12.12,10.39,-41.54
-7.3976,-1.0916,0.9233,-4.0779,-6.7261,-6.7255,1.6872,0.6809999999999999,-1.8906,-12.12,10.39,-41.54
-7.3294,-1.3657,-1.1704,-4.0779,-6.7261,-6.7255,1.6872,0.6809999999999999,-1.8906,-12.12,10.39,-41.54
-7.3294,-1.3657,-1.1704,-3.5338,-7.1385,-8.5755,1.1013,0.7417,-1.2173,-12.12,10.39,-41.54
-7.3294,-1.3657,-1.1704,-3.5338,-7.1385,-8.5755,1.1013,0.7417,-1.2173,-11.95,5.88,-40.27
-6.5489,-1.9954,-2.7314,-3.5338,-7.1385,-8.5755,1.1013,0.7417,-1.2173,-11.95,5.88,-40.27
-6.5489,-1.9954,-2.7314,-2.1684,-8.0154,-10.0755,-0.2026,1.3489,-0.6943,-11.95,5.88,-40.27
-6.2676,-2.8273,-3.3144,-2.1684,-8.0154,-10.0755,-0.2026,1.3489,-0.6943,-10.28,5.2,-42.43
-6.2676,-2.8273,-3.3144,-2.1684,-8.0154,-10.0755,-0.2026,1.3489,-0.6943,-10.28,5.2,-42.43
-6.2676,-2.8273,-3.3144,-1.585,-8.5505,-10.2186,-1.3286,1.6727,-0.3928,-10.28,5.2,-42.43
-6.0557,-3.4953,-3.1564,-1.585,-8.5505,-10.2186,-1.3286,1.6727,-0.3928,-10.28,5.2,-42.43
-6.0557,-3.4953,-3.1564,-1.585,-8.5505,-10.2186,-1.3286,1.6727,-0.3928,-10.28,5.2,-42.43
-6.0557,-3.4953,-3.1564,-0.9584,-8.8895,-9.8391,-1.9273,1.7377,-0.1926,-1.69,19.17,-33.37
-6.0557,-3.4953,-3.1564,-0.9584,-8.8895,-9.8391,-1.9273,1.7377,-0.1926,-1.69,19.17,-33.37
-5.8713,-4.1645,-2.9325,-0.9584,-8.8895,-9.8391,-1.9273,1.7377,-0.1926,-1.69,19.17,-33.37
-5.8713,-4.1645,-2.9325,-0.5687,-9.149,-9.347000000000001,-1.9273,1.7377,-0.1926,-1.69,19.17,-33.37
-6.1467,-5.7447,-2.7242,-0.5687,-9.149,-9.347000000000001,-2.2671,1.1273,0.0471,-1.69,19.17,-33.37
-6.1467,-5.7447,-2.7242,-0.5687,-9.149,-9.347000000000001,-2.2671,1.1273,0.0471,2.99,26.25,-32.47
-6.1467,-5.7447,-2.7242,-0.5998,-10.1587,-10.02,-2.2671,1.1273,0.0471,2.99,26.25,-32.47
-5.8354,-7.4757,-4.223,-0.5998,-10.1587,-10.02,-2.1595,-0.5142,0.5766,2.99,26.25,-32.47
-5.8354,-7.4757,-4.223,-0.5998,-10.1587,-10.02,-2.1595,-0.5142,0.5766,2.99,26.25,-32.47
-5.8354,-7.4757,-4.223,-0.3911,-11.5445,-11.7746,-2.1595,-0.5142,0.5766,2.19,25.62,-31.06
-4.7903,-9.1421,-4.9556,-0.3911,-11.5445,-11.7746,-2.8274,-1.9854,1.4991,2.19,25.62,-31.06
-4.7903,-9.1421,-4.9556,-0.3911,-11.5445,-11.7746,-2.8274,-1.9854,1.4991,2.19,25.62,-31.06
-2.1364,-11.2777,-4.1033,0.7291,-12.9673,-12.5056,-2.8274,-1.9854,1.4991,2.19,25.62,-31.06
-2.1364,-11.2777,-4.1033,0.7291,-12.9673,-12.5056,-4.4328,-2.9398,2.7124,2.19,25.62,-31.06
-2.1364,-11.2777,-4.1033,0.7291,-12.9673,-12.5056,-4.4328,-2.9398,2.7124,0.33,31.47,-27.3
2.1014,-15.2425,-0.1696,4.0474,-15.6473,-10.6219,-4.4328,-2.9398,2.7124,0.33,31.47,-27.3
2.1014,-15.2425,-0.1696,4.0474,-15.6473,-10.6219,-5.8155,-3.6397,3.4176,0.33,31.47,-27.3
2.1014,-15.2425,-0.1696,4.0474,-15.6473,-10.6219,-5.8155,-3.6397,3.4176,-0.75,38.63,-21.37
5.8998,-18.1083,5.1635,7.6538,-18.4428,-4.7455,-5.8155,-3.6397,3.4176,-0.75,38.63,-21.37
5.8998,-18.1083,5.1635,7.6538,-18.4428,-4.7455,-7.0203,-4.5037,4.0099,-0.75,38.63,-21.37
5.8998,-18.1083,5.1635,7.6538,-18.4428,-4.7455,-7.0203,-4.5037,4.0099,-0.75,38.63,-21.37
11.4986,-16.9807,16.409000000000002,11.872,-16.333,5.4615,-7.0203,-4.5037,4.0099,1.5,47.08,-11.03
11.4986,-16.9807,16.409000000000002,11.872,-16.333,5.4615,-8.2027,-2.9239,4.0696,1.5,47.08,-11.03
15.4383,-12.47,30.6785,11.872,-16.333,5.4615,-8.2027,-2.9239,4.0696,1.5,47.08,-11.03
15.4383,-12.47,30.6785,16.0064,-8.8119,22.6731,-8.2027,-2.9239,4.0696,1.5,47.08,-11.03
15.4383,-12.47,30.6785,16.0064,-8.8119,22.6731,-8.2027,-2.9239,4.0696,1.5,47.08,-11.03
15.0971,-8.3747,39.0917,16.0064,-8.8119,22.6731,-6.9319,-0.2319,2.7710000000000004,7.11,51.67,4.72
15.0971,-8.3747,39.0917,14.7184,-1.6252,30.862,-6.9319,-0.2319,2.7710000000000004,7.11,51.67,4.72
15.0971,-8.3747,39.0917,14.7184,-1.6252,30.862,-6.9319,-0.2319,2.7710000000000004,7.11,51.67,4.72
8.8638,-4.1142,35.5291,14.7184,-1.6252,30.862,-0.5957,-1.4783,-0.3641,8.76,51.7,9.68
8.8638,-4.1142,35.5291,7.3187,1.5893,24.7862,-0.5957,-1.4783,-0.3641,8.76,51.7,9.68
8.8638,-4.1142,35.5291,7.3187,1.5893,24.7862,-0.5957,-1.4783,-0.3641,8.76,51.7,9.68
4.5542,-3.7671,28.8206,7.3187,1.5893,24.7862,-0.1813,-0.4801,-0.3875,8.76,51.7,9.68
4.5542,-3.7671,28.8206,3.8384,1.4562,19.3287,-0.1813,-0.4801,-0.3875,6.5,27.31,-6.33
4.5542,-3.7671,28.8206,3.8384,1.4562,19.3287,-0.1813,-0.4801,-0.3875,6.5,27.31,-6.33
4.0407,-3.9466,28.2172,3.8384,1.4562,19.3287,-0.2473,0.9068,0.1856,6.5,27.31,-6.33
4.0407,-3.9466,28.2172,4.3028,1.369,20.853,-0.2473,0.9068,0.1856,6.5,27.31,-6.33
4.0407,-3.9466,28.2172,4.3028,1.369,20.853,-0.2473,0.9068,0.1856,5.68,27.34,-2.76
3.7306,-4.0496,29.2791,4.3028,1.369,20.853,1.7756,0.2709,0.1792,5.68,27.34,-2.76
3.7306,-4.0496,29.2791,3.6567,0.9106,18.8306,1.7756,0.2709,0.1792,5.68,27.34,-2.76
3.6337,-4.6601,24.1076,3.6567,0.9106,18.8306,1.7756,0.2709,0.1792,5.68,27.34,-2.76
3.6337,-4.6601,24.1076,3.6567,0.9106,18.8306,3.4534,-0.4024,0.0067,7.31,27.95,-5.6
3.6337,-4.6601,24.1076,3.6462,-1.1193,11.4564,3.4534,-0.4024,0.0067,7.31,27.95,-5.6
2.907,-5.8165,18.328,3.6462,-1.1193,11.4564,3.4534,-0.4024,0.0067,7.31,27.95,-5.6
2.907,-5.8165,18.328,3.6462,-1.1193,11.4564,3.4534,-0.4024,0.0067,7.31,27.95,-5.6
2.907,-5.8165,18.328,1.6286,-3.2715,7.7261,3.0411,0.4424,-0.527,4.9,25.98,-13.47
0.253,-6.6892,18.0263,1.6286,-3.2715,7.7261,3.0411,0.4424,-0.527,4.9,25.98,-13.47
0.253,-6.6892,18.0263,1.6286,-3.2715,7.7261,3.0411,0.4424,-0.527,4.9,25.98,-13.47
0.253,-6.6892,18.0263,-1.3612,-4.6884,9.6869,2.6342,1.3883,-0.4802,4.9,25.98,-13.47
-2.5171,-7.2854,20.1979,-1.3612,-4.6884,9.6869,2.6342,1.3883,-0.4802,6.53,26.58,-17.72
-2.5171,-7.2854,20.1979,-1.3612,-4.6884,9.6869,2.6342,1.3883,-0.4802,6.53,26.58,-17.72
-3.1695,-7.2554,19.16,-2.5818,-5.6719,9.3362,3.8816,0.893,0.1846,6.53,26.58,-17.72
-3.1695,-7.2554,19.16,-2.5818,-5.6719,9.3362,3.8816,0.893,0.1846,6.53,26.58,-17.72
-3.1695,-7.2554,19.16,-2.5818,-5.6719,9.3362,3.8816,0.893,0.1846,6.76,20.2,-25.55
-3.1695,-7.2554,19.16,-2.5818,-5.6719,9.3362,5.1834,0.2368,0.2463,6.76,20.2,-25.55
-2.9827,-7.4194,14.7355,-1.9101,-7.5829,4.8883,5.1834,0.2368,0.2463,6.76,20.2,-25.55
-2.9827,-7.4194,14.7355,-1.9101,-7.5829,4.8883,5.1834,0.2368,0.2463,6.76,20.2,-25.55
-4.0182,-7.3548,10.1781,-1.9101,-7.5829,4.8883,5.4358,-0.4375,-0.1212,6.9,16.27,-34.21
-4.0182,-7.3548,10.1781,-3.1421,-9.2621,0.0248,5.4358,-0.4375,-0.1212,6.9,16.27,-34.21
-4.0182,-7.3548,10.1781,-3.1421,-9.2621,0.0248,5.4358,-0.4375,-0.1212,6.9,16.27,-34.21
-4.7185,-6.4139,5.3035,-3.1421,-9.2621,0.0248,5.1024,-0.0913,-0.0221,6.9,16.27,-34.21
-4.7185,-6.4139,5.3035,-3.8878,-9.7764,-4.8428,5.1024,-0.0913,-0.0221,6.28,10.4,-42.22
-4.7185,-6.4139,5.3035,-3.8878,-9.7764,-4.8428,5.1024,-0.0913,-0.0221,6.28,10.4,-42.22
-4.4959,-4.8648,1.1759,-3.8878,-9.7764,-4.8428,4.0116,0.4658,0.6149,6.28,10.4,-42.22
-4.4959,-4.8648,1.1759,-3.4051,-9.2505,-8.4497,4.0116,0.4658,0.6149,6.28,10.4,-42.22
-4.4959,-4.8648,1.1759,-3.4051,-9.2505,-8.4497,4.0116,0.4658,0.6149,6.56,22.26,-22.41
-2.5733,-3.451,-0.8196,-3.4051,-9.2505,-8.4497,3.0069999999999997,0.2464,1.2487,6.56,22.26,-22.41
-2.5733,-3.451,-0.8196,-1.0918,-8.6127,-10.0586,3.0069999999999997,0.2464,1.2487,6.56,22.26,-22.41
0.1453,-2.1941,-2.7434,-1.0918,-8.6127,-10.0586,3.0069999999999997,0.2464,1.2487,6.56,22.26,-22.41
0.1453,-2.1941,-2.7434,-1.0918,-8.6127,-10.0586,1.9098,0.0109,1.3468,6.75,17.07,-25.43
0.1453,-2.1941,-2.7434,1.7963,-7.2578,-11.1383,1.9098,0.0109,1.3468,6.75,17.07,-25.43
1.8081,-0.2991,-1.6157,1.7963,-7.2578,-11.1383,1.9098,0.0109,1.3468,6.75,17.07,-25.43
1.8081,-0.2991,-1.6157,1.7963,-7.2578,-11.1383,1.1215,-0.1297,0.6884,6.75,17.07,-25.43
1.8081,-0.2991,-1.6157,2.1223,-5.7611,-8.4401,1.1215,-0.1297,0.6884,7.67,14.48,-24.81
1.2429999999999999,1.0249,0.0638,2.1223,-5.7611,-8.4401,1.1215,-0.1297,0.6884,7.67,14.48,-24.81
1.2429999999999999,1.0249,0.0638,2.1223,-5.7611,-8.4401,1.2355,-0.511,0.5137,7.67,14.48,-24.81
1.528,1.8006,-0.3971,1.4316,-4.8927,-7.976,1.2355,-0.511,0.5137,5.32,11.26,-26.32
1.528,1.8006,-0.3971,1.4316,-4.8927,-7.976,1.2355,-0.511,0.5137,5.32,11.26,-26.32
1.528,1.8006,-0.3971,1.4316,-4.8927,-7.976,1.0022,-0.4674,0.5574,5.32,11.26,-26.32
3.3895,2.6362,-1.508,2.9667,-4.2039,-8.6549,1.0022,-0.4674,0.5574,5.32,11.26,-26.32
3.3895,2.6362,-1.508,2.9667,-4.2039,-8.6549,1.0022,-0.4674,0.5574,5.32,11.26,-26.32
3.3895,2.6362,-1.508,2.9667,-4.2039,-8.6549,0.4855,-0.1371,0.289,5.32,11.25,-27.03
3.9629,3.0121,-2.0371,3.7264,-3.7985,-9.283999999999999,0.4855,-0.1371,0.289,5.32,11.25,-27.03
3.9629,3.0121,-2.0371,3.7264,-3.7985,-9.283999999999999,0.4855,-0.1371,0.289,5.32,11.25,-27.03
3.9629,3.0121,-2.0371,3.7264,-3.7985,-9.283999999999999,0.4855,-0.1371,0.289,5.32,11.25,-27.03
3.6947,3.5472,-1.8444,3.4663,-3.2837,-9.0754,-0.2569,-0.0072,-0.0381,6.14,11.14,-26.81
3.6947,3.5472,-1.8444,3.4663,-3.2837,-9.0754,-0.2569,-0.0072,-0.0381,6.14,11.14,-26.81
3.6947,3.5472,-1.8444,3.4663,-3.2837,-9.0754,-0.2569,-0.0072,-0.0381,6.14,11.14,-26.81
5.1695,3.6406,-2.5937,4.8663,-2.9733,-9.8294,-0.8151,-0.0455,-0.1542,6.14,11.14,-26.81
5.1695,3.6406,-2.5937,4.8663,-2.9733,-9.8294,-0.8151,-0.0455,-0.1542,6.85,14.36,-27.42
5.1695,3.6406,-2.5937,4.8663,-2.9733,-9.8294,-0.8151,-0.0455,-0.1542,6.85,14.36,-27.42
6.8335,3.4467,-1.994,6.6275,-2.8139,-9.502,-1.8634,0.0717,-0.7444,6.85,14.36,-27.42
6.8335,3.4467,-1.994,6.6275,-2.8139,-9.502,-1.8634,0.0717,-0.7444,6.85,14.36,-27.42
5.6651,2.5572,0.2614,6.6275,-2.8139,-9.502,-1.8634,0.0717,-0.7444,4.33,15.68,-25.94
5.6651,2.5572,0.2614,4.9093,-3.1724,-6.6932,-2.3054,-0.5142,-1.5721,4.33,15.68,-25.94
5.6651,2.5572,0.2614,4.9093,-3.1724,-6.6932,-2.3054,-0.5142,-1.5721,4.33,15.68,-25.94
3.3559,2.4195,3.8874,4.9093,-3.1724,-6.6932,-2.3054,-0.5142,-1.5721,4.33,15.68,-25.94
