ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
8.8458,2.7511,7.7396,9.1794,-0.7888,-1.331,0.3705,-0.7742,0.8386,21.14,24.25,-25.99
12.6574,3.6837,7.9659,12.9786,0.0526,-1.3099,0.3705,-0.7742,0.8386,21.14,24.25,-25.99
12.6574,3.6837,7.9659,12.9786,0.0526,-1.3099,0.3705,-0.7742,0.8386,21.14,24.25,-25.99
12.6574,3.6837,7.9659,12.9786,0.0526,-1.3099,0.4025,-1.2706,0.0993,21.26,21.0,-28.23
13.5875,5.4398,8.2484,13.8226,1.7803,-1.0508,0.4025,-1.2706,0.0993,21.26,21.0,-28.23
13.5875,5.4398,8.2484,13.8226,1.7803,-1.0508,0.4025,-1.2706,0.0993,21.26,21.0,-28.23
15.9746,6.3891,9.066,13.8226,1.7803,-1.0508,0.3822,-1.7627,-0.6016,21.26,21.0,-28.23
15.9746,6.3891,9.066,15.8117,2.6635,-0.1807,0.3822,-1.7627,-0.6016,17.94,21.66,-30.32
15.9746,6.3891,9.066,15.8117,2.6635,-0.1807,0.3822,-1.7627,-0.6016,17.94,21.66,-30.32
16.8065,5.5392,9.6071,15.8117,2.6635,-0.1807,0.2523,-1.5774,-2.1441,17.94,21.66,-30.32
16.8065,5.5392,9.6071,15.9861,1.4024,0.7001,0.2523,-1.5774,-2.1441,17.94,21.66,-30.32
16.8065,5.5392,9.6071,15.9861,1.4024,0.7001,0.2523,-1.5774,-2.1441,16.0,22.36,-33.17
14.0209,3.3772,11.1789,15.9861,1.4024,0.7001,0.2597,-1.6413,-3.9071,16.0,22.36,-33.17
14.0209,3.3772,11.1789,12.2585,-1.5361,2.3624,0.2597,-1.6413,-3.9071,16.0,22.36,-33.17
11.6327,0.16899999999999998,11.9391,12.2585,-1.5361,2.3624,0.2597,-1.6413,-3.9071,16.0,22.36,-33.17
11.6327,0.16899999999999998,11.9391,12.2585,-1.5361,2.3624,0.1585,-1.3068,-4.9596,10.14,24.97,-35.88
11.6327,0.16899999999999998,11.9391,10.5435,-5.0298,3.1632,0.1585,-1.3068,-4.9596,10.14,24.97,-35.88
9.9124,-2.6023,13.5097,10.5435,-5.0298,3.1632,0.1585,-1.3068,-4.9596,10.14,24.97,-35.88
9.9124,-2.6023,13.5097,10.5435,-5.0298,3.1632,-0.1834,0.7779,-6.1271,10.14,24.97,-35.88
9.9124,-2.6023,13.5097,7.0951,-8.8272,5.3786,-0.1834,0.7779,-6.1271,4.32,26.3,-35.79
4.5434,-6.7323,14.2435,7.0951,-8.8272,5.3786,-0.1834,0.7779,-6.1271,4.32,26.3,-35.79
4.5434,-6.7323,14.2435,7.0951,-8.8272,5.3786,-0.1834,0.7779,-6.1271,4.32,26.3,-35.79
-1.5701,-10.8755,11.3465,1.8871,-13.82,3.2554,0.9798,1.4182,-7.5226,4.32,26.3,-35.79
-1.5701,-10.8755,11.3465,1.8871,-13.82,3.2554,0.9798,1.4182,-7.5226,-1.4,25.03,-37.21
-1.5701,-10.8755,11.3465,1.8871,-13.82,3.2554,0.9798,1.4182,-7.5226,-1.4,25.03,-37.21
-9.2843,-12.8411,8.2173,-5.0045,-16.6723,0.1691,2.1751,-0.0615,-7.6313,-1.4,25.03,-37.21
-9.2843,-12.8411,8.2173,-5.0045,-16.6723,0.1691,2.1751,-0.0615,-7.6313,-1.4,25.03,-37.21
-9.2843,-12.8411,8.2173,-5.0045,-16.6723,0.1691,2.1751,-0.0615,-7.6313,-15.77,24.78,-39.49
-14.7335,-11.3782,4.7948,-11.104000000000001,-15.4413,-3.5573,2.1016,-1.2067,-6.1761,-15.77,24.78,-39.49
