ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.5797,-0.2666,9.7222,-0.1776,-0.1298,-0.2765,-0.0228,-0.0501,-0.1144,40.55,-7.6,-26.26
-0.5797,-0.2666,9.7222,-0.3255,-0.1628,-0.132,-0.1431,0.026000000000000002,-0.0516,40.86,-9.06,-25.16
-0.7354,-0.257,9.8156,-0.3255,-0.1628,-0.132,-0.1431,0.026000000000000002,-0.0516,40.86,-9.06,-25.16
-0.7354,-0.257,9.8156,-0.3255,-0.1628,-0.132,-0.1431,0.026000000000000002,-0.0516,40.86,-9.06,-25.16
-0.7354,-0.257,9.8156,-0.3806,-0.1392,0.0342,-0.2204,-0.1492,0.0544,41.32,-8.63,-26.54
-0.2851,-0.4056,9.8132,-0.3806,-0.1392,0.0342,-0.2204,-0.1492,0.0544,41.32,-8.63,-26.54
-0.2851,-0.4056,9.8132,-0.3806,-0.1392,0.0342,-0.2204,-0.1492,0.0544,41.32,-8.63,-26.54
-0.2851,-0.4056,9.8132,0.0341,-0.0893,-0.2061,-0.3077,-0.1705,0.0427,41.32,-8.63,-26.54
-0.3234,-0.384,9.1665,0.0341,-0.0893,-0.2061,-0.3077,-0.1705,0.0427,41.01,-6.7,-25.64
-0.3234,-0.384,9.1665,0.0341,-0.0893,-0.2061,-0.3077,-0.1705,0.0427,41.01,-6.7,-25.64
-0.3234,-0.384,9.1665,0.0363,0.1028,-0.5055,-0.5842,0.0942,0.0832,41.01,-6.7,-25.64
0.1365,-0.2666,9.3892,0.0363,0.1028,-0.5055,-0.5842,0.0942,0.0832,40.55,-8.03,-25.18
0.1365,-0.2666,9.3892,0.0363,0.1028,-0.5055,-0.5842,0.0942,0.0832,40.55,-8.03,-25.18
0.0168,-0.1181,11.1571,0.4573,0.4361,0.5626,-0.5842,0.0942,0.0832,40.55,-8.03,-25.18
0.0168,-0.1181,11.1571,0.4573,0.4361,0.5626,-0.7621,0.0186,-0.0564,39.94,-7.47,-26.44
0.0168,-0.1181,11.1571,0.4573,0.4361,0.5626,-0.7621,0.0186,-0.0564,39.94,-7.47,-26.44
-0.0503,-0.2091,11.5236,-0.0587,0.6548,1.8019999999999998,-0.7621,0.0186,-0.0564,39.94,-7.47,-26.44
-0.0503,-0.2091,11.5236,-0.0587,0.6548,1.8019999999999998,-0.6507,-0.2648,-0.0473,39.94,-7.47,-26.44
-0.0503,-0.2091,11.5236,-0.0587,0.6548,1.8019999999999998,-0.6507,-0.2648,-0.0473,41.32,-6.57,-26.88
0.0647,-0.4151,11.6218,0.1661,0.5935,1.6228,-0.6507,-0.2648,-0.0473,41.32,-6.57,-26.88
0.0647,-0.4151,11.6218,0.1661,0.5935,1.6228,-0.7796,-0.1327,-0.0745,41.32,-6.57,-26.88
-0.0144,-1.0739,11.7536,0.1661,0.5935,1.6228,-0.7796,-0.1327,-0.0745,38.86,-7.19,-26.47
-0.0144,-1.0739,11.7536,0.0458,0.1577,1.8265,-0.7796,-0.1327,-0.0745,38.86,-7.19,-26.47
-0.0144,-1.0739,11.7536,0.0458,0.1577,1.8265,-1.1147,-0.0656,-0.0526,38.86,-7.19,-26.47
-0.3545,-1.335,13.3993,0.0458,0.1577,1.8265,-1.1147,-0.0656,-0.0526,40.55,-4.53,-27.69
-0.3545,-1.335,13.3993,-0.3604,0.1842,3.6924,-1.1147,-0.0656,-0.0526,40.55,-4.53,-27.69
-0.3545,-1.335,13.3993,-0.3604,0.1842,3.6924,-1.2004,-0.1449,-0.0031,40.55,-4.53,-27.69
-1.7176,-1.1242,16.5134,-0.3604,0.1842,3.6924,-1.2004,-0.1449,-0.0031,40.55,-4.53,-27.69
-1.7176,-1.1242,16.5134,-1.7506,0.6984,6.8686,-1.2004,-0.1449,-0.0031,41.01,-4.95,-26.75
-1.7176,-1.1242,16.5134,-1.7506,0.6984,6.8686,-0.517,-0.073,0.391,41.01,-4.95,-26.75
-1.1379,-1.3973,16.7026,-1.7506,0.6984,6.8686,-0.517,-0.073,0.391,41.01,-4.95,-26.75
-1.1379,-1.3973,16.7026,-0.7192,0.3483,6.6741,-0.517,-0.073,0.391,40.55,-4.54,-28.16
0.4384,-1.9171,16.0918,-0.7192,0.3483,6.6741,0.2292,-0.1519,0.6014,40.55,-4.54,-28.16
0.4384,-1.9171,16.0918,-0.7192,0.3483,6.6741,0.2292,-0.1519,0.6014,40.55,-4.54,-28.16
0.4384,-1.9171,16.0918,0.8439,-0.2077,6.0272,0.2292,-0.1519,0.6014,39.78,-4.52,-26.63
0.9726,-2.0129,15.4594,0.8439,-0.2077,6.0272,0.2292,-0.1519,0.6014,39.78,-4.52,-26.63
0.9726,-2.0129,15.4594,0.8439,-0.2077,6.0272,0.8641,-0.7005,0.3335,39.78,-4.52,-26.63
0.3282,-1.8069,13.0352,0.3649,-0.3857,3.845,0.8641,-0.7005,0.3335,39.78,-4.52,-26.63
0.3282,-1.8069,13.0352,0.3649,-0.3857,3.845,0.8641,-0.7005,0.3335,39.94,-7.19,-27.52
0.3282,-1.8069,13.0352,0.3649,-0.3857,3.845,0.9738,-0.43200000000000005,0.2552,39.94,-7.19,-27.52
