ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-4.766,2.049,10.179,-2.1912,-1.6781,1.6614,-1.1308,1.0662,-4.4815,-21.0,0.0,-45.5
-2.7060000000000004,2.951,10.248,1.0654,0.0463,1.6747,-0.8443,-0.1312,-2.2399,-20.8,-0.3,-45.5
-2.7060000000000004,2.951,10.248,1.0654,0.0463,1.6747,-0.8443,-0.1312,-2.2399,-20.8,-0.3,-45.5
-2.7060000000000004,2.951,10.248,1.0654,0.0463,1.6747,-0.8443,-0.1312,-2.2399,-20.8,-0.3,-45.5
0.196,4.766,7.747000000000001,2.7669,1.2212,0.0962,-0.5016,-0.7136,-0.8874,-20.7,-0.5,-45.6
0.196,4.766,7.747000000000001,2.7669,1.2212,0.0962,-0.5016,-0.7136,-0.8874,-20.7,-0.5,-45.6
0.196,4.766,7.747000000000001,2.7669,1.2212,0.0962,-0.5016,-0.7136,-0.8874,-20.7,-0.5,-45.6
2.0980000000000003,6.7170000000000005,6.2860000000000005,4.7304,3.1652,-2.4674,-0.5016,-0.7136,-0.8874,-20.7,-0.5,-45.6
2.0980000000000003,6.7170000000000005,6.2860000000000005,4.7304,3.1652,-2.4674,1.0719,-1.3067,4.283,-20.2,-1.0,-45.9
2.8339999999999996,7.5120000000000005,6.452999999999999,4.7304,3.1652,-2.4674,1.0719,-1.3067,4.283,-20.2,-1.0,-45.9
2.8339999999999996,7.5120000000000005,6.452999999999999,4.5107,3.2816,-2.0369,1.0719,-1.3067,4.283,-20.2,-1.0,-45.9
2.8339999999999996,7.5120000000000005,6.452999999999999,4.5107,3.2816,-2.0369,1.0719,-1.3067,4.283,-20.2,-1.0,-45.9
3.04,8.012,6.011,4.5107,3.2816,-2.0369,2.0497,-0.7159,6.9305,-19.8,-1.3,-46.2
3.04,8.012,6.011,3.2599,2.4312,-2.1185,2.0497,-0.7159,6.9305,-19.8,-1.3,-46.2
3.04,8.012,6.011,3.2599,2.4312,-2.1185,2.0497,-0.7159,6.9305,-19.8,-1.3,-46.2
2.412,7.551,5.629,3.2599,2.4312,-2.1185,2.9303,0.5282,7.1786,-19.1,-1.7,-46.3
2.412,7.551,5.629,3.2599,2.4312,-2.1185,2.9303,0.5282,7.1786,-19.1,-1.7,-46.3
2.412,7.551,5.629,1.2665,0.9224,-2.0557,2.9303,0.5282,7.1786,-19.1,-1.7,-46.3
1.99,7.2170000000000005,5.246,1.2665,0.9224,-2.0557,2.9303,0.5282,7.1786,-19.1,-1.7,-46.3
1.99,7.2170000000000005,5.246,1.2665,0.9224,-2.0557,2.9303,0.5282,7.1786,-19.1,-1.7,-46.3
1.99,7.2170000000000005,5.246,1.2665,0.9224,-2.0557,2.8996,0.897,5.3323,-18.6,-2.0,-46.5
1.755,6.6979999999999995,5.178,0.3448,-0.2251,-1.6224,2.8996,0.897,5.3323,-18.6,-2.0,-46.5
1.755,6.6979999999999995,5.178,0.3448,-0.2251,-1.6224,2.8996,0.897,5.3323,-18.6,-2.0,-46.5
1.755,6.6979999999999995,5.178,0.3448,-0.2251,-1.6224,2.8996,0.897,5.3323,-18.6,-2.0,-46.5
1.225,5.912999999999999,4.9719999999999995,-0.4123,-1.2271,-1.5468,1.6433,0.5155,1.9481,-17.6,-2.5,-46.8
1.225,5.912999999999999,4.9719999999999995,-0.4123,-1.2271,-1.5468,1.6433,0.5155,1.9481,-17.6,-2.5,-46.8
1.225,5.912999999999999,4.9719999999999995,-0.4123,-1.2271,-1.5468,1.6433,0.5155,1.9481,-17.6,-2.5,-46.8
0.225,4.756,4.746,-1.406,-2.4753,-1.6734,1.6433,0.5155,1.9481,-17.6,-2.5,-46.8
0.225,4.756,4.746,-1.406,-2.4753,-1.6734,0.4511,0.1504,0.0517,-17.1,-2.7,-46.9
0.225,4.756,4.746,-1.406,-2.4753,-1.6734,0.4511,0.1504,0.0517,-17.1,-2.7,-46.9
-0.872,3.3139999999999996,3.648,-2.2295,-3.9209,-2.8313,0.4511,0.1504,0.0517,-17.1,-2.7,-46.9
-0.872,3.3139999999999996,3.648,-2.2295,-3.9209,-2.8313,0.4511,0.1504,0.0517,-17.1,-2.7,-46.9
-0.872,3.3139999999999996,3.648,-2.2295,-3.9209,-2.8313,-0.3756,-0.1251,-1.8388,-16.7,-2.9,-47.0
-1.598,1.99,3.069,-2.4135,-5.1917,-3.5581,-0.3756,-0.1251,-1.8388,-16.7,-2.9,-47.0
-1.598,1.99,3.069,-2.4135,-5.1917,-3.5581,-0.3756,-0.1251,-1.8388,-16.7,-2.9,-47.0
-1.598,1.99,3.069,-2.4135,-5.1917,-3.5581,-1.1592,-0.3877,-3.4595,-16.6,-2.9,-46.9
-2.255,0.98,3.608,-2.2155,-5.8919,-3.3878,-1.1592,-0.3877,-3.4595,-16.6,-2.9,-46.9
-2.255,0.98,3.608,-2.2155,-5.8919,-3.3878,-1.1592,-0.3877,-3.4595,-16.6,-2.9,-46.9
-2.255,0.98,3.608,-2.2155,-5.8919,-3.3878,-2.1508,-0.6956,-5.2216,-16.7,-2.8,-46.9
-1.422,0.853,4.177,-0.4131,-5.3399,-3.3593,-2.1508,-0.6956,-5.2216,-16.7,-2.8,-46.9
-1.422,0.853,4.177,-0.4131,-5.3399,-3.3593,-2.1508,-0.6956,-5.2216,-16.7,-2.8,-46.9
-1.422,0.853,4.177,-0.4131,-5.3399,-3.3593,-2.4209,-0.8147,-5.1427,-17.0,-2.5,-46.7
-1.422,0.853,4.177,-0.4131,-5.3399,-3.3593,-2.4209,-0.8147,-5.1427,-17.0,-2.5,-46.7
-0.5,0.843,5.531000000000001,0.9859,-4.3835,-2.6323,-2.4209,-0.8147,-5.1427,-17.0,-2.5,-46.7
-0.5,0.843,5.531000000000001,0.9859,-4.3835,-2.6323,-2.4209,-0.8147,-5.1427,-17.0,-2.5,-46.7
-0.5,0.843,5.531000000000001,0.9859,-4.3835,-2.6323,-3.3586,-1.67,-4.0104,-19.2,1.27,-45.39
0.608,0.9209999999999999,7.688,1.932,-2.7301,-1.3162,-3.3586,-1.67,-4.0104,-19.2,1.27,-45.39
0.608,0.9209999999999999,7.688,1.932,-2.7301,-1.3162,-3.3586,-1.67,-4.0104,-19.2,1.27,-45.39
0.608,0.9209999999999999,7.688,1.932,-2.7301,-1.3162,-3.5446,-2.6611,-1.7029,-20.69,5.35,-43.24
2.52,1.735,10.974,2.9662,-0.9911,1.5651,-3.5446,-2.6611,-1.7029,-20.69,5.35,-43.24
2.52,1.735,10.974,2.9662,-0.9911,1.5651,-3.5446,-2.6611,-1.7029,-20.69,5.35,-43.24
2.52,1.735,10.974,2.9662,-0.9911,1.5651,-3.5446,-2.6611,-1.7029,-20.69,5.35,-43.24
3.285,1.4709999999999999,12.866,2.7194,-0.5991,3.2969999999999997,-2.4961,-2.8452,1.831,-23.26,11.22,-41.39
3.285,1.4709999999999999,12.866,2.7194,-0.5991,3.2969999999999997,-2.4961,-2.8452,1.831,-23.26,11.22,-41.39
3.285,1.4709999999999999,12.866,2.7194,-0.5991,3.2969999999999997,-2.4961,-2.8452,1.831,-23.26,11.22,-41.39
3.844,2.1180000000000003,16.887,2.5634,0.4726,7.3049,-1.4383,-2.0357,2.9469,-23.0,14.63,-40.85
3.844,2.1180000000000003,16.887,2.5634,0.4726,7.3049,-1.4383,-2.0357,2.9469,-23.0,14.63,-40.85
3.844,2.1180000000000003,16.887,2.5634,0.4726,7.3049,-1.4383,-2.0357,2.9469,-23.0,14.63,-40.85
3.9810000000000003,2.647,18.221,2.32,1.2117,8.6637,-0.5128,-1.0909,3.0888,-24.05,18.2,-39.89
3.9810000000000003,2.647,18.221,2.32,1.2117,8.6637,-0.5128,-1.0909,3.0888,-24.05,18.2,-39.89
3.9810000000000003,2.647,18.221,2.32,1.2117,8.6637,-0.5128,-1.0909,3.0888,-24.05,18.2,-39.89
3.9810000000000003,2.647,18.221,2.32,1.2117,8.6637,-0.5128,-1.0909,3.0888,-24.05,18.2,-39.89
2.628,2.873,17.838,0.8407,1.4559,8.3011,0.2237,-0.1093,2.2215,-23.43,20.36,-38.42
2.628,2.873,17.838,0.8407,1.4559,8.3011,0.2237,-0.1093,2.2215,-23.43,20.36,-38.42
2.628,2.873,17.838,0.8407,1.4559,8.3011,0.2237,-0.1093,2.2215,-23.43,20.36,-38.42
2.628,2.873,17.838,0.8407,1.4559,8.3011,0.2237,-0.1093,2.2215,-23.43,20.36,-38.42
1.216,1.6469999999999998,16.652,-0.3872,0.2925,7.0732,-0.0772,0.4813,0.7113,-22.47,21.03,-38.11
1.216,1.6469999999999998,16.652,-0.3872,0.2925,7.0732,-0.0772,0.4813,0.7113,-22.47,21.03,-38.11
1.216,1.6469999999999998,16.652,-0.3872,0.2925,7.0732,-0.0772,0.4813,0.7113,-22.47,21.03,-38.11
1.294,1.696,15.034,-0.1108,0.4196,5.4133,-0.2294,0.6104,0.1156,-21.54,20.19,-40.2
1.294,1.696,15.034,-0.1108,0.4196,5.4133,-0.2294,0.6104,0.1156,-21.54,20.19,-40.2
1.294,1.696,15.034,-0.1108,0.4196,5.4133,-0.2294,0.6104,0.1156,-21.54,20.19,-40.2
1.8730000000000002,1.824,13.935,0.5706,0.5838,4.2954,-0.1129,0.4235,0.24600000000000002,-22.3,19.77,-38.88
1.8730000000000002,1.824,13.935,0.5706,0.5838,4.2954,-0.1129,0.4235,0.24600000000000002,-22.3,19.77,-38.88
1.8730000000000002,1.824,13.935,0.5706,0.5838,4.2954,-0.1129,0.4235,0.24600000000000002,-22.3,19.77,-38.88
1.8730000000000002,1.824,13.935,0.5706,0.5838,4.2954,-0.1129,0.4235,0.24600000000000002,-22.3,19.77,-38.88
1.6469999999999998,1.48,12.337,0.3763,0.2563,2.6905,-0.0359,0.21600000000000003,0.335,-22.07,19.25,-41.06
1.6469999999999998,1.48,12.337,0.3763,0.2563,2.6905,-0.0359,0.21600000000000003,0.335,-22.07,19.25,-41.06
1.6469999999999998,1.48,12.337,0.3763,0.2563,2.6905,-0.0359,0.21600000000000003,0.335,-22.07,19.25,-41.06
0.402,1.49,10.63,-0.7849,0.2723,0.9724,-0.0224,0.2386,-0.061,-22.4,18.74,-39.99
0.402,1.49,10.63,-0.7849,0.2723,0.9724,-0.0224,0.2386,-0.061,-22.4,18.74,-39.99
0.402,1.49,10.63,-0.7849,0.2723,0.9724,-0.0224,0.2386,-0.061,-22.4,18.74,-39.99
-0.11699999999999999,1.578,9.395,-1.0468,0.2842,0.3594,-0.0152,0.308,-0.2692,-22.39,19.11,-39.97
-0.11699999999999999,1.578,9.395,-1.0468,0.2842,0.3594,-0.0152,0.308,-0.2692,-22.39,19.11,-39.97
-0.11699999999999999,1.578,9.395,-1.0468,0.2842,0.3594,-0.0152,0.308,-0.2692,-22.39,19.11,-39.97
-0.11699999999999999,1.578,9.395,-1.0468,0.2842,0.3594,-0.0152,0.308,-0.2692,-22.39,19.11,-39.97
-0.11699999999999999,1.578,9.395,-1.0468,0.2842,0.3594,-0.0152,0.308,-0.2692,-22.39,19.11,-39.97
-0.147,2.471,9.042,-0.9269,1.056,-0.6299,0.3676,0.611,-0.6901,-21.46,18.12,-41.24
-0.147,2.471,9.042,-0.9269,1.056,-0.6299,0.3676,0.611,-0.6901,-21.46,18.12,-41.24
-0.147,2.471,9.042,-0.9269,1.056,-0.6299,0.3676,0.611,-0.6901,-21.46,18.12,-41.24
-0.235,3.295,9.375,-0.6283,1.5716,-0.7545,1.1233,0.7107,-0.1848,-19.07,14.53,-42.32
-0.235,3.295,9.375,-0.6283,1.5716,-0.7545,1.1233,0.7107,-0.1848,-19.07,14.53,-42.32
-0.235,3.295,9.375,-0.6283,1.5716,-0.7545,1.1233,0.7107,-0.1848,-19.07,14.53,-42.32
-0.764,3.3139999999999996,7.08,-0.6283,1.5716,-0.7545,1.1233,0.7107,-0.1848,-19.07,14.53,-42.32
-0.764,3.3139999999999996,7.08,-1.1405,0.5601,-3.0901,1.43,0.8206,-0.0698,-18.07,11.51,-45.56
-0.764,3.3139999999999996,7.08,-1.1405,0.5601,-3.0901,1.43,0.8206,-0.0698,-18.07,11.51,-45.56
-0.764,3.3139999999999996,7.08,-1.1405,0.5601,-3.0901,1.43,0.8206,-0.0698,-18.07,11.51,-45.56
-0.764,3.3139999999999996,7.08,-1.1405,0.5601,-3.0901,1.43,0.8206,-0.0698,-18.07,11.51,-45.56
-1.3719999999999999,2.736,4.766,-1.2439,-0.0709,-4.6288,1.4511,0.9761,-0.3107,-17.34,11.38,-44.56
-1.3719999999999999,2.736,4.766,-1.2439,-0.0709,-4.6288,1.4511,0.9761,-0.3107,-17.34,11.38,-44.56
-1.3719999999999999,2.736,4.766,-1.2439,-0.0709,-4.6288,1.4511,0.9761,-0.3107,-17.34,11.38,-44.56
-0.402,2.7260000000000004,3.785,0.3178,-0.8871,-5.3027,1.7726,1.1462,-0.0698,-16.13,9.46,-45.85
-0.402,2.7260000000000004,3.785,0.3178,-0.8871,-5.3027,1.7726,1.1462,-0.0698,-16.13,9.46,-45.85
-0.402,2.7260000000000004,3.785,0.3178,-0.8871,-5.3027,1.7726,1.1462,-0.0698,-16.13,9.46,-45.85
-0.402,2.7260000000000004,3.785,0.3178,-0.8871,-5.3027,1.7726,1.1462,-0.0698,-16.13,9.46,-45.85
-0.049,2.638,6.364,0.736,-1.4069999999999998,-2.5340000000000003,1.1129,0.5092,0.5992,-16.37,10.05,-45.04
-0.049,2.638,6.364,0.736,-1.4069999999999998,-2.5340000000000003,1.1129,0.5092,0.5992,-16.37,10.05,-45.04
-0.049,2.638,6.364,0.736,-1.4069999999999998,-2.5340000000000003,1.1129,0.5092,0.5992,-16.37,10.05,-45.04
0.598,2.9219999999999997,7.296,1.1795,-1.1565,-1.6026,0.285,-0.0662,1.0533,-16.27,10.14,-46.54
0.598,2.9219999999999997,7.296,1.1795,-1.1565,-1.6026,0.285,-0.0662,1.0533,-16.27,10.14,-46.54
0.598,2.9219999999999997,7.296,1.1795,-1.1565,-1.6026,0.285,-0.0662,1.0533,-16.27,10.14,-46.54
0.598,2.9219999999999997,7.296,1.1795,-1.1565,-1.6026,0.285,-0.0662,1.0533,-16.27,10.14,-46.54
1.0190000000000001,3.4219999999999997,7.678,1.1007,-0.6008,-1.2646,-0.1166,-0.457,1.8408,-16.09,9.97,-46.03
1.0190000000000001,3.4219999999999997,7.678,1.1007,-0.6008,-1.2646,-0.1166,-0.457,1.8408,-16.09,9.97,-46.03
1.0190000000000001,3.4219999999999997,7.678,1.1007,-0.6008,-1.2646,-0.1166,-0.457,1.8408,-16.09,9.97,-46.03
1.068,3.736,8.345,0.7837,-0.2785,-0.5973,-0.0267,-0.4276,2.0022,-15.8,9.5,-46.3
1.068,3.736,8.345,0.7837,-0.2785,-0.5973,-0.0267,-0.4276,2.0022,-15.8,9.5,-46.3
1.068,3.736,8.345,0.7837,-0.2785,-0.5973,-0.0267,-0.4276,2.0022,-15.8,9.5,-46.3
1.8330000000000002,4.226,9.316,1.2129,0.1897,0.3875,0.0524,-0.3804,2.0066,-15.4,9.2,-46.5
1.8330000000000002,4.226,9.316,1.2129,0.1897,0.3875,0.0524,-0.3804,2.0066,-15.4,9.2,-46.5
1.8330000000000002,4.226,9.316,1.2129,0.1897,0.3875,0.0524,-0.3804,2.0066,-15.4,9.2,-46.5
1.8330000000000002,4.226,9.316,1.2129,0.1897,0.3875,0.0524,-0.3804,2.0066,-15.4,9.2,-46.5
3.805,5.06,10.022,2.7189,1.03,1.1482,0.2768,-0.4956,2.4701,-15.0,9.1,-46.6
3.805,5.06,10.022,2.7189,1.03,1.1482,0.2768,-0.4956,2.4701,-15.0,9.1,-46.6
3.805,5.06,10.022,2.7189,1.03,1.1482,0.2768,-0.4956,2.4701,-15.0,9.1,-46.6
4.736000000000001,5.412999999999999,9.816,2.8296,1.3188,1.2856,0.7041,-0.628,3.2565,-14.8,9.2,-46.5
4.736000000000001,5.412999999999999,9.816,2.8296,1.3188,1.2856,0.7041,-0.628,3.2565,-14.8,9.2,-46.5
4.736000000000001,5.412999999999999,9.816,2.8296,1.3188,1.2856,0.7041,-0.628,3.2565,-14.8,9.2,-46.5
4.736000000000001,5.412999999999999,9.816,2.8296,1.3188,1.2856,0.7041,-0.628,3.2565,-14.8,9.2,-46.5
4.54,5.343999999999999,8.806000000000001,1.632,0.9436,0.1639,1.0765,-0.6703,3.3718,-14.6,9.4,-46.5
4.54,5.343999999999999,8.806000000000001,1.632,0.9436,0.1639,1.0765,-0.6703,3.3718,-14.6,9.4,-46.5
4.54,5.343999999999999,8.806000000000001,1.632,0.9436,0.1639,1.0765,-0.6703,3.3718,-14.6,9.4,-46.5
1.745,4.158,8.826,-0.1111,0.2712,0.41700000000000004,0.8335,-0.4191,1.7975,-14.4,9.7,-46.3
1.745,4.158,8.826,-0.1111,0.2712,0.41700000000000004,0.8335,-0.4191,1.7975,-14.4,9.7,-46.3
1.745,4.158,8.826,-0.1111,0.2712,0.41700000000000004,0.8335,-0.4191,1.7975,-14.4,9.7,-46.3
-0.9209999999999999,2.932,9.081,-0.1111,0.2712,0.41700000000000004,0.8335,-0.4191,1.7975,-14.4,9.7,-46.3
-0.9209999999999999,2.932,9.081,-3.4175,-1.318,0.6032,-0.6425,0.1747,-1.3369,-14.5,9.8,-46.3
-0.9209999999999999,2.932,9.081,-3.4175,-1.318,0.6032,-0.6425,0.1747,-1.3369,-14.5,9.8,-46.3
