ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
3.295,6.315,6.815,0.4103,0.0186,-0.1272,-0.0829,-0.1868,0.4885,-13.8,4.2,-35.7
3.295,6.315,6.815,0.4103,0.0186,-0.1272,-0.0829,-0.1868,0.4885,-13.8,4.2,-35.7
3.295,6.315,6.815,0.4103,0.0186,-0.1272,-0.0829,-0.1868,0.4885,-13.8,4.2,-35.7
3.295,6.315,6.815,0.4103,0.0186,-0.1272,-0.0829,-0.1868,0.4885,-13.8,4.2,-35.7
2.471,6.167999999999999,7.747000000000001,-0.1738,0.0323,0.5710000000000001,-0.1868,-0.2663,0.0643,-14.0,4.3,-35.9
2.471,6.167999999999999,7.747000000000001,-0.1738,0.0323,0.5710000000000001,-0.1868,-0.2663,0.0643,-14.0,4.3,-35.9
1.912,6.119,7.904,-0.1738,0.0323,0.5710000000000001,-0.1868,-0.2663,0.0643,-14.0,4.3,-35.9
1.912,6.119,7.904,-0.9556,-0.0577,0.8483,-0.5819,-0.2597,-0.6892,-14.3,4.3,-36.0
1.912,6.119,7.904,-0.9556,-0.0577,0.8483,-0.5819,-0.2597,-0.6892,-14.3,4.3,-36.0
1.912,6.119,7.904,-0.9556,-0.0577,0.8483,-0.5819,-0.2597,-0.6892,-14.3,4.3,-36.0
0.912,5.854,8.041,-1.6644,-0.2611,0.8213,-0.925,-0.2849,-1.6605,-14.7,4.3,-36.0
0.912,5.854,8.041,-1.6644,-0.2611,0.8213,-0.925,-0.2849,-1.6605,-14.7,4.3,-36.0
0.912,5.854,8.041,-1.6644,-0.2611,0.8213,-0.925,-0.2849,-1.6605,-14.7,4.3,-36.0
0.912,5.854,8.041,-1.6644,-0.2611,0.8213,-0.925,-0.2849,-1.6605,-14.7,4.3,-36.0
-1.4409999999999998,5.07,8.365,-3.2824,-0.9038,0.8095,-1.4382,-0.2235,-3.2466,-15.4,4.0,-36.0
-1.4409999999999998,5.07,8.365,-3.2824,-0.9038,0.8095,-1.4382,-0.2235,-3.2466,-15.4,4.0,-36.0
-3.51,4.266,8.512,-3.2824,-0.9038,0.8095,-1.4382,-0.2235,-3.2466,-15.4,4.0,-36.0
-3.51,4.266,8.512,-4.4955,-1.4727,0.5456,-1.7846,-0.0346,-5.6624,-16.3,3.4,-36.1
-3.51,4.266,8.512,-4.4955,-1.4727,0.5456,-1.7846,-0.0346,-5.6624,-16.3,3.4,-36.1
-3.51,4.266,8.512,-4.4955,-1.4727,0.5456,-1.7846,-0.0346,-5.6624,-16.3,3.4,-36.1
-4.785,4.109,8.453,-4.3674,-1.3209,0.1412,-1.3582,0.3868,-6.5249,-17.22,2.57,-35.89
-4.785,4.109,8.453,-4.3674,-1.3209,0.1412,-1.3582,0.3868,-6.5249,-17.22,2.57,-35.89
-4.785,4.109,8.453,-4.3674,-1.3209,0.1412,-1.3582,0.3868,-6.5249,-17.22,2.57,-35.89
-5.462000000000001,3.8339999999999996,7.962999999999999,-3.8569999999999998,-1.2468,-0.2691,-0.9143,0.4021,-6.3811,-18.6,1.59,-36.12
-5.462000000000001,3.8339999999999996,7.962999999999999,-3.8569999999999998,-1.2468,-0.2691,-0.9143,0.4021,-6.3811,-18.6,1.59,-36.12
-5.462000000000001,3.8339999999999996,7.962999999999999,-3.8569999999999998,-1.2468,-0.2691,-0.9143,0.4021,-6.3811,-18.6,1.59,-36.12
-4.687,4.315,8.894,-2.279,-0.4922,0.3351,-0.9143,0.4021,-6.3811,-18.6,1.59,-36.12
-4.687,4.315,8.894,-2.279,-0.4922,0.3351,-0.9143,0.4021,-6.3811,-18.6,1.59,-36.12
-4.687,4.315,8.894,-2.279,-0.4922,0.3351,-0.1869,0.62,-4.0315,-19.92,0.33,-35.27
-4.687,4.315,8.894,-2.279,-0.4922,0.3351,-0.1869,0.62,-4.0315,-19.92,0.33,-35.27
-4.9030000000000005,4.099,8.747,-1.4952,-0.1955,0.7928,-0.1869,0.62,-4.0315,-19.92,0.33,-35.27
-4.9030000000000005,4.099,8.747,-1.4952,-0.1955,0.7928,-0.0504,0.5744,-2.8931,-20.68,-0.28,-35.04
-4.9030000000000005,4.099,8.747,-1.4952,-0.1955,0.7928,-0.0504,0.5744,-2.8931,-20.68,-0.28,-35.04
-4.736000000000001,4.138,8.345,-1.2259,-0.1094,0.4612,-0.0504,0.5744,-2.8931,-20.68,-0.28,-35.04
-4.736000000000001,4.138,8.345,-1.2259,-0.1094,0.4612,0.1195,0.4066,-1.7289,-21.17,-0.47,-34.97
-4.187,4.4319999999999995,8.296,-1.2259,-0.1094,0.4612,0.1195,0.4066,-1.7289,-21.17,-0.47,-34.97
-4.187,4.4319999999999995,8.296,0.0012,0.5077,0.3383,0.1195,0.4066,-1.7289,-21.17,-0.47,-34.97
-4.187,4.4319999999999995,8.296,0.0012,0.5077,0.3383,0.1195,0.4066,-1.7289,-21.17,-0.47,-34.97
-3.7260000000000004,4.687,8.267000000000001,0.0012,0.5077,0.3383,0.2332,0.1335,-0.8697,-21.5,-0.7,-35.1
-3.7260000000000004,4.687,8.267000000000001,0.0012,0.5077,0.3383,0.2332,0.1335,-0.8697,-21.5,-0.7,-35.1
-3.7260000000000004,4.687,8.267000000000001,0.6075,0.8507,0.3674,0.2332,0.1335,-0.8697,-21.5,-0.7,-35.1
-3.148,5.276,8.434,0.6075,0.8507,0.3674,0.2737,-0.1777,0.297,-22.0,-1.2,-34.9
-3.148,5.276,8.434,0.6075,0.8507,0.3674,0.2737,-0.1777,0.297,-22.0,-1.2,-34.9
-3.148,5.276,8.434,0.8219,1.1232,0.5165,0.2737,-0.1777,0.297,-22.0,-1.2,-34.9
-2.412,5.843999999999999,8.649,0.8219,1.1232,0.5165,0.2875,-0.2888,0.7649,-22.2,-1.4,-34.8
-2.412,5.843999999999999,8.649,0.8219,1.1232,0.5165,0.2875,-0.2888,0.7649,-22.2,-1.4,-34.8
-2.412,5.843999999999999,8.649,1.4389,1.5326,0.685,0.2875,-0.2888,0.7649,-22.2,-1.4,-34.8
-1.412,6.452999999999999,8.11,1.4389,1.5326,0.685,0.3503,-0.4686,1.4885,-22.4,-1.5,-34.6
-1.412,6.452999999999999,8.11,1.4389,1.5326,0.685,0.3503,-0.4686,1.4885,-22.4,-1.5,-34.6
-1.412,6.452999999999999,8.11,1.9461,1.7459,-0.1863,0.3503,-0.4686,1.4885,-22.4,-1.5,-34.6
-0.402,6.982,7.325,1.9461,1.7459,-0.1863,0.6657,-0.4256,2.5714,-22.3,-1.4,-34.7
-0.402,6.982,7.325,1.9461,1.7459,-0.1863,0.6657,-0.4256,2.5714,-22.3,-1.4,-34.7
-0.402,6.982,7.325,1.9461,1.7459,-0.1863,0.6657,-0.4256,2.5714,-22.3,-1.4,-34.7
-0.402,6.982,7.325,2.5028,1.8488,-0.6769,0.6657,-0.4256,2.5714,-22.3,-1.4,-34.7
0.813,7.492000000000001,6.943,2.5028,1.8488,-0.6769,0.8708,-0.3814,3.1354,-22.1,-1.3,-34.6
0.813,7.492000000000001,6.943,2.5028,1.8488,-0.6769,0.8708,-0.3814,3.1354,-22.1,-1.3,-34.6
0.813,7.492000000000001,6.943,2.4819,1.3277,-0.715,0.8708,-0.3814,3.1354,-22.1,-1.3,-34.6
1.3330000000000002,7.365,6.609,2.4819,1.3277,-0.715,1.1406,-0.182,3.903,-21.6,-1.0,-34.8
1.3330000000000002,7.365,6.609,2.4819,1.3277,-0.715,1.1406,-0.182,3.903,-21.6,-1.0,-34.8
1.3330000000000002,7.365,6.609,2.3053,0.8905,-1.1483,1.1406,-0.182,3.903,-21.6,-1.0,-34.8
1.3330000000000002,7.365,6.609,2.3053,0.8905,-1.1483,1.1406,-0.182,3.903,-21.6,-1.0,-34.8
2.079,7.296,5.374,2.3053,0.8905,-1.1483,1.3329,0.2009,3.9893,-20.8,-0.7,-35.0
2.079,7.296,5.374,2.3053,0.8905,-1.1483,1.3329,0.2009,3.9893,-20.8,-0.7,-35.0
2.03,7.276,4.9910000000000005,2.1017,0.37799999999999995,-2.0839,1.3329,0.2009,3.9893,-20.8,-0.7,-35.0
2.03,7.276,4.9910000000000005,2.1017,0.37799999999999995,-2.0839,1.6447,0.4946,3.9313,-20.1,-0.4,-35.2
2.03,7.276,4.9910000000000005,2.1017,0.37799999999999995,-2.0839,1.6447,0.4946,3.9313,-20.1,-0.4,-35.2
1.274,7.207999999999999,6.541,0.8373,-0.0123,-0.6167,1.6447,0.4946,3.9313,-20.1,-0.4,-35.2
