ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.0359,-3.0046,9.2407,-0.3532,0.2191,0.3826,-0.39399999999999996,-0.0539,0.1002,39.31,3.6,-25.34
-0.0359,-3.0046,9.2407,0.0459,0.2151,0.0158,-0.3897,0.0846,0.08800000000000001,39.3,4.2,-24.57
-0.0359,-3.0046,9.2407,0.0459,0.2151,0.0158,-0.3897,0.0846,0.08800000000000001,39.3,4.2,-24.57
-0.1341,-3.1963,9.212,0.0459,0.2151,0.0158,-0.3897,0.0846,0.08800000000000001,39.3,4.2,-24.57
-0.1341,-3.1963,9.212,-0.024,0.1266,0.0935,-0.4835,0.026000000000000002,0.0624,40.69,3.48,-24.69
-0.1341,-3.1963,9.212,-0.024,0.1266,0.0935,-0.4835,0.026000000000000002,0.0624,40.69,3.48,-24.69
-0.1413,-3.3280000000000003,10.1558,-0.024,0.1266,0.0935,-0.4835,0.026000000000000002,0.0624,40.69,3.48,-24.69
-0.1413,-3.3280000000000003,10.1558,-0.1074,0.183,1.2643,-0.4766,-0.1844,0.1157,39.15,4.48,-25.51
-0.2731,-3.1915,11.2984,-0.1074,0.183,1.2643,-0.4766,-0.1844,0.1157,39.15,4.48,-25.51
-0.2731,-3.1915,11.2984,-0.1074,0.183,1.2643,-0.4766,-0.1844,0.1157,39.15,4.48,-25.51
-0.2731,-3.1915,11.2984,-0.0806,0.32899999999999996,2.0123,-0.377,-0.2009,0.17800000000000002,39.61,5.53,-24.74
0.1749,-3.2155,11.5691,-0.0806,0.32899999999999996,2.0123,-0.377,-0.2009,0.17800000000000002,39.61,5.53,-24.74
0.1749,-3.2155,11.5691,-0.0806,0.32899999999999996,2.0123,-0.377,-0.2009,0.17800000000000002,39.61,5.53,-24.74
0.0862,-2.5783,13.0495,0.5047,0.5291,3.4134,-0.2859,0.0628,0.1561,37.15,5.31,-26.81
0.0862,-2.5783,13.0495,0.5047,0.5291,3.4134,-0.2859,0.0628,0.1561,37.15,5.31,-26.81
0.0862,-2.5783,13.0495,0.5047,0.5291,3.4134,-0.2859,0.0628,0.1561,37.15,5.31,-26.81
-0.2994,-2.3459,13.3921,-0.1115,1.2919,4.0534,-0.2087,-0.2152,0.0267,39.0,3.89,-25.35
-0.2994,-2.3459,13.3921,-0.1115,1.2919,4.0534,-0.2087,-0.2152,0.0267,39.0,3.89,-25.35
