ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
5.9596,0.7879,10.8461,5.7722,1.2306,-0.1998,-0.9866,-1.0288,-1.4592,6.95,37.79,-19.07
5.9596,0.7879,10.8461,6.8789,1.3908,2.0174,-0.9866,-1.0288,-1.4592,6.95,37.79,-19.07
7.3925,0.3318,12.6992,6.8789,1.3908,2.0174,-1.0325,-0.7997,-1.9066,6.95,37.79,-19.07
7.3925,0.3318,12.6992,6.8789,1.3908,2.0174,-1.0325,-0.7997,-1.9066,6.95,37.79,-19.07
7.3925,0.3318,12.6992,7.6066,0.9863,4.0208,-1.0325,-0.7997,-1.9066,3.56,40.42,-16.12
7.5266,-0.3853,14.5691,7.6066,0.9863,4.0208,-1.0047,-0.3481,-2.6331,3.56,40.42,-16.12
7.5266,-0.3853,14.5691,7.6066,0.9863,4.0208,-1.0047,-0.3481,-2.6331,3.56,40.42,-16.12
7.5266,-0.3853,14.5691,6.6637,-0.2908,5.9239,-1.0047,-0.3481,-2.6331,3.56,40.42,-16.12
6.0638,-2.1211,16.6987,6.6637,-0.2908,5.9239,-0.9206,-0.0295,-3.4256,-1.32,38.51,-17.57
6.0638,-2.1211,16.6987,6.6637,-0.2908,5.9239,-0.9206,-0.0295,-3.4256,-1.32,38.51,-17.57
3.4002,-3.5528,19.2019,3.442,-1.6253,8.671,-0.9206,-0.0295,-3.4256,-1.32,38.51,-17.57
3.4002,-3.5528,19.2019,3.442,-1.6253,8.671,-0.4093,0.3145,-3.8027,-1.32,38.51,-17.57
3.4002,-3.5528,19.2019,3.442,-1.6253,8.671,-0.4093,0.3145,-3.8027,-5.39,37.26,-14.02
0.866,-5.3305,20.782,0.5234,-3.4706,10.6233,-0.4093,0.3145,-3.8027,-5.39,37.26,-14.02
0.866,-5.3305,20.782,0.5234,-3.4706,10.6233,0.4142,0.7715,-3.7559,-5.39,37.26,-14.02
0.866,-5.3305,20.782,0.5234,-3.4706,10.6233,0.4142,0.7715,-3.7559,-5.39,37.26,-14.02
-0.95,-7.356,21.5219,-1.2902,-5.609,11.1904,0.4142,0.7715,-3.7559,-11.95,36.65,-15.42
-0.95,-7.356,21.5219,-1.2902,-5.609,11.1904,1.4464,1.0155,-3.5598,-11.95,36.65,-15.42
-3.4867,-9.0439,21.2609,-1.2902,-5.609,11.1904,1.4464,1.0155,-3.5598,-11.95,36.65,-15.42
-3.4867,-9.0439,21.2609,-4.1865,-8.2432,10.4038,1.4464,1.0155,-3.5598,-19.02,31.41,-17.13
-3.4867,-9.0439,21.2609,-4.1865,-8.2432,10.4038,2.5852,1.432,-2.991,-19.02,31.41,-17.13
-5.9803,-9.6125,18.1544,-4.1865,-8.2432,10.4038,2.5852,1.432,-2.991,-19.02,31.41,-17.13
-5.9803,-9.6125,18.1544,-6.3409,-9.1208,6.6968,2.5852,1.432,-2.991,-19.02,31.41,-17.13
-5.9803,-9.6125,18.1544,-6.3409,-9.1208,6.6968,2.452,1.8911,-1.9811,-6.93,29.96,-24.58
-7.6754,-8.8093,16.1002,-6.3409,-9.1208,6.6968,2.452,1.8911,-1.9811,-6.93,29.96,-24.58
-7.6754,-8.8093,16.1002,-7.0184,-8.8576,5.1378,2.452,1.8911,-1.9811,-6.93,29.96,-24.58
-7.6754,-8.8093,16.1002,-7.0184,-8.8576,5.1378,2.3199,2.525,-0.7529,-6.93,29.96,-24.58
-7.5628,-8.0192,15.0707,-7.0184,-8.8576,5.1378,2.3199,2.525,-0.7529,-5.16,26.7,-28.25
-7.5628,-8.0192,15.0707,-5.4388,-8.5644,3.5397,2.3199,2.525,-0.7529,-5.16,26.7,-28.25
-6.768,-7.198,12.8656,-5.4388,-8.5644,3.5397,2.6907,2.5814,0.1238,-5.16,26.7,-28.25
-6.768,-7.198,12.8656,-5.4388,-8.5644,3.5397,2.6907,2.5814,0.1238,-5.16,26.7,-28.25
-6.768,-7.198,12.8656,-3.9158,-8.3073,1.5316,2.6907,2.5814,0.1238,-5.16,26.7,-28.25
-5.8594,-6.2415,10.3481,-3.9158,-8.3073,1.5316,2.9271,2.3779,0.6661,-2.6,24.06,-33.33
-5.8594,-6.2415,10.3481,-3.9158,-8.3073,1.5316,2.9271,2.3779,0.6661,-2.6,24.06,-33.33
-5.8594,-6.2415,10.3481,-2.0123,-8.1753,-1.1969,2.9271,2.3779,0.6661,-2.6,24.06,-33.33
-5.3183,-5.431,7.5625,-2.0123,-8.1753,-1.1969,2.9271,2.3779,0.6661,-2.6,24.06,-33.33
-5.3183,-5.431,7.5625,-2.0123,-8.1753,-1.1969,3.1061,2.1723,1.0101,2.54,18.83,-37.1
-5.3183,-5.431,7.5625,-2.0123,-8.1753,-1.1969,3.1061,2.1723,1.0101,2.54,18.83,-37.1
-5.7456,-4.2579,4.9911,-1.4548,-8.0966,-3.9667,3.1061,2.1723,1.0101,2.54,18.83,-37.1
-5.7456,-4.2579,4.9911,-1.4548,-8.0966,-3.9667,2.9176,1.7218,1.4341,2.54,18.83,-37.1
-5.6032,-3.3756,3.3666,-1.4548,-8.0966,-3.9667,2.9176,1.7218,1.4341,5.15,14.92,-39.38
-5.6032,-3.3756,3.3666,-1.1579,-7.7496,-5.4018,2.9176,1.7218,1.4341,5.15,14.92,-39.38
-5.6032,-3.3756,3.3666,-1.1579,-7.7496,-5.4018,2.9176,1.7218,1.4341,5.15,14.92,-39.38
-5.4739,-1.9834,2.0654,-1.1579,-7.7496,-5.4018,2.3689,1.2871,1.8837,10.19,12.28,-42.34
-5.4739,-1.9834,2.0654,-0.8743,-6.9393,-6.2169,2.3689,1.2871,1.8837,10.19,12.28,-42.34
-5.4739,-1.9834,2.0654,-0.8743,-6.9393,-6.2169,2.3689,1.2871,1.8837,10.19,12.28,-42.34
-4.8478,-1.3729,1.8834,-0.8743,-6.9393,-6.2169,1.5583,1.204,2.3396,10.19,12.28,-42.34
-4.8478,-1.3729,1.8834,-0.8743,-6.9393,-6.2169,1.5583,1.204,2.3396,10.19,12.28,-42.34
-4.8478,-1.3729,1.8834,0.2478,-6.7382,-5.4895,1.5583,1.204,2.3396,11.08,10.35,-41.7
-3.7932,-0.5684,2.0498,0.2478,-6.7382,-5.4895,1.1428,1.2349,2.6624,11.08,10.35,-41.7
-3.7932,-0.5684,2.0498,0.2478,-6.7382,-5.4895,1.1428,1.2349,2.6624,11.08,10.35,-41.7
-2.7625,-0.0573,1.7529,1.1389,-6.5868,-5.1993,1.1428,1.2349,2.6624,11.08,10.35,-41.7
-2.7625,-0.0573,1.7529,1.1389,-6.5868,-5.1993,1.1194,1.1092,2.9585,18.35,9.8,-38.24
-2.7625,-0.0573,1.7529,1.1389,-6.5868,-5.1993,1.1194,1.1092,2.9585,18.35,9.8,-38.24
-1.6408,0.5999,0.9437,2.0025,-6.4158,-5.4718,1.1194,1.1092,2.9585,18.35,9.8,-38.24
-1.6408,0.5999,0.9437,2.0025,-6.4158,-5.4718,1.178,1.0165,3.1215,18.35,9.8,-38.24
-1.6408,0.5999,0.9437,2.0025,-6.4158,-5.4718,1.178,1.0165,3.1215,21.78,5.9,-39.11
-0.3407,1.232,-0.9202,2.6101,-6.1794,-6.6795,1.178,1.0165,3.1215,21.78,5.9,-39.11
-0.3407,1.232,-0.9202,2.6101,-6.1794,-6.6795,1.178,1.0165,3.1215,21.78,5.9,-39.11
-0.3407,1.232,-0.9202,2.6101,-6.1794,-6.6795,0.6027,1.4277,3.1971,1.04,14.04,-30.24
1.1987,1.6893,-1.9808,3.8439,-5.968,-7.7956,0.6027,1.4277,3.1971,1.04,14.04,-30.24
1.1987,1.6893,-1.9808,3.8439,-5.968,-7.7956,0.6027,1.4277,3.1971,1.04,14.04,-30.24
1.1987,1.6893,-1.9808,3.8439,-5.968,-7.7956,-0.5925,1.8645,3.0395,1.04,14.04,-30.24
2.2223,1.7528,-0.9166,4.5435,-5.9497,-6.4811,-0.5925,1.8645,3.0395,3.46,15.32,-29.5
2.2223,1.7528,-0.9166,4.5435,-5.9497,-6.4811,-0.5925,1.8645,3.0395,3.46,15.32,-29.5
2.5467,2.2579,0.2338,4.5435,-5.9497,-6.4811,-1.1134,1.8261,2.9649,3.46,15.32,-29.5
2.5467,2.2579,0.2338,4.4217,-5.3414,-5.4337,-1.1134,1.8261,2.9649,3.46,15.32,-29.5
2.5467,2.2579,0.2338,4.4217,-5.3414,-5.4337,-1.1134,1.8261,2.9649,3.46,15.32,-29.5
2.5467,2.2579,0.2338,4.4217,-5.3414,-5.4337,-1.1134,1.8261,2.9649,3.46,15.32,-29.5
2.6269,2.7547,0.6169,4.5163,-4.6577,-5.267,-1.189,1.1145,2.9116,6.78,14.66,-28.13
2.6269,2.7547,0.6169,4.5163,-4.6577,-5.267,-1.189,1.1145,2.9116,6.78,14.66,-28.13
5.409,2.6757,0.2709,4.5163,-4.6577,-5.267,-1.189,1.1145,2.9116,6.78,14.66,-28.13
5.409,2.6757,0.2709,6.6124,-4.4894,-5.7717,-1.6183,0.7332,3.0949,6.78,14.66,-28.13
5.409,2.6757,0.2709,6.6124,-4.4894,-5.7717,-1.6183,0.7332,3.0949,9.18,16.58,-28.08
7.3483,2.9415,0.5918,6.6124,-4.4894,-5.7717,-1.6183,0.7332,3.0949,9.18,16.58,-28.08
7.3483,2.9415,0.5918,7.4556,-3.6564,-5.4397,-2.2671,0.4189,2.4802,9.18,16.58,-28.08
7.3483,2.9415,0.5918,7.4556,-3.6564,-5.4397,-2.2671,0.4189,2.4802,9.18,16.58,-28.08
7.9097,3.0396,2.0797,7.4556,-3.6564,-5.4397,-2.2671,0.4189,2.4802,9.93,18.53,-25.89
7.9097,3.0396,2.0797,7.8298,-3.3381,-4.0319,-3.0991,-0.5153,1.8719,9.93,18.53,-25.89
7.9097,3.0396,2.0797,7.8298,-3.3381,-4.0319,-3.0991,-0.5153,1.8719,9.93,18.53,-25.89
8.8901,2.6063,4.0562,7.8298,-3.3381,-4.0319,-3.0991,-0.5153,1.8719,9.93,18.53,-25.89
8.8901,2.6063,4.0562,8.2242,-2.7778,-2.3388,-3.5763,-0.8935,1.4181,10.58,16.56,-29.96
9.8071,2.4495,5.8961,8.2242,-2.7778,-2.3388,-3.5763,-0.8935,1.4181,10.58,16.56,-29.96
9.8071,2.4495,5.8961,8.2242,-2.7778,-2.3388,-3.5763,-0.8935,1.4181,10.58,16.56,-29.96
9.8071,2.4495,5.8961,9.3197,-2.1590000000000003,-0.6499,-4.1228,-1.1012,0.9025,10.58,16.56,-29.96
11.3226,2.0975,7.9575,9.3197,-2.1590000000000003,-0.6499,-4.1228,-1.1012,0.9025,10.58,16.56,-29.96
