ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-1.156802,-2.362113,11.250901,1.039652,0.46138,0.5927899999999999,0.188902,-0.274822,0.111133,-27.5783,15.6887,-29.519
-1.892221,-2.707065,12.053394,0.117275,0.104879,1.924945,0.185707,0.123488,-0.047552,-27.5783,15.6887,-29.519
-1.892221,-2.707065,12.053394,0.117275,0.104879,1.924945,0.185707,0.123488,-0.047552,-27.6967,15.5322,-29.2462
-1.892221,-2.707065,12.053394,0.117275,0.104879,1.924945,0.185707,0.123488,-0.047552,-27.6967,15.5322,-29.2462
-2.229986,-2.848399,10.865226,-0.376105,-0.080169,1.287485,0.514792,0.320513,-0.020927,-27.6967,15.5322,-29.2462
-2.229986,-2.848399,10.865226,-0.376105,-0.080169,1.287485,0.514792,0.320513,-0.020927,-28.0164,15.3704,-29.3235
-2.229986,-2.848399,10.865226,-0.376105,-0.080169,1.287485,0.514792,0.320513,-0.020927,-28.0164,15.3704,-29.3235
-2.10542,-2.656759,10.168136,-0.150826,-0.253594,0.256689,0.728857,0.124553,-0.009212,-28.0164,15.3704,-29.3235
-2.10542,-2.656759,10.168136,-0.150826,-0.253594,0.256689,0.728857,0.124553,-0.009212,-28.0164,15.3704,-29.3235
-2.10542,-2.656759,10.168136,-0.150826,-0.253594,0.256689,0.728857,0.124553,-0.009212,-28.1141,15.1253,-29.7268
-2.086256,-2.788512,9.142861,-0.150071,-0.469706,-0.6910470000000001,0.750157,0.011663,-0.007081999999999998,-28.1141,15.1253,-29.7268
-2.086256,-2.788512,9.142861,-0.150071,-0.469706,-0.6910470000000001,0.750157,0.011663,-0.007081999999999998,-28.1141,15.1253,-29.7268
-2.136562,-2.721438,9.003922,-0.122735,-0.630576,-1.038292,0.750157,0.011663,-0.007081999999999998,-27.7607,14.2738,-30.0584
-2.136562,-2.721438,9.003922,-0.122735,-0.630576,-1.038292,0.675607,-0.114007,0.009958,-27.7607,14.2738,-30.0584
-2.136562,-2.721438,9.003922,-0.122735,-0.630576,-1.038292,0.675607,-0.114007,0.009958,-27.7607,14.2738,-30.0584
-1.86587,-2.769348,9.035064,-0.122735,-0.630576,-1.038292,0.675607,-0.114007,0.009958,-27.7607,14.2738,-30.0584
-1.86587,-2.769348,9.035064,0.02959,-0.902172,-1.089369,0.687322,-0.164062,0.102613,-27.5749,13.8956,-30.5348
-1.86587,-2.769348,9.035064,0.02959,-0.902172,-1.089369,0.687322,-0.164062,0.102613,-27.5749,13.8956,-30.5348
-1.29095,-2.431582,8.956013,0.02959,-0.902172,-1.089369,0.687322,-0.164062,0.102613,-27.5749,13.8956,-30.5348
-1.29095,-2.431582,8.956013,0.7357239999999999,-0.6436529999999999,-1.284845,0.8470719999999999,-0.259912,0.143083,-27.7694,13.4044,-30.5862
