ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-1.0979999999999999,0.441,15.562999999999999,-0.7227,-0.0564,5.7768,-0.7978,0.6691,-1.8364,9.64,4.39,1.07
-0.715,0.441,14.739,-0.2505,0.0394,4.9522,-0.3629,0.3205,-1.2992,10.04,4.67,1.42
-0.715,0.441,14.739,-0.2505,0.0394,4.9522,-0.3629,0.3205,-1.2992,10.04,4.67,1.42
-0.715,0.441,14.739,-0.2505,0.0394,4.9522,-0.3629,0.3205,-1.2992,10.04,4.67,1.42
-0.34299999999999997,0.617,13.788,0.1379,0.2531,4.0006,-0.1539,0.0926,-0.8556,10.24,5.14,0.81
-0.34299999999999997,0.617,13.788,0.1379,0.2531,4.0006,-0.1539,0.0926,-0.8556,10.24,5.14,0.81
0.36200000000000004,0.872,13.572000000000001,0.1379,0.2531,4.0006,-0.1539,0.0926,-0.8556,10.24,5.14,0.81
0.36200000000000004,0.872,13.572000000000001,0.1379,0.2531,4.0006,-0.1539,0.0926,-0.8556,10.24,5.14,0.81
0.36200000000000004,0.872,13.572000000000001,0.7666,0.4916,3.7819,0.0205,-0.1936,-0.5519,9.81,4.93,0.49
0.951,1.206,13.110999999999999,0.7666,0.4916,3.7819,0.0205,-0.1936,-0.5519,9.81,4.93,0.49
0.951,1.206,13.110999999999999,0.7666,0.4916,3.7819,0.0205,-0.1936,-0.5519,9.81,4.93,0.49
0.951,1.206,13.110999999999999,1.1889,0.7634,3.3173,0.2369,-0.5865,-0.2245,9.9,5.3,1.0
0.951,1.206,13.110999999999999,1.1889,0.7634,3.3173,0.2369,-0.5865,-0.2245,9.9,5.3,1.0
1.824,1.588,12.630999999999998,1.1889,0.7634,3.3173,0.2369,-0.5865,-0.2245,9.9,5.3,1.0
1.824,1.588,12.630999999999998,1.7977,1.0185,2.8409,0.4222,-0.9351,-0.2018,10.0,5.5,1.1
1.824,1.588,12.630999999999998,1.7977,1.0185,2.8409,0.4222,-0.9351,-0.2018,10.0,5.5,1.1
2.128,1.8430000000000002,13.277999999999999,1.7977,1.0185,2.8409,0.4222,-0.9351,-0.2018,10.0,5.5,1.1
2.128,1.8430000000000002,13.277999999999999,1.7977,1.0185,2.8409,0.4222,-0.9351,-0.2018,10.0,5.5,1.1
2.128,1.8430000000000002,13.277999999999999,1.2166,1.0401,3.457,0.5285,-1.0588,0.0787,10.2,5.7,0.8
1.676,1.8730000000000002,12.837,1.2166,1.0401,3.457,0.5285,-1.0588,0.0787,10.2,5.7,0.8
1.676,1.8730000000000002,12.837,1.2166,1.0401,3.457,0.5285,-1.0588,0.0787,10.2,5.7,0.8
1.6269999999999998,2.088,11.100999999999999,0.8487,0.9968,1.9959,0.5747,-0.77,0.4097,10.1,5.6,0.4
1.6269999999999998,2.088,11.100999999999999,0.8487,0.9968,1.9959,0.5747,-0.77,0.4097,10.1,5.6,0.4
1.6269999999999998,2.088,11.100999999999999,0.8487,0.9968,1.9959,0.5747,-0.77,0.4097,10.1,5.6,0.4
1.127,2.167,9.836,0.41700000000000004,1.0134,0.4921,0.6902,-0.5379,0.716,9.25,4.7,-1.16
1.127,2.167,9.836,0.41700000000000004,1.0134,0.4921,0.6902,-0.5379,0.716,9.25,4.7,-1.16
1.127,2.167,9.836,0.41700000000000004,1.0134,0.4921,0.6902,-0.5379,0.716,9.25,4.7,-1.16
0.17600000000000002,2.02,9.306000000000001,-0.5424,0.6871,-0.2103,0.7391,-0.1835,0.7193,7.91,3.23,-3.14
0.17600000000000002,2.02,9.306000000000001,-0.5424,0.6871,-0.2103,0.7391,-0.1835,0.7193,7.91,3.23,-3.14
0.17600000000000002,2.02,9.306000000000001,-0.5424,0.6871,-0.2103,0.7391,-0.1835,0.7193,7.91,3.23,-3.14
-0.147,1.8330000000000002,9.061,-0.996,0.3056,-0.529,0.6583,0.3217,0.7157,6.7,1.86,-4.71
-0.147,1.8330000000000002,9.061,-0.996,0.3056,-0.529,0.6583,0.3217,0.7157,6.7,1.86,-4.71
-0.147,1.8330000000000002,9.061,-0.996,0.3056,-0.529,0.6583,0.3217,0.7157,6.7,1.86,-4.71
-0.529,1.6269999999999998,8.061,-1.0725,0.0471,-1.0844,0.5422,0.7463,1.0456,5.61,0.69,-6.21
-0.529,1.6269999999999998,8.061,-1.0725,0.0471,-1.0844,0.5422,0.7463,1.0456,5.61,0.69,-6.21
-0.529,1.6269999999999998,8.061,-1.0725,0.0471,-1.0844,0.5422,0.7463,1.0456,5.61,0.69,-6.21
-0.529,1.6269999999999998,8.061,-1.0725,0.0471,-1.0844,0.5422,0.7463,1.0456,5.61,0.69,-6.21
-1.147,1.265,6.266,-1.4021,-0.4376,-2.8025,0.4302,1.1977,1.8002,4.4,-1.1,-7.53
-1.147,1.265,6.266,-1.4021,-0.4376,-2.8025,0.4302,1.1977,1.8002,4.4,-1.1,-7.53
-1.137,1.686,5.843999999999999,-1.2792,-0.392,-3.8283,0.4302,1.1977,1.8002,4.4,-1.1,-7.53
-1.137,1.686,5.843999999999999,-1.2792,-0.392,-3.8283,0.3689,1.9344,3.5603,3.27,-3.24,-8.77
-1.137,1.686,5.843999999999999,-1.2792,-0.392,-3.8283,0.3689,1.9344,3.5603,3.27,-3.24,-8.77
-1.127,2.147,5.727,-0.7797,0.0056,-3.7513,0.3689,1.9344,3.5603,3.27,-3.24,-8.77
-1.127,2.147,5.727,-0.7797,0.0056,-3.7513,0.3689,1.9344,3.5603,3.27,-3.24,-8.77
-1.127,2.147,5.727,-0.7797,0.0056,-3.7513,0.4309,2.7585,7.0636,2.35,-4.38,-9.11
-1.127,2.147,5.727,-0.7797,0.0056,-3.7513,0.4309,2.7585,7.0636,2.35,-4.38,-9.11
-0.902,2.667,5.129,-0.1925,0.2264,-4.3804,0.4309,2.7585,7.0636,2.35,-4.38,-9.11
-0.902,2.667,5.129,-0.1925,0.2264,-4.3804,0.3326,4.0267,12.2858,0.92,-5.65,-8.4
-1.0190000000000001,2.677,5.227,-0.021,-0.0512,-4.2211,0.3326,4.0267,12.2858,0.92,-5.65,-8.4
-1.0190000000000001,2.677,5.227,-0.021,-0.0512,-4.2211,0.3326,4.0267,12.2858,0.92,-5.65,-8.4
-1.0190000000000001,2.677,5.227,-0.021,-0.0512,-4.2211,0.3326,4.0267,12.2858,0.91,-6.18,-9.22
-1.0190000000000001,2.677,5.227,-0.021,-0.0512,-4.2211,-0.3084,6.0517,17.5516,0.91,-6.18,-9.22
-1.167,2.9219999999999997,5.609,0.0331,-0.3539,-3.7715,-0.3084,6.0517,17.5516,0.91,-6.18,-9.22
-1.167,2.9219999999999997,5.609,0.0331,-0.3539,-3.7715,-0.3084,6.0517,17.5516,1.03,-6.62,-8.96
-0.764,3.54,6.766,0.0331,-0.3539,-3.7715,-0.1152,4.7287,11.7599,1.03,-6.62,-8.96
-0.764,3.54,6.766,0.6261,-0.1243,-2.2236,-0.1152,4.7287,11.7599,1.03,-6.62,-8.96
-0.764,3.54,6.766,0.6261,-0.1243,-2.2236,-0.1152,4.7287,11.7599,1.03,-6.62,-8.96
-0.764,3.54,6.766,0.6261,-0.1243,-2.2236,-0.1152,4.7287,11.7599,0.59,-6.3,-9.31
-0.039,4.118,7.404,1.1856,0.1149,-1.4632,0.4269,2.3076,6.289,0.59,-6.3,-9.31
-0.039,4.118,7.404,1.1856,0.1149,-1.4632,0.4269,2.3076,6.289,0.59,-6.3,-9.31
-0.039,4.118,7.404,1.1856,0.1149,-1.4632,0.4269,2.3076,6.289,0.6,-6.2,-9.11
-0.127,4.285,8.061,0.8354,-0.0512,-0.9039,0.8886,-0.4953,1.1194,0.6,-6.2,-9.11
-0.127,4.285,8.061,0.8354,-0.0512,-0.9039,0.8886,-0.4953,1.1194,0.6,-6.2,-9.11
-0.127,4.285,8.061,0.8354,-0.0512,-0.9039,0.8886,-0.4953,1.1194,0.3,-6.8,-9.2
0.18600000000000003,4.648,8.796,0.6832,0.1076,-0.2036,0.6852,-1.0202,-0.0941,0.3,-6.8,-9.2
0.18600000000000003,4.648,8.796,0.6832,0.1076,-0.2036,0.6852,-1.0202,-0.0941,0.3,-6.8,-9.2
0.18600000000000003,4.648,8.796,0.6832,0.1076,-0.2036,0.6852,-1.0202,-0.0941,0.3,-6.8,-9.2
0.715,5.021,5.148,0.8991,0.2604,0.2831,0.5142,-2.0089,-1.8865,0.0,-7.3,-9.3
0.715,5.021,5.148,0.8991,0.2604,0.2831,0.5142,-2.0089,-1.8865,0.0,-7.3,-9.3
0.715,5.021,5.148,0.8991,0.2604,0.2831,0.5142,-2.0089,-1.8865,0.0,-7.3,-9.3
-0.254,4.521,9.12,0.2507,-0.2124,0.0268,0.6677,-1.7398,-1.411,-0.2,-7.6,-9.2
-0.254,4.521,9.12,0.2507,-0.2124,0.0268,0.6677,-1.7398,-1.411,-0.2,-7.6,-9.2
-0.254,4.521,9.12,0.2507,-0.2124,0.0268,0.6677,-1.7398,-1.411,-0.2,-7.6,-9.2
0.078,4.4319999999999995,10.14,-0.0174,-0.3201,1.2879,-0.0356,-0.6307,-0.349,-0.4,-7.7,-9.1
0.078,4.4319999999999995,10.14,-0.0174,-0.3201,1.2879,-0.0356,-0.6307,-0.349,-0.4,-7.7,-9.1
0.078,4.4319999999999995,10.14,-0.0174,-0.3201,1.2879,-0.0356,-0.6307,-0.349,-0.4,-7.7,-9.1
0.42100000000000004,4.442,8.787,0.4753,-0.0457,0.5781,-0.3827,-0.8243,-0.8542,-0.4,-7.7,-9.1
0.42100000000000004,4.442,8.787,0.4753,-0.0457,0.5781,-0.3827,-0.8243,-0.8542,-0.4,-7.7,-9.1
0.42100000000000004,4.442,8.787,0.4753,-0.0457,0.5781,-0.3827,-0.8243,-0.8542,-0.4,-7.7,-9.1
0.42100000000000004,4.442,8.787,0.4753,-0.0457,0.5781,-0.3827,-0.8243,-0.8542,-0.4,-7.7,-9.1
