ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-1.971272,-2.393254,10.374148,-0.963105,-0.7662909999999999,0.634047,-0.466776,-0.614618,-0.677619,-28.6492,11.5596,-29.5742
-1.971272,-2.393254,10.374148,-0.963105,-0.7662909999999999,0.634047,-0.466776,-0.614618,-0.677619,-30.0115,11.1456,-29.3069
-1.4969629999999998,-2.268688,10.340611,-0.963105,-0.7662909999999999,0.634047,-0.466776,-0.614618,-0.677619,-30.0115,11.1456,-29.3069
-1.4969629999999998,-2.268688,10.340611,-0.85665,-0.5684939999999999,0.989464,-0.633981,-0.317483,-0.625434,-30.0115,11.1456,-29.3069
-1.4969629999999998,-2.268688,10.340611,-0.85665,-0.5684939999999999,0.989464,-0.633981,-0.317483,-0.625434,-30.0115,11.1456,-29.3069
-1.7508860000000002,-2.436373,11.540757,-0.85665,-0.5684939999999999,0.989464,-0.633981,-0.317483,-0.625434,-30.3085,10.8108,-28.955
-1.7508860000000002,-2.436373,11.540757,-1.29885,-0.551025,2.578925,-1.025901,-0.116198,-0.71596,-30.3085,10.8108,-28.955
-1.7508860000000002,-2.436373,11.540757,-1.29885,-0.551025,2.578925,-1.025901,-0.116198,-0.71596,-30.3085,10.8108,-28.955
-2.46235,-3.054412,13.332591,-1.29885,-0.551025,2.578925,-1.025901,-0.116198,-0.71596,-30.7787,11.4257,-27.865
-2.46235,-3.054412,13.332591,-1.998447,-0.86972,4.011247,-0.788406,-0.273818,-0.740455,-30.7787,11.4257,-27.865
-2.46235,-3.054412,13.332591,-1.998447,-0.86972,4.011247,-0.788406,-0.273818,-0.740455,-30.7787,11.4257,-27.865
-2.428813,-3.408946,13.912302,-1.998447,-0.86972,4.011247,-0.788406,-0.273818,-0.740455,-31.4446,11.5859,-27.6212
-2.428813,-3.408946,13.912302,-2.089747,-1.15796,4.6624360000000005,-0.618006,-0.072533,-0.7351300000000001,-31.4446,11.5859,-27.6212
-2.428813,-3.408946,13.912302,-2.089747,-1.15796,4.6624360000000005,-0.618006,-0.072533,-0.7351300000000001,-31.4446,11.5859,-27.6212
-2.783347,-4.137178,14.063218,-2.089747,-1.15796,4.6624360000000005,-0.618006,-0.072533,-0.7351300000000001,-31.4446,11.5859,-27.6212
-2.783347,-4.137178,14.063218,-2.498302,-1.561041,4.61591,-0.507246,0.373702,-0.633954,-31.4446,11.5859,-27.6212
-2.974987,-4.613883,12.968475,-2.498302,-1.561041,4.61591,-0.507246,0.373702,-0.633954,-31.8809,11.1719,-26.8236
-2.974987,-4.613883,12.968475,-2.498302,-1.561041,4.61591,-0.507246,0.373702,-0.633954,-31.8809,11.1719,-26.8236
-2.974987,-4.613883,12.968475,-2.541971,-1.889535,3.587915,-0.311286,0.560077,-0.4348,-31.8809,11.1719,-26.8236
-2.400067,-4.357564,11.258088,-2.541971,-1.889535,3.587915,-0.311286,0.560077,-0.4348,-31.8809,11.1719,-26.8236
-2.400067,-4.357564,11.258088,-2.541971,-1.889535,3.587915,-0.311286,0.560077,-0.4348,-32.0128,10.4899,-27.2006
-2.400067,-4.357564,11.258088,-1.642668,-0.7198289999999999,1.764952,-0.311286,0.560077,-0.4348,-32.0128,10.4899,-27.2006
-2.567752,-3.389782,11.02812,-1.642668,-0.7198289999999999,1.764952,-0.7000109999999999,0.950932,-0.440125,-32.0128,10.4899,-27.2006
-2.567752,-3.389782,11.02812,-1.642668,-0.7198289999999999,1.764952,-0.7000109999999999,0.950932,-0.440125,-32.039,10.9214,-27.4985
-2.567752,-3.389782,11.02812,-2.55574,-0.535987,1.212727,-0.7000109999999999,0.950932,-0.440125,-32.039,10.9214,-27.4985
-3.576257,-3.751503,10.85804,-2.55574,-0.535987,1.212727,-0.804381,0.680422,-0.20902,-32.039,10.9214,-27.4985
