ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.452974,-1.236228,10.462782,0.457349,-0.434015,0.153229,-0.164706,-0.183756,-0.6864899999999999,-33.978,8.6816,-25.2104
0.452974,-1.236228,10.462782,-0.341692,-0.586689,0.684318,-0.164706,-0.183756,-0.6864899999999999,-33.978,8.6816,-25.2104
-0.723217,-1.70335,11.025724,-0.341692,-0.586689,0.684318,-0.164706,-0.183756,-0.6864899999999999,-33.978,8.6816,-25.2104
-0.723217,-1.70335,11.025724,-0.341692,-0.586689,0.684318,-0.164706,-0.183756,-0.6864899999999999,-33.8963,8.6156,-24.86
-0.723217,-1.70335,11.025724,-0.677041,-0.448618,0.577308,0.071724,-0.235941,-0.4447350000000001,-33.8963,8.6156,-24.86
0.757202,-1.00626,9.835161,-0.677041,-0.448618,0.577308,0.071724,-0.235941,-0.4447350000000001,-33.8963,8.6156,-24.86
0.757202,-1.00626,9.835161,-0.677041,-0.448618,0.577308,0.071724,-0.235941,-0.4447350000000001,-34.5327,8.0841,-24.5268
0.757202,-1.00626,9.835161,1.343865,0.488813,-0.8732530000000001,-0.211566,-0.008031,-0.613005,-34.5327,8.0841,-24.5268
1.614791,-0.567883,9.825579,1.343865,0.488813,-0.8732530000000001,-0.211566,-0.008031,-0.613005,-34.5327,8.0841,-24.5268
1.614791,-0.567883,9.825579,1.343865,0.488813,-0.8732530000000001,-0.211566,-0.008031,-0.613005,-34.8896,7.7101,-24.3297
1.614791,-0.567883,9.825579,0.852203,0.270448,0.621997,-0.355341,-0.114531,-1.05285,-34.8896,7.7101,-24.3297
0.515257,-1.152385,12.079744,0.852203,0.270448,0.621997,-0.355341,-0.114531,-1.05285,-34.8896,7.7101,-24.3297
0.515257,-1.152385,12.079744,0.852203,0.270448,0.621997,-0.355341,-0.114531,-1.05285,-34.8896,7.7101,-24.3297
0.515257,-1.152385,12.079744,-0.358087,-0.29290900000000003,2.278259,0.083439,-0.243396,-1.18704,-35.0231,7.1851,-24.2251
-0.7088439999999999,-1.593157,12.000693,-0.358087,-0.29290900000000003,2.278259,0.083439,-0.243396,-1.18704,-35.0231,7.1851,-24.2251
-0.7088439999999999,-1.593157,12.000693,-1.7662669999999998,-0.8623850000000001,1.219747,0.083439,-0.243396,-1.18704,-34.8794,5.5053,-24.1958
-0.7088439999999999,-1.593157,12.000693,-1.7662669999999998,-0.8623850000000001,1.219747,0.083439,-0.243396,-1.18704,-34.8794,5.5053,-24.1958
-1.33886,-1.873431,10.659213,-1.7662669999999998,-0.8623850000000001,1.219747,0.405069,-0.000576,-0.94209,-34.8794,5.5053,-24.1958
-1.33886,-1.873431,10.659213,-1.7662669999999998,-0.8623850000000001,1.219747,0.405069,-0.000576,-0.94209,-34.8794,5.5053,-24.1958
-1.33886,-1.873431,10.659213,-1.895777,-1.0563129999999998,-0.25319400000000003,0.405069,-0.000576,-0.94209,-34.8794,5.5053,-24.1958
-1.331674,-1.7800060000000002,9.736945,-1.895777,-1.0563129999999998,-0.25319400000000003,0.405069,-0.000576,-0.94209,-34.8794,5.5053,-24.1958
-1.331674,-1.7800060000000002,9.736945,-1.895777,-1.0563129999999998,-0.25319400000000003,0.154794,0.247569,-0.604485,-35.1968,3.7042,-24.1487
-1.231063,-1.121244,9.986077,-1.935196,-0.676507,0.0032450000000000005,0.154794,0.247569,-0.604485,-35.1968,3.7042,-24.1487
-1.231063,-1.121244,9.986077,-1.935196,-0.676507,0.0032450000000000005,0.170769,0.179409,-0.397875,-35.1968,3.7042,-24.1487
-1.231063,-1.121244,9.986077,-1.935196,-0.676507,0.0032450000000000005,0.170769,0.179409,-0.397875,-34.8938,2.1274,-24.3136
-1.271786,-0.8529479999999999,9.751319,-1.652932,-0.080965,-0.070115,0.170769,0.179409,-0.397875,-34.8938,2.1274,-24.3136
-1.271786,-0.8529479999999999,9.751319,-1.652932,-0.080965,-0.070115,0.170769,0.179409,-0.397875,-34.8938,2.1274,-24.3136
-1.271786,-0.8529479999999999,9.751319,-1.652932,-0.080965,-0.070115,0.327324,-0.12198599999999997,-0.43515,-34.5852,1.6301,-24.3416
-1.856288,-1.018237,9.849534,-2.202249,-0.308208,-0.331225,0.327324,-0.12198599999999997,-0.43515,-34.5852,1.6301,-24.3416
-1.856288,-1.018237,9.849534,-2.202249,-0.308208,-0.331225,0.327324,-0.12198599999999997,-0.43515,-34.5852,1.6301,-24.3416
-1.856288,-1.018237,9.849534,-2.202249,-0.308208,-0.331225,0.541389,-0.565026,-0.38616,-34.3401,1.3467,-24.6254
-2.023973,-1.10208,10.033987,-2.202249,-0.308208,-0.331225,0.541389,-0.565026,-0.38616,-34.3401,1.3467,-24.6254
-2.023973,-1.10208,10.033987,-2.811553,-0.733682,0.103025,0.541389,-0.565026,-0.38616,-34.3401,1.3467,-24.6254
-2.023973,-1.10208,10.033987,-2.811553,-0.733682,0.103025,0.324129,-0.165651,-0.325455,-34.3401,1.3467,-24.6254
-1.520918,-0.8721120000000001,9.593216,-2.811553,-0.733682,0.103025,0.324129,-0.165651,-0.325455,-34.3477,0.4384,-24.4553
-1.520918,-0.8721120000000001,9.593216,-2.141868,-0.6030979999999999,-0.52059,0.324129,-0.165651,-0.325455,-34.3477,0.4384,-24.4553
-1.520918,-0.8721120000000001,9.593216,-2.141868,-0.6030979999999999,-0.52059,0.020604,0.137874,-0.4458,-34.3477,0.4384,-24.4553
-1.774841,-1.202691,10.486737,-2.141868,-0.6030979999999999,-0.52059,0.020604,0.137874,-0.4458,-34.3477,0.4384,-24.4553
-1.774841,-1.202691,10.486737,-2.546363,-1.0393290000000002,0.59041,0.020604,0.137874,-0.4458,-35.3198,-0.4879,-23.2272
-1.774841,-1.202691,10.486737,-2.546363,-1.0393290000000002,0.59041,0.233604,0.120834,-0.45432,-35.3198,-0.4879,-23.2272
-2.282687,-1.806357,10.448409,-2.546363,-1.0393290000000002,0.59041,0.233604,0.120834,-0.45432,-35.3198,-0.4879,-23.2272
-2.282687,-1.806357,10.448409,-2.883306,-1.553531,0.4506520000000001,0.233604,0.120834,-0.45432,-35.3198,-0.4879,-23.2272
-2.282687,-1.806357,10.448409,-2.883306,-1.553531,0.4506520000000001,0.233604,0.120834,-0.45432,-35.2763,-0.6701,-22.3911
-2.115002,-1.813543,10.077106,-2.883306,-1.553531,0.4506520000000001,0.35288400000000003,0.181539,-0.338235,-35.2763,-0.6701,-22.3911
-2.115002,-1.813543,10.077106,-2.585279,-1.673806,-0.141153,0.35288400000000003,0.181539,-0.338235,-35.2763,-0.6701,-22.3911
-2.2204040000000003,-1.681791,9.226704,-2.585279,-1.673806,-0.141153,0.35288400000000003,0.181539,-0.338235,-34.6252,-1.2384,-22.9381
-2.2204040000000003,-1.681791,9.226704,-2.585279,-1.673806,-0.141153,0.252774,0.571329,-0.165705,-34.6252,-1.2384,-22.9381
-2.2204040000000003,-1.681791,9.226704,-2.536069,-1.612585,-1.132779,0.252774,0.571329,-0.165705,-34.6252,-1.2384,-22.9381
-2.038346,-1.372771,8.476911999999999,-2.536069,-1.612585,-1.132779,0.261294,0.436074,-0.034710000000000005,-34.6252,-1.2384,-22.9381
-2.038346,-1.372771,8.476911999999999,-2.536069,-1.612585,-1.132779,0.261294,0.436074,-0.034710000000000005,-33.9774,-1.5732,-23.644
-2.038346,-1.372771,8.476911999999999,-2.536069,-1.612585,-1.132779,0.261294,0.436074,-0.034710000000000005,-33.9774,-1.5732,-23.644
-1.556851,-0.8481569999999999,8.064886,-1.899014,-1.025233,-1.930579,0.261294,0.436074,-0.034710000000000005,-33.9774,-1.5732,-23.644
-1.556851,-0.8481569999999999,8.064886,-1.899014,-1.025233,-1.930579,0.248514,0.105924,-0.074115,-33.9774,-1.5732,-23.644
-1.556851,-0.8481569999999999,8.064886,-1.899014,-1.025233,-1.930579,0.248514,0.105924,-0.074115,-34.0524,-2.0005,-24.0247
-1.592783,-0.67089,8.438584,-1.681145,-0.788058,-1.627209,0.248514,0.105924,-0.074115,-34.0524,-2.0005,-24.0247
-1.592783,-0.67089,8.438584,-1.681145,-0.788058,-1.627209,0.248514,0.105924,-0.074115,-34.0524,-2.0005,-24.0247
-2.146144,-1.035006,7.961880000000002,-1.681145,-0.788058,-1.627209,0.099414,0.293364,-0.133755,-34.0445,-2.6144,-24.5373
-2.146144,-1.035006,7.961880000000002,-2.170804,-1.1777030000000002,-2.052231,0.099414,0.293364,-0.133755,-34.0445,-2.6144,-24.5373
-2.146144,-1.035006,7.961880000000002,-2.170804,-1.1777030000000002,-2.052231,0.099414,0.293364,-0.133755,-34.0445,-2.6144,-24.5373
-2.074279,-1.166758,8.400256,-2.170804,-1.1777030000000002,-2.052231,0.113259,0.007944,-0.05814,-34.0445,-2.6144,-24.5373
-2.074279,-1.166758,8.400256,-2.045738,-1.346977,-1.691071,0.113259,0.007944,-0.05814,-34.0445,-2.6144,-24.5373
