ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.5739,2.4076,8.2305,0.6319,-0.7203,-0.8892,0.4619,0.2151,-2.3116,19.1,26.56,-28.41
-3.3203,1.3840000000000001,10.3445,-2.4479,-1.7147,0.9373,0.4619,0.2151,-2.3116,19.1,26.56,-28.41
-3.3203,1.3840000000000001,10.3445,-2.4479,-1.7147,0.9373,0.4619,0.2151,-2.3116,19.1,26.56,-28.41
-5.511,1.5026,8.829,-2.4479,-1.7147,0.9373,1.2139,-0.5391,-2.0059,15.96,25.24,-31.4
-5.511,1.5026,8.829,-2.4479,-1.7147,0.9373,1.2139,-0.5391,-2.0059,15.96,25.24,-31.4
-5.511,1.5026,8.829,-5.5124,-2.0269999999999997,-2.0887,1.2139,-0.5391,-2.0059,15.96,25.24,-31.4
-6.3107,0.4838,5.0294,-5.5124,-2.0269999999999997,-2.0887,1.2139,-0.5391,-2.0059,15.96,25.24,-31.4
-6.3107,0.4838,5.0294,-5.5124,-2.0269999999999997,-2.0887,0.8283,-0.3687,-1.2719,13.49,25.25,-32.09
-6.3107,0.4838,5.0294,-5.111000000000001,-3.4210000000000003,-4.9331,0.8283,-0.3687,-1.2719,13.49,25.25,-32.09
-5.8977,0.0349,4.6308,-5.111000000000001,-3.4210000000000003,-4.9331,0.8283,-0.3687,-1.2719,13.49,25.25,-32.09
-5.8977,0.0349,4.6308,-5.111000000000001,-3.4210000000000003,-4.9331,-0.1944,0.2108,-0.9289,13.49,25.25,-32.09
-6.7332,0.1546,6.6862,-5.436,-3.4265,-2.8231,-0.1944,0.2108,-0.9289,11.84,25.26,-32.79
-6.7332,0.1546,6.6862,-5.436,-3.4265,-2.8231,-0.1944,0.2108,-0.9289,11.84,25.26,-32.79
-6.7332,0.1546,6.6862,-5.436,-3.4265,-2.8231,-0.1805,-0.0555,-0.5028,11.84,25.26,-32.79
