ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
1.0874,2.6289999999999996,8.488999999999999,0.7505,-1.5825,-0.4596,1.672,-0.2355,-0.0234,20.72,16.05,-31.49
1.0874,2.6289999999999996,8.488999999999999,0.7505,-1.5825,-0.4596,1.672,-0.2355,-0.0234,20.72,16.05,-31.49
1.0874,2.6289999999999996,8.488999999999999,-0.265,-2.0753,-1.6461,1.672,-0.2355,-0.0234,20.72,16.05,-31.49
-0.1025,2.4794,7.335,-0.265,-2.0753,-1.6461,1.6337,-0.5636,-0.001,21.64,13.44,-33.72
-0.1025,2.4794,7.335,-0.265,-2.0753,-1.6461,1.6337,-0.5636,-0.001,21.64,13.44,-33.72
0.1501,1.5804,5.9991,-0.5908,-3.4159,-2.6049,1.6337,-0.5636,-0.001,21.64,13.44,-33.72
0.1501,1.5804,5.9991,-0.5908,-3.4159,-2.6049,1.7072,-0.5327,0.2685,21.64,13.44,-33.72
0.1501,1.5804,5.9991,-0.5908,-3.4159,-2.6049,1.7072,-0.5327,0.2685,20.16,8.93,-33.85
0.4877,1.1147,5.0677,-0.4287,-4.2951,-3.3962,1.7072,-0.5327,0.2685,20.16,8.93,-33.85
0.4877,1.1147,5.0677,-0.4287,-4.2951,-3.3962,1.9926,-0.1364,0.3526,20.16,8.93,-33.85
0.4877,1.1147,5.0677,-0.4287,-4.2951,-3.3962,1.9926,-0.1364,0.3526,20.16,8.93,-33.85
2.6556,0.4754,1.9684,1.4958,-5.4691,-5.7871,1.9926,-0.1364,0.3526,18.55,7.63,-36.73
2.6556,0.4754,1.9684,1.4958,-5.4691,-5.7871,1.9926,-0.1364,0.3526,18.55,7.63,-36.73
3.0902,0.0409,-1.3332,2.266,-6.2171,-8.7623,1.9831,-0.3474,-0.4048,18.55,7.63,-36.73
3.0902,0.0409,-1.3332,2.266,-6.2171,-8.7623,1.9831,-0.3474,-0.4048,18.55,7.63,-36.73
3.0902,0.0409,-1.3332,2.266,-6.2171,-8.7623,1.9831,-0.3474,-0.4048,18.55,7.63,-36.73
0.9055,0.2743,-2.8595,2.266,-6.2171,-8.7623,1.0126,-0.7777,-1.1345,18.55,7.63,-36.73
0.9055,0.2743,-2.8595,-0.3409,-6.3403,-10.2391,1.0126,-0.7777,-1.1345,18.55,7.63,-36.73
0.9055,0.2743,-2.8595,-0.3409,-6.3403,-10.2391,1.0126,-0.7777,-1.1345,18.55,7.63,-36.73
-1.7162,0.8549,-2.2669,-0.3409,-6.3403,-10.2391,1.0126,-0.7777,-1.1345,17.05,3.75,-38.27
-1.7162,0.8549,-2.2669,-2.3937,-5.9277,-9.6126,0.1167,-0.0512,-0.9843,17.05,3.75,-38.27
-2.3183,1.3266,-1.9581,-2.3937,-5.9277,-9.6126,0.1167,-0.0512,-0.9843,17.05,3.75,-38.27
-2.3183,1.3266,-1.9581,-2.3937,-5.9277,-9.6126,0.1167,-0.0512,-0.9843,17.05,3.75,-38.27
-2.3183,1.3266,-1.9581,-2.4817,-5.292000000000001,-9.3871,-0.3765,0.4718,-0.4101,19.63,8.51,-32.91
-0.816,1.7192,-2.6069,-2.4817,-5.292000000000001,-9.3871,-0.3765,0.4718,-0.4101,19.63,8.51,-32.91
-0.816,1.7192,-2.6069,-2.4817,-5.292000000000001,-9.3871,-0.3765,0.4718,-0.4101,19.63,8.51,-32.91
-0.816,1.7192,-2.6069,-0.7168,-4.5045,-10.2945,-0.8708,-0.0288,-0.3142,19.63,8.51,-32.91
0.0663,2.1298,-2.7625,-0.7168,-4.5045,-10.2945,-0.8708,-0.0288,-0.3142,21.26,9.15,-33.61
0.0663,2.1298,-2.7625,-0.7168,-4.5045,-10.2945,-0.8708,-0.0288,-0.3142,21.26,9.15,-33.61
-0.6807,1.7707,-1.2889,-0.4086,-4.3805,-9.3726,-1.5153,-0.0704,-0.5358,21.26,9.15,-33.61
-0.6807,1.7707,-1.2889,-0.4086,-4.3805,-9.3726,-1.5153,-0.0704,-0.5358,21.26,9.15,-33.61
-0.6807,1.7707,-1.2889,-0.4086,-4.3805,-9.3726,-1.5153,-0.0704,-0.5358,21.14,12.38,-32.79
-1.8826,1.639,0.6612,-1.7641,-4.1791,-7.5788,-1.8466,-0.0714,-0.4176,21.14,12.38,-32.79
-1.8826,1.639,0.6612,-1.7641,-4.1791,-7.5788,-1.8466,-0.0714,-0.4176,21.14,12.38,-32.79
-1.8826,1.639,0.6612,-1.7641,-4.1791,-7.5788,-1.8466,-0.0714,-0.4176,21.14,12.38,-32.79
-2.0358,1.8797,1.9457,-2.36,-3.5341,-6.1945,-1.8466,-0.0714,-0.4176,21.02,15.62,-31.26
-2.0358,1.8797,1.9457,-2.36,-3.5341,-6.1945,-1.8764,-0.2973,-0.0117,21.02,15.62,-31.26
