ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-4.8634,-0.4954,0.8802,-4.7126,-5.3685,-7.6823,0.2456,0.4836,2.6429,14.92,20.9,-35.4
-1.5187,-1.1143,0.5367,-1.5342,-6.1056,-7.7499,0.2456,0.4836,2.6429,15.28,18.34,-34.02
-1.5187,-1.1143,0.5367,-1.5342,-6.1056,-7.7499,0.0443,0.3461,2.9284,15.28,18.34,-34.02
-1.5187,-1.1143,0.5367,-1.5342,-6.1056,-7.7499,0.0443,0.3461,2.9284,15.28,18.34,-34.02
0.9665,-1.9152,0.1859,-1.5342,-6.1056,-7.7499,0.0443,0.3461,2.9284,15.28,18.34,-34.02
0.9665,-1.9152,0.1859,1.1871,-6.9028,-8.1972,-0.4212,0.263,3.0605,18.58,18.32,-33.34
2.2797,-1.5836,0.4637,1.1871,-6.9028,-8.1972,-0.4212,0.263,3.0605,18.58,18.32,-33.34
2.2797,-1.5836,0.4637,1.1871,-6.9028,-8.1972,-0.4212,0.263,3.0605,18.58,18.32,-33.34
2.2797,-1.5836,0.4637,2.5359,-6.4634,-7.3353,-0.9209,0.2077,2.9849,18.58,18.32,-33.34
3.5714,-1.9080000000000001,1.8846,2.5359,-6.4634,-7.3353,-0.9209,0.2077,2.9849,21.12,16.37,-33.42
3.5714,-1.9080000000000001,1.8846,2.5359,-6.4634,-7.3353,-0.9209,0.2077,2.9849,21.12,16.37,-33.42
3.5714,-1.9080000000000001,1.8846,3.6083,-6.0944,-6.0844,-0.9209,0.2077,2.9849,21.12,16.37,-33.42
5.6065,-1.574,3.4253,3.6083,-6.0944,-6.0844,-1.5004,-0.08,3.0115,21.12,16.37,-33.42
5.6065,-1.574,3.4253,3.6083,-6.0944,-6.0844,-1.5004,-0.08,3.0115,23.66,14.42,-32.08
5.6065,-1.574,3.4253,6.0346,-5.1598,-3.6984,-1.5004,-0.08,3.0115,23.66,14.42,-32.08
9.0912,-1.4303,5.6926,6.0346,-5.1598,-3.6984,-1.9467,0.3174,2.5481,23.66,14.42,-32.08
9.0912,-1.4303,5.6926,8.8861,-4.4587,-2.1748,-1.9467,0.3174,2.5481,23.66,14.42,-32.08
11.2388,-1.2029,8.0688,8.8861,-4.4587,-2.1748,-1.9467,0.3174,2.5481,23.28,15.52,-31.65
11.2388,-1.2029,8.0688,8.8861,-4.4587,-2.1748,-2.1885,0.2162,1.7534,23.28,15.52,-31.65
11.2388,-1.2029,8.0688,8.8861,-4.4587,-2.1748,-2.1885,0.2162,1.7534,23.28,15.52,-31.65
11.9176,-1.4196,9.3677,10.0412,-3.7607,0.4026,-2.1885,0.2162,1.7534,23.28,15.52,-31.65
11.9176,-1.4196,9.3677,10.0412,-3.7607,0.4026,-2.1374,0.1437,1.0621,24.04,17.47,-29.46
11.9176,-1.4196,9.3677,10.0412,-3.7607,0.4026,-2.1374,0.1437,1.0621,24.04,17.47,-29.46
12.982999999999999,-1.7751,9.0481,11.129000000000001,-3.5233,-0.1483,-2.1374,0.1437,1.0621,24.04,17.47,-29.46
12.982999999999999,-1.7751,9.0481,11.129000000000001,-3.5233,-0.1483,-2.1374,0.1437,1.0621,24.04,17.47,-29.46
12.982999999999999,-1.7751,9.0481,11.129000000000001,-3.5233,-0.1483,-2.7712,0.5219,-0.1662,26.46,18.76,-28.01
12.078,-2.5999,10.7144,10.6072,-3.5161,1.0987,-2.7712,0.5219,-0.1662,26.46,18.76,-28.01
12.078,-2.5999,10.7144,10.6072,-3.5161,1.0987,-2.7712,0.5219,-0.1662,26.46,18.76,-28.01
12.078,-2.5999,10.7144,10.6072,-3.5161,1.0987,-3.5244,0.3728,-0.8351,26.46,18.76,-28.01
11.58,-3.4534,15.2,9.7474,-3.4263,4.997,-3.5244,0.3728,-0.8351,26.39,20.71,-25.81
11.58,-3.4534,15.2,9.7474,-3.4263,4.997,-3.5244,0.3728,-0.8351,26.39,20.71,-25.81
12.0062,-3.1949,18.8416,10.4901,-2.4818,8.9585,-3.4274,0.8713,-1.4051,26.39,20.71,-25.81
12.0062,-3.1949,18.8416,10.4901,-2.4818,8.9585,-3.4274,0.8713,-1.4051,26.39,20.71,-25.81
12.0062,-3.1949,18.8416,10.4901,-2.4818,8.9585,-3.4274,0.8713,-1.4051,26.2,25.91,-21.38
9.7784,-3.1745,21.5566,10.4901,-2.4818,8.9585,-3.4274,0.8713,-1.4051,26.2,25.91,-21.38
9.7784,-3.1745,21.5566,8.2428,-1.5686,12.1613,-2.4921,0.9309999999999999,-2.2818,26.2,25.91,-21.38
9.7784,-3.1745,21.5566,8.2428,-1.5686,12.1613,-2.4921,0.9309999999999999,-2.2818,26.2,25.91,-21.38
7.7924,-3.7288,21.5374,8.2428,-1.5686,12.1613,-2.4921,0.9309999999999999,-2.2818,26.67,33.57,-17.03
7.7924,-3.7288,21.5374,5.5846,-1.8806,11.7516,-1.1595,0.5272,-2.9689,26.67,33.57,-17.03
3.9162,-4.3596,19.7142,5.5846,-1.8806,11.7516,-1.1595,0.5272,-2.9689,26.67,33.57,-17.03
3.9162,-4.3596,19.7142,5.5846,-1.8806,11.7516,-1.1595,0.5272,-2.9689,26.67,33.57,-17.03
3.9162,-4.3596,19.7142,-0.1061,-1.9274,8.8802,-0.3541,0.3621,-3.2319999999999998,21.58,37.49,-14.74
-0.3886,-4.5272,17.5642,-0.1061,-1.9274,8.8802,-0.3541,0.3621,-3.2319999999999998,21.58,37.49,-14.74
-0.3886,-4.5272,17.5642,-0.1061,-1.9274,8.8802,-0.3541,0.3621,-3.2319999999999998,21.58,37.49,-14.74
-0.3886,-4.5272,17.5642,-3.7001,-3.4452,7.2844,-0.0953,0.3057,-3.1095,21.58,37.49,-14.74
-2.7732,-5.607,16.6054,-3.7001,-3.4452,7.2844,-0.0953,0.3057,-3.1095,18.99,40.75,-12.48
-2.7732,-5.607,16.6054,-3.7001,-3.4452,7.2844,0.0358,0.5773,-2.5289,18.99,40.75,-12.48
-5.3482,-4.623,15.7351,-6.5254,-2.9907,6.1004,0.0358,0.5773,-2.5289,18.99,40.75,-12.48
-5.3482,-4.623,15.7351,-6.5254,-2.9907,6.1004,0.0358,0.5773,-2.5289,18.99,40.75,-12.48
-5.3482,-4.623,15.7351,-6.5254,-2.9907,6.1004,0.0358,0.5773,-2.5289,12.15,41.04,-17.81
-5.7827,-4.1406,14.7977,-7.3399,-2.4454,5.1645,0.4459,0.3856,-1.9569,12.15,41.04,-17.81
-5.7827,-4.1406,14.7977,-7.3399,-2.4454,5.1645,0.4459,0.3856,-1.9569,12.15,41.04,-17.81
-5.7827,-4.1406,14.7977,-7.3399,-2.4454,5.1645,0.4459,0.3856,-1.9569,12.15,41.04,-17.81
-5.2261,-3.8473,12.2503,-6.6054,-2.3514,2.3338,0.6152,0.5411,-1.3209,7.14,43.03,-15.57
-5.2261,-3.8473,12.2503,-6.6054,-2.3514,2.3338,0.6152,0.5411,-1.3209,7.14,43.03,-15.57
