ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
1.368055,-1.195504,9.751319,2.571718,-1.082532,-0.035398,0.721353,0.257011,0.6618350000000001,-33.6701,12.2088,-27.4835
1.6579099999999998,-0.151066,8.282877000000001,2.9804150000000003,-0.335433,-1.281992,0.721353,0.257011,0.6618350000000001,-33.649,12.109000000000002,-27.8496
1.6579099999999998,-0.151066,8.282877000000001,2.9804150000000003,-0.335433,-1.281992,0.721353,0.257011,0.6618350000000001,-33.649,12.109000000000002,-27.8496
1.6579099999999998,-0.151066,8.282877000000001,2.9804150000000003,-0.335433,-1.281992,0.634023,0.08661100000000001,0.602194,-33.649,12.109000000000002,-27.8496
1.744148,0.380735,7.348632,3.078786,0.010915,-2.411742,0.634023,0.08661100000000001,0.602194,-33.649,12.109000000000002,-27.8496
1.744148,0.380735,7.348632,3.078786,0.010915,-2.411742,0.634023,0.08661100000000001,0.602194,-33.3821,11.6959,-28.2086
1.744148,0.380735,7.348632,3.078786,0.010915,-2.411742,0.203763,-0.10508900000000003,0.347659,-33.3821,11.6959,-28.2086
1.2530709999999998,0.519674,7.83971,2.505426,0.083843,-2.050756,0.203763,-0.10508900000000003,0.347659,-33.3821,11.6959,-28.2086
1.2530709999999998,0.519674,7.83971,2.505426,0.083843,-2.050756,0.203763,-0.10508900000000003,0.347659,-33.3212,11.6307,-28.6331
1.5189709999999998,0.481346,8.213408,2.505426,0.083843,-2.050756,0.107913,-0.022019,0.212404,-33.3212,11.6307,-28.6331
1.5189709999999998,0.481346,8.213408,2.730181,0.069772,-1.594665,0.107913,-0.022019,0.212404,-33.3212,11.6307,-28.6331
1.5189709999999998,0.481346,8.213408,2.730181,0.069772,-1.594665,0.107913,-0.022019,0.212404,-33.3212,11.6307,-28.6331
1.6387459999999998,0.522069,8.014581,2.730181,0.069772,-1.594665,0.107913,-0.022019,0.212404,-32.7452,12.1682,-28.7344
1.6387459999999998,0.522069,8.014581,2.833453,0.099558,-1.818018,0.192048,0.036556,0.096319,-32.7452,12.1682,-28.7344
1.6387459999999998,0.522069,8.014581,2.833453,0.099558,-1.818018,0.192048,0.036556,0.096319,-32.7452,12.1682,-28.7344
0.96082,-0.119925,6.776108,2.833453,0.099558,-1.818018,0.192048,0.036556,0.096319,-32.7452,12.1682,-28.7344
0.96082,-0.119925,6.776108,2.833453,0.099558,-1.818018,0.192048,0.036556,0.096319,-32.7452,12.1682,-28.7344
0.81709,-0.213349,6.668310000000001,2.071185,-0.650181,-3.029612,0.156903,-0.042254,0.079279,-32.7452,12.1682,-28.7344
0.81709,-0.213349,6.668310000000001,2.071185,-0.650181,-3.029612,0.156903,-0.042254,0.079279,-32.6076,12.4005,-28.8728
0.81709,-0.213349,6.668310000000001,2.071185,-0.650181,-3.029612,0.156903,-0.042254,0.079279,-32.6076,12.4005,-28.8728
0.503279,-0.060037,6.368873000000002,1.647674,-0.689759,-3.393927,0.021648,-0.050774,0.090994,-32.6076,12.4005,-28.8728
0.503279,-0.060037,6.368873000000002,1.647674,-0.689759,-3.393927,0.021648,-0.050774,0.090994,-32.8698,12.4359,-29.0691
0.503279,-0.060037,6.368873000000002,1.647674,-0.689759,-3.393927,0.021648,-0.050774,0.090994,-32.8698,12.4359,-29.0691
0.30445300000000003,-0.014523,6.481461,1.647674,-0.689759,-3.393927,0.021648,-0.050774,0.090994,-32.8698,12.4359,-29.0691
0.30445300000000003,-0.014523,6.481461,1.407906,-0.563759,-3.265722,-0.085917,0.055726,-0.038936,-33.1691,12.2897,-28.4493
0.30445300000000003,-0.014523,6.481461,1.407906,-0.563759,-3.265722,-0.085917,0.055726,-0.038936,-33.1691,12.2897,-28.4493
0.6110770000000001,-0.2397,6.191606,1.679609,-0.618019,-3.772653,-0.085917,0.055726,-0.038936,-33.1691,12.2897,-28.4493
0.6110770000000001,-0.2397,6.191606,1.679609,-0.618019,-3.772653,-0.197742,-0.009239,-0.21040100000000006,-32.6243,12.1973,-28.1916
0.761993,-0.7188,8.613456,1.679609,-0.618019,-3.772653,-0.197742,-0.009239,-0.21040100000000006,-32.6243,12.1973,-28.1916
0.761993,-0.7188,8.613456,1.679609,-0.618019,-3.772653,-0.197742,-0.009239,-0.21040100000000006,-32.6243,12.1973,-28.1916
0.761993,-0.7188,8.613456,1.6870919999999998,-1.027119,-0.799493,0.13134300000000002,0.340081,-0.242351,-32.2156,11.7099,-28.5289
0.110417,-0.060037,8.584710000000001,1.6870919999999998,-1.027119,-0.799493,0.13134300000000002,0.340081,-0.242351,-32.2156,11.7099,-28.5289
0.110417,-0.060037,8.584710000000001,1.406266,-0.502337,-1.250794,0.13134300000000002,0.340081,-0.242351,-32.2156,11.7099,-28.5289
0.110417,-0.060037,8.584710000000001,1.406266,-0.502337,-1.250794,0.163293,0.358186,-0.264716,-32.3592,11.8853,-28.9203
0.745225,0.04776,6.23712,1.406266,-0.502337,-1.250794,0.163293,0.358186,-0.264716,-32.3592,11.8853,-28.9203
0.745225,0.04776,6.23712,1.406266,-0.502337,-1.250794,0.163293,0.358186,-0.264716,-32.3592,11.8853,-28.9203
0.745225,0.04776,6.23712,2.03573,-0.479697,-3.3806480000000003,-0.596052,0.159031,-0.483041,-32.3592,11.8853,-28.9203
-0.004567,0.042969,7.3701919999999985,2.03573,-0.479697,-3.3806480000000003,-0.596052,0.159031,-0.483041,-32.6433,12.0766,-28.6933
-0.004567,0.042969,7.3701919999999985,2.03573,-0.479697,-3.3806480000000003,-0.596052,0.159031,-0.483041,-32.6433,12.0766,-28.6933
-0.004567,0.042969,7.3701919999999985,2.03573,-0.479697,-3.3806480000000003,-0.596052,0.159031,-0.483041,-32.6433,12.0766,-28.6933
-1.238249,-0.213349,9.957332,0.291398,-0.30937600000000004,-0.29165100000000005,-0.983712,0.064246,-0.295601,-32.4201,11.9186,-29.0956
-1.238249,-0.213349,9.957332,0.291398,-0.30937600000000004,-0.29165100000000005,-0.983712,0.064246,-0.295601,-32.4201,11.9186,-29.0956
-1.238249,-0.213349,9.957332,0.291398,-0.30937600000000004,-0.29165100000000005,-0.983712,0.064246,-0.295601,-32.4201,11.9186,-29.0956
-0.064454,-0.5271600000000001,9.540515,1.057715,-0.390817,0.251553,-0.754737,0.147316,0.000469,-32.4201,11.9186,-29.0956
-0.064454,-0.5271600000000001,9.540515,1.057715,-0.390817,0.251553,-0.754737,0.147316,0.000469,-32.0421,12.2198,-29.272
-0.294422,-0.721195,8.936849,1.057715,-0.390817,0.251553,-0.754737,0.147316,0.000469,-32.0421,12.2198,-29.272
-0.294422,-0.721195,8.936849,1.06319,-0.31469400000000003,-0.749164,-0.979452,-0.328739,-0.082601,-32.0421,12.2198,-29.272
-0.294422,-0.721195,8.936849,1.06319,-0.31469400000000003,-0.749164,-0.979452,-0.328739,-0.082601,-31.6697,12.9463,-29.2038
-0.660934,-1.698559,10.975419,1.06319,-0.31469400000000003,-0.749164,-0.979452,-0.328739,-0.082601,-31.6697,12.9463,-29.2038
-0.660934,-1.698559,10.975419,0.524442,-0.959559,1.326131,-0.984777,-0.412874,-0.008051,-31.6697,12.9463,-29.2038
-0.660934,-1.698559,10.975419,0.524442,-0.959559,1.326131,-0.984777,-0.412874,-0.008051,-31.6697,12.9463,-29.2038
-0.14111,-1.878222,11.011352,0.524442,-0.959559,1.326131,-0.984777,-0.412874,-0.008051,-32.1704,14.2757,-28.8039
-0.14111,-1.878222,11.011352,0.975709,-0.892352,1.401934,-0.870822,-0.277619,0.050524,-32.1704,14.2757,-28.8039
-0.14111,-1.878222,11.011352,0.975709,-0.892352,1.401934,-0.870822,-0.277619,0.050524,-32.1704,14.2757,-28.8039
