ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
1.007,0.179,7.661,2.357,-2.487,-1.969,-0.153,0.071,0.483,-8.0,-38.6,-23.8
1.007,0.179,7.661,2.357,-2.487,-1.969,-0.153,0.071,0.483,-8.0,-38.6,-23.8
1.629,-0.206,6.768,2.357,-2.487,-1.969,-0.153,0.071,0.483,-8.0,-38.6,-23.8
1.629,-0.206,6.768,3.1830000000000003,-1.6880000000000002,-2.654,-0.41,-0.09,0.277,-8.6,-38.2,-23.2
2.266,1.1840000000000002,6.849,3.1830000000000003,-1.6880000000000002,-2.654,-0.41,-0.09,0.277,-8.6,-38.2,-23.2
2.266,1.1840000000000002,6.849,3.1830000000000003,-1.6880000000000002,-2.654,-0.41,-0.09,0.277,-8.6,-38.2,-23.2
2.266,1.1840000000000002,6.849,3.784,-1.273,-2.137,-0.41,-0.09,0.277,-9.5,-37.9,-23.2
2.266,1.1840000000000002,6.849,3.784,-1.273,-2.137,-0.926,-0.622,0.413,-9.5,-37.9,-23.2
4.029,0.34700000000000003,7.2970000000000015,3.784,-1.273,-2.137,-0.926,-0.622,0.413,-9.5,-37.9,-23.2
4.029,0.34700000000000003,7.2970000000000015,5.145,-2.017,-1.355,-0.926,-0.622,0.413,-11.0,-36.3,-24.1
4.029,0.34700000000000003,7.2970000000000015,5.145,-2.017,-1.355,-1.367,-0.633,0.249,-11.0,-36.3,-24.1
4.35,-0.062,9.142,5.145,-2.017,-1.355,-1.367,-0.633,0.249,-11.0,-36.3,-24.1
4.35,-0.062,9.142,3.741,-0.941,0.613,-1.367,-0.633,0.249,-11.0,-36.3,-24.1
2.821,1.165,10.668,3.741,-0.941,0.613,-1.104,0.046,-0.159,-10.1,-36.3,-25.9
2.821,1.165,10.668,3.741,-0.941,0.613,-1.104,0.046,-0.159,-10.1,-36.3,-25.9
2.821,1.165,10.668,3.741,-0.941,0.613,-1.104,0.046,-0.159,-10.1,-36.3,-25.9
