ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
3.5822,0.7556,8.4519,3.4867,-1.4402,-0.1284,0.6994,-0.619,-1.5872,19.08,20.38,-31.21
3.5822,0.7556,8.4519,2.5135,-1.9785,-0.8417,0.6994,-0.619,-1.5872,19.08,20.38,-31.21
2.166,0.5281,9.6382,2.5135,-1.9785,-0.8417,0.4895,-1.1239,-2.0464,19.08,20.38,-31.21
2.166,0.5281,9.6382,2.5135,-1.9785,-0.8417,0.4895,-1.1239,-2.0464,19.08,20.38,-31.21
2.166,0.5281,9.6382,1.0109,-2.5256,-0.0063,0.4895,-1.1239,-2.0464,19.08,20.38,-31.92
0.6744,0.1151,8.4423,1.0109,-2.5256,-0.0063,0.4342,-1.2890000000000001,-2.5034,19.08,20.38,-31.92
0.6744,0.1151,8.4423,1.0109,-2.5256,-0.0063,0.4342,-1.2890000000000001,-2.5034,19.08,20.38,-31.92
0.6744,0.1151,8.4423,-1.8882,-3.1353,-0.9402,0.4342,-1.2890000000000001,-2.5034,19.08,20.38,-31.92
-2.0298,-0.0896,8.7272,-1.8882,-3.1353,-0.9402,-0.0378,-0.7926,-2.4543,19.08,20.38,-31.92
-2.0298,-0.0896,8.7272,-1.8882,-3.1353,-0.9402,-0.0378,-0.7926,-2.4543,11.48,25.92,-32.22
-2.0298,-0.0896,8.7272,-4.5978,-2.7718,0.161,-0.0378,-0.7926,-2.4543,11.48,25.92,-32.22
-4.1547,0.6275,9.7208,-4.5978,-2.7718,0.161,-0.1379,-0.4624,-1.9942,11.48,25.92,-32.22
-4.1547,0.6275,9.7208,-4.5978,-2.7718,0.161,-0.1379,-0.4624,-1.9942,13.89,20.94,-32.41
-5.3159,1.0261,9.5532,-6.0338,-2.0723,0.3489,-0.1379,-0.4624,-1.9942,13.89,20.94,-32.41
-5.3159,1.0261,9.5532,-6.0338,-2.0723,0.3489,0.055999999999999994,-0.1673,-1.5286,13.89,20.94,-32.41
-5.3159,1.0261,9.5532,-6.0338,-2.0723,0.3489,0.055999999999999994,-0.1673,-1.5286,13.89,20.94,-32.41
-4.9304,0.8298,7.5529,-5.5785,-2.3189,-1.7574,0.055999999999999994,-0.1673,-1.5286,11.39,21.59,-33.79
-4.9304,0.8298,7.5529,-5.5785,-2.3189,-1.7574,-0.303,-0.0459,-1.5041,11.39,21.59,-33.79
