ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.294,-0.33299999999999996,11.003,0.7719,-1.4478,1.2721,-2.7123,-1.2565,-0.1422,-12.0,15.6,-28.5
0.47,-0.34299999999999997,12.415,0.7369,-0.8739,2.3897,-2.7123,-1.2565,-0.1422,-12.0,15.6,-28.5
0.47,-0.34299999999999997,12.415,0.7369,-0.8739,2.3897,-2.7123,-1.2565,-0.1422,-12.0,15.6,-28.5
0.47,-0.34299999999999997,12.415,0.7369,-0.8739,2.3897,-2.7123,-1.2565,-0.1422,-12.0,15.6,-28.5
0.284,-0.509,11.572000000000001,0.4915,-0.9106,2.1704,-1.8121,-0.9154,0.0012,-12.64,16.62,-26.95
0.284,-0.509,11.572000000000001,0.4915,-0.9106,2.1704,-1.8121,-0.9154,0.0012,-12.64,16.62,-26.95
0.284,-0.509,11.572000000000001,0.4915,-0.9106,2.1704,-1.8121,-0.9154,0.0012,-12.64,16.62,-26.95
0.019,0.009000000000000001,13.523,-0.0541,-0.1001,2.668,-1.0319,-0.4473,-0.0235,-12.73,17.88,-25.56
0.019,0.009000000000000001,13.523,-0.0541,-0.1001,2.668,-1.0319,-0.4473,-0.0235,-12.73,17.88,-25.56
0.019,0.009000000000000001,13.523,-0.0541,-0.1001,2.668,-1.0319,-0.4473,-0.0235,-12.73,17.88,-25.56
0.019,0.009000000000000001,13.523,-0.0541,-0.1001,2.668,-1.0319,-0.4473,-0.0235,-12.73,17.88,-25.56
0.41100000000000003,0.205,15.71,0.0801,0.1106,5.8266,-0.2698,-0.0971,0.2718,-13.55,21.01,-21.07
0.41100000000000003,0.205,15.71,0.0801,0.1106,5.8266,-0.2698,-0.0971,0.2718,-13.55,21.01,-21.07
0.41100000000000003,0.205,15.71,0.0801,0.1106,5.8266,-0.2698,-0.0971,0.2718,-13.55,21.01,-21.07
1.284,0.725,16.279,1.067,0.7253,6.4751,0.1948,-0.3027,0.8035,-13.2,22.05,-17.92
1.284,0.725,16.279,1.067,0.7253,6.4751,0.1948,-0.3027,0.8035,-13.2,22.05,-17.92
1.284,0.725,16.279,1.067,0.7253,6.4751,0.1948,-0.3027,0.8035,-13.2,22.05,-17.92
0.951,0.735,16.74,0.8458,0.6871,6.7821,0.3499,-0.391,0.9576,-13.19,22.52,-15.24
0.951,0.735,16.74,0.8458,0.6871,6.7821,0.3499,-0.391,0.9576,-13.19,22.52,-15.24
0.951,0.735,16.74,0.8458,0.6871,6.7821,0.3499,-0.391,0.9576,-13.19,22.52,-15.24
0.451,0.5489999999999999,16.005,0.0694,0.3248,6.2086,0.3499,-0.391,0.9576,-13.19,22.52,-15.24
0.451,0.5489999999999999,16.005,0.0694,0.3248,6.2086,0.3499,-0.391,0.9576,-13.19,22.52,-15.24
0.451,0.5489999999999999,16.005,0.0694,0.3248,6.2086,0.2439,-0.0594,0.4807,-13.74,23.31,-16.17
0.97,0.392,14.592,0.569,0.1367,4.7974,0.2439,-0.0594,0.4807,-13.74,23.31,-16.17
0.97,0.392,14.592,0.569,0.1367,4.7974,0.2439,-0.0594,0.4807,-13.74,23.31,-16.17
0.97,0.392,14.592,0.569,0.1367,4.7974,0.1155,-0.1186,0.3459,-13.29,22.94,-18.51
0.97,0.392,14.592,0.569,0.1367,4.7974,0.1155,-0.1186,0.3459,-13.29,22.94,-18.51
1.0490000000000002,0.166,13.612,0.7298,-0.0061,4.0935,0.1155,-0.1186,0.3459,-13.29,22.94,-18.51
1.0490000000000002,0.166,13.612,0.7298,-0.0061,4.0935,0.0046,-0.195,0.2743,-13.82,22.41,-19.54
0.6659999999999999,-0.156,12.100999999999999,0.7298,-0.0061,4.0935,0.0046,-0.195,0.2743,-13.82,22.41,-19.54
0.6659999999999999,-0.156,12.100999999999999,0.151,-0.3709,2.3112,0.0046,-0.195,0.2743,-13.82,22.41,-19.54
0.6659999999999999,-0.156,12.100999999999999,0.151,-0.3709,2.3112,0.0046,-0.195,0.2743,-13.83,22.2,-19.43
0.42100000000000004,-0.196,10.032,0.151,-0.3709,2.3112,-0.1712,-0.0973,-0.0304,-13.83,22.2,-19.43
0.42100000000000004,-0.196,10.032,0.151,-0.3709,2.3112,-0.1712,-0.0973,-0.0304,-13.83,22.2,-19.43
0.42100000000000004,-0.196,10.032,-0.2585,-0.3232,-0.4363,-0.1712,-0.0973,-0.0304,-13.83,22.2,-19.43
0.294,0.0,8.394,-0.2585,-0.3232,-0.4363,-0.20199999999999999,0.037000000000000005,-0.2188,-13.18,21.67,-20.97
